sim,scenario,nb_acc,nb_non_acc
B1_1,1,11,204
B1_1,2,8,196
B1_1,3,11,186
B1_1,4,15,169
B1_1,5,8,179
B1_1,6,15,168
B1_2,1,2,154
B1_2,2,2,147
B1_2,3,5,122
B1_2,4,2,137
B1_2,5,5,120
B1_2,6,2,132
B1_3,1,14,102
B1_3,2,13,101
B1_3,3,10,88
B1_3,4,8,79
B1_3,5,9,87
B1_3,6,8,79
B1_4,1,12,437
B1_4,2,11,432
B1_4,3,20,384
B1_4,4,8,398
B1_4,5,19,379
B1_4,6,8,398
B1_5,1,9,366
B1_5,2,9,364
B1_5,3,16,328
B1_5,4,10,322
B1_5,5,16,326
B1_5,6,10,322
B1_6,1,0,113
B1_6,2,2,110
B1_6,3,0,91
B1_6,4,4,91
B1_6,5,2,88
B1_6,6,4,91
B1_7,1,10,281
B1_7,2,10,276
B1_7,3,16,251
B1_7,4,6,192
B1_7,5,16,246
B1_7,6,6,192
B1_8,1,14,228
B1_8,2,14,226
B1_8,3,26,190
B1_8,4,13,187
B1_8,5,26,188
B1_8,6,13,187
B1_9,1,10,295
B1_9,2,12,280
B1_9,3,7,227
B1_9,4,14,240
B1_9,5,9,215
B1_9,6,14,237
B1_10,1,4,272
B1_10,2,4,268
B1_10,3,11,231
B1_10,4,5,238
B1_10,5,11,227
B1_10,6,5,238
B1_11,1,12,349
B1_11,2,7,342
B1_11,3,10,323
B1_11,4,7,301
B1_11,5,4,318
B1_11,6,6,301
B1_12,1,15,253
B1_12,2,15,251
B1_12,3,13,225
B1_12,4,14,213
B1_12,5,13,223
B1_12,6,14,213
B1_13,1,16,238
B1_13,2,15,238
B1_13,3,19,208
B1_13,4,16,205
B1_13,5,18,208
B1_13,6,16,205
B1_14,1,18,372
B1_14,2,18,370
B1_14,3,22,299
B1_14,4,10,287
B1_14,5,22,297
B1_14,6,10,287
B1_15,1,19,316
B1_15,2,19,314
B1_15,3,19,261
B1_15,4,19,264
B1_15,5,19,259
B1_15,6,19,264
B1_16,1,8,345
B1_16,2,10,333
B1_16,3,8,314
B1_16,4,4,287
B1_16,5,10,302
B1_16,6,4,287
B1_17,1,3,201
B1_17,2,3,200
B1_17,3,3,167
B1_17,4,3,175
B1_17,5,3,166
B1_17,6,3,175
B1_18,1,12,117
B1_18,2,15,107
B1_18,3,16,95
B1_18,4,8,67
B1_18,5,19,85
B1_18,6,8,67
B1_19,1,15,320
B1_19,2,13,309
B1_19,3,14,273
B1_19,4,13,265
B1_19,5,12,262
B1_19,6,13,265
B1_20,1,3,214
B1_20,2,2,210
B1_20,3,8,178
B1_20,4,2,154
B1_20,5,7,174
B1_20,6,2,154
B1_21,1,13,151
B1_21,2,12,148
B1_21,3,10,136
B1_21,4,9,126
B1_21,5,9,133
B1_21,6,9,126
B1_22,1,10,284
B1_22,2,9,282
B1_22,3,10,221
B1_22,4,8,260
B1_22,5,9,220
B1_22,6,8,259
B1_23,1,9,263
B1_23,2,8,263
B1_23,3,10,233
B1_23,4,5,240
B1_23,5,9,233
B1_23,6,5,240
B1_24,1,8,283
B1_24,2,8,282
B1_24,3,8,247
B1_24,4,8,253
B1_24,5,8,246
B1_24,6,8,253
B1_25,1,21,336
B1_25,2,21,334
B1_25,3,14,296
B1_25,4,22,295
B1_25,5,14,295
B1_25,6,22,294
B1_26,1,10,189
B1_26,2,9,185
B1_26,3,9,169
B1_26,4,7,153
B1_26,5,8,165
B1_26,6,7,153
B1_27,1,11,223
B1_27,2,11,213
B1_27,3,16,190
B1_27,4,9,180
B1_27,5,16,180
B1_27,6,9,180
B1_28,1,8,242
B1_28,2,8,240
B1_28,3,6,197
B1_28,4,5,211
B1_28,5,6,195
B1_28,6,5,211
B1_29,1,6,238
B1_29,2,4,234
B1_29,3,6,204
B1_29,4,5,176
B1_29,5,4,200
B1_29,6,5,176
B1_30,1,6,320
B1_30,2,5,317
B1_30,3,3,262
B1_30,4,6,288
B1_30,5,2,259
B1_30,6,6,288
