sim,scenario,nb_acc,nb_non_acc
B1_1,1,28,175
B1_1,2,26,169
B1_1,3,21,165
B1_1,4,27,158
B1_1,5,28,153
B1_1,6,23,159
B1_2,1,22,135
B1_2,2,17,133
B1_2,3,14,114
B1_2,4,12,128
B1_2,5,16,110
B1_2,6,20,115
B1_3,1,17,101
B1_3,2,16,100
B1_3,3,13,87
B1_3,4,14,75
B1_3,5,16,82
B1_3,6,13,76
B1_4,1,36,422
B1_4,2,30,422
B1_4,3,34,379
B1_4,4,39,376
B1_4,5,34,373
B1_4,6,37,378
B1_8,1,19,194
B1_8,2,16,193
B1_8,3,25,174
B1_8,4,22,177
B1_8,5,19,178
B1_8,6,18,180
B1_10,1,28,250
B1_10,2,18,255
B1_10,3,18,226
B1_10,4,22,222
B1_10,5,23,216
B1_10,6,26,218
B1_11,1,18,198
B1_11,2,15,215
B1_11,3,21,195
B1_11,4,25,285
B1_11,5,15,211
B1_11,6,15,294
B1_12,1,24,119
B1_12,2,19,108
B1_12,3,18,144
B1_12,4,15,114
B1_12,5,14,139
B1_12,6,23,115
B1_13,1,31,225
B1_13,2,33,222
B1_13,3,27,202
B1_13,4,23,200
B1_13,5,27,201
B1_13,6,32,191
B1_14,1,23,281
B1_14,2,26,271
B1_14,3,24,233
B1_14,4,16,229
B1_14,5,27,233
B1_14,6,16,232
B1_17,1,24,181
B1_17,2,17,186
B1_17,3,20,151
B1_17,4,12,167
B1_17,5,18,152
B1_17,6,21,158
B1_18,1,12,118
B1_18,2,12,112
B1_18,3,11,101
B1_18,4,5,72
B1_18,5,10,96
B1_18,6,8,69
B1_20,1,15,119
B1_20,2,11,128
B1_20,3,12,142
B1_20,4,15,116
B1_20,5,12,143
B1_20,6,12,120
B1_21,1,18,148
B1_21,2,16,145
B1_21,3,11,137
B1_21,4,17,119
B1_21,5,12,130
B1_21,6,10,126
B1_22,1,25,270
B1_22,2,26,266
B1_22,3,25,207
B1_22,4,27,242
B1_22,5,28,202
B1_22,6,31,237
B1_23,1,23,250
B1_23,2,29,243
B1_23,3,25,219
B1_23,4,25,221
B1_23,5,18,225
B1_23,6,24,222
B1_26,1,14,185
B1_26,2,13,179
B1_26,3,17,161
B1_26,4,15,147
B1_26,5,17,158
B1_26,6,18,144
B1_27,1,17,218
B1_27,2,13,212
B1_27,3,17,190
B1_27,4,20,170
B1_27,5,13,184
B1_27,6,16,174
B1_28,1,15,236
B1_28,2,21,228
B1_28,3,17,187
B1_28,4,25,192
B1_28,5,19,183
B1_28,6,20,197
B1_29,1,21,224
B1_29,2,15,224
B1_29,3,22,189
B1_29,4,24,158
B1_29,5,19,186
B1_29,6,25,157
B1_30,1,29,298
B1_30,2,23,300
B1_30,3,27,239
B1_30,4,28,266
B1_30,5,19,243
B1_30,6,32,263
