sp_infector,R,nb,R_sim,nb_sim,tree,scenario
badger,0.6458333333333334,48,1.1041666666666667,48,A1_1,1
cattle,1.4484848484848485,165,0.7515151515151515,165,A1_1,1
boar,0,58,1.603448275862069,58,A1_1,1
badger,0.6458333333333334,48,0.9565217391304348,46,A1_1,2
cattle,1.4484848484848485,165,0.9454545454545454,165,A1_1,2
boar,0,58,1.2,50,A1_1,2
badger,0.6458333333333334,48,1.3125,48,A1_1,3
cattle,1.4484848484848485,165,0.9030303030303031,165,A1_1,3
boar,0,58,0,0,A1_1,3
badger,0.6458333333333334,48,0,0,A1_1,4
cattle,1.4484848484848485,165,0.7575757575757576,165,A1_1,4
boar,0,58,1.6724137931034482,58,A1_1,4
badger,0.6458333333333334,48,1.0869565217391304,46,A1_1,5
cattle,1.4484848484848485,165,0.9696969696969697,165,A1_1,5
boar,0,58,0,0,A1_1,5
badger,0.6458333333333334,48,0,0,A1_1,6
cattle,1.4484848484848485,165,0.8727272727272727,165,A1_1,6
boar,0,58,1.4,50,A1_1,6
badger,1.1153846153846154,26,1.2307692307692308,26,A1_2,1
cattle,1.1363636363636365,88,0.9090909090909091,88,A1_2,1
boar,0,16,1.0625,16,A1_2,1
badger,1.1153846153846154,26,1.1304347826086956,23,A1_2,2
cattle,1.1363636363636365,88,0.9431818181818182,88,A1_2,2
boar,0,16,1.0625,16,A1_2,2
badger,1.1153846153846154,26,1.0769230769230769,26,A1_2,3
cattle,1.1363636363636365,88,0.9659090909090909,88,A1_2,3
boar,0,16,0,0,A1_2,3
badger,1.1153846153846154,26,0,0,A1_2,4
cattle,1.1363636363636365,88,0.8977272727272727,88,A1_2,4
boar,0,16,1.5,16,A1_2,4
badger,1.1153846153846154,26,1.3043478260869565,23,A1_2,5
cattle,1.1363636363636365,88,0.9090909090909091,88,A1_2,5
boar,0,16,0,0,A1_2,5
badger,1.1153846153846154,26,0,0,A1_2,6
cattle,1.1363636363636365,88,0.8977272727272727,88,A1_2,6
boar,0,16,1.5,16,A1_2,6
badger,0.5492957746478874,71,1.4647887323943662,71,A1_3,1
cattle,1.157190635451505,299,0.8963210702341137,299,A1_3,1
boar,0,16,0.8125,16,A1_3,1
badger,0.5492957746478874,71,1.390625,64,A1_3,2
cattle,1.157190635451505,299,0.9230769230769231,299,A1_3,2
boar,0,16,0.8,15,A1_3,2
badger,0.5492957746478874,71,1.4647887323943662,71,A1_3,3
cattle,1.157190635451505,299,0.8862876254180602,299,A1_3,3
boar,0,16,0,0,A1_3,3
badger,0.5492957746478874,71,0,0,A1_3,4
cattle,1.157190635451505,299,0.9498327759197325,299,A1_3,4
boar,0,16,1.875,16,A1_3,4
badger,0.5492957746478874,71,1.328125,64,A1_3,5
cattle,1.157190635451505,299,0.9264214046822743,299,A1_3,5
boar,0,16,0,0,A1_3,5
