sp_infector,R,nb,R_sim,nb_sim,tree,scenario
badger,0.6458333333333334,48,0.20833333333333334,48,A1_1,1
cattle,1.4484848484848485,165,1.490909090909091,165,A1_1,1
boar,0,58,0.2413793103448276,58,A1_1,1
badger,0.6595744680851063,47,0.21739130434782608,46,A1_1,2
cattle,1.393939393939394,165,1.4303030303030304,165,A1_1,2
boar,0,50,0.28,50,A1_1,2
badger,0.3125,48,0.22916666666666666,48,A1_1,3
cattle,1.1939393939393939,165,1.2181818181818183,165,A1_1,3
badger,1.875,16,NA,0,A1_1,4
cattle,1.2606060606060605,165,1.2666666666666666,165,A1_1,4
boar,0,58,0.22413793103448276,58,A1_1,4
badger,0.3191489361702128,47,0.2391304347826087,46,A1_1,5
cattle,1.187878787878788,165,1.206060606060606,165,A1_1,5
badger,1.875,16,NA,0,A1_1,6
cattle,1.2121212121212122,165,1.2181818181818183,165,A1_1,6
boar,0,50,0.26,50,A1_1,6
badger,1.1153846153846154,26,0,26,A1_2,1
cattle,1.1363636363636365,88,1.4431818181818181,88,A1_2,1
boar,0,16,0.125,16,A1_2,1
badger,1.2608695652173914,23,0,23,A1_2,2
cattle,1.1022727272727273,88,1.4090909090909092,88,A1_2,2
boar,0,16,0.125,16,A1_2,2
badger,1,26,0,26,A1_2,3
cattle,0.9886363636363636,88,1.2840909090909092,88,A1_2,3
badger,1.75,16,NA,0,A1_2,4
cattle,1.0340909090909092,88,1.1590909090909092,88,A1_2,4
boar,0,16,0.0625,16,A1_2,4
badger,1.1304347826086956,23,0,23,A1_2,5
cattle,0.9545454545454546,88,1.25,88,A1_2,5
badger,1.75,16,NA,0,A1_2,6
cattle,1.0340909090909092,88,1.1590909090909092,88,A1_2,6
boar,0,16,0.0625,16,A1_2,6
badger,0.5492957746478874,71,0.11267605633802817,71,A1_3,1
cattle,1.157190635451505,299,1.2608695652173914,299,A1_3,1
boar,0,16,0,16,A1_3,1
badger,0.546875,64,0.125,64,A1_3,2
cattle,1.1438127090301002,299,1.234113712374582,299,A1_3,2
