sp_infector,R,nb,R_sim,nb_sim,tree,scenario
badger,2.4838709677419355,31,4.741935483870968,31,B1_1,1
boar,0.2222222222222222,18,0.2777777777777778,18,B1_1,1
cattle,0.8023952095808383,167,0.3772455089820359,167,B1_1,1
badger,2.7142857142857144,28,0.9047619047619048,21,B1_1,2
boar,0.23529411764705882,17,0.29411764705882354,17,B1_1,2
cattle,0.7844311377245509,167,1.0778443113772456,167,B1_1,2
badger,2.3870967741935485,31,4.419354838709677,31,B1_1,3
boar,1.3333333333333333,3,NA,0,B1_1,3
cattle,0.7305389221556886,167,0.3592814371257485,167,B1_1,3
badger,3.272727272727273,22,NA,0,B1_1,4
boar,0.2222222222222222,18,0.2777777777777778,18,B1_1,4
cattle,0.7784431137724551,167,1.0718562874251496,167,B1_1,4
badger,2.607142857142857,28,0.8095238095238095,21,B1_1,5
boar,1.3333333333333333,3,NA,0,B1_1,5
cattle,0.718562874251497,167,1.0179640718562875,167,B1_1,5
badger,3.272727272727273,22,NA,0,B1_1,6
boar,0.23529411764705882,17,0.29411764705882354,17,B1_1,6
cattle,0.7724550898203593,167,1.0658682634730539,167,B1_1,6
badger,0.5882352941176471,17,1.0588235294117647,17,B1_2,1
boar,0.5862068965517241,29,0.6551724137931034,29,B1_2,1
cattle,1.162162162162162,111,1.072072072072072,111,B1_2,1
badger,0.625,16,1.1333333333333333,15,B1_2,2
boar,0.6153846153846154,26,0.625,24,B1_2,2
cattle,1.135135135135135,111,1.054054054054054,111,B1_2,2
badger,0.5294117647058824,17,0.8235294117647058,17,B1_2,3
boar,1.0909090909090908,11,NA,0,B1_2,3
cattle,1.054054054054054,111,1.018018018018018,111,B1_2,3
badger,1.25,8,NA,0,B1_2,4
boar,0.5517241379310345,29,0.9655172413793104,29,B1_2,4
cattle,1.09009009009009,111,1,111,B1_2,4
badger,0.5625,16,0.8666666666666667,15,B1_2,5
boar,1.0909090909090908,11,NA,0,B1_2,5
cattle,1.045045045045045,111,1.009009009009009,111,B1_2,5
badger,1.25,8,NA,0,B1_2,6
boar,0.5769230769230769,26,1,24,B1_2,6
cattle,1.072072072072072,111,0.990990990990991,111,B1_2,6
badger,0.5172413793103449,29,0.06896551724137931,29,B1_3,1
boar,0.3333333333333333,18,0.2777777777777778,18,B1_3,1
cattle,1.352112676056338,71,1.5352112676056338,71,B1_3,1
badger,0.5555555555555556,27,0.07407407407407407,27,B1_3,2
boar,0.3333333333333333,18,0.2777777777777778,18,B1_3,2
cattle,1.323943661971831,71,1.5070422535211268,71,B1_3,2
badger,0.27586206896551724,29,0,29,B1_3,3
boar,1,3,NA,0,B1_3,3
cattle,1.2816901408450705,71,1.380281690140845,71,B1_3,3
badger,1.5555555555555556,9,NA,0,B1_3,4
boar,0.2777777777777778,18,0.2222222222222222,18,B1_3,4
cattle,1.0985915492957747,71,1.1690140845070423,71,B1_3,4
badger,0.2962962962962963,27,0,27,B1_3,5
boar,1,3,NA,0,B1_3,5
cattle,1.2535211267605635,71,1.352112676056338,71,B1_3,5
badger,1.5555555555555556,9,NA,0,B1_3,6
boar,0.2777777777777778,18,0.2222222222222222,18,B1_3,6
cattle,1.0985915492957747,71,1.1690140845070423,71,B1_3,6
badger,0.5581395348837209,43,0.3953488372093023,43,B1_4,1
boar,1.3111111111111111,45,1.0444444444444445,45,B1_4,1
cattle,1.0108108108108107,370,1.0405405405405406,370,B1_4,1
badger,0.6216216216216216,37,0.43243243243243246,37,B1_4,2
boar,1.3111111111111111,45,1.0444444444444445,45,B1_4,2
cattle,0.9972972972972973,370,1.027027027027027,370,B1_4,2
badger,0.5116279069767442,43,0.32558139534883723,43,B1_4,3
boar,3.0526315789473686,19,NA,0,B1_4,3
cattle,0.9486486486486486,370,1.054054054054054,370,B1_4,3
badger,1.1538461538461537,13,NA,0,B1_4,4
boar,1.288888888888889,45,1.0444444444444445,45,B1_4,4
cattle,0.9567567567567568,370,0.9702702702702702,370,B1_4,4
badger,0.5675675675675675,37,0.35135135135135137,37,B1_4,5
boar,3.0526315789473686,19,NA,0,B1_4,5
cattle,0.9351351351351351,370,1.0405405405405406,370,B1_4,5
badger,1.1538461538461537,13,NA,0,B1_4,6
boar,1.288888888888889,45,1.0444444444444445,45,B1_4,6
cattle,0.9567567567567568,370,0.9702702702702702,370,B1_4,6
badger,0.5116279069767442,43,1.9534883720930232,43,B1_5,1
boar,2.225806451612903,31,0.03225806451612903,31,B1_5,1
cattle,0.9403973509933775,302,0.9602649006622517,302,B1_5,1
badger,0.5,42,2.048780487804878,41,B1_5,2
boar,2.225806451612903,31,0.03225806451612903,31,B1_5,2
cattle,0.9403973509933775,302,0.9536423841059603,302,B1_5,2
badger,0.46511627906976744,43,1.9069767441860466,43,B1_5,3
boar,2.8333333333333335,24,NA,0,B1_5,3
cattle,0.9271523178807947,302,0.8675496688741722,302,B1_5,3
badger,1.1538461538461537,13,NA,0,B1_5,4
boar,2,31,0,31,B1_5,4
cattle,0.8874172185430463,302,1.099337748344371,302,B1_5,4
badger,0.4523809523809524,42,2,41,B1_5,5
boar,2.8333333333333335,24,NA,0,B1_5,5
cattle,0.9271523178807947,302,0.8609271523178808,302,B1_5,5
badger,1.1538461538461537,13,NA,0,B1_5,6
boar,2,31,0,31,B1_5,6
cattle,0.8874172185430463,302,1.099337748344371,302,B1_5,6
badger,0.8333333333333334,18,6,18,B1_6,1
boar,0.18181818181818182,22,0.18181818181818182,22,B1_6,1
cattle,1.2702702702702702,74,0.013513513513513514,74,B1_6,1
badger,0.8823529411764706,17,0,17,B1_6,2
boar,0.18181818181818182,22,0.18181818181818182,22,B1_6,2
cattle,1.2567567567567568,74,1.4594594594594594,74,B1_6,2
badger,0.8333333333333334,18,4.944444444444445,18,B1_6,3
boar,1,4,NA,0,B1_6,3
cattle,1.027027027027027,74,0.02702702702702703,74,B1_6,3
badger,2,6,NA,0,B1_6,4
boar,0.18181818181818182,22,0.18181818181818182,22,B1_6,4
cattle,1.1486486486486487,74,1.2297297297297298,74,B1_6,4
badger,0.8823529411764706,17,0,17,B1_6,5
boar,1,4,NA,0,B1_6,5
cattle,1.0135135135135136,74,1.2162162162162162,74,B1_6,5
badger,2,6,NA,0,B1_6,6
boar,0.18181818181818182,22,0.18181818181818182,22,B1_6,6
cattle,1.1486486486486487,74,1.2297297297297298,74,B1_6,6
badger,0.7204301075268817,93,2.3440860215053765,93,B1_7,1
boar,2,24,0.4583333333333333,24,B1_7,1
cattle,1.0057142857142858,175,0.35428571428571426,175,B1_7,1
badger,0.7078651685393258,89,2.465909090909091,88,B1_7,2
boar,2,24,0.4583333333333333,24,B1_7,2
cattle,1.0057142857142858,175,0.3314285714285714,175,B1_7,2
badger,0.6989247311827957,93,2.161290322580645,93,B1_7,3
boar,4.2727272727272725,11,NA,0,B1_7,3
cattle,0.9485714285714286,175,0.37714285714285717,175,B1_7,3
badger,1.1,10,NA,0,B1_7,4
boar,1.75,24,7.75,24,B1_7,4
cattle,0.8857142857142857,175,0.06857142857142857,175,B1_7,4
badger,0.6853932584269663,89,2.272727272727273,88,B1_7,5
boar,4.2727272727272725,11,NA,0,B1_7,5
cattle,0.9485714285714286,175,0.35428571428571426,175,B1_7,5
badger,1.1,10,NA,0,B1_7,6
boar,1.75,24,7.75,24,B1_7,6
cattle,0.8857142857142857,175,0.06857142857142857,175,B1_7,6
badger,0.5714285714285714,42,0.21428571428571427,42,B1_8,1
boar,2.3461538461538463,26,1.5,26,B1_8,1
cattle,0.8971428571428571,175,1.1085714285714285,175,B1_8,1
badger,0.5609756097560976,41,0.225,40,B1_8,2
boar,2.3461538461538463,26,1.5,26,B1_8,2
cattle,0.8971428571428571,175,1.0971428571428572,175,B1_8,2
badger,0.47619047619047616,42,0.21428571428571427,42,B1_8,3
boar,3.6875,16,NA,0,B1_8,3
cattle,0.8742857142857143,175,1.1828571428571428,175,B1_8,3
badger,1.3636363636363635,11,NA,0,B1_8,4
boar,2.3461538461538463,26,1,26,B1_8,4
cattle,0.7714285714285715,175,0.9942857142857143,175,B1_8,4
badger,0.4634146341463415,41,0.225,40,B1_8,5
boar,3.6875,16,NA,0,B1_8,5
cattle,0.8742857142857143,175,1.1714285714285715,175,B1_8,5
badger,1.3636363636363635,11,NA,0,B1_8,6
boar,2.3461538461538463,26,1,26,B1_8,6
cattle,0.7714285714285715,175,0.9942857142857143,175,B1_8,6
badger,0.9019607843137255,51,2.607843137254902,51,B1_9,1
boar,0.647887323943662,71,0.36619718309859156,71,B1_9,1
cattle,1.1576086956521738,184,0.7934782608695652,184,B1_9,1
badger,0.9777777777777777,45,0.6829268292682927,41,B1_9,2
boar,0.6617647058823529,68,0.38235294117647056,68,B1_9,2
cattle,1.125,184,1.2934782608695652,184,B1_9,2
badger,0.8431372549019608,51,2.235294117647059,51,B1_9,3
boar,1.8571428571428572,21,NA,0,B1_9,3
cattle,0.9402173913043478,184,0.6521739130434783,184,B1_9,3
badger,1.3793103448275863,29,NA,0,B1_9,4
boar,0.647887323943662,71,0.6619718309859155,71,B1_9,4
cattle,1.0706521739130435,184,1.125,184,B1_9,4
badger,0.9111111111111111,45,0.3170731707317073,41,B1_9,5
boar,1.8571428571428572,21,NA,0,B1_9,5
cattle,0.9184782608695652,184,1.1467391304347827,184,B1_9,5
badger,1.3793103448275863,29,NA,0,B1_9,6
boar,0.6617647058823529,68,0.6911764705882353,68,B1_9,6
cattle,1.059782608695652,184,1.108695652173913,184,B1_9,6
badger,0.6764705882352942,34,6.117647058823529,34,B1_10,1
boar,1.8823529411764706,34,0.14705882352941177,34,B1_10,1
cattle,0.9047619047619048,210,0.3,210,B1_10,1
badger,0.6875,32,3.9310344827586206,29,B1_10,2
boar,1.8823529411764706,34,0.14705882352941177,34,B1_10,2
cattle,0.9,210,0.7285714285714285,210,B1_10,2
badger,0.5588235294117647,34,5.4411764705882355,34,B1_10,3
boar,3.2,20,NA,0,B1_10,3
cattle,0.8571428571428571,210,0.2714285714285714,210,B1_10,3
badger,1.8888888888888888,9,NA,0,B1_10,4
boar,1.8235294117647058,34,3,34,B1_10,4
cattle,0.8238095238095238,210,0.6714285714285714,210,B1_10,4
badger,0.5625,32,3.3793103448275863,29,B1_10,5
boar,3.2,20,NA,0,B1_10,5
cattle,0.8523809523809524,210,0.6666666666666666,210,B1_10,5
badger,1.8888888888888888,9,NA,0,B1_10,6
boar,1.8235294117647058,34,3,34,B1_10,6
cattle,0.8238095238095238,210,0.6714285714285714,210,B1_10,6
badger,0.6792452830188679,53,5.452830188679245,53,B1_11,1
boar,2.0357142857142856,28,0.6071428571428571,28,B1_11,1
cattle,0.9539007092198581,282,0.1950354609929078,282,B1_11,1
badger,0.6666666666666666,48,0.16666666666666666,42,B1_11,2
boar,2.0357142857142856,28,0.6296296296296297,27,B1_11,2
cattle,0.950354609929078,282,1.1524822695035462,282,B1_11,2
badger,0.6415094339622641,53,5.113207547169812,53,B1_11,3
boar,3.176470588235294,17,NA,0,B1_11,3
cattle,0.9326241134751773,282,0.2198581560283688,282,B1_11,3
badger,1.375,8,NA,0,B1_11,4
boar,2,28,9.571428571428571,28,B1_11,4
cattle,0.8865248226950354,282,0.14184397163120568,282,B1_11,4
badger,0.625,48,0.16666666666666666,42,B1_11,5
boar,3.176470588235294,17,NA,0,B1_11,5
cattle,0.9290780141843972,282,1.1170212765957446,282,B1_11,5
badger,1.375,8,NA,0,B1_11,6
boar,2,28,0.5555555555555556,27,B1_11,6
cattle,0.8865248226950354,282,1.0354609929078014,282,B1_11,6
badger,0.975609756097561,41,3.6097560975609757,41,B1_12,1
boar,2.566666666666667,30,2.4,30,B1_12,1
cattle,0.7638190954773869,199,0.24120603015075376,199,B1_12,1
badger,1.0256410256410255,39,3.7948717948717947,39,B1_12,2
boar,2.566666666666667,30,2.4,30,B1_12,2
cattle,0.7537688442211056,199,0.23115577889447236,199,B1_12,2
badger,0.9512195121951219,41,4.682926829268292,41,B1_12,3
boar,3.3043478260869565,23,NA,0,B1_12,3
cattle,0.7386934673366834,199,0.23115577889447236,199,B1_12,3
badger,1.8823529411764706,17,NA,0,B1_12,4
boar,2.466666666666667,30,2.2333333333333334,30,B1_12,4
cattle,0.6984924623115578,199,0.8040201005025126,199,B1_12,4
badger,1,39,4.923076923076923,39,B1_12,5
boar,3.3043478260869565,23,NA,0,B1_12,5
cattle,0.7286432160804021,199,0.22110552763819097,199,B1_12,5
badger,1.8823529411764706,17,NA,0,B1_12,6
boar,2.466666666666667,30,2.2333333333333334,30,B1_12,6
cattle,0.6984924623115578,199,0.8040201005025126,199,B1_12,6
badger,0.7272727272727273,33,0.030303030303030304,33,B1_13,1
boar,1.962962962962963,27,0.5925925925925926,27,B1_13,1
cattle,0.9081632653061225,196,1.2091836734693877,196,B1_13,1
badger,0.75,32,0.03125,32,B1_13,2
boar,1.962962962962963,27,0.5925925925925926,27,B1_13,2
cattle,0.9030612244897959,196,1.2040816326530612,196,B1_13,2
badger,0.7272727272727273,33,0.030303030303030304,33,B1_13,3
boar,2.272727272727273,22,NA,0,B1_13,3
cattle,0.8979591836734694,196,1.153061224489796,196,B1_13,3
badger,1.2941176470588236,17,NA,0,B1_13,4
boar,1.962962962962963,27,0.5185185185185185,27,B1_13,4
cattle,0.8367346938775511,196,1.0561224489795917,196,B1_13,4
badger,0.75,32,0.03125,32,B1_13,5
