sp_infector,R,nb,R_sim,nb_sim,tree,scenario
badger,2.4838709677419355,31,0.9354838709677419,31,S4_1,1
boar,0.2222222222222222,18,0.8333333333333334,18,S4_1,1
cattle,0.8023952095808383,167,1.0239520958083832,167,S4_1,1
badger,0.5882352941176471,17,2.3529411764705883,17,S4_2,1
boar,0.5862068965517241,29,1.1379310344827587,29,S4_2,1
cattle,1.162162162162162,111,0.7477477477477478,111,S4_2,1
badger,0.5172413793103449,29,2.0689655172413794,29,S4_3,1
boar,0.3333333333333333,18,1.1666666666666667,18,S4_3,1
cattle,1.352112676056338,71,0.49295774647887325,71,S4_3,1
badger,0.5581395348837209,43,0.9534883720930233,43,S4_4,1
boar,1.3111111111111111,45,1.0222222222222221,45,S4_4,1
cattle,1.0108108108108107,370,0.9783783783783784,370,S4_4,1
badger,0.5116279069767442,43,1.697674418604651,43,S4_5,1
boar,2.225806451612903,31,1.8387096774193548,31,S4_5,1
cattle,0.9403973509933775,302,0.8112582781456954,302,S4_5,1
badger,0.8333333333333334,18,0.5555555555555556,18,S4_6,1
boar,0.18181818181818182,22,1.2272727272727273,22,S4_6,1
cattle,1.2702702702702702,74,1.027027027027027,74,S4_6,1
badger,0.7204301075268817,93,0.6881720430107527,93,S4_7,1
boar,2,24,6.291666666666667,24,S4_7,1
cattle,1.0057142857142858,175,0.4342857142857143,175,S4_7,1
badger,0.5714285714285714,42,0.4523809523809524,42,S4_8,1
boar,2.3461538461538463,26,0.6923076923076923,26,S4_8,1
cattle,0.8971428571428571,175,1.1714285714285715,175,S4_8,1
badger,0.9019607843137255,51,1.7450980392156863,51,S4_9,1
boar,0.647887323943662,71,0.9436619718309859,71,S4_9,1
cattle,1.1576086956521738,184,0.8097826086956522,184,S4_9,1
badger,0.6764705882352942,34,1.0294117647058822,34,S4_10,1
boar,1.8823529411764706,34,1.0294117647058822,34,S4_10,1
cattle,0.9047619047619048,210,0.9809523809523809,210,S4_10,1
badger,0.6792452830188679,53,0.49056603773584906,53,S4_11,1
boar,2.0357142857142856,28,1.4285714285714286,28,S4_11,1
cattle,0.9539007092198581,282,1.0460992907801419,282,S4_11,1
badger,0.975609756097561,41,0.6585365853658537,41,S4_12,1
boar,2.566666666666667,30,1.3666666666666667,30,S4_12,1
cattle,0.7638190954773869,199,1.0050251256281406,199,S4_12,1
badger,0.7272727272727273,33,0.42424242424242425,33,S4_13,1
boar,1.962962962962963,27,0.9629629629629629,27,S4_13,1
cattle,0.9081632653061225,196,1.0918367346938775,196,S4_13,1
badger,0.5161290322580645,93,0.6881720430107527,93,S4_14,1
boar,1.7826086956521738,69,0.5362318840579711,69,S4_14,1
cattle,0.9565217391304348,230,1.2565217391304349,230,S4_14,1
badger,0.4807692307692308,52,0.4807692307692308,52,S4_15,1
boar,0.38181818181818183,55,1.5272727272727273,55,S4_15,1
cattle,1.262008733624454,229,0.9868995633187773,229,S4_15,1
badger,0.3548387096774194,62,0.3225806451612903,62,S4_16,1
