sp_infector,R,nb,R_sim,nb_sim,tree,scenario
badger,0.6458333333333334,48,0.125,48,A1_1,1
cattle,1.4484848484848485,165,0.23030303030303031,165,A1_1,1
boar,0,58,0.27586206896551724,58,A1_1,1
badger,0.6595744680851063,47,0.391304347826087,46,A1_1,2
cattle,1.393939393939394,165,0.2,165,A1_1,2
boar,0,50,0.52,50,A1_1,2
badger,0.3125,48,0.25,48,A1_1,3
cattle,1.1939393939393939,165,0.24848484848484848,165,A1_1,3
badger,1.875,16,NA,0,A1_1,4
cattle,1.2606060606060605,165,0.24848484848484848,165,A1_1,4
boar,0,58,0.46551724137931033,58,A1_1,4
badger,0.3191489361702128,47,0.391304347826087,46,A1_1,5
cattle,1.187878787878788,165,0.2909090909090909,165,A1_1,5
badger,1.875,16,NA,0,A1_1,6
cattle,1.2121212121212122,165,0.32727272727272727,165,A1_1,6
boar,0,50,0.14,50,A1_1,6
badger,0.611764705882353,85,0.6,85,A1_6,1
cattle,1.3232323232323233,198,1.0505050505050506,198,A1_6,1
boar,0,32,0.90625,32,A1_6,1
badger,0.6582278481012658,79,0.8205128205128205,78,A1_6,2
cattle,1.292929292929293,198,0.898989898989899,198,A1_6,2
boar,0,32,0.75,32,A1_6,2
badger,0.47058823529411764,85,1.011764705882353,85,A1_6,3
cattle,1.2222222222222223,198,0.9444444444444444,198,A1_6,3
badger,1.4838709677419355,31,NA,0,A1_6,4
cattle,1.0808080808080809,198,0.9494949494949495,198,A1_6,4
boar,0,32,0.875,32,A1_6,4
badger,0.5063291139240507,79,1.0128205128205128,78,A1_6,5
cattle,1.1919191919191918,198,0.9242424242424242,198,A1_6,5
badger,1.4838709677419355,31,NA,0,A1_6,6
cattle,1.0808080808080809,198,0.9696969696969697,198,A1_6,6
boar,0,32,0.78125,32,A1_6,6
badger,0.8809523809523809,42,0.047619047619047616,42,A1_7,1
cattle,1.5348837209302326,43,0.13953488372093023,43,A1_7,1
boar,0,19,0.15789473684210525,19,A1_7,1
badger,0.8947368421052632,38,0.02857142857142857,35,A1_7,2
cattle,1.4883720930232558,43,0.18604651162790697,43,A1_7,2
boar,0,18,0.7777777777777778,18,A1_7,2
badger,0.5952380952380952,42,0.047619047619047616,42,A1_7,3
cattle,1.372093023255814,43,0.2558139534883721,43,A1_7,3
badger,1.7142857142857142,14,NA,0,A1_7,4
