sp_infector,R,nb,R_sim,nb_sim,tree,scenario
badger,0.6458333333333334,48,0.08333333333333333,48,A1_1,1
cattle,1.4484848484848485,165,0.18181818181818182,165,A1_1,1
boar,0,58,0.1724137931034483,58,A1_1,1
badger,0.6458333333333334,48,0.2826086956521739,46,A1_1,2
cattle,1.4484848484848485,165,0.15757575757575756,165,A1_1,2
boar,0,58,0.2,50,A1_1,2
badger,0.6458333333333334,48,0.14583333333333334,48,A1_1,3
cattle,1.4484848484848485,165,0.18181818181818182,165,A1_1,3
boar,0,58,0,0,A1_1,3
badger,0.6458333333333334,48,0,0,A1_1,4
cattle,1.4484848484848485,165,0.19393939393939394,165,A1_1,4
boar,0,58,0.3103448275862069,58,A1_1,4
badger,0.6458333333333334,48,0.34782608695652173,46,A1_1,5
cattle,1.4484848484848485,165,0.23030303030303031,165,A1_1,5
boar,0,58,0,0,A1_1,5
badger,0.6458333333333334,48,0,0,A1_1,6
cattle,1.4484848484848485,165,0.2787878787878788,165,A1_1,6
boar,0,58,0.1,50,A1_1,6
badger,0.611764705882353,85,0.5058823529411764,85,A1_6,1
cattle,1.3232323232323233,198,0.9696969696969697,198,A1_6,1
boar,0,32,0.875,32,A1_6,1
badger,0.611764705882353,85,0.7307692307692307,78,A1_6,2
cattle,1.3232323232323233,198,0.7929292929292929,198,A1_6,2
boar,0,32,0.65625,32,A1_6,2
badger,0.611764705882353,85,0.9647058823529412,85,A1_6,3
cattle,1.3232323232323233,198,0.8888888888888888,198,A1_6,3
boar,0,32,0,0,A1_6,3
badger,0.611764705882353,85,0,0,A1_6,4
cattle,1.3232323232323233,198,0.8787878787878788,198,A1_6,4
boar,0,32,0.875,32,A1_6,4
badger,0.611764705882353,85,0.9102564102564102,78,A1_6,5
cattle,1.3232323232323233,198,0.8585858585858586,198,A1_6,5
boar,0,32,0,0,A1_6,5
badger,0.611764705882353,85,0,0,A1_6,6
cattle,1.3232323232323233,198,0.9292929292929293,198,A1_6,6
boar,0,32,0.75,32,A1_6,6
badger,0.8809523809523809,42,0.023809523809523808,42,A1_7,1
cattle,1.5348837209302326,43,0.06976744186046512,43,A1_7,1
boar,0,19,0.15789473684210525,19,A1_7,1
badger,0.8809523809523809,42,0.02857142857142857,35,A1_7,2
cattle,1.5348837209302326,43,0.11627906976744186,43,A1_7,2
boar,0,19,0.2777777777777778,18,A1_7,2
badger,0.8809523809523809,42,0.023809523809523808,42,A1_7,3
cattle,1.5348837209302326,43,0.18604651162790697,43,A1_7,3
boar,0,19,0,0,A1_7,3
badger,0.8809523809523809,42,0,0,A1_7,4
cattle,1.5348837209302326,43,0.16279069767441862,43,A1_7,4
boar,0,19,0.15789473684210525,19,A1_7,4
badger,0.8809523809523809,42,0.02857142857142857,35,A1_7,5
cattle,1.5348837209302326,43,0.16279069767441862,43,A1_7,5
boar,0,19,0,0,A1_7,5
badger,0.8809523809523809,42,0,0,A1_7,6
cattle,1.5348837209302326,43,0.16279069767441862,43,A1_7,6
boar,0,19,0.3888888888888889,18,A1_7,6
badger,0.8813559322033898,118,0.7457627118644068,118,A1_8,1
cattle,1.32,275,0.6872727272727273,275,A1_8,1
boar,0,75,0.9733333333333334,75,A1_8,1
badger,0.8813559322033898,118,0.8148148148148148,108,A1_8,2
cattle,1.32,275,0.7272727272727273,275,A1_8,2
boar,0,75,1.095890410958904,73,A1_8,2
badger,0.8813559322033898,118,0.8983050847457628,118,A1_8,3
cattle,1.32,275,0.88,275,A1_8,3
boar,0,75,0,0,A1_8,3
badger,0.8813559322033898,118,0,0,A1_8,4
cattle,1.32,275,0.8909090909090909,275,A1_8,4
boar,0,75,1,75,A1_8,4
badger,0.8813559322033898,118,0.7592592592592593,108,A1_8,5
cattle,1.32,275,0.8909090909090909,275,A1_8,5
boar,0,75,0,0,A1_8,5
badger,0.8813559322033898,118,0,0,A1_8,6
cattle,1.32,275,0.8981818181818182,275,A1_8,6
boar,0,75,0.821917808219178,73,A1_8,6
badger,0.7948717948717948,39,0.5641025641025641,39,A1_10,1
cattle,1.449612403100775,129,0.3488372093023256,129,A1_10,1
boar,0,51,0.5686274509803921,51,A1_10,1
badger,0.7948717948717948,39,0.4230769230769231,26,A1_10,2
cattle,1.449612403100775,129,0.3643410852713178,129,A1_10,2
boar,0,51,0.2,40,A1_10,2
badger,0.7948717948717948,39,0.28205128205128205,39,A1_10,3
cattle,1.449612403100775,129,0.23255813953488372,129,A1_10,3
boar,0,51,0,0,A1_10,3
badger,0.7948717948717948,39,0,0,A1_10,4
cattle,1.449612403100775,129,0.7829457364341085,129,A1_10,4
boar,0,51,0.5294117647058824,51,A1_10,4
badger,0.7948717948717948,39,0.3076923076923077,26,A1_10,5
cattle,1.449612403100775,129,0.35658914728682173,129,A1_10,5
boar,0,51,0,0,A1_10,5
badger,0.7948717948717948,39,0,0,A1_10,6
cattle,1.449612403100775,129,0.5968992248062015,129,A1_10,6
boar,0,51,0.5,40,A1_10,6
badger,1.1494252873563218,87,0.3333333333333333,87,A1_13,1
cattle,1.2065217391304348,92,0.2608695652173913,92,A1_13,1
boar,0,33,0.5454545454545454,33,A1_13,1
badger,1.1494252873563218,87,0.3684210526315789,76,A1_13,2
cattle,1.2065217391304348,92,0.29347826086956524,92,A1_13,2
boar,0,33,0.13793103448275862,29,A1_13,2
badger,1.1494252873563218,87,0.42528735632183906,87,A1_13,3
cattle,1.2065217391304348,92,0.5652173913043478,92,A1_13,3
boar,0,33,0,0,A1_13,3
badger,1.1494252873563218,87,0,0,A1_13,4
cattle,1.2065217391304348,92,0.9456521739130435,92,A1_13,4
boar,0,33,0.5454545454545454,33,A1_13,4
badger,1.1494252873563218,87,0.5657894736842105,76,A1_13,5
cattle,1.2065217391304348,92,0.31521739130434784,92,A1_13,5
boar,0,33,0,0,A1_13,5
badger,1.1494252873563218,87,0,0,A1_13,6
cattle,1.2065217391304348,92,0.9021739130434783,92,A1_13,6
boar,0,33,0.8275862068965517,29,A1_13,6
badger,0.8823529411764706,34,0.35294117647058826,34,A1_16,1
cattle,1.2919708029197081,137,0.40875912408759124,137,A1_16,1
boar,0,37,0.32432432432432434,37,A1_16,1
badger,0.8823529411764706,34,0.625,32,A1_16,2
cattle,1.2919708029197081,137,0.40145985401459855,137,A1_16,2
boar,0,37,0.32432432432432434,37,A1_16,2
badger,0.8823529411764706,34,0.5294117647058824,34,A1_16,3
cattle,1.2919708029197081,137,0.6204379562043796,137,A1_16,3
boar,0,37,0,0,A1_16,3
badger,0.8823529411764706,34,0,0,A1_16,4
cattle,1.2919708029197081,137,0.38686131386861317,137,A1_16,4
boar,0,37,0.35135135135135137,37,A1_16,4
badger,0.8823529411764706,34,0.5625,32,A1_16,5
cattle,1.2919708029197081,137,0.5474452554744526,137,A1_16,5
boar,0,37,0,0,A1_16,5
badger,0.8823529411764706,34,0,0,A1_16,6
cattle,1.2919708029197081,137,0.35036496350364965,137,A1_16,6
boar,0,37,0.4864864864864865,37,A1_16,6
badger,0.27586206896551724,29,1,29,A1_17,1
cattle,1.9777777777777779,45,0.7555555555555555,45,A1_17,1
boar,0,24,0.4583333333333333,24,A1_17,1
badger,0.27586206896551724,29,0.38461538461538464,26,A1_17,2
cattle,1.9777777777777779,45,0.9555555555555556,45,A1_17,2
boar,0,24,0.5833333333333334,24,A1_17,2
badger,0.27586206896551724,29,0.7586206896551724,29,A1_17,3
cattle,1.9777777777777779,45,0.8666666666666667,45,A1_17,3
boar,0,24,0,0,A1_17,3
badger,0.27586206896551724,29,0,0,A1_17,4
cattle,1.9777777777777779,45,0.8666666666666667,45,A1_17,4
boar,0,24,0.7916666666666666,24,A1_17,4
badger,0.27586206896551724,29,0.4230769230769231,26,A1_17,5
cattle,1.9777777777777779,45,1.0444444444444445,45,A1_17,5
boar,0,24,0,0,A1_17,5
badger,0.27586206896551724,29,0,0,A1_17,6
cattle,1.9777777777777779,45,0.6666666666666666,45,A1_17,6
boar,0,24,0.75,24,A1_17,6
badger,0.42105263157894735,19,0.5789473684210527,19,A1_20,1
cattle,1.188976377952756,254,0.7755905511811023,254,A1_20,1
boar,0,38,0.2631578947368421,38,A1_20,1
badger,0.42105263157894735,19,0.2631578947368421,19,A1_20,2
cattle,1.188976377952756,254,0.7519685039370079,254,A1_20,2
boar,0,38,0.15789473684210525,38,A1_20,2
badger,0.42105263157894735,19,0.7894736842105263,19,A1_20,3
cattle,1.188976377952756,254,0.7637795275590551,254,A1_20,3
boar,0,38,0,0,A1_20,3
badger,0.42105263157894735,19,0,0,A1_20,4
cattle,1.188976377952756,254,0.7716535433070866,254,A1_20,4
boar,0,38,0.2894736842105263,38,A1_20,4
badger,0.42105263157894735,19,1.1578947368421053,19,A1_20,5
cattle,1.188976377952756,254,0.7952755905511811,254,A1_20,5
boar,0,38,0,0,A1_20,5
badger,0.42105263157894735,19,0,0,A1_20,6
cattle,1.188976377952756,254,0.38188976377952755,254,A1_20,6
boar,0,38,2.4473684210526314,38,A1_20,6
badger,0.9473684210526315,19,0.3157894736842105,19,A1_21,1
cattle,1.1008064516129032,248,0.39919354838709675,248,A1_21,1
boar,0,25,0.52,25,A1_21,1
badger,0.9473684210526315,19,0.3888888888888889,18,A1_21,2
cattle,1.1008064516129032,248,0.39919354838709675,248,A1_21,2
boar,0,25,0.17391304347826086,23,A1_21,2
badger,0.9473684210526315,19,0.3157894736842105,19,A1_21,3
cattle,1.1008064516129032,248,0.5443548387096774,248,A1_21,3
boar,0,25,0,0,A1_21,3
badger,0.9473684210526315,19,0,0,A1_21,4
cattle,1.1008064516129032,248,0.7782258064516129,248,A1_21,4
boar,0,25,0.48,25,A1_21,4
