sp_infector,R,nb,R_sim,nb_sim,tree,scenario
badger,2.4838709677419355,31,0.45161290322580644,31,B1_1,1
boar,0.2222222222222222,18,0.5,18,B1_1,1
cattle,0.8023952095808383,167,0.38922155688622756,167,B1_1,1
badger,2.7142857142857144,28,1.0476190476190477,21,B1_1,2
boar,0.23529411764705882,17,1.2941176470588236,17,B1_1,2
cattle,0.7844311377245509,167,0.6766467065868264,167,B1_1,2
badger,2.3870967741935485,31,0.4838709677419355,31,B1_1,3
boar,1.3333333333333333,3,NA,0,B1_1,3
cattle,0.7305389221556886,167,0.5808383233532934,167,B1_1,3
badger,3.272727272727273,22,NA,0,B1_1,4
boar,0.2222222222222222,18,0.5555555555555556,18,B1_1,4
cattle,0.7784431137724551,167,0.8143712574850299,167,B1_1,4
badger,2.607142857142857,28,0.5238095238095238,21,B1_1,5
boar,1.3333333333333333,3,NA,0,B1_1,5
cattle,0.718562874251497,167,0.7065868263473054,167,B1_1,5
badger,3.272727272727273,22,NA,0,B1_1,6
boar,0.23529411764705882,17,1.2352941176470589,17,B1_1,6
cattle,0.7724550898203593,167,0.7125748502994012,167,B1_1,6
badger,0.5882352941176471,17,0.7647058823529411,17,B1_2,1
boar,0.5862068965517241,29,0.6206896551724138,29,B1_2,1
cattle,1.162162162162162,111,0.7297297297297297,111,B1_2,1
badger,0.625,16,0.6666666666666666,15,B1_2,2
boar,0.6153846153846154,26,1.3333333333333333,24,B1_2,2
cattle,1.135135135135135,111,0.6576576576576577,111,B1_2,2
badger,0.5294117647058824,17,0.6470588235294118,17,B1_2,3
boar,1.0909090909090908,11,NA,0,B1_2,3
cattle,1.054054054054054,111,0.5945945945945946,111,B1_2,3
badger,1.25,8,NA,0,B1_2,4
boar,0.5517241379310345,29,0.5172413793103449,29,B1_2,4
cattle,1.09009009009009,111,0.7837837837837838,111,B1_2,4
badger,0.5625,16,1.5333333333333334,15,B1_2,5
boar,1.0909090909090908,11,NA,0,B1_2,5
cattle,1.045045045045045,111,0.7207207207207207,111,B1_2,5
badger,1.25,8,NA,0,B1_2,6
boar,0.5769230769230769,26,0.4583333333333333,24,B1_2,6
cattle,1.072072072072072,111,0.7567567567567568,111,B1_2,6
badger,0.5172413793103449,29,0.5172413793103449,29,B1_3,1
boar,0.3333333333333333,18,0.8888888888888888,18,B1_3,1
cattle,1.352112676056338,71,0.6056338028169014,71,B1_3,1
badger,0.5555555555555556,27,0.2222222222222222,27,B1_3,2
boar,0.3333333333333333,18,0.7222222222222222,18,B1_3,2
cattle,1.323943661971831,71,0.6901408450704225,71,B1_3,2
badger,0.27586206896551724,29,0.7586206896551724,29,B1_3,3
boar,1,3,NA,0,B1_3,3
cattle,1.2816901408450705,71,0.8028169014084507,71,B1_3,3
badger,1.5555555555555556,9,NA,0,B1_3,4
boar,0.2777777777777778,18,1.0555555555555556,18,B1_3,4
cattle,1.0985915492957747,71,0.8028169014084507,71,B1_3,4
badger,0.2962962962962963,27,0.37037037037037035,27,B1_3,5
boar,1,3,NA,0,B1_3,5
cattle,1.2535211267605635,71,0.8873239436619719,71,B1_3,5
badger,1.5555555555555556,9,NA,0,B1_3,6
boar,0.2777777777777778,18,1.2777777777777777,18,B1_3,6
cattle,1.0985915492957747,71,0.7183098591549296,71,B1_3,6
badger,0.5581395348837209,43,0.813953488372093,43,B1_4,1
boar,1.3111111111111111,45,0.8222222222222222,45,B1_4,1
cattle,1.0108108108108107,370,0.754054054054054,370,B1_4,1
badger,0.6216216216216216,37,0.5675675675675675,37,B1_4,2
boar,1.3111111111111111,45,1.288888888888889,45,B1_4,2
cattle,0.9972972972972973,370,0.7648648648648648,370,B1_4,2
badger,0.5116279069767442,43,0.8837209302325582,43,B1_4,3
boar,3.0526315789473686,19,NA,0,B1_4,3
cattle,0.9486486486486486,370,0.9324324324324325,370,B1_4,3
badger,1.1538461538461537,13,NA,0,B1_4,4
boar,1.288888888888889,45,0.6,45,B1_4,4
cattle,0.9567567567567568,370,0.9405405405405406,370,B1_4,4
badger,0.5675675675675675,37,0.5675675675675675,37,B1_4,5
boar,3.0526315789473686,19,NA,0,B1_4,5
