sp_infector,R,nb,R_sim,nb_sim,tree,scenario
badger,2.4838709677419355,31,0.3548387096774194,31,B1_1,1
boar,0.2222222222222222,18,0.4444444444444444,18,B1_1,1
cattle,0.8023952095808383,167,0.25149700598802394,167,B1_1,1
badger,2.4838709677419355,31,0.9523809523809523,21,B1_1,2
boar,0.2222222222222222,18,1.2352941176470589,17,B1_1,2
cattle,0.8023952095808383,167,0.5748502994011976,167,B1_1,2
badger,2.4838709677419355,31,0.3548387096774194,31,B1_1,3
boar,0.2222222222222222,18,0,0,B1_1,3
cattle,0.8023952095808383,167,0.41916167664670656,167,B1_1,3
badger,2.4838709677419355,31,0,0,B1_1,4
boar,0.2222222222222222,18,0.3888888888888889,18,B1_1,4
cattle,0.8023952095808383,167,0.6826347305389222,167,B1_1,4
badger,2.4838709677419355,31,0.47619047619047616,21,B1_1,5
boar,0.2222222222222222,18,0,0,B1_1,5
cattle,0.8023952095808383,167,0.5868263473053892,167,B1_1,5
badger,2.4838709677419355,31,0,0,B1_1,6
boar,0.2222222222222222,18,1.0588235294117647,17,B1_1,6
cattle,0.8023952095808383,167,0.5868263473053892,167,B1_1,6
badger,0.5882352941176471,17,0.5294117647058824,17,B1_2,1
boar,0.5862068965517241,29,0.4827586206896552,29,B1_2,1
cattle,1.162162162162162,111,0.6576576576576577,111,B1_2,1
badger,0.5882352941176471,17,0.6,15,B1_2,2
boar,0.5862068965517241,29,1,24,B1_2,2
cattle,1.162162162162162,111,0.5855855855855856,111,B1_2,2
badger,0.5882352941176471,17,0.5882352941176471,17,B1_2,3
boar,0.5862068965517241,29,0,0,B1_2,3
cattle,1.162162162162162,111,0.5495495495495496,111,B1_2,3
badger,0.5882352941176471,17,0,0,B1_2,4
boar,0.5862068965517241,29,0.5172413793103449,29,B1_2,4
cattle,1.162162162162162,111,0.6486486486486487,111,B1_2,4
badger,0.5882352941176471,17,1.3333333333333333,15,B1_2,5
boar,0.5862068965517241,29,0,0,B1_2,5
cattle,1.162162162162162,111,0.6756756756756757,111,B1_2,5
badger,0.5882352941176471,17,0,0,B1_2,6
boar,0.5862068965517241,29,0.4583333333333333,24,B1_2,6
cattle,1.162162162162162,111,0.6576576576576577,111,B1_2,6
badger,0.5172413793103449,29,0.4827586206896552,29,B1_3,1
boar,0.3333333333333333,18,0.6666666666666666,18,B1_3,1
cattle,1.352112676056338,71,0.5211267605633803,71,B1_3,1
badger,0.5172413793103449,29,0.2222222222222222,27,B1_3,2
boar,0.3333333333333333,18,0.6111111111111112,18,B1_3,2
cattle,1.352112676056338,71,0.4225352112676056,71,B1_3,2
badger,0.5172413793103449,29,0.6896551724137931,29,B1_3,3
boar,0.3333333333333333,18,0,0,B1_3,3
cattle,1.352112676056338,71,0.7183098591549296,71,B1_3,3
badger,0.5172413793103449,29,0,0,B1_3,4
boar,0.3333333333333333,18,1,18,B1_3,4
cattle,1.352112676056338,71,0.6901408450704225,71,B1_3,4
badger,0.5172413793103449,29,0.3333333333333333,27,B1_3,5
boar,0.3333333333333333,18,0,0,B1_3,5
cattle,1.352112676056338,71,0.7464788732394366,71,B1_3,5
badger,0.5172413793103449,29,0,0,B1_3,6
boar,0.3333333333333333,18,1.0555555555555556,18,B1_3,6
cattle,1.352112676056338,71,0.5915492957746479,71,B1_3,6
badger,0.5581395348837209,43,0.6744186046511628,43,B1_4,1
boar,1.3111111111111111,45,0.7777777777777778,45,B1_4,1
cattle,1.0108108108108107,370,0.6405405405405405,370,B1_4,1
badger,0.5581395348837209,43,0.5405405405405406,37,B1_4,2
boar,1.3111111111111111,45,1.2222222222222223,45,B1_4,2
cattle,1.0108108108108107,370,0.6675675675675675,370,B1_4,2
badger,0.5581395348837209,43,0.813953488372093,43,B1_4,3
boar,1.3111111111111111,45,0,0,B1_4,3
cattle,1.0108108108108107,370,0.8783783783783784,370,B1_4,3
badger,0.5581395348837209,43,0,0,B1_4,4
boar,1.3111111111111111,45,0.6,45,B1_4,4
cattle,1.0108108108108107,370,0.9,370,B1_4,4
badger,0.5581395348837209,43,0.5135135135135135,37,B1_4,5
boar,1.3111111111111111,45,0,0,B1_4,5
cattle,1.0108108108108107,370,0.9351351351351351,370,B1_4,5
badger,0.5581395348837209,43,0,0,B1_4,6
boar,1.3111111111111111,45,1.2222222222222223,45,B1_4,6
cattle,1.0108108108108107,370,0.8081081081081081,370,B1_4,6
badger,0.5714285714285714,42,0.5,42,B1_8,1
boar,2.3461538461538463,26,0.2692307692307692,26,B1_8,1
cattle,0.8971428571428571,175,0.24,175,B1_8,1
badger,0.5714285714285714,42,0.325,40,B1_8,2
boar,2.3461538461538463,26,0.2692307692307692,26,B1_8,2
cattle,0.8971428571428571,175,0.24571428571428572,175,B1_8,2
badger,0.5714285714285714,42,0.5476190476190477,42,B1_8,3
boar,2.3461538461538463,26,0,0,B1_8,3
cattle,0.8971428571428571,175,0.26285714285714284,175,B1_8,3
badger,0.5714285714285714,42,0,0,B1_8,4
boar,2.3461538461538463,26,0.9230769230769231,26,B1_8,4
cattle,0.8971428571428571,175,0.4685714285714286,175,B1_8,4
badger,0.5714285714285714,42,0.3,40,B1_8,5
boar,2.3461538461538463,26,0,0,B1_8,5
cattle,0.8971428571428571,175,0.21714285714285714,175,B1_8,5
badger,0.5714285714285714,42,0,0,B1_8,6
boar,2.3461538461538463,26,0.6538461538461539,26,B1_8,6
cattle,0.8971428571428571,175,0.4342857142857143,175,B1_8,6
badger,0.6764705882352942,34,0.7647058823529411,34,B1_10,1
boar,1.8823529411764706,34,0.7352941176470589,34,B1_10,1
cattle,0.9047619047619048,210,0.6238095238095238,210,B1_10,1
badger,0.6764705882352942,34,0.7931034482758621,29,B1_10,2
boar,1.8823529411764706,34,0.7647058823529411,34,B1_10,2
cattle,0.9047619047619048,210,0.5380952380952381,210,B1_10,2
badger,0.6764705882352942,34,1.1470588235294117,34,B1_10,3
boar,1.8823529411764706,34,0,0,B1_10,3
cattle,0.9047619047619048,210,0.6857142857142857,210,B1_10,3
badger,0.6764705882352942,34,0,0,B1_10,4
boar,1.8823529411764706,34,0.6764705882352942,34,B1_10,4
cattle,0.9047619047619048,210,0.7095238095238096,210,B1_10,4
badger,0.6764705882352942,34,0.4827586206896552,29,B1_10,5
boar,1.8823529411764706,34,0,0,B1_10,5
cattle,0.9047619047619048,210,0.6428571428571429,210,B1_10,5
badger,0.6764705882352942,34,0,0,B1_10,6
boar,1.8823529411764706,34,0.8823529411764706,34,B1_10,6
cattle,0.9047619047619048,210,0.6476190476190476,210,B1_10,6
badger,0.6792452830188679,53,0.05660377358490566,53,B1_11,1
boar,2.0357142857142856,28,0,28,B1_11,1
cattle,0.9539007092198581,282,0.10283687943262411,282,B1_11,1
badger,0.6792452830188679,53,0.14285714285714285,42,B1_11,2
boar,2.0357142857142856,28,0.07407407407407407,27,B1_11,2
cattle,0.9539007092198581,282,0.1524822695035461,282,B1_11,2
badger,0.6792452830188679,53,0.1320754716981132,53,B1_11,3
boar,2.0357142857142856,28,0,0,B1_11,3
cattle,0.9539007092198581,282,0.0851063829787234,282,B1_11,3
badger,0.6792452830188679,53,0,0,B1_11,4
boar,2.0357142857142856,28,1.5,28,B1_11,4
cattle,0.9539007092198581,282,0.8652482269503546,282,B1_11,4
badger,0.6792452830188679,53,0.19047619047619047,42,B1_11,5
boar,2.0357142857142856,28,0,0,B1_11,5
cattle,0.9539007092198581,282,0.1595744680851064,282,B1_11,5
badger,0.6792452830188679,53,0,0,B1_11,6
boar,2.0357142857142856,28,1.0740740740740742,27,B1_11,6
cattle,0.9539007092198581,282,0.8829787234042553,282,B1_11,6
badger,0.975609756097561,41,0.0975609756097561,41,B1_12,1
boar,2.566666666666667,30,0.26666666666666666,30,B1_12,1
cattle,0.7638190954773869,199,0.09547738693467336,199,B1_12,1
badger,0.975609756097561,41,0.07692307692307693,39,B1_12,2
boar,2.566666666666667,30,0.4,30,B1_12,2
cattle,0.7638190954773869,199,0.06030150753768844,199,B1_12,2
