sp_infector,R,nb,R_sim,nb_sim,tree,scenario
badger,2.4838709677419355,31,0.8387096774193549,31,S4_1,1
boar,0.2222222222222222,18,0.9444444444444444,18,S4_1,1
cattle,0.8023952095808383,167,0.8622754491017964,167,S4_1,1
badger,0.5882352941176471,17,0.7647058823529411,17,S4_2,1
boar,0.5862068965517241,29,0.8275862068965517,29,S4_2,1
cattle,1.162162162162162,111,0.954954954954955,111,S4_2,1
badger,0.5172413793103449,29,0.6206896551724138,29,S4_3,1
boar,0.3333333333333333,18,1.1666666666666667,18,S4_3,1
cattle,1.352112676056338,71,0.9436619718309859,71,S4_3,1
badger,0.8333333333333334,18,0.6111111111111112,18,S4_6,1
boar,0.18181818181818182,22,1.0909090909090908,22,S4_6,1
cattle,1.2702702702702702,74,0.9459459459459459,74,S4_6,1
badger,0.5714285714285714,42,0.9761904761904762,42,S4_8,1
boar,2.3461538461538463,26,0.5384615384615384,26,S4_8,1
cattle,0.8971428571428571,175,0.72,175,S4_8,1
badger,0.9019607843137255,51,0.8235294117647058,51,S4_9,1
boar,0.647887323943662,71,0.9154929577464789,71,S4_9,1
cattle,1.1576086956521738,184,0.8804347826086957,184,S4_9,1
badger,0.6792452830188679,53,0.6792452830188679,53,S4_11,1
boar,2.0357142857142856,28,0.5357142857142857,28,S4_11,1
cattle,0.9539007092198581,282,1.0425531914893618,282,S4_11,1
badger,0.975609756097561,41,0.8292682926829268,41,S4_12,1
boar,2.566666666666667,30,0.9,30,S4_12,1
cattle,0.7638190954773869,199,0.6582914572864321,199,S4_12,1
badger,0.7272727272727273,33,0.7878787878787878,33,S4_13,1
boar,1.962962962962963,27,0.6296296296296297,27,S4_13,1
cattle,0.9081632653061225,196,1,196,S4_13,1
badger,0.5161290322580645,93,0.6774193548387096,93,S4_14,1
boar,1.7826086956521738,69,0.7681159420289855,69,S4_14,1
cattle,0.9565217391304348,230,0.9739130434782609,230,S4_14,1
badger,0.4807692307692308,52,0.6153846153846154,52,S4_15,1
boar,0.38181818181818183,55,0.8909090909090909,55,S4_15,1
cattle,1.262008733624454,229,0.8951965065502183,229,S4_15,1
badger,1.1153846153846154,26,0.46153846153846156,26,S4_17,1
boar,0.3235294117647059,34,0.9117647058823529,34,S4_17,1
cattle,1.1310344827586207,145,0.9655172413793104,145,S4_17,1
badger,0.2830188679245283,53,0.41509433962264153,53,S4_18,1
boar,1.3888888888888888,18,0.2777777777777778,18,S4_18,1
cattle,1.5084745762711864,59,0.3728813559322034,59,S4_18,1
badger,0.36065573770491804,61,0.8032786885245902,61,S4_20,1
boar,1.4838709677419355,31,0.45161290322580644,31,S4_20,1
cattle,1.1825396825396826,126,0.7777777777777778,126,S4_20,1
badger,0.6666666666666666,30,0.6333333333333333,30,S4_21,1
boar,0.6111111111111112,18,0.5,18,S4_21,1
cattle,1.1355932203389831,118,0.8813559322033898,118,S4_21,1
badger,1.3846153846153846,26,1.3846153846153846,26,S4_22,1
boar,0.47619047619047616,63,0.8253968253968254,63,S4_22,1
cattle,1.1067961165048543,206,0.9077669902912622,206,S4_22,1
badger,1,30,0.9,30,S4_24,1
boar,1.4444444444444444,36,0.8333333333333334,36,S4_24,1
cattle,0.9267241379310345,232,0.8405172413793104,232,S4_24,1
badger,0.45,40,0.8,40,S4_25,1
boar,1.872340425531915,47,0.8297872340425532,47,S4_25,1
cattle,0.9264705882352942,272,0.8676470588235294,272,S4_25,1
badger,0.2631578947368421,38,0.6052631578947368,38,S4_26,1
boar,0.8571428571428571,21,1.2380952380952381,21,S4_26,1
cattle,1.2127659574468086,141,0.8652482269503546,141,S4_26,1
badger,0.4222222222222222,45,0.8,45,S4_27,1
boar,0.7857142857142857,28,1.1785714285714286,28,S4_27,1
cattle,1.191358024691358,162,0.9074074074074074,162,S4_27,1
badger,0.4126984126984127,63,0.9047619047619048,63,S4_29,1
boar,0.5882352941176471,34,0.6176470588235294,34,S4_29,1
cattle,1.337837837837838,148,1.0202702702702702,148,S4_29,1
