sp_infector,R,nb,R_sim,nb_sim,tree,scenario
badger,2.4838709677419355,31,0.8064516129032258,31,S4_1,1
boar,0.2222222222222222,18,0.8888888888888888,18,S4_1,1
cattle,0.8023952095808383,167,0.7784431137724551,167,S4_1,1
badger,0.5882352941176471,17,0.7058823529411765,17,S4_2,1
boar,0.5862068965517241,29,0.7586206896551724,29,S4_2,1
cattle,1.162162162162162,111,0.918918918918919,111,S4_2,1
badger,0.5172413793103449,29,0.4482758620689655,29,S4_3,1
boar,0.3333333333333333,18,0.7777777777777778,18,S4_3,1
cattle,1.352112676056338,71,0.8450704225352113,71,S4_3,1
badger,0.8333333333333334,18,0.3888888888888889,18,S4_6,1
boar,0.18181818181818182,22,1.0909090909090908,22,S4_6,1
cattle,1.2702702702702702,74,0.7972972972972973,74,S4_6,1
badger,0.5714285714285714,42,0.7619047619047619,42,S4_8,1
boar,2.3461538461538463,26,0.46153846153846156,26,S4_8,1
cattle,0.8971428571428571,175,0.5714285714285714,175,S4_8,1
badger,0.9019607843137255,51,0.6666666666666666,51,S4_9,1
boar,0.647887323943662,71,0.7746478873239436,71,S4_9,1
cattle,1.1576086956521738,184,0.75,184,S4_9,1
badger,0.6792452830188679,53,0.5849056603773585,53,S4_11,1
boar,2.0357142857142856,28,0.5357142857142857,28,S4_11,1
cattle,0.9539007092198581,282,1,282,S4_11,1
badger,0.975609756097561,41,0.6585365853658537,41,S4_12,1
boar,2.566666666666667,30,0.7,30,S4_12,1
cattle,0.7638190954773869,199,0.4371859296482412,199,S4_12,1
badger,0.7272727272727273,33,0.696969696969697,33,S4_13,1
boar,1.962962962962963,27,0.48148148148148145,27,S4_13,1
cattle,0.9081632653061225,196,0.8622448979591837,196,S4_13,1
badger,0.5161290322580645,93,0.6129032258064516,93,S4_14,1
boar,1.7826086956521738,69,0.6521739130434783,69,S4_14,1
cattle,0.9565217391304348,230,0.7869565217391304,230,S4_14,1
badger,0.4807692307692308,52,0.5769230769230769,52,S4_15,1
boar,0.38181818181818183,55,0.8363636363636363,55,S4_15,1
cattle,1.262008733624454,229,0.8209606986899564,229,S4_15,1
badger,1.1153846153846154,26,0.4230769230769231,26,S4_17,1
boar,0.3235294117647059,34,0.8235294117647058,34,S4_17,1
cattle,1.1310344827586207,145,0.8758620689655172,145,S4_17,1
badger,0.2830188679245283,53,0.1509433962264151,53,S4_18,1
boar,1.3888888888888888,18,0.1111111111111111,18,S4_18,1
cattle,1.5084745762711864,59,0.23728813559322035,59,S4_18,1
badger,0.36065573770491804,61,0.5573770491803278,61,S4_20,1
boar,1.4838709677419355,31,0.22580645161290322,31,S4_20,1
cattle,1.1825396825396826,126,0.626984126984127,126,S4_20,1
badger,0.6666666666666666,30,0.43333333333333335,30,S4_21,1
boar,0.6111111111111112,18,0.5,18,S4_21,1
cattle,1.1355932203389831,118,0.8050847457627118,118,S4_21,1
badger,1.3846153846153846,26,1.2307692307692308,26,S4_22,1
boar,0.47619047619047616,63,0.746031746031746,63,S4_22,1
cattle,1.1067961165048543,206,0.7621359223300971,206,S4_22,1
badger,1,30,0.8,30,S4_24,1
boar,1.4444444444444444,36,0.75,36,S4_24,1
cattle,0.9267241379310345,232,0.6508620689655172,232,S4_24,1
badger,0.45,40,0.725,40,S4_25,1
boar,1.872340425531915,47,0.6170212765957447,47,S4_25,1
cattle,0.9264705882352942,272,0.7169117647058824,272,S4_25,1
badger,0.2631578947368421,38,0.5263157894736842,38,S4_26,1
boar,0.8571428571428571,21,1.0952380952380953,21,S4_26,1
cattle,1.2127659574468086,141,0.7588652482269503,141,S4_26,1
badger,0.4222222222222222,45,0.7555555555555555,45,S4_27,1
boar,0.7857142857142857,28,1.1428571428571428,28,S4_27,1
cattle,1.191358024691358,162,0.8518518518518519,162,S4_27,1
badger,0.4126984126984127,63,0.7619047619047619,63,S4_29,1
boar,0.5882352941176471,34,0.5,34,S4_29,1
cattle,1.337837837837838,148,0.9054054054054054,148,S4_29,1
