sim,scenario,index
B1_1,1,1
B1_1,2,1
B1_1,3,1
B1_1,4,1
B1_1,5,1
B1_1,6,1
B1_2,1,1
B1_2,2,1
B1_2,3,1
B1_2,4,1
B1_2,5,1
B1_2,6,1
B1_3,1,1
B1_3,2,1
B1_3,3,1
B1_3,4,1
B1_3,5,1
B1_3,6,1
B1_4,1,1
B1_4,2,1
B1_4,3,1
B1_4,4,1
B1_4,5,1
B1_4,6,1
B1_5,1,1
B1_5,2,1
B1_5,3,1
B1_5,4,1
B1_5,5,1
B1_5,6,1
B1_6,1,0
B1_6,2,1
B1_6,3,0
B1_6,4,1
B1_6,5,1
B1_6,6,1
B1_7,1,1
B1_7,2,1
B1_7,3,1
B1_7,4,1
B1_7,5,1
B1_7,6,1
B1_8,1,1
B1_8,2,0
B1_8,3,1
B1_8,4,1
B1_8,5,0
B1_8,6,1
B1_9,1,0
B1_9,2,1
B1_9,3,0
B1_9,4,1
B1_9,5,1
B1_9,6,1
B1_10,1,0
B1_10,2,1
B1_10,3,0
B1_10,4,1
B1_10,5,1
B1_10,6,1
B1_11,1,1
B1_11,2,1
B1_11,3,1
B1_11,4,1
B1_11,5,1
B1_11,6,1
B1_12,1,1
B1_12,2,1
B1_12,3,1
B1_12,4,1
B1_12,5,1
B1_12,6,1
B1_13,1,1
B1_13,2,1
B1_13,3,1
B1_13,4,1
B1_13,5,1
B1_13,6,1
B1_14,1,1
B1_14,2,1
B1_14,3,1
B1_14,4,1
B1_14,5,1
B1_14,6,1
B1_15,1,0
B1_15,2,1
B1_15,3,0
B1_15,4,1
B1_15,5,1
B1_15,6,1
B1_16,1,0
B1_16,2,1
B1_16,3,0
B1_16,4,1
B1_16,5,1
B1_16,6,1
B1_17,1,0
B1_17,2,1
B1_17,3,0
B1_17,4,1
B1_17,5,1
B1_17,6,1
B1_18,1,0
B1_18,2,1
B1_18,3,0
B1_18,4,1
B1_18,5,1
B1_18,6,1
B1_19,1,0
B1_19,2,1
B1_19,3,0
B1_19,4,1
B1_19,5,1
B1_19,6,1
B1_20,1,1
B1_20,2,1
B1_20,3,1
B1_20,4,1
B1_20,5,1
B1_20,6,1
B1_21,1,1
B1_21,2,1
B1_21,3,1
B1_21,4,1
B1_21,5,1
B1_21,6,1
B1_22,1,1
B1_22,2,1
B1_22,3,1
B1_22,4,1
B1_22,5,1
B1_22,6,1
B1_23,1,1
B1_23,2,1
B1_23,3,1
B1_23,4,1
B1_23,5,1
B1_23,6,1
B1_24,1,1
B1_24,2,1
B1_24,3,1
B1_24,4,1
B1_24,5,1
B1_24,6,1
B1_25,1,1
B1_25,2,1
B1_25,3,1
B1_25,4,1
B1_25,5,1
B1_25,6,1
B1_26,1,0
B1_26,2,1
B1_26,3,0
B1_26,4,1
B1_26,5,1
B1_26,6,1
B1_27,1,1
B1_27,2,1
B1_27,3,1
B1_27,4,1
B1_27,5,1
B1_27,6,1
B1_28,1,1
B1_28,2,1
B1_28,3,1
B1_28,4,1
B1_28,5,1
B1_28,6,1
B1_29,1,1
B1_29,2,1
B1_29,3,1
B1_29,4,1
B1_29,5,1
B1_29,6,1
B1_30,1,1
B1_30,2,1
B1_30,3,1
B1_30,4,1
B1_30,5,1
B1_30,6,1
