nb_ref,nb_sim,tree,scenario
216,216,B1_1,1
212,205,B1_1,2
201,198,B1_1,3
207,185,B1_1,4
198,188,B1_1,5
206,184,B1_1,6
157,157,B1_2,1
153,150,B1_2,2
139,128,B1_2,3
148,140,B1_2,4
138,126,B1_2,5
145,135,B1_2,6
118,118,B1_3,1
116,116,B1_3,2
103,100,B1_3,3
98,89,B1_3,4
101,98,B1_3,5
98,89,B1_3,6
458,458,B1_4,1
452,452,B1_4,2
432,413,B1_4,3
428,415,B1_4,4
426,407,B1_4,5
428,415,B1_4,6
376,376,B1_5,1
375,375,B1_5,2
369,345,B1_5,3
346,333,B1_5,4
368,344,B1_5,5
346,333,B1_5,6
114,114,B1_6,1
113,113,B1_6,2
96,92,B1_6,3
102,96,B1_6,4
95,91,B1_6,5
102,96,B1_6,6
292,292,B1_7,1
288,287,B1_7,2
279,268,B1_7,3
209,199,B1_7,4
275,263,B1_7,5
209,199,B1_7,6
243,243,B1_8,1
242,241,B1_8,2
233,217,B1_8,3
212,201,B1_8,4
232,215,B1_8,5
212,201,B1_8,6
306,306,B1_9,1
297,293,B1_9,2
256,235,B1_9,3
284,255,B1_9,4
250,225,B1_9,5
281,252,B1_9,6
278,278,B1_10,1
276,273,B1_10,2
264,244,B1_10,3
253,244,B1_10,4
262,239,B1_10,5
253,244,B1_10,6
363,363,B1_11,1
358,351,B1_11,2
352,335,B1_11,3
318,310,B1_11,4
347,324,B1_11,5
318,309,B1_11,6
270,270,B1_12,1
268,268,B1_12,2
263,240,B1_12,3
246,229,B1_12,4
261,238,B1_12,5
246,229,B1_12,6
256,256,B1_13,1
255,255,B1_13,2
251,229,B1_13,3
240,223,B1_13,4
250,228,B1_13,5
240,223,B1_13,6
392,392,B1_14,1
391,390,B1_14,2
359,323,B1_14,3
318,299,B1_14,4
358,321,B1_14,5
318,299,B1_14,6
336,336,B1_15,1
334,334,B1_15,2
288,281,B1_15,3
301,284,B1_15,4
286,279,B1_15,5
301,284,B1_15,6
354,354,B1_16,1
344,344,B1_16,2
335,323,B1_16,3
303,292,B1_16,4
325,313,B1_16,5
303,292,B1_16,6
205,205,B1_17,1
204,204,B1_17,2
178,171,B1_17,3
192,179,B1_17,4
177,170,B1_17,5
192,179,B1_17,6
130,130,B1_18,1
124,124,B1_18,2
123,112,B1_18,3
87,77,B1_18,4
117,107,B1_18,5
87,77,B1_18,6
336,336,B1_19,1
336,332,B1_19,2
300,288,B1_19,3
309,288,B1_19,4
300,284,B1_19,5
309,288,B1_19,6
218,218,B1_20,1
214,213,B1_20,2
206,187,B1_20,3
172,157,B1_20,4
202,182,B1_20,5
172,157,B1_20,6
166,166,B1_21,1
163,161,B1_21,2
152,148,B1_21,3
149,136,B1_21,4
149,143,B1_21,5
149,136,B1_21,6
295,295,B1_22,1
292,292,B1_22,2
252,232,B1_22,3
285,269,B1_22,4
250,230,B1_22,5
284,268,B1_22,6
273,273,B1_23,1
273,272,B1_23,2
262,244,B1_23,3
264,246,B1_23,4
262,243,B1_23,5
264,246,B1_23,6
298,298,B1_24,1
297,297,B1_24,2
279,262,B1_24,3
280,268,B1_24,4
278,261,B1_24,5
280,268,B1_24,6
359,359,B1_25,1
357,357,B1_25,2
343,312,B1_25,3
326,319,B1_25,4
342,311,B1_25,5
325,318,B1_25,6
200,200,B1_26,1
198,197,B1_26,2
189,179,B1_26,3
168,162,B1_26,4
187,176,B1_26,5
168,162,B1_26,6
235,235,B1_27,1
225,225,B1_27,2
220,207,B1_27,3
200,190,B1_27,4
210,197,B1_27,5
200,190,B1_27,6
251,251,B1_28,1
249,249,B1_28,2
221,204,B1_28,3
228,217,B1_28,4
219,202,B1_28,5
228,217,B1_28,6
245,245,B1_29,1
239,239,B1_29,2
222,211,B1_29,3
201,182,B1_29,4
216,205,B1_29,5
201,182,B1_29,6
327,327,B1_30,1
324,323,B1_30,2
287,266,B1_30,3
307,295,B1_30,4
284,262,B1_30,5
307,295,B1_30,6
