nb_ref,nb_sim,tree,scenario
216,446,B1_1,1
212,356,B1_1,2
201,406,B1_1,3
207,277,B1_1,4
198,310,B1_1,5
206,278,B1_1,6
157,200,B1_2,1
153,186,B1_2,2
139,154,B1_2,3
148,171,B1_2,4
138,140,B1_2,5
145,158,B1_2,6
118,180,B1_3,1
116,180,B1_3,2
103,129,B1_3,3
98,109,B1_3,4
101,131,B1_3,5
98,112,B1_3,6
458,580,B1_4,1
452,567,B1_4,2
432,448,B1_4,3
428,450,B1_4,4
426,438,B1_4,5
428,453,B1_4,6
243,605,B1_8,1
242,601,B1_8,2
233,531,B1_8,3
212,366,B1_8,4
232,525,B1_8,5
212,367,B1_8,6
278,390,B1_10,1
276,402,B1_10,2
264,318,B1_10,3
253,312,B1_10,4
262,328,B1_10,5
253,313,B1_10,6
363,1219,B1_11,1
358,1106,B1_11,2
352,1063,B1_11,3
318,338,B1_11,4
347,1001,B1_11,5
318,338,B1_11,6
270,1211,B1_12,1
268,1222,B1_12,2
263,916,B1_12,3
246,945,B1_12,4
261,920,B1_12,5
246,947,B1_12,6
256,401,B1_13,1
255,380,B1_13,2
251,343,B1_13,3
240,252,B1_13,4
250,346,B1_13,5
240,247,B1_13,6
392,1028,B1_14,1
391,1031,B1_14,2
359,778,B1_14,3
318,714,B1_14,4
358,783,B1_14,5
318,710,B1_14,6
205,326,B1_17,1
204,319,B1_17,2
178,225,B1_17,3
192,243,B1_17,4
177,216,B1_17,5
192,250,B1_17,6
130,266,B1_18,1
124,271,B1_18,2
123,218,B1_18,3
87,129,B1_18,4
117,216,B1_18,5
87,127,B1_18,6
218,868,B1_20,1
214,804,B1_20,2
206,571,B1_20,3
172,452,B1_20,4
202,560,B1_20,5
172,455,B1_20,6
166,228,B1_21,1
163,219,B1_21,2
152,193,B1_21,3
149,177,B1_21,4
149,180,B1_21,5
149,174,B1_21,6
295,398,B1_22,1
292,379,B1_22,2
252,252,B1_22,3
285,345,B1_22,4
250,249,B1_22,5
284,332,B1_22,6
273,393,B1_23,1
273,388,B1_23,2
262,319,B1_23,3
264,322,B1_23,4
262,311,B1_23,5
264,318,B1_23,6
200,358,B1_26,1
198,372,B1_26,2
189,307,B1_26,3
168,201,B1_26,4
187,322,B1_26,5
168,196,B1_26,6
235,282,B1_27,1
225,268,B1_27,2
220,230,B1_27,3
200,239,B1_27,4
210,223,B1_27,5
200,241,B1_27,6
251,390,B1_28,1
249,393,B1_28,2
221,278,B1_28,3
228,349,B1_28,4
219,278,B1_28,5
228,342,B1_28,6
245,298,B1_29,1
239,282,B1_29,2
222,247,B1_29,3
201,208,B1_29,4
216,242,B1_29,5
201,207,B1_29,6
327,405,B1_30,1
324,395,B1_30,2
287,285,B1_30,3
307,346,B1_30,4
284,283,B1_30,5
307,339,B1_30,6
