sp_infector,infector,n,sim,scenario,nub_trans
NA,NA,NA,B1_1,ref,215
NA,NA,NA,B1_1,1,216
NA,NA,NA,B1_1,2,204
NA,NA,NA,B1_1,3,198
NA,NA,NA,B1_1,4,184
NA,NA,NA,B1_1,5,187
NA,NA,NA,B1_1,6,183
NA,NA,NA,B1_2,ref,156
NA,NA,NA,B1_2,1,156
NA,NA,NA,B1_2,2,149
NA,NA,NA,B1_2,3,127
NA,NA,NA,B1_2,4,139
NA,NA,NA,B1_2,5,125
NA,NA,NA,B1_2,6,134
NA,NA,NA,B1_3,ref,117
NA,NA,NA,B1_3,1,115
NA,NA,NA,B1_3,2,113
NA,NA,NA,B1_3,3,97
NA,NA,NA,B1_3,4,86
NA,NA,NA,B1_3,5,95
NA,NA,NA,B1_3,6,86
NA,NA,NA,B1_4,ref,457
NA,NA,NA,B1_4,1,442
NA,NA,NA,B1_4,2,429
NA,NA,NA,B1_4,3,394
NA,NA,NA,B1_4,4,394
NA,NA,NA,B1_4,5,394
NA,NA,NA,B1_4,6,394
NA,NA,NA,B1_5,ref,375
NA,NA,NA,B1_5,1,375
NA,NA,NA,B1_5,2,373
NA,NA,NA,B1_5,3,344
NA,NA,NA,B1_5,4,332
NA,NA,NA,B1_5,5,342
NA,NA,NA,B1_5,6,332
NA,NA,NA,B1_6,ref,113
NA,NA,NA,B1_6,1,113
NA,NA,NA,B1_6,2,112
NA,NA,NA,B1_6,3,91
NA,NA,NA,B1_6,4,95
NA,NA,NA,B1_6,5,90
NA,NA,NA,B1_6,6,95
NA,NA,NA,B1_7,ref,291
badger,45_d500_155_880_1,3,B1_7,1,291
badger,45_d500_167_2,3,B1_7,1,291
badger,45_d500_169_2,3,B1_7,1,291
badger,45_d500_63_5,3,B1_7,1,291
boar,64281_0,3,B1_7,1,291
boar,64393_2,3,B1_7,1,291
cattle,64551007_5,3,B1_7,1,291
badger,45_d500_157_852_5,4,B1_7,1,291
badger,45_d500_169_4,4,B1_7,1,291
badger,45_d500_63_8,4,B1_7,1,291
boar,64359_10,4,B1_7,1,291
badger,45_d500_59_0,5,B1_7,1,291
cattle,64359170_0,5,B1_7,1,291
cattle,64459003_0,5,B1_7,1,291
cattle,64551007_2,6,B1_7,1,291
cattle,64551007_6,6,B1_7,1,291
cattle,64551007_4,7,B1_7,1,291
cattle,64551007_7,7,B1_7,1,291
cattle,64359050_0,8,B1_7,1,291
badger,45_d500_157_852_1,9,B1_7,1,291
cattle,64359031_0,9,B1_7,1,291
cattle,64551007_0,9,B1_7,1,291
cattle,64551007_1,10,B1_7,1,291
boar,64359_5,11,B1_7,1,291
cattle,64359163_1,11,B1_7,1,291
cattle,64551007_3,12,B1_7,1,291
cattle,64508019_0,18,B1_7,1,291
boar,64359_3,24,B1_7,1,291
boar,64359_2,38,B1_7,1,291
cattle,64420015_1,2,B1_7,2,286
cattle,64420044_0,2,B1_7,2,286
badger,45_d500_155_880_1,3,B1_7,2,286
badger,45_d500_167_2,3,B1_7,2,286
badger,45_d500_63_6,3,B1_7,2,286
badger,45_d500_169_4,4,B1_7,2,286
boar,64281_0,4,B1_7,2,286
cattle,64459003_0,4,B1_7,2,286
badger,45_d500_176_1,5,B1_7,2,286
boar,64359_10,5,B1_7,2,286
cattle,64359031_0,5,B1_7,2,286
cattle,64551007_6,5,B1_7,2,286
cattle,64551007_1,6,B1_7,2,286
cattle,64551007_2,6,B1_7,2,286
badger,45_d500_59_0,7,B1_7,2,286
cattle,64551007_5,7,B1_7,2,286
cattle,64551007_7,7,B1_7,2,286
cattle,64551007_4,8,B1_7,2,286
cattle,64359163_1,9,B1_7,2,286
cattle,64551007_0,9,B1_7,2,286
cattle,64551007_3,9,B1_7,2,286
boar,64393_2,10,B1_7,2,286
badger,45_d500_157_852_1,11,B1_7,2,286
boar,64359_5,11,B1_7,2,286
cattle,64508019_0,11,B1_7,2,286
cattle,64359050_0,13,B1_7,2,286
boar,64359_3,28,B1_7,2,286
boar,64359_2,37,B1_7,2,286
badger,45_d500_155_880_1,3,B1_7,3,267
badger,45_d500_167_2,3,B1_7,3,267
badger,45_d500_169_2,3,B1_7,3,267
badger,45_d500_63_0,3,B1_7,3,267
badger,45_d500_63_5,3,B1_7,3,267
badger,45_d500_93_0,3,B1_7,3,267
cattle,64359170_0,3,B1_7,3,267
badger,45_d500_169_4,4,B1_7,3,267
badger,45_d500_177_0,4,B1_7,3,267
cattle,64359024_9,4,B1_7,3,267
cattle,64359209_1,4,B1_7,3,267
cattle,64359209_3,4,B1_7,3,267
cattle,64459003_0,4,B1_7,3,267
cattle,64359163_1,6,B1_7,3,267
cattle,64551007_5,6,B1_7,3,267
cattle,64551007_6,7,B1_7,3,267
cattle,64359031_0,8,B1_7,3,267
cattle,64551007_3,8,B1_7,3,267
cattle,64551007_1,9,B1_7,3,267
cattle,64551007_2,9,B1_7,3,267
badger,45_d500_157_852_1,13,B1_7,3,267
badger,45_d500_59_0,13,B1_7,3,267
cattle,64551007_4,17,B1_7,3,267
cattle,64551007_0,19,B1_7,3,267
cattle,64359050_0,27,B1_7,3,267
cattle,64508019_0,29,B1_7,3,267
cattle,64420044_0,2,B1_7,4,198
boar,64359_10,3,B1_7,4,198
cattle,64551007_2,3,B1_7,4,198
boar,64393_2,4,B1_7,4,198
cattle,64459003_0,4,B1_7,4,198
cattle,64551007_0,4,B1_7,4,198
cattle,64551007_7,4,B1_7,4,198
cattle,64551007_3,5,B1_7,4,198
cattle,64508019_0,6,B1_7,4,198
cattle,64551007_4,6,B1_7,4,198
cattle,64359050_0,7,B1_7,4,198
cattle,64359163_1,7,B1_7,4,198
cattle,64551007_1,7,B1_7,4,198
cattle,64551007_6,7,B1_7,4,198
cattle,64551007_5,8,B1_7,4,198
boar,64359_5,9,B1_7,4,198
cattle,64359031_0,11,B1_7,4,198
boar,64359_3,12,B1_7,4,198
boar,64359_2,61,B1_7,4,198
badger,45_d500_155_880_1,3,B1_7,5,262
badger,45_d500_157_852_4,3,B1_7,5,262
badger,45_d500_167_2,3,B1_7,5,262
badger,45_d500_176_1,3,B1_7,5,262
badger,45_d500_63_5,3,B1_7,5,262
badger,45_d500_63_6,3,B1_7,5,262
cattle,64359170_0,3,B1_7,5,262
badger,45_d500_169_4,4,B1_7,5,262
badger,45_d500_177_0,4,B1_7,5,262
cattle,64359008_0,4,B1_7,5,262
cattle,64359163_1,4,B1_7,5,262
cattle,64459003_0,4,B1_7,5,262
cattle,64359209_0,5,B1_7,5,262
cattle,64551007_3,6,B1_7,5,262
cattle,64551007_6,7,B1_7,5,262
cattle,64551007_4,8,B1_7,5,262
cattle,64551007_2,10,B1_7,5,262
cattle,64359031_0,11,B1_7,5,262
cattle,64551007_0,11,B1_7,5,262
cattle,64551007_1,11,B1_7,5,262
cattle,64551007_5,12,B1_7,5,262
badger,45_d500_59_0,13,B1_7,5,262
badger,45_d500_157_852_1,14,B1_7,5,262
cattle,64551007_7,14,B1_7,5,262
cattle,64359050_0,26,B1_7,5,262
cattle,64508019_0,29,B1_7,5,262
cattle,64420044_0,2,B1_7,6,198
boar,64359_10,3,B1_7,6,198
cattle,64551007_2,3,B1_7,6,198
boar,64393_2,4,B1_7,6,198
cattle,64459003_0,4,B1_7,6,198
cattle,64551007_0,4,B1_7,6,198
cattle,64551007_7,4,B1_7,6,198
cattle,64551007_3,5,B1_7,6,198
cattle,64508019_0,6,B1_7,6,198
cattle,64551007_4,6,B1_7,6,198
cattle,64359050_0,7,B1_7,6,198
cattle,64359163_1,7,B1_7,6,198
cattle,64551007_1,7,B1_7,6,198
cattle,64551007_6,7,B1_7,6,198
cattle,64551007_5,8,B1_7,6,198
boar,64359_5,9,B1_7,6,198
cattle,64359031_0,11,B1_7,6,198
boar,64359_3,12,B1_7,6,198
boar,64359_2,61,B1_7,6,198
NA,NA,NA,B1_8,ref,242
NA,NA,NA,B1_8,1,242
NA,NA,NA,B1_8,2,240
NA,NA,NA,B1_8,3,216
NA,NA,NA,B1_8,4,200
NA,NA,NA,B1_8,5,214
NA,NA,NA,B1_8,6,200
NA,NA,NA,B1_9,ref,305
NA,NA,NA,B1_9,1,305
NA,NA,NA,B1_9,2,292
NA,NA,NA,B1_9,3,234
NA,NA,NA,B1_9,4,254
NA,NA,NA,B1_9,5,224
NA,NA,NA,B1_9,6,251
NA,NA,NA,B1_10,ref,277
NA,NA,NA,B1_10,1,267
NA,NA,NA,B1_10,2,272
NA,NA,NA,B1_10,3,233
NA,NA,NA,B1_10,4,243
NA,NA,NA,B1_10,5,238
NA,NA,NA,B1_10,6,243
NA,NA,NA,B1_11,ref,362
NA,NA,NA,B1_11,1,361
NA,NA,NA,B1_11,2,346
NA,NA,NA,B1_11,3,332
NA,NA,NA,B1_11,4,307
NA,NA,NA,B1_11,5,319
NA,NA,NA,B1_11,6,306
NA,NA,NA,B1_12,ref,269
NA,NA,NA,B1_12,1,264
NA,NA,NA,B1_12,2,263
NA,NA,NA,B1_12,3,234
NA,NA,NA,B1_12,4,224
NA,NA,NA,B1_12,5,233
NA,NA,NA,B1_12,6,224
NA,NA,NA,B1_13,ref,255
NA,NA,NA,B1_13,1,253
NA,NA,NA,B1_13,2,253
NA,NA,NA,B1_13,3,227
NA,NA,NA,B1_13,4,220
NA,NA,NA,B1_13,5,226
NA,NA,NA,B1_13,6,220
NA,NA,NA,B1_14,ref,391
NA,NA,NA,B1_14,1,390
NA,NA,NA,B1_14,2,373
NA,NA,NA,B1_14,3,320
NA,NA,NA,B1_14,4,282
NA,NA,NA,B1_14,5,304
NA,NA,NA,B1_14,6,282
NA,NA,NA,B1_15,ref,335
NA,NA,NA,B1_15,1,335
NA,NA,NA,B1_15,2,333
NA,NA,NA,B1_15,3,280
NA,NA,NA,B1_15,4,283
NA,NA,NA,B1_15,5,278
NA,NA,NA,B1_15,6,283
NA,NA,NA,B1_16,ref,353
NA,NA,NA,B1_16,1,353
NA,NA,NA,B1_16,2,343
NA,NA,NA,B1_16,3,322
NA,NA,NA,B1_16,4,291
NA,NA,NA,B1_16,5,312
NA,NA,NA,B1_16,6,291
NA,NA,NA,B1_17,ref,204
NA,NA,NA,B1_17,1,204
NA,NA,NA,B1_17,2,203
NA,NA,NA,B1_17,3,170
NA,NA,NA,B1_17,4,178
NA,NA,NA,B1_17,5,169
NA,NA,NA,B1_17,6,178
NA,NA,NA,B1_18,ref,129
NA,NA,NA,B1_18,1,129
NA,NA,NA,B1_18,2,122
NA,NA,NA,B1_18,3,111
NA,NA,NA,B1_18,4,75
NA,NA,NA,B1_18,5,104
NA,NA,NA,B1_18,6,75
NA,NA,NA,B1_19,ref,335
NA,NA,NA,B1_19,1,335
NA,NA,NA,B1_19,2,319
NA,NA,NA,B1_19,3,287
NA,NA,NA,B1_19,4,275
NA,NA,NA,B1_19,5,271
NA,NA,NA,B1_19,6,275
NA,NA,NA,B1_20,ref,217
NA,NA,NA,B1_20,1,217
NA,NA,NA,B1_20,2,212
NA,NA,NA,B1_20,3,186
NA,NA,NA,B1_20,4,156
NA,NA,NA,B1_20,5,181
NA,NA,NA,B1_20,6,156
NA,NA,NA,B1_21,ref,165
NA,NA,NA,B1_21,1,165
NA,NA,NA,B1_21,2,160
NA,NA,NA,B1_21,3,146
NA,NA,NA,B1_21,4,135
NA,NA,NA,B1_21,5,142
NA,NA,NA,B1_21,6,135
NA,NA,NA,B1_22,ref,294
NA,NA,NA,B1_22,1,294
NA,NA,NA,B1_22,2,291
NA,NA,NA,B1_22,3,231
NA,NA,NA,B1_22,4,268
NA,NA,NA,B1_22,5,229
NA,NA,NA,B1_22,6,267
NA,NA,NA,B1_23,ref,272
NA,NA,NA,B1_23,1,272
NA,NA,NA,B1_23,2,271
NA,NA,NA,B1_23,3,243
NA,NA,NA,B1_23,4,245
NA,NA,NA,B1_23,5,242
NA,NA,NA,B1_23,6,245
NA,NA,NA,B1_24,ref,297
NA,NA,NA,B1_24,1,288
NA,NA,NA,B1_24,2,286
NA,NA,NA,B1_24,3,251
NA,NA,NA,B1_24,4,258
NA,NA,NA,B1_24,5,251
NA,NA,NA,B1_24,6,258
NA,NA,NA,B1_25,ref,358
NA,NA,NA,B1_25,1,357
NA,NA,NA,B1_25,2,355
NA,NA,NA,B1_25,3,310
NA,NA,NA,B1_25,4,316
NA,NA,NA,B1_25,5,309
NA,NA,NA,B1_25,6,316
NA,NA,NA,B1_26,ref,199
NA,NA,NA,B1_26,1,199
NA,NA,NA,B1_26,2,195
NA,NA,NA,B1_26,3,178
NA,NA,NA,B1_26,4,160
NA,NA,NA,B1_26,5,173
NA,NA,NA,B1_26,6,160
NA,NA,NA,B1_27,ref,234
NA,NA,NA,B1_27,1,234
NA,NA,NA,B1_27,2,224
NA,NA,NA,B1_27,3,206
NA,NA,NA,B1_27,4,189
NA,NA,NA,B1_27,5,196
NA,NA,NA,B1_27,6,189
NA,NA,NA,B1_28,ref,250
NA,NA,NA,B1_28,1,250
NA,NA,NA,B1_28,2,248
NA,NA,NA,B1_28,3,203
NA,NA,NA,B1_28,4,216
NA,NA,NA,B1_28,5,201
NA,NA,NA,B1_28,6,216
NA,NA,NA,B1_29,ref,244
NA,NA,NA,B1_29,1,245
NA,NA,NA,B1_29,2,239
NA,NA,NA,B1_29,3,211
NA,NA,NA,B1_29,4,182
NA,NA,NA,B1_29,5,205
NA,NA,NA,B1_29,6,182
NA,NA,NA,B1_30,ref,326
NA,NA,NA,B1_30,1,326
NA,NA,NA,B1_30,2,322
NA,NA,NA,B1_30,3,265
NA,NA,NA,B1_30,4,294
NA,NA,NA,B1_30,5,260
NA,NA,NA,B1_30,6,294
