sp_infector,infector,n,sim,scenario,nub_trans
NA,NA,NA,S1_1,ref,149
NA,NA,NA,S1_1,1,149
NA,NA,NA,S1_2,ref,166
NA,NA,NA,S1_2,1,166
NA,NA,NA,S1_3,ref,482
NA,NA,NA,S1_3,1,482
NA,NA,NA,S1_4,ref,62
NA,NA,NA,S1_4,1,62
NA,NA,NA,S1_5,ref,482
NA,NA,NA,S1_5,1,482
NA,NA,NA,S1_6,ref,313
NA,NA,NA,S1_6,1,313
NA,NA,NA,S1_7,ref,208
NA,NA,NA,S1_7,1,208
NA,NA,NA,S1_8,ref,83
NA,NA,NA,S1_8,1,83
NA,NA,NA,S1_9,ref,46
cattle,64420015_5,1,S1_9,1,47
cattle,64420015_6,1,S1_9,1,47
cattle,64420015_1,3,S1_9,1,47
cattle,40270058_13,39,S1_9,1,47
NA,NA,NA,S1_10,ref,58
cattle,40089001_5,2,S1_10,1,56
cattle,40089001_23,6,S1_10,1,56
cattle,64420015_5,7,S1_10,1,56
cattle,64420015_3,10,S1_10,1,56
cattle,40089001_1,22,S1_10,1,56
NA,NA,NA,S1_11,ref,63
NA,NA,NA,S1_11,1,63
NA,NA,NA,S1_12,ref,92
NA,NA,NA,S1_12,1,92
NA,NA,NA,S1_13,ref,223
NA,NA,NA,S1_13,1,223
NA,NA,NA,S1_14,ref,234
NA,NA,NA,S1_14,1,234
NA,NA,NA,S1_15,ref,128
cattle,64420015_21,2,S1_15,1,121
cattle,64420015_63,2,S1_15,1,121
cattle,40054015_3,3,S1_15,1,121
cattle,40054015_7,3,S1_15,1,121
cattle,40270058_1,3,S1_15,1,121
cattle,64420015_66,3,S1_15,1,121
cattle,64420047_0,3,S1_15,1,121
cattle,64420015_0,4,S1_15,1,121
cattle,40054015_11,5,S1_15,1,121
cattle,64420015_1,9,S1_15,1,121
cattle,64420047_1,18,S1_15,1,121
cattle,64420015_10,48,S1_15,1,121
NA,NA,NA,S1_16,ref,237
NA,NA,NA,S1_16,1,237
NA,NA,NA,S1_17,ref,107
NA,NA,NA,S1_17,1,103
NA,NA,NA,S1_18,ref,53
cattle,64420044_5,1,S1_18,1,53
cattle,64420044_6,1,S1_18,1,53
cattle,64420015_0,2,S1_18,1,53
cattle,64420015_29,3,S1_18,1,53
cattle,64420015_10,36,S1_18,1,53
NA,NA,NA,S1_19,ref,193
cattle,40270058_74,1,S1_19,1,193
cattle,40270058_75,1,S1_19,1,193
cattle,40270058_84,1,S1_19,1,193
cattle,40270058_93,1,S1_19,1,193
cattle,40270058_96,1,S1_19,1,193
cattle,64420044_0,1,S1_19,1,193
cattle,40270057_11,2,S1_19,1,193
cattle,40270057_47,2,S1_19,1,193
cattle,40270057_31,3,S1_19,1,193
cattle,40270058_37,3,S1_19,1,193
cattle,40270058_98,3,S1_19,1,193
cattle,40270057_41,4,S1_19,1,193
cattle,40270058_9,4,S1_19,1,193
cattle,40270057_8,6,S1_19,1,193
cattle,64420015_0,7,S1_19,1,193
cattle,40270058_0,9,S1_19,1,193
cattle,40270058_40,21,S1_19,1,193
cattle,40270058_56,29,S1_19,1,193
cattle,40270058_26,69,S1_19,1,193
NA,NA,NA,S1_20,ref,66
NA,NA,NA,S1_20,1,66
NA,NA,NA,S1_21,ref,139
NA,NA,NA,S1_21,1,138
NA,NA,NA,S1_22,ref,94
NA,NA,NA,S1_22,1,94
NA,NA,NA,S1_23,ref,84
NA,NA,NA,S1_23,1,84
NA,NA,NA,S1_24,ref,79
NA,NA,NA,S1_24,1,79
NA,NA,NA,S1_25,ref,69
NA,NA,NA,S1_25,1,69
NA,NA,NA,S1_26,ref,51
NA,NA,NA,S1_26,1,50
NA,NA,NA,S1_27,ref,445
NA,NA,NA,S1_27,1,445
NA,NA,NA,S1_28,ref,204
NA,NA,NA,S1_28,1,204
NA,NA,NA,S1_29,ref,317
NA,NA,NA,S1_29,1,317
NA,NA,NA,S1_30,ref,494
NA,NA,NA,S1_30,1,494
