sp_infector,infector,n,sim,scenario,nub_trans
NA,NA,NA,B1_1,ref,215
badger,56_d500_39_1965_3,1,B1_1,1,215
cattle,64201007_0,1,B1_1,1,215
cattle,64201007_5,1,B1_1,1,215
cattle,64416031_11,2,B1_1,1,215
cattle,64420015_1,4,B1_1,1,215
boar,64416_9,5,B1_1,1,215
cattle,64281003_1,5,B1_1,1,215
cattle,64420042_3,6,B1_1,1,215
cattle,64281003_8,9,B1_1,1,215
cattle,64420039_9,9,B1_1,1,215
badger,45_d500_170_3,18,B1_1,1,215
cattle,64420015_0,26,B1_1,1,215
badger,45_d500_156_2,128,B1_1,1,215
badger,56_d500_39_1965_3,1,B1_1,2,204
cattle,64201007_0,1,B1_1,2,204
cattle,64201007_5,1,B1_1,2,204
cattle,64416031_11,2,B1_1,2,204
cattle,64420015_1,4,B1_1,2,204
boar,64416_9,5,B1_1,2,204
cattle,64281003_1,5,B1_1,2,204
cattle,64420042_3,6,B1_1,2,204
cattle,64281003_8,9,B1_1,2,204
cattle,64420039_9,9,B1_1,2,204
badger,45_d500_170_3,18,B1_1,2,204
cattle,64420015_0,22,B1_1,2,204
cattle,64201014_2,121,B1_1,2,204
badger,56_d500_39_1965_3,1,B1_1,3,197
cattle,64201007_0,1,B1_1,3,197
cattle,64201007_5,1,B1_1,3,197
cattle,64416031_10,1,B1_1,3,197
cattle,64416031_11,1,B1_1,3,197
cattle,64281003_1,4,B1_1,3,197
cattle,64420015_1,4,B1_1,3,197
cattle,64420042_3,5,B1_1,3,197
cattle,64281003_8,8,B1_1,3,197
cattle,64420039_9,9,B1_1,3,197
badger,45_d500_170_3,16,B1_1,3,197
cattle,64420015_0,26,B1_1,3,197
badger,45_d500_156_2,120,B1_1,3,197
cattle,64201007_0,1,B1_1,4,184
cattle,64201007_5,1,B1_1,4,184
cattle,64416031_11,2,B1_1,4,184
cattle,64420015_1,4,B1_1,4,184
boar,64416_9,5,B1_1,4,184
cattle,64281003_1,5,B1_1,4,184
cattle,64420042_3,5,B1_1,4,184
cattle,64281003_8,8,B1_1,4,184
cattle,64420039_9,8,B1_1,4,184
cattle,64416031_9,16,B1_1,4,184
cattle,64420015_0,20,B1_1,4,184
cattle,64201014_2,109,B1_1,4,184
badger,56_d500_39_1965_3,1,B1_1,5,187
cattle,64201007_0,1,B1_1,5,187
cattle,64201007_5,1,B1_1,5,187
cattle,64416031_10,1,B1_1,5,187
cattle,64416031_11,1,B1_1,5,187
cattle,64281003_1,4,B1_1,5,187
cattle,64420015_1,4,B1_1,5,187
cattle,64420042_3,5,B1_1,5,187
cattle,64281003_8,8,B1_1,5,187
cattle,64420039_9,9,B1_1,5,187
badger,45_d500_170_3,16,B1_1,5,187
cattle,64420015_0,22,B1_1,5,187
cattle,64201014_2,114,B1_1,5,187
