sp_infector,infector,n,sim,scenario,nub_trans
NA,NA,NA,S1_1,ref,149
cattle,64281001_0,2,S1_1,1,149
cattle,64281001_2,10,S1_1,1,149
cattle,64420015_0,13,S1_1,1,149
cattle,64420047_16,15,S1_1,1,149
cattle,64420047_2,109,S1_1,1,149
NA,NA,NA,S1_2,ref,166
cattle,64420035_11,1,S1_2,1,166
cattle,64420047_19,1,S1_2,1,166
cattle,64281008_2,2,S1_2,1,166
cattle,64420047_7,8,S1_2,1,166
cattle,64420047_13,10,S1_2,1,166
cattle,64420047_8,18,S1_2,1,166
cattle,64420015_3,31,S1_2,1,166
cattle,64420047_0,95,S1_2,1,166
NA,NA,NA,S1_3,ref,482
cattle,64281001_4,1,S1_3,1,482
cattle,64420008_0,2,S1_3,1,482
cattle,64420044_17,2,S1_3,1,482
cattle,64420042_0,4,S1_3,1,482
cattle,64420044_6,4,S1_3,1,482
cattle,64420047_32,4,S1_3,1,482
cattle,40316038_3,6,S1_3,1,482
cattle,64420035_0,201,S1_3,1,482
cattle,64420015_0,258,S1_3,1,482
NA,NA,NA,S1_4,ref,62
cattle,64420044_4,9,S1_4,1,62
cattle,64420015_17,53,S1_4,1,62
NA,NA,NA,S1_5,ref,482
cattle,40027023_0,1,S1_5,1,482
cattle,64420015_2,1,S1_5,1,482
cattle,40073014_14,3,S1_5,1,482
cattle,64501035_24,3,S1_5,1,482
cattle,40027008_11,4,S1_5,1,482
cattle,64420047_4,5,S1_5,1,482
cattle,40027008_18,6,S1_5,1,482
cattle,40027008_27,15,S1_5,1,482
cattle,64420002_1,18,S1_5,1,482
cattle,40002135_28,19,S1_5,1,482
cattle,40027009_1,43,S1_5,1,482
cattle,64420015_5,44,S1_5,1,482
cattle,40073008_10,96,S1_5,1,482
cattle,64420044_2,224,S1_5,1,482
NA,NA,NA,S1_6,ref,313
cattle,64420035_31,2,S1_6,1,313
cattle,64420012_1,5,S1_6,1,313
cattle,64420047_38,8,S1_6,1,313
cattle,64420047_15,14,S1_6,1,313
cattle,64420015_0,35,S1_6,1,313
cattle,64420044_2,249,S1_6,1,313
NA,NA,NA,S1_7,ref,208
cattle,40089001_7,1,S1_7,1,208
cattle,64420038_2,1,S1_7,1,208
cattle,64420015_7,4,S1_7,1,208
cattle,64420047_27,9,S1_7,1,208
cattle,64420015_6,15,S1_7,1,208
cattle,64420015_3,178,S1_7,1,208
NA,NA,NA,S1_8,ref,83
cattle,64420015_6,6,S1_8,1,83
cattle,64420047_0,11,S1_8,1,83
cattle,64420015_11,66,S1_8,1,83
NA,NA,NA,S1_9,ref,46
cattle,40270058_4,1,S1_9,1,46
cattle,64420015_0,2,S1_9,1,46
cattle,64420015_4,6,S1_9,1,46
cattle,40270058_13,37,S1_9,1,46
NA,NA,NA,S1_10,ref,58
cattle,64420015_3,57,S1_10,1,57
NA,NA,NA,S1_11,ref,63
cattle,64420015_9,15,S1_11,1,63
cattle,64420015_1,48,S1_11,1,63
NA,NA,NA,S1_12,ref,92
cattle,64420015_6,92,S1_12,1,92
NA,NA,NA,S1_13,ref,223
cattle,40316038_32,1,S1_13,1,223
cattle,64420038_13,2,S1_13,1,223
cattle,64420038_12,3,S1_13,1,223
cattle,64420038_1,13,S1_13,1,223
cattle,64420047_1,24,S1_13,1,223
cattle,64420015_2,74,S1_13,1,223
cattle,64420047_0,106,S1_13,1,223
NA,NA,NA,S1_14,ref,234
cattle,64420035_22,2,S1_14,1,234
cattle,64449007_3,2,S1_14,1,234
cattle,64420047_0,3,S1_14,1,234
cattle,64420038_1,32,S1_14,1,234
cattle,64420047_2,41,S1_14,1,234
cattle,64420015_0,154,S1_14,1,234
NA,NA,NA,S1_15,ref,128
cattle,64420015_2,1,S1_15,1,127
cattle,40054015_11,5,S1_15,1,127
cattle,64420047_1,21,S1_15,1,127
cattle,64420015_0,100,S1_15,1,127
NA,NA,NA,S1_16,ref,237
cattle,64420015_11,34,S1_16,1,237
cattle,64420015_1,203,S1_16,1,237
NA,NA,NA,S1_17,ref,107
cattle,64420015_0,1,S1_17,1,103
cattle,64420047_17,3,S1_17,1,103
cattle,64420007_0,99,S1_17,1,103
NA,NA,NA,S1_18,ref,53
cattle,64420044_2,1,S1_18,1,53
cattle,64420015_0,3,S1_18,1,53
cattle,64420015_10,49,S1_18,1,53
NA,NA,NA,S1_19,ref,193
cattle,40270057_3,1,S1_19,1,193
cattle,40270057_6,1,S1_19,1,193
cattle,40270058_56,40,S1_19,1,193
cattle,64420015_0,151,S1_19,1,193
NA,NA,NA,S1_20,ref,66
cattle,64042019_0,1,S1_20,1,66
cattle,64420015_10,3,S1_20,1,66
cattle,40054015_12,5,S1_20,1,66
cattle,64420015_1,24,S1_20,1,66
cattle,64420015_14,33,S1_20,1,66
NA,NA,NA,S1_21,ref,139
cattle,64420015_20,1,S1_21,1,139
cattle,64420039_1,5,S1_21,1,139
cattle,64420044_15,9,S1_21,1,139
cattle,64420047_0,11,S1_21,1,139
cattle,64420015_9,33,S1_21,1,139
cattle,64420044_2,35,S1_21,1,139
cattle,64420015_11,45,S1_21,1,139
NA,NA,NA,S1_22,ref,94
cattle,64420044_3,3,S1_22,1,94
cattle,64420044_7,7,S1_22,1,94
cattle,64420015_5,37,S1_22,1,94
cattle,64420044_2,47,S1_22,1,94
NA,NA,NA,S1_23,ref,84
cattle,64420044_8,3,S1_23,1,84
cattle,64420008_2,25,S1_23,1,84
cattle,64420015_1,56,S1_23,1,84
NA,NA,NA,S1_24,ref,79
cattle,64420047_6,3,S1_24,1,79
cattle,64420035_0,10,S1_24,1,79
cattle,64420015_1,66,S1_24,1,79
NA,NA,NA,S1_25,ref,69
cattle,64420015_9,7,S1_25,1,69
cattle,64420044_1,16,S1_25,1,69
cattle,64420015_1,46,S1_25,1,69
NA,NA,NA,S1_26,ref,51
cattle,40089001_14,3,S1_26,1,51
cattle,64420015_11,48,S1_26,1,51
NA,NA,NA,S1_27,ref,445
cattle,64420009_7,1,S1_27,1,445
cattle,64420015_4,1,S1_27,1,445
cattle,64420015_50,1,S1_27,1,445
cattle,64420047_4,1,S1_27,1,445
cattle,40220019_4,6,S1_27,1,445
cattle,64420015_47,6,S1_27,1,445
cattle,40072014_1,7,S1_27,1,445
cattle,64420044_18,7,S1_27,1,445
cattle,64420039_0,11,S1_27,1,445
cattle,40286018_20,13,S1_27,1,445
cattle,64420015_1,54,S1_27,1,445
cattle,40220019_7,62,S1_27,1,445
cattle,64420044_17,73,S1_27,1,445
cattle,64420015_5,202,S1_27,1,445
NA,NA,NA,S1_28,ref,204
cattle,64420015_5,1,S1_28,1,204
cattle,64420015_6,1,S1_28,1,204
cattle,64556051_1,4,S1_28,1,204
cattle,64420038_1,16,S1_28,1,204
cattle,64420038_6,24,S1_28,1,204
cattle,64420015_1,158,S1_28,1,204
NA,NA,NA,S1_29,ref,317
cattle,64420012_0,1,S1_29,1,317
cattle,64420015_6,2,S1_29,1,317
cattle,64420035_1,3,S1_29,1,317
cattle,64420044_7,4,S1_29,1,317
cattle,64420044_4,19,S1_29,1,317
cattle,64420015_1,48,S1_29,1,317
cattle,64420047_25,70,S1_29,1,317
cattle,64420044_6,170,S1_29,1,317
NA,NA,NA,S1_30,ref,494
cattle,64420015_14,2,S1_30,1,494
cattle,64420015_7,4,S1_30,1,494
cattle,64420047_12,4,S1_30,1,494
cattle,64420047_11,6,S1_30,1,494
cattle,64420015_52,9,S1_30,1,494
cattle,40270033_13,13,S1_30,1,494
cattle,64420007_2,14,S1_30,1,494
cattle,64420012_13,19,S1_30,1,494
cattle,64420044_37,52,S1_30,1,494
cattle,64420015_0,371,S1_30,1,494
