sp_infector,infector,n,sim,scenario,nub_trans
NA,NA,NA,B1_1,ref,215
NA,NA,NA,B1_1,1,445
NA,NA,NA,B1_1,2,355
NA,NA,NA,B1_1,3,405
NA,NA,NA,B1_1,4,276
NA,NA,NA,B1_1,5,309
NA,NA,NA,B1_1,6,277
NA,NA,NA,B1_2,ref,156
NA,NA,NA,B1_2,1,199
NA,NA,NA,B1_2,2,185
NA,NA,NA,B1_2,3,153
NA,NA,NA,B1_2,4,170
NA,NA,NA,B1_2,5,139
NA,NA,NA,B1_2,6,157
NA,NA,NA,B1_3,ref,117
NA,NA,NA,B1_3,1,179
NA,NA,NA,B1_3,2,179
NA,NA,NA,B1_3,3,128
NA,NA,NA,B1_3,4,108
NA,NA,NA,B1_3,5,130
NA,NA,NA,B1_3,6,111
NA,NA,NA,B1_4,ref,457
NA,NA,NA,B1_4,1,579
NA,NA,NA,B1_4,2,566
NA,NA,NA,B1_4,3,447
NA,NA,NA,B1_4,4,449
NA,NA,NA,B1_4,5,437
NA,NA,NA,B1_4,6,452
NA,NA,NA,B1_8,ref,242
NA,NA,NA,B1_8,1,604
NA,NA,NA,B1_8,2,600
NA,NA,NA,B1_8,3,530
NA,NA,NA,B1_8,4,365
NA,NA,NA,B1_8,5,524
NA,NA,NA,B1_8,6,366
NA,NA,NA,B1_10,ref,277
NA,NA,NA,B1_10,1,389
NA,NA,NA,B1_10,2,401
NA,NA,NA,B1_10,3,317
NA,NA,NA,B1_10,4,311
NA,NA,NA,B1_10,5,327
NA,NA,NA,B1_10,6,312
NA,NA,NA,B1_11,ref,362
NA,NA,NA,B1_11,1,1218
NA,NA,NA,B1_11,2,1105
NA,NA,NA,B1_11,3,1062
NA,NA,NA,B1_11,4,337
NA,NA,NA,B1_11,5,1000
NA,NA,NA,B1_11,6,337
NA,NA,NA,B1_12,ref,269
NA,NA,NA,B1_12,1,1210
NA,NA,NA,B1_12,2,1221
NA,NA,NA,B1_12,3,915
NA,NA,NA,B1_12,4,944
NA,NA,NA,B1_12,5,919
NA,NA,NA,B1_12,6,946
NA,NA,NA,B1_13,ref,255
NA,NA,NA,B1_13,1,400
NA,NA,NA,B1_13,2,379
NA,NA,NA,B1_13,3,342
NA,NA,NA,B1_13,4,251
NA,NA,NA,B1_13,5,345
NA,NA,NA,B1_13,6,246
NA,NA,NA,B1_14,ref,391
NA,NA,NA,B1_14,1,1027
NA,NA,NA,B1_14,2,1030
NA,NA,NA,B1_14,3,777
NA,NA,NA,B1_14,4,713
NA,NA,NA,B1_14,5,782
NA,NA,NA,B1_14,6,709
NA,NA,NA,B1_17,ref,204
NA,NA,NA,B1_17,1,325
NA,NA,NA,B1_17,2,318
NA,NA,NA,B1_17,3,224
NA,NA,NA,B1_17,4,242
NA,NA,NA,B1_17,5,215
NA,NA,NA,B1_17,6,249
NA,NA,NA,B1_18,ref,129
NA,NA,NA,B1_18,1,265
NA,NA,NA,B1_18,2,270
NA,NA,NA,B1_18,3,217
NA,NA,NA,B1_18,4,128
NA,NA,NA,B1_18,5,215
NA,NA,NA,B1_18,6,126
NA,NA,NA,B1_20,ref,217
NA,NA,NA,B1_20,1,867
NA,NA,NA,B1_20,2,803
NA,NA,NA,B1_20,3,570
NA,NA,NA,B1_20,4,451
NA,NA,NA,B1_20,5,559
NA,NA,NA,B1_20,6,454
NA,NA,NA,B1_21,ref,165
NA,NA,NA,B1_21,1,227
NA,NA,NA,B1_21,2,218
NA,NA,NA,B1_21,3,192
NA,NA,NA,B1_21,4,176
NA,NA,NA,B1_21,5,179
NA,NA,NA,B1_21,6,173
NA,NA,NA,B1_22,ref,294
NA,NA,NA,B1_22,1,397
NA,NA,NA,B1_22,2,378
NA,NA,NA,B1_22,3,251
NA,NA,NA,B1_22,4,344
NA,NA,NA,B1_22,5,248
NA,NA,NA,B1_22,6,331
NA,NA,NA,B1_23,ref,272
NA,NA,NA,B1_23,1,392
NA,NA,NA,B1_23,2,387
NA,NA,NA,B1_23,3,318
NA,NA,NA,B1_23,4,321
NA,NA,NA,B1_23,5,310
NA,NA,NA,B1_23,6,317
NA,NA,NA,B1_26,ref,199
NA,NA,NA,B1_26,1,357
NA,NA,NA,B1_26,2,371
NA,NA,NA,B1_26,3,306
NA,NA,NA,B1_26,4,200
NA,NA,NA,B1_26,5,321
NA,NA,NA,B1_26,6,195
NA,NA,NA,B1_27,ref,234
NA,NA,NA,B1_27,1,281
NA,NA,NA,B1_27,2,267
NA,NA,NA,B1_27,3,229
NA,NA,NA,B1_27,4,238
NA,NA,NA,B1_27,5,222
NA,NA,NA,B1_27,6,240
NA,NA,NA,B1_28,ref,250
NA,NA,NA,B1_28,1,389
NA,NA,NA,B1_28,2,392
NA,NA,NA,B1_28,3,277
NA,NA,NA,B1_28,4,348
NA,NA,NA,B1_28,5,277
NA,NA,NA,B1_28,6,341
NA,NA,NA,B1_29,ref,244
NA,NA,NA,B1_29,1,297
NA,NA,NA,B1_29,2,281
NA,NA,NA,B1_29,3,246
NA,NA,NA,B1_29,4,207
NA,NA,NA,B1_29,5,241
NA,NA,NA,B1_29,6,206
NA,NA,NA,B1_30,ref,326
NA,NA,NA,B1_30,1,404
NA,NA,NA,B1_30,2,394
NA,NA,NA,B1_30,3,284
NA,NA,NA,B1_30,4,345
NA,NA,NA,B1_30,5,282
NA,NA,NA,B1_30,6,338
