sp_infector,infector,n,sim,scenario,nub_trans
cattle,64420047_25,1,S1_1,1,149
cattle,64420047_46,1,S1_1,1,149
cattle,64420047_5,1,S1_1,1,149
cattle,64420038_2,2,S1_1,1,149
cattle,64420039_12,2,S1_1,1,149
cattle,64420015_1,3,S1_1,1,149
cattle,64420047_12,3,S1_1,1,149
cattle,64281001_10,4,S1_1,1,149
cattle,64281001_0,5,S1_1,1,149
cattle,64420038_27,6,S1_1,1,149
cattle,64420015_2,8,S1_1,1,149
cattle,64281001_14,11,S1_1,1,149
cattle,64420047_16,15,S1_1,1,149
cattle,64420038_8,35,S1_1,1,149
cattle,64420047_2,39,S1_1,1,149
cattle,64420015_3,2,S1_2,1,166
cattle,64420035_17,2,S1_2,1,166
cattle,64420047_28,2,S1_2,1,166
cattle,64281001_18,3,S1_2,1,166
cattle,64420035_21,3,S1_2,1,166
cattle,64420035_22,3,S1_2,1,166
cattle,64281001_0,4,S1_2,1,166
cattle,64281008_7,4,S1_2,1,166
cattle,64420015_2,7,S1_2,1,166
cattle,64420047_0,7,S1_2,1,166
cattle,64420012_14,8,S1_2,1,166
cattle,64420047_13,10,S1_2,1,166
cattle,64420015_7,14,S1_2,1,166
cattle,64420047_31,14,S1_2,1,166
cattle,64420012_6,16,S1_2,1,166
cattle,64281001_8,42,S1_2,1,166
cattle,64420044_9,1,S1_4,1,62
cattle,40089001_8,2,S1_4,1,62
cattle,64420015_13,8,S1_4,1,62
cattle,64420044_4,9,S1_4,1,62
cattle,64420044_1,17,S1_4,1,62
cattle,64420015_18,19,S1_4,1,62
cattle,64556044_2,2,S1_6,1,314
cattle,64420002_1,3,S1_6,1,314
cattle,64420012_21,3,S1_6,1,314
cattle,64420012_32,3,S1_6,1,314
cattle,64420035_24,3,S1_6,1,314
cattle,64420035_32,3,S1_6,1,314
cattle,64420039_16,3,S1_6,1,314
cattle,64420039_19,3,S1_6,1,314
cattle,64420039_42,3,S1_6,1,314
cattle,64420039_66,3,S1_6,1,314
cattle,64420039_9,3,S1_6,1,314
cattle,64420047_2,3,S1_6,1,314
cattle,64556051_2,3,S1_6,1,314
cattle,64420015_3,4,S1_6,1,314
cattle,64420035_33,4,S1_6,1,314
cattle,64420038_20,4,S1_6,1,314
cattle,64420044_24,4,S1_6,1,314
cattle,64420044_31,4,S1_6,1,314
cattle,64420044_39,4,S1_6,1,314
cattle,64420012_36,5,S1_6,1,314
cattle,64420012_7,5,S1_6,1,314
cattle,64420039_29,5,S1_6,1,314
cattle,64420039_41,5,S1_6,1,314
cattle,64420047_41,7,S1_6,1,314
cattle,64420039_4,8,S1_6,1,314
