45_d500_124_0_badger_2014-05-01,45_d500_124_1_badger_2013-02-01,45_d500_124_2_badger_2013-09-01,45_d500_124_3_badger_2014-06-01,45_d500_124_4_badger_2017-08-01,45_d500_124_5_badger_2020-02-01,45_d500_155_880_0_badger_2020-02-01,45_d500_155_880_1_badger_2019-08-01,45_d500_160_0_badger_2010-06-01,45_d500_160_1_badger_2013-12-01,45_d500_162_0_badger_2020-02-01,45_d500_163_0_badger_2014-03-01,45_d500_163_1_badger_2017-06-01,45_d500_164_0_badger_2020-02-01,45_d500_37_577_0_badger_2019-06-01,45_d500_37_577_1_badger_2020-02-01,45_d500_37_586_0_badger_2020-02-01,45_d500_37_586_1_badger_2020-02-01,45_d500_57_715_0_badger_2016-09-01,45_d500_61_0_badger_2020-02-01,45_d500_65_0_badger_2020-02-01,45_d500_65_1_badger_2017-12-01,45_d500_65_2_badger_2018-09-01,45_d500_78_668_0_badger_2014-06-01,45_d500_85_0_badger_2017-01-01,45_d500_99_766_0_badger_2020-02-01,45_d500_99_839_0_badger_2007-05-01,45_d500_99_866_1_badger_2020-02-01,64002002_0_cattle_2016-04-01,64002002_1_cattle_2016-04-01,64002002_2_cattle_2016-04-01,64002002_3_cattle_2016-08-01,64002002_4_cattle_2016-08-01,64002002_5_cattle_2018-11-01,64002_0_boar_2015-05-01,64002_1_boar_2017-04-01,64002_2_boar_2015-11-01,64002_3_boar_2016-10-01,64002_4_boar_2017-05-01,64002_5_boar_2017-12-01,64146028_0_cattle_2020-02-01,64349068_0_cattle_2018-03-01,64349068_10_cattle_2016-12-01,64349068_11_cattle_2017-05-01,64349068_12_cattle_2017-05-01,64349068_13_cattle_2016-10-01,64349068_14_cattle_2017-04-01,64349068_15_cattle_2017-05-01,64349068_16_cattle_2017-05-01,64349068_17_cattle_2017-05-01,64349068_18_cattle_2017-05-01,64349068_19_cattle_2017-03-01,64349068_1_cattle_2017-05-01,64349068_20_cattle_2017-05-01,64349068_21_cattle_2017-05-01,64349068_22_cattle_2017-05-01,64349068_23_cattle_2017-05-01,64349068_24_cattle_2017-09-01,64349068_25_cattle_2017-05-01,64349068_26_cattle_2017-05-01,64349068_27_cattle_2017-05-01,64349068_28_cattle_2017-05-01,64349068_29_cattle_2017-09-01,64349068_2_cattle_2017-05-01,64349068_30_cattle_2018-03-01,64349068_31_cattle_2017-05-01,64349068_32_cattle_2017-03-01,64349068_33_cattle_2017-05-01,64349068_34_cattle_2017-09-01,64349068_35_cattle_2017-05-01,64349068_36_cattle_2017-05-01,64349068_37_cattle_2017-05-01,64349068_38_cattle_2017-05-01,64349068_39_cattle_2017-05-01,64349068_3_cattle_2017-09-01,64349068_40_cattle_2017-05-01,64349068_41_cattle_2018-03-01,64349068_42_cattle_2017-05-01,64349068_43_cattle_2017-05-01,64349068_44_cattle_2017-05-01,64349068_45_cattle_2017-05-01,64349068_46_cattle_2017-09-01,64349068_47_cattle_2018-03-01,64349068_48_cattle_2017-05-01,64349068_49_cattle_2017-05-01,64349068_4_cattle_2017-05-01,64349068_50_cattle_2017-05-01,64349068_51_cattle_2017-09-01,64349068_52_cattle_2017-05-01,64349068_53_cattle_2017-09-01,64349068_54_cattle_2018-03-01,64349068_55_cattle_2018-03-01,64349068_56_cattle_2018-03-01,64349068_57_cattle_2018-03-01,64349068_58_cattle_2018-06-01,64349068_59_cattle_2018-06-01,64349068_5_cattle_2017-05-01,64349068_60_cattle_2018-03-01,64349068_61_cattle_2018-03-01,64349068_62_cattle_2018-03-01,64349068_63_cattle_2018-06-01,64349068_64_cattle_2018-03-01,64349068_65_cattle_2018-06-01,64349068_66_cattle_2018-06-01,64349068_6_cattle_2016-03-01,64349068_7_cattle_2017-09-01,64349068_8_cattle_2017-05-01,64349068_9_cattle_2017-05-01,64349_0_boar_2015-09-01,64349_10_boar_2017-07-01,64349_11_boar_2017-10-01,64349_12_boar_2017-12-01,64349_13_boar_2020-02-01,64349_14_boar_2020-02-01,64349_15_boar_2020-02-01,64349_16_boar_2018-12-01,64349_17_boar_2019-03-01,64349_18_boar_2018-11-01,64349_19_boar_2020-02-01,64349_1_boar_2016-06-01,64349_20_boar_2019-04-01,64349_2_boar_2020-02-01,64349_3_boar_2016-03-01,64349_4_boar_2017-03-01,64349_5_boar_2016-10-01,64349_6_boar_2016-08-01,64349_7_boar_2019-07-01,64349_8_boar_2017-05-01,64349_9_boar_2017-05-01,64359103_0_cattle_2017-12-01,64359108_0_cattle_2018-03-01,64359158_0_cattle_2019-01-01,64359200_0_cattle_2017-08-01,64359200_1_cattle_2017-03-01,64359200_2_cattle_2017-08-01,64359200_3_cattle_2017-07-01,64359200_4_cattle_2017-08-01,64359_0_boar_2017-05-01,64359_1_boar_2020-02-01,64359_2_boar_2018-04-01,64359_3_boar_2018-05-01,64359_4_boar_2019-05-01,64359_5_boar_2018-07-01,64359_6_boar_2018-08-01,64359_7_boar_2020-02-01,64399021_0_cattle_2020-02-01,64420009_0_cattle_2017-02-01,64420009_1_cattle_2016-12-01,64420009_2_cattle_2016-12-01,64420009_3_cattle_2017-02-01,64420009_4_cattle_2016-12-01,64420009_5_cattle_2018-02-01,64420009_6_cattle_2018-04-01,64420009_7_cattle_2018-02-01,64420012_0_cattle_2010-11-01,64420012_1_cattle_2010-08-01,64420012_2_cattle_2010-11-01,64420012_3_cattle_2010-09-01,64420012_4_cattle_2010-08-01,64420012_5_cattle_2010-10-01,64420012_6_cattle_2010-11-01,64420012_7_cattle_2010-11-01,64420012_8_cattle_2010-11-01,64420015_0_cattle_2007-05-01,64420015_1_cattle_2010-11-01,64420035_0_cattle_2013-08-01,64420035_10_cattle_2013-03-01,64420035_11_cattle_2013-08-01,64420035_12_cattle_2013-08-01,64420035_13_cattle_2013-08-01,64420035_14_cattle_2013-08-01,64420035_15_cattle_2013-08-01,64420035_16_cattle_2013-08-01,64420035_17_cattle_2013-08-01,64420035_1_cattle_2013-07-01,64420035_2_cattle_2013-08-01,64420035_3_cattle_2013-08-01,64420035_4_cattle_2013-08-01,64420035_5_cattle_2013-08-01,64420035_6_cattle_2013-08-01,64420035_7_cattle_2013-08-01,64420035_8_cattle_2013-08-01,64420035_9_cattle_2013-08-01,64420039_0_cattle_2014-01-01,64459003_0_cattle_2018-03-01,64459003_10_cattle_2018-10-01,64459003_11_cattle_2019-01-01,64459003_12_cattle_2019-01-01,64459003_13_cattle_2019-01-01,64459003_14_cattle_2019-04-01,64459003_15_cattle_2019-01-01,64459003_1_cattle_2018-03-01,64459003_2_cattle_2018-07-01,64459003_3_cattle_2018-07-01,64459003_4_cattle_2018-03-01,64459003_5_cattle_2018-03-01,64459003_6_cattle_2018-03-01,64459003_7_cattle_2018-03-01,64459003_8_cattle_2018-07-01,64459003_9_cattle_2018-07-01,64472_0_boar_2016-12-01,64472_1_boar_2019-03-01,6_d500_13_229_0_badger_2016-10-01,6_d500_13_229_1_badger_2020-02-01,6_d500_27_0_badger_2018-06-01,6_d500_37_2007_0_badger_2020-02-01,6_d500_37_2007_1_badger_2020-02-01,6_d500_44_0_badger_2020-02-01
0,0.023195360927814386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09538092381523777,0,0,0.1361727654469127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.10597880423915332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0045990801839632086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.163367326534696,0,0,0.017796440711857597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0.05858828234353111,0,0.018596280743851196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05338932213557272,0.14397120575885056,0,0,0,0,0,0,0.052189562087582325,0.09898020395920909,0.033593281343731164,0,0,0,0.0869826034793047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003399320135972806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0011997600479904018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01059788042391521,0.004399120175964808,0.011997600479904008,0.10057988402319634,0.02139572085582879,0.017996400719855997,0,0,0,0.02119576084783039,0.002199560087982403,0.018796240751849595,0,0,0.13257348530294139,0.027194561087782378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0045990801839632086,0.0011997600479904018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.998800239952009e-4,0,0,0,0,0,0,0,0,0.12217556488702425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00519896020795841,0,0,0,0,0,0,0,0,0,0,0.02679464107178558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.998800239952009e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0.027194561087782378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.998800239952009e-4,0,0,0,7.998400319936012e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0.02639472105578878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0015996800639872023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.998800239952009e-4,0,0,0.0067986402719456135,0,0.005998800239952012,0,0.004799040191961609,0,0,3.999200159968006e-4,0.0011997600479904018,5.998800239952009e-4,0.0015996800639872023,0,0,0,0,0,0,0,0,0,0
0,0.0023995200959808036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.41951609678063123,0,0.019596080783843194,0.10157968406318837,0,0.07938412317536525,0,0,0.08438312337532541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0.0045990801839632086,0,0,0,0,0,0,0,0,0.48890221955606866,0,0,0,0,0,0,0.025194961007798382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.998000399920016e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0015996800639872023,0,0.0023995200959808036,0.0049990001999600095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007198560287942414,0.003399320135972806,0,0,0,0,0,0,0.005998800239952012,0.0015996800639872023,0.01099780043991201,0,0,0,0.0037992401519696068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
