45_d500_100_0_badger_2017-09-01,45_d500_105_726_0_badger_2018-06-01,45_d500_124_0_badger_2014-03-01,45_d500_136_1_badger_2014-08-01,45_d500_136_2_badger_2017-03-01,45_d500_152_0_badger_2013-02-01,45_d500_157_858_1_badger_2012-03-01,45_d500_159_855_0_badger_2013-08-01,45_d500_159_855_1_badger_2016-10-01,45_d500_159_855_2_badger_2016-01-01,45_d500_159_855_3_badger_2018-06-01,45_d500_159_855_4_badger_2015-09-01,45_d500_160_0_badger_2007-09-01,45_d500_160_1_badger_2018-05-01,45_d500_163_0_badger_2020-02-01,45_d500_190_1526_0_badger_2020-02-01,45_d500_190_1526_1_badger_2011-11-01,45_d500_190_1526_2_badger_2015-10-01,45_d500_191_0_badger_2012-08-01,45_d500_57_687_0_badger_2020-02-01,45_d500_61_0_badger_2020-02-01,45_d500_61_1_badger_2020-02-01,45_d500_61_2_badger_2019-06-01,45_d500_99_716_0_badger_2017-01-01,45_d500_99_716_1_badger_2018-06-01,45_d500_99_716_2_badger_2020-02-01,45_d500_99_716_3_badger_2018-06-01,45_d500_99_766_0_badger_2009-11-01,45_d500_99_766_1_badger_2020-02-01,64349068_0_cattle_2014-05-01,64349068_10_cattle_2014-05-01,64349068_11_cattle_2014-05-01,64349068_12_cattle_2014-05-01,64349068_13_cattle_2014-05-01,64349068_14_cattle_2014-05-01,64349068_15_cattle_2014-05-01,64349068_16_cattle_2014-05-01,64349068_17_cattle_2014-05-01,64349068_1_cattle_2014-05-01,64349068_2_cattle_2014-05-01,64349068_3_cattle_2014-05-01,64349068_4_cattle_2014-05-01,64349068_5_cattle_2014-05-01,64349068_6_cattle_2014-05-01,64349068_7_cattle_2014-05-01,64349068_8_cattle_2014-04-01,64349068_9_cattle_2014-05-01,64349_0_boar_2015-03-01,64349_10_boar_2013-10-01,64349_11_boar_2016-12-01,64349_13_boar_2017-06-01,64349_14_boar_2014-11-01,64349_15_boar_2014-04-01,64349_16_boar_2017-12-01,64349_17_boar_2016-09-01,64349_19_boar_2017-05-01,64349_1_boar_2017-01-01,64349_20_boar_2014-09-01,64349_21_boar_2017-05-01,64349_25_boar_2018-09-01,64349_2_boar_2012-01-01,64349_3_boar_2014-07-01,64349_4_boar_2012-03-01,64349_5_boar_2014-03-01,64349_6_boar_2014-04-01,64349_7_boar_2015-05-01,64349_8_boar_2012-11-01,64349_9_boar_2014-03-01,64359_2_boar_2019-04-01,64359_3_boar_2018-04-01,64359_4_boar_2019-06-01,64420009_0_cattle_2017-03-01,64420009_1_cattle_2017-07-01,64420009_2_cattle_2017-03-01,64420009_3_cattle_2017-03-01,64420009_4_cattle_2017-03-01,64420009_5_cattle_2017-04-01,64420009_6_cattle_2017-07-01,64420009_7_cattle_2017-07-01,64420009_8_cattle_2017-10-01,64420012_0_cattle_2011-04-01,64420012_10_cattle_2011-08-01,64420012_11_cattle_2011-08-01,64420012_12_cattle_2011-04-01,64420012_13_cattle_2011-07-01,64420012_14_cattle_2011-08-01,64420012_1_cattle_2010-05-01,64420012_2_cattle_2011-07-01,64420012_3_cattle_2011-08-01,64420012_4_cattle_2011-08-01,64420012_5_cattle_2011-08-01,64420012_6_cattle_2011-08-01,64420012_7_cattle_2011-08-01,64420012_8_cattle_2011-08-01,64420012_9_cattle_2011-08-01,64420015_0_cattle_2007-07-01,64420015_1_cattle_2007-08-01,64420015_2_cattle_2007-08-01
0,0.08598280343931267,0,0,0,0,0,0,0,0,0,0,0,0.11937612477504655,0.006198760247950412,0,0,0,0,0.010197960407918412,0.008198360327934416,0.0067986402719456135,0.015196960607878401,0.08618276344731107,0.14397120575885056,0.006998600279944014,0.16496700659868324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013997200559888004,0.11497700459908161,0.024795040991801583,0.03679264147170556,0.062187562487502304,0.03899220155968795,0.029794041191761572,0.09518096380723937,0.033193361327734365,0.09378124375125052,0.07298540291941624,0.07378524295140987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.03599280143971196,0,0,0,0,0,0,0,0,0,0,0,0,0.18936212757448884,0.038592281543691154,0,0,0,0,0.012397520495900807,0.042991401719655944,0.042391521695660746,0.10357928414317244,0.015196960607878401,0.10417916416716766,0.028794241151769574,0.06818636272745449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10477904419116288,0.11257748450310073,0.14097180563887446,0.004399120175964808,0.006998600279944014,0.0049990001999600095,0.0035992801439712063,0.017796440711857597,0.007198560287942414,0.011597680463907209,0.012197560487902407,0.012997400519896006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0.01119776044791041,0,0.027394521095780777,7.998400319936012e-4,0.14577084583083622,0,0,0,0,0,0,0,0,7.998400319936012e-4,7.998400319936012e-4,0.003399320135972806,0,0,0,0,0,0,0,0,0,0,0.019396120775844794,0.024995000999799982,0.02059588082383519,0.0049990001999600095,0.005798840231953611,0.008798240351929614,0.02619476104779038,0.004199160167966408,0.019396120775844794,0.004199160167966408,0.004399120175964808,0.01099780043991201,0.052189562087582325,0.005998800239952012,0.05358928214357112,0.002199560087982403,0.03499300139971996,0.012597480503899207,5.998800239952009e-4,0.14697060587882665,0,0,7.998400319936012e-4,0.02119576084783039,0,0,0,0,0.0161967606478704,0,0,7.998400319936012e-4,0.003399320135972806,0.002999400119976005,0.06678664267146564,0.02639472105578878,0.002199560087982403,0.0167966406718656,0.061987602479503905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.998400319936012e-4,7.998400319936012e-4,0,0,0,0,0
0,0,0.002599480103979204,0,0,0,0,5.998800239952009e-4,1.999600079984003e-4,0.020195960807838392,0,0.05098980203959193,0,0,0,0,0,0.04039192161567675,0,0,0,0,0,0,0,0,0,0,0,0.005998800239952012,0.003399320135972806,0,0.0011997600479904018,5.998800239952009e-4,0.0901819636072792,0.0027994401119776045,0.0017996400719856025,0.0011997600479904018,0.08518296340731904,1.999600079984003e-4,5.998800239952009e-4,0.009598080383923213,0.0027994401119776045,0.0037992401519696068,0.003399320135972806,0.0035992801439712063,0.22935412917417014,0.08218356328734294,5.998800239952009e-4,0,0,0.0685862827434513,0.0035992801439712063,0,0,0,0,5.998800239952009e-4,0,0,0,0.22135572885423388,0,0.0015996800639872023,3.999200159968006e-4,0.048190361927614334,0,9.998000399920016e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.005998800239952012,0.001399720055988802,0,0,0,0,0,0,0.15336932613477566,0.03539292141571676,0.019396120775844794,0.002199560087982403,0,0.001399720055988802,0,0.0019996000799840027,0,5.998800239952009e-4,0,0,0,0,0,0.019796040791841593,3.999200159968006e-4,0,5.998800239952009e-4,0,0.0019996000799840027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.218956208758253,0.15496900619876292,0,0,0.027994401119775976,0.1755648870225988,0.10437912417516607,0.22355528894221635,0,0.13537292541491908,0.04459108178364314,0,0,0,0,0,0,0,0,0,0,0,0.004799040191961609,5.998800239952009e-4,0.005998800239952012,0.009998000399920012,0.011597680463907209,0.0035992801439712063,7.998400319936012e-4,0.0037992401519696068,0.0019996000799840027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0.06478704259148158,3.999200159968006e-4,0,0,0.02199560087982399,0.08678264347130629,0,0,0,0,0,0,0,0,0.014197160567886403,0,0.18436312737452867,0,0,0,0,0,0,0,0,0,0,0.004199160167966408,0.005798840231953611,0.006198760247950412,0,0,0.002599480103979204,0.007198560287942414,1.999600079984003e-4,0.0049990001999600095,0.002199560087982403,3.999200159968006e-4,0.0017996400719856025,0.037992401519695955,0.0037992401519696068,0.032793441311737566,0.0015996800639872023,0.003999200159968007,0.002199560087982403,0,0.08018396320735888,0,0,0,0.005598880223955211,0,0,0,0,0.00539892021595681,0,0,0.03039392121575677,1.999600079984003e-4,0.0839832033593286,0.017796440711857597,0.01059788042391521,0,0.30073985202959425,0.014597080583883202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0017996400719856025,0.0035992801439712063,0,0,0,0,0
0,0,7.998400319936012e-4,0,0,0.056788642271545516,0,0.006198760247950412,0,0,0,0,0,0,0,0,0.18256348730254301,0,0.08218356328734294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.998000399920016e-4,0,0,0,0,0,0,0.008998200359928014,0,0,0,0,0,0,0,0,0,0,0,0.21955608878224822,0,0.14617076584683303,0.0019996000799840027,0,0,0.05578884223155352,1.999600079984003e-4,0,0,0,0,0,0,0,0,0,0,0,0,0.004199160167966408,0.00519896020795841,0.002999400119976005,0.005798840231953611,0.012797440511897606,0.0035992801439712063,0,0.012797440511897606,0.002199560087982403,0.0037992401519696068,0.0019996000799840027,0.07238552289542102,0.11097780443911348,7.998400319936012e-4,0.006198760247950412,0,0,0
0,0,0.1327734453109398,0.003999200159968007,0,0.04639072185562874,0,0,0,0,0,0,0,0,0,0,0,0,0.008598280343931215,0,0,0,0,0,0,0,0,0,0,0.0157968406318736,0.012797440511897606,0.013797240551889604,0.0017996400719856025,0.0017996400719856025,0.009398120375924813,0.011997600479904008,1.999600079984003e-4,0.012397520495900807,0.005998800239952012,0.0017996400719856025,0.006598680263947213,0.02579484103179358,0.002599480103979204,0.04419116176764634,0.001399720055988802,0.013397320535892805,0.00519896020795841,1.999600079984003e-4,0.18616276744651433,0,0,1.999600079984003e-4,0.012797440511897606,0,0,0,0,0.010197960407918412,0,0,3.999200159968006e-4,0.0017996400719856025,0.0027994401119776045,0.03719256148770236,0.01119776044791041,1.999600079984003e-4,0.03019396120775837,0.05898820235952791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.004399120175964808,0,0,0,0.10037992401519794,0,0,0,0,0.016996600679864,0.004399120175964808,0.0045990801839632086,0,9.998000399920016e-4,1.999600079984003e-4,0,0,3.999200159968006e-4,0,0,0,0,0,0.012997400519896006,0.001399720055988802,0,0.0019996000799840027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.042391521695660746,0.013797240551889604,0,0,0.00519896020795841,0.4301139772045453,0.019596080783843194,0.04019196160767835,0,0.018396320735852796,0.0045990801839632086,0,0,0,0,0,0,0,0,0,0,0,0.0037992401519696068,0.001399720055988802,0.0019996000799840027,0.006198760247950412,0.006998600279944014,0.0027994401119776045,0.0027994401119776045,0.0017996400719856025,0.0023995200959808036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.03439312137572476,0.004799040191961609,0,0.0045990801839632086,0.19596080783843625,0,0,0,0.11317736452709595,0,0,0.21435712857428965,0,0.002599480103979204,0,5.998800239952009e-4,0,0.17696460707858763,0,3.999200159968006e-4,1.999600079984003e-4,0,0,0.061787642471505505,0.008998200359928014,0,0.012197560487902407,0,0,0,0,0,0,0,5.998800239952009e-4,0,0,0,0.002999400119976005,0,0,0,0,0,0,0,0.0035992801439712063,0.022595480903819187,0,0.05858828234353111,0.010397920415916811,0.009598080383923213,0,0.0011997600479904018,0.11537692461507842,0.014997000599880001,0.05018996200759833,0,0.013997200559888004,1.999600079984003e-4,0,0.014197160567886403,0,0,0,0.008998200359928014,0,0,0,0.0049990001999600095,0,0.016996600679864,0.012197560487902407,0.022795440911817587,0.024795040991801583,0.05578884223155352,0.018596280743851196,0.010397920415916811,0.010397920415916811,0.008398320335932815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
