45_d500_105_726_0_badger_2020-02-01,45_d500_105_726_1_badger_2014-02-01,45_d500_123_762_0_badger_2013-12-01,45_d500_124_3_badger_2015-08-01,45_d500_152_0_badger_2008-06-01,45_d500_152_1_badger_2014-06-01,45_d500_152_2_badger_2014-06-01,45_d500_152_3_badger_2011-06-01,45_d500_152_4_badger_2008-08-01,45_d500_152_5_badger_2013-08-01,45_d500_156_0_badger_2013-10-01,45_d500_156_1_badger_2008-06-01,45_d500_159_855_0_badger_2010-06-01,45_d500_159_855_1_badger_2011-09-01,45_d500_159_855_2_badger_2012-05-01,45_d500_160_0_badger_2008-03-01,45_d500_162_0_badger_2018-07-01,45_d500_163_0_badger_2015-06-01,45_d500_180_0_badger_2013-10-01,45_d500_180_1_badger_2018-08-01,45_d500_182_0_badger_2018-05-01,45_d500_57_715_0_badger_2015-06-01,45_d500_95_695_0_badger_2018-09-01,45_d500_98_0_badger_2019-05-01,45_d500_98_1_badger_2017-08-01,45_d500_98_2_badger_2015-08-01,45_d500_99_720_0_badger_2014-05-01,45_d500_99_720_1_badger_2016-12-01,45_d500_99_720_2_badger_2013-10-01,45_d500_99_720_3_badger_2020-02-01,45_d500_99_720_4_badger_2014-03-01,45_d500_99_839_0_badger_2017-09-01,45_d500_99_839_1_badger_2018-03-01,45_d500_99_866_1_badger_2015-03-01,45_d500_99_866_2_badger_2019-08-01,45_d500_99_866_3_badger_2020-02-01,45_d500_99_866_4_badger_2020-02-01,56_d500_16_0_badger_2015-08-01,56_d500_16_1_badger_2018-09-01,56_d500_16_2_badger_2017-02-01,56_d500_16_3_badger_2018-05-01,56_d500_1_0_badger_2018-09-01,64253028_0_cattle_2016-05-01,64253028_1_cattle_2016-05-01,64253028_2_cattle_2016-05-01,64253028_3_cattle_2016-03-01,64253_0_boar_2016-08-01,64253_1_boar_2017-01-01,64359211_0_cattle_2017-05-01,64359_0_boar_2016-01-01,64359_1_boar_2015-01-01,64359_2_boar_2015-04-01,64359_3_boar_2016-09-01,64359_4_boar_2018-07-01,64359_5_boar_2018-11-01,64359_6_boar_2020-02-01,64359_7_boar_2018-09-01,64416_0_boar_2010-12-01,64416_1_boar_2014-03-01,64416_2_boar_2018-03-01,64416_3_boar_2018-05-01,64420012_0_cattle_2016-01-01,64420012_1_cattle_2018-03-01,64420015_0_cattle_2008-05-01,64420015_1_cattle_2008-04-01,64420015_2_cattle_2008-05-01,64420015_3_cattle_2008-05-01,64420015_4_cattle_2008-05-01,64420035_0_cattle_2009-08-01,64420035_1_cattle_2014-01-01,64420035_2_cattle_2014-01-01,64420035_3_cattle_2014-01-01,64420035_4_cattle_2017-03-01,64420042_0_cattle_2013-04-01,64420042_1_cattle_2013-05-01,64420042_2_cattle_2013-05-01,64420042_3_cattle_2013-05-01,64420044_0_cattle_2008-11-01,64420044_1_cattle_2008-12-01,64422009_0_cattle_2018-07-01,64556034_0_cattle_2014-03-01,64556034_10_cattle_2014-03-01,64556034_11_cattle_2014-03-01,64556034_12_cattle_2014-03-01,64556034_13_cattle_2014-03-01,64556034_14_cattle_2014-05-01,64556034_1_cattle_2014-05-01,64556034_2_cattle_2014-03-01,64556034_3_cattle_2014-05-01,64556034_4_cattle_2014-05-01,64556034_5_cattle_2014-05-01,64556034_6_cattle_2014-05-01,64556034_7_cattle_2014-05-01,64556034_8_cattle_2014-05-01,64556034_9_cattle_2014-03-01,64556039_0_cattle_2014-02-01,64556048_0_cattle_2014-02-01,64556058_0_cattle_2014-03-01,64556058_1_cattle_2014-03-01,64556_0_boar_2013-08-01,64556_1_boar_2014-07-01,64556_2_boar_2014-01-01,64556_3_boar_2014-04-01,64556_4_boar_2014-08-01
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1.999600079984003e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.998000399920016e-4,0,0,9.998000399920016e-4,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0011997600479904018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.998800239952009e-4,0,0,0,0,0,0,0,0,3.999200159968006e-4,0,0,0,0,0.023595280943811185,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08318336332733497,0,0,0.1453709258148394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014197160567886403,0.013797240551889604,0.0067986402719456135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0.0161967606478704,0,0,0,0,0.0807838432313541,0.005598880223955211,3.999200159968006e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.999600079984003e-4,0,0,0,0,0,0,0,0,0,0,0.07718456308738278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0.15496900619876292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.999600079984003e-4,0,0,0,0,0,0,0,0,0.001399720055988802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0.0015996800639872023,0,0,0,0,0,0,0,0,0,0.011597680463907209,0.007198560287942414,0.0035992801439712063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03539292141571676,0,1.999600079984003e-4,0,0,0,0,0,0,0,0,0.009598080383923213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.998800239952009e-4,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0.0019996000799840027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003399320135972806,0.0017996400719856025,5.998800239952009e-4,0.03479304139172156,0.038592281543691154,0,0,0,0,0,0,0,0,0,0.0015996800639872023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0.5288942211557445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
