tinfection,tremoved,infector_id,infected_id
2016.3453377145825,2017.000000000018,5,40119050_0_cattle_2017-01-01
2016.7017570903079,2017.3287671233581,8,40119050_10_cattle_2017-05-01
2016.8328198241402,2017.2465753425226,10,40119050_1_cattle_2017-04-01
2016.6831869352766,2017.3287671233047,5,40119050_2_cattle_2017-05-01
2015.442136186216,2016.1639344263233,86,40119050_3_cattle_2016-03-01
2016.820719712648,2017.1616438357107,11,40119050_4_cattle_2017-03-01
2016.7405481270512,2017.0849315068624,11,40119050_5_cattle_2017-02-01
2016.3709146276672,2017.1616438356998,5,40119050_6_cattle_2017-03-01
2016.4271770352254,2017.1616438356632,5,40119050_7_cattle_2017-03-01
2016.2522225754467,2017.328767123343,5,40119050_8_cattle_2017-05-01
2016.184945641789,2017.3287671233431,5,40119050_9_cattle_2017-05-01
2017.1214376760659,2017.9150684931744,13,40119_0_boar_2017-12-01
2016.7696725216829,2018.6657534247333,5,40119_1_boar_2018-09-01
2018.1215589559647,2019.413698630155,66,45_d500_12_1911_0_badger_2019-06-01
2015.0384803966087,2017.3287671233284,366,45_d500_157_858_0_badger_2017-05-01
2013.5689524002516,2015.6657534247433,67,45_d500_15_0_badger_2015-09-01
2013.7986615012665,2015.2465753425633,67,45_d500_19_0_badger_2015-04-01
2014.855551509105,2016.7486338798037,47,45_d500_19_1_badger_2016-10-01
2019.4249895879734,2020.0846994535964,318,45_d500_19_2_badger_2020-02-01
2013.897744696563,2016.666666666674,16,45_d500_216_0_badger_2016-09-01
2015.3007063539762,2017.413698630203,371,45_d500_244_0_badger_2017-06-01
2014.8965714330618,2015.495890410997,276,45_d500_261_0_badger_2015-07-01
2017.3526473936124,2019.084931506933,338,45_d500_261_1_badger_2019-02-01
2020.0416160176007,2020.0846994535668,312,45_d500_261_2_badger_2020-02-01
2020.0303097717135,2020.0846994535866,313,45_d500_261_3_badger_2020-02-01
2019.8016258726543,2020.0846994536007,315,45_d500_261_4_badger_2020-02-01
2015.4280067946986,2016.581967213129,383,45_d500_37_544_0_badger_2016-08-01
2016.8043130053732,2018.4136986301726,347,45_d500_50_612_0_badger_2018-06-01
2017.9308999461257,2019.4958904110551,328,45_d500_53_596_0_badger_2019-07-01
2015.6313150343854,2018.9150684931637,377,45_d500_55_0_badger_2018-12-01
2016.3409644199776,2018.580821917809,348,45_d500_68_627_0_badger_2018-08-01
2018.7145513558962,2019.5808219178246,322,45_d500_81_659_0_badger_2019-08-01
2012.3543462632497,2012.4972677596445,284,64141039_33_cattle_2012-07-01
2016.0503780497959,2016.1639344263158,37,64165002_0_cattle_2016-03-01
2014.9493642039324,2016.1639344262803,366,64165002_1_cattle_2016-03-01
2014.5196992721394,2016.1639344262917,40,64165002_2_cattle_2016-03-01
2015.274639029366,2016.3306010929805,64,64165002_3_cattle_2016-05-01
2014.8777772705741,2016.1639344262574,390,64165002_4_cattle_2016-03-01
2016.1659581790184,2016.3306010929628,37,64165002_5_cattle_2016-05-01
