27_d500_139_0_badger_2017-06-01,27_d500_142_0_badger_2015-12-01,27_d500_142_1_badger_2020-02-01,27_d500_143_0_badger_2015-06-01,27_d500_143_1_badger_2018-02-01,27_d500_146_0_badger_2020-02-01,27_d500_149_0_badger_2020-02-01,27_d500_149_1_badger_2020-02-01,27_d500_171_0_badger_2020-02-01,27_d500_172_0_badger_2013-05-01,27_d500_173_0_badger_2013-09-01,27_d500_173_1_badger_2017-05-01,27_d500_174_0_badger_2015-02-01,27_d500_175_2211_0_badger_2016-09-01,27_d500_24_0_badger_2013-02-01,27_d500_24_1_badger_2017-06-01,27_d500_24_2_badger_2016-06-01,27_d500_24_3_badger_2014-10-01,27_d500_24_4_badger_2015-09-01,27_d500_25_0_badger_2019-07-01,27_d500_25_1_badger_2015-08-01,27_d500_26_0_badger_2015-11-01,27_d500_29_0_badger_2017-07-01,27_d500_29_1_badger_2016-01-01,27_d500_29_2_badger_2020-02-01,27_d500_29_3_badger_2019-08-01,27_d500_29_4_badger_2020-02-01,27_d500_61_0_badger_2016-09-01,27_d500_62_1224_0_badger_2015-09-01,27_d500_62_1224_1_badger_2014-06-01,27_d500_62_1482_0_badger_2015-06-01,27_d500_62_1482_1_badger_2016-07-01,27_d500_65_0_badger_2012-09-01,27_d500_65_1_badger_2018-09-01,27_d500_65_2_badger_2014-06-01,27_d500_66_0_badger_2015-07-01,27_d500_78_2_badger_2020-02-01,27_d500_83_0_badger_2016-08-01,27_d500_83_1_badger_2020-02-01,27_d500_86_0_badger_2020-02-01,27_d500_89_0_badger_2017-08-01,27_d500_94_1376_0_badger_2016-06-01,27_d500_98_0_badger_2016-03-01,27_d500_98_1_badger_2019-08-01,27_d500_98_2_badger_2020-02-01,40072014_0_cattle_2015-10-01,40072014_10_cattle_2015-10-01,40072014_11_cattle_2015-10-01,40072014_12_cattle_2015-10-01,40072014_13_cattle_2015-10-01,40072014_14_cattle_2015-10-01,40072014_15_cattle_2015-10-01,40072014_16_cattle_2015-10-01,40072014_17_cattle_2015-10-01,40072014_18_cattle_2015-10-01,40072014_1_cattle_2015-10-01,40072014_2_cattle_2015-08-01,40072014_3_cattle_2015-10-01,40072014_4_cattle_2015-10-01,40072014_5_cattle_2015-10-01,40072014_6_cattle_2015-10-01,40072014_7_cattle_2015-10-01,40072014_8_cattle_2015-10-01,40072014_9_cattle_2015-09-01,40072018_0_cattle_2015-08-01,40110022_0_cattle_2012-10-01,40110022_10_cattle_2015-02-01,40110022_11_cattle_2015-02-01,40110022_12_cattle_2015-02-01,40110022_13_cattle_2015-04-01,40110022_14_cattle_2014-06-01,40110022_15_cattle_2015-02-01,40110022_16_cattle_2015-04-01,40110022_17_cattle_2015-02-01,40110022_18_cattle_2015-02-01,40110022_19_cattle_2015-04-01,40110022_1_cattle_2012-07-01,40110022_20_cattle_2015-04-01,40110022_21_cattle_2015-02-01,40110022_22_cattle_2015-04-01,40110022_23_cattle_2015-04-01,40110022_24_cattle_2015-04-01,40110022_25_cattle_2015-02-01,40110022_26_cattle_2015-04-01,40110022_27_cattle_2015-04-01,40110022_28_cattle_2015-02-01,40110022_29_cattle_2015-04-01,40110022_2_cattle_2012-10-01,40110022_30_cattle_2015-02-01,40110022_31_cattle_2015-02-01,40110022_32_cattle_2015-04-01,40110022_33_cattle_2015-02-01,40110022_34_cattle_2015-04-01,40110022_35_cattle_2015-04-01,40110022_36_cattle_2015-04-01,40110022_37_cattle_2015-02-01,40110022_38_cattle_2015-04-01,40110022_39_cattle_2015-04-01,40110022_3_cattle_2015-02-01,40110022_40_cattle_2015-04-01,40110022_41_cattle_2015-04-01,40110022_42_cattle_2015-04-01,40110022_43_cattle_2015-04-01,40110022_44_cattle_2015-04-01,40110022_4_cattle_2015-02-01,40110022_5_cattle_2013-11-01,40110022_6_cattle_2015-04-01,40110022_7_cattle_2015-04-01,40110022_8_cattle_2015-02-01,40110022_9_cattle_2015-04-01,40220001_0_cattle_2014-12-01,40220001_1_cattle_2014-12-01,40220001_2_cattle_2014-12-01,40220019_0_cattle_2013-06-01,40220019_10_cattle_2013-12-01,40220019_11_cattle_2013-11-01,40220019_12_cattle_2013-12-01,40220019_13_cattle_2013-12-01,40220019_14_cattle_2013-12-01,40220019_15_cattle_2013-12-01,40220019_16_cattle_2013-12-01,40220019_17_cattle_2013-12-01,40220019_18_cattle_2013-12-01,40220019_19_cattle_2013-12-01,40220019_1_cattle_2013-12-01,40220019_20_cattle_2013-12-01,40220019_21_cattle_2013-12-01,40220019_22_cattle_2013-12-01,40220019_23_cattle_2013-12-01,40220019_24_cattle_2013-12-01,40220019_25_cattle_2013-12-01,40220019_26_cattle_2015-02-01,40220019_27_cattle_2015-02-01,40220019_28_cattle_2015-04-01,40220019_2_cattle_2013-12-01,40220019_3_cattle_2013-12-01,40220019_4_cattle_2013-12-01,40220019_5_cattle_2013-12-01,40220019_6_cattle_2013-12-01,40220019_7_cattle_2013-12-01,40220019_8_cattle_2013-12-01,40220019_9_cattle_2013-12-01,40220024_0_cattle_2011-12-01,40220024_10_cattle_2015-02-01,40220024_1_cattle_2014-12-01,40220024_2_cattle_2015-02-01,40220024_3_cattle_2014-12-01,40220024_4_cattle_2015-02-01,40220024_5_cattle_2014-12-01,40220024_6_cattle_2014-12-01,40220024_7_cattle_2014-12-01,40220024_8_cattle_2014-12-01,40220024_9_cattle_2015-02-01,40270058_0_cattle_2020-02-01,40270058_1_cattle_2020-02-01,40270058_2_cattle_2020-02-01,40270060_0_cattle_2018-11-01,40270060_10_cattle_2019-08-01,40270060_11_cattle_2019-08-01,40270060_1_cattle_2018-11-01,40270060_2_cattle_2018-08-01,40270060_3_cattle_2018-08-01,40270060_4_cattle_2018-11-01,40270060_5_cattle_2019-05-01,40270060_6_cattle_2018-11-01,40270060_7_cattle_2019-05-01,40270060_8_cattle_2019-05-01,40270060_9_cattle_2019-05-01,40286018_0_cattle_2014-11-01,40286018_10_cattle_2014-12-01,40286018_11_cattle_2014-12-01,40286018_12_cattle_2014-12-01,40286018_1_cattle_2014-12-01,40286018_2_cattle_2014-12-01,40286018_3_cattle_2014-12-01,40286018_4_cattle_2014-12-01,40286018_5_cattle_2014-12-01,40286018_6_cattle_2014-12-01,40286018_7_cattle_2014-12-01,40286018_8_cattle_2014-12-01,40286018_9_cattle_2014-12-01,40286038_0_cattle_2015-08-01,40286038_1_cattle_2015-07-01,40286038_2_cattle_2015-08-01,40321002_0_cattle_2016-03-01,40321002_10_cattle_2016-03-01,40321002_11_cattle_2016-03-01,40321002_12_cattle_2016-03-01,40321002_13_cattle_2016-03-01,40321002_1_cattle_2016-03-01,40321002_2_cattle_2016-03-01,40321002_3_cattle_2016-03-01,40321002_4_cattle_2016-03-01,40321002_5_cattle_2016-03-01,40321002_6_cattle_2016-03-01,40321002_7_cattle_2016-03-01,40321002_8_cattle_2016-03-01,40321002_9_cattle_2016-03-01,40321027_0_cattle_2015-04-01,40321027_10_cattle_2015-03-01,40321027_11_cattle_2015-04-01,40321027_12_cattle_2015-04-01,40321027_13_cattle_2015-04-01,40321027_14_cattle_2015-04-01,40321027_1_cattle_2015-04-01,40321027_2_cattle_2015-04-01,40321027_3_cattle_2015-03-01,40321027_4_cattle_2015-04-01,40321027_5_cattle_2015-04-01,40321027_6_cattle_2015-04-01,40321027_7_cattle_2015-04-01,40321027_8_cattle_2015-04-01,40321027_9_cattle_2015-04-01,45_d500_156_1_badger_2014-07-01,45_d500_156_2_badger_2014-06-01,45_d500_163_0_badger_2015-06-01,45_d500_78_668_0_badger_2014-10-01,45_d500_99_766_0_badger_2012-08-01,64281001_0_cattle_2013-04-01,64420015_0_cattle_2008-10-01,64420015_10_cattle_2008-10-01,64420015_11_cattle_2008-10-01,64420015_12_cattle_2008-10-01,64420015_13_cattle_2008-10-01,64420015_14_cattle_2008-10-01,64420015_15_cattle_2008-10-01,64420015_16_cattle_2011-09-01,64420015_17_cattle_2011-09-01,64420015_18_cattle_2011-09-01,64420015_19_cattle_2011-09-01,64420015_1_cattle_2008-10-01,64420015_20_cattle_2011-09-01,64420015_21_cattle_2011-09-01,64420015_22_cattle_2011-09-01,64420015_23_cattle_2011-09-01,64420015_24_cattle_2011-08-01,64420015_25_cattle_2011-09-01,64420015_2_cattle_2008-10-01,64420015_3_cattle_2008-10-01,64420015_4_cattle_2008-10-01,64420015_5_cattle_2008-10-01,64420015_6_cattle_2008-09-01,64420015_7_cattle_2008-10-01,64420015_8_cattle_2008-10-01,64420015_9_cattle_2008-10-01,64420035_0_cattle_2013-03-01,64420035_1_cattle_2013-01-01,64420035_2_cattle_2013-01-01,64420035_3_cattle_2013-03-01,64420035_4_cattle_2013-01-01,64420035_5_cattle_2013-01-01,64420035_6_cattle_2013-03-01,64420035_7_cattle_2013-03-01,64420035_8_cattle_2013-03-01,64420038_0_cattle_2013-01-01,64420038_1_cattle_2013-01-01,64420044_0_cattle_2011-02-01,64420044_10_cattle_2011-04-01,64420044_11_cattle_2011-05-01,64420044_12_cattle_2011-05-01,64420044_1_cattle_2010-09-01,64420044_2_cattle_2011-05-01,64420044_3_cattle_2011-05-01,64420044_4_cattle_2011-05-01,64420044_5_cattle_2011-05-01,64420044_6_cattle_2011-05-01,64420044_7_cattle_2011-05-01,64420044_8_cattle_2011-05-01,64420044_9_cattle_2011-05-01,64420047_0_cattle_2009-12-01,64420047_1_cattle_2012-08-01,64420047_2_cattle_2012-08-01,64420047_3_cattle_2012-08-01,64420047_4_cattle_2012-08-01,64420047_5_cattle_2012-07-01,64420047_6_cattle_2012-08-01,64420047_7_cattle_2012-08-01,64420047_8_cattle_2012-08-01,64420047_9_cattle_2012-08-01
0,0,0.01563937442502295,0,7.999680012799484e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.999920003199872e-4,0,5.199792008319666e-4,0,2.3999040038398463e-4,0,0.014159433622655059,0,0.0029998800047998063,0,0,0,0,0,0,0.018599256029758853,0,0,0.006039758409663633,0.001039958401663933,0.013039478420863143,0.0018799248030078786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014079436822527065,0.007159713611455573,0.009559617615295406,0.006119755209791629,0.009519619215231409,0,0.003919843206271747,0.007279708811647566,0.015519379224830956,0.006399744010239614,0,0.00739970401183956,0.006799728010879592,0.014159433622655059,0.001039958401663933,6.399744010239588e-4,0.0018799248030078786,0.0018799248030078786,0,0.013639454421823098,6.399744010239588e-4,0,8.399664013439459e-4,0.004559817607295713,9.599616015359381e-4,0,6.399744010239588e-4,0,9.199632014719407e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0.02707891684332658,0,0,0,0,0,0,0,0.7401703931842409,0,0,0,0,0,0,0,0.11903523859045201,0,0,0,0,0,0.08443662253509612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07139714411423367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021559137634494758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.199792008319666e-4,0,0,0,0,0,0,0,0,0,0,0,0.002959881604735809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.012479500819967185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.999680012799488e-5,0,0,0,0,0,0,0,0,0,0,0,0,3.999840006399744e-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.44078236870536214,0,0,0,0,0,0,0,0,0,0.03819847206111762,0,0,0,0,0,0,0,0.0026398944042238296,0,0,0,0,0,0.0015199392024319019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0031198752049917985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5009399624016514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021879124835006748,9.599616015359381e-4,6.799728010879562e-4,0.0010799568017279303,9.199632014719407e-4,0,8.799648014079433e-4,0.0010799568017279303,7.199712011519536e-4,0.0010799568017279303,7.199712011519536e-4,7.59969601215951e-4,0.11443542258309256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.3998240070397174e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.035038598456062,0,0,0,0,0,5.199792008319666e-4,0,1.1999520019199232e-4,0,0,0,0,0,0,1.1999520019199232e-4,0.01587936482540694,0,3.9998400063997433e-4,0,5.199792008319666e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.199792008319666e-4,1.999920003199872e-4,3.9998400063997433e-4,1.1999520019199232e-4,0.01839926402943886,0,1.1999520019199232e-4,0.009519619215231409,5.199792008319666e-4,1.1999520019199232e-4,0,3.9998400063997433e-4,4.3998240070397174e-4,1.1999520019199232e-4,0,0,0,0,0,5.199792008319666e-4,0,0,0,1.1999520019199232e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,3.199872005119795e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.999920003199872e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1999520019199232e-4,0,0,1.1999520019199232e-4,0.009879604815807382,1.1999520019199232e-4,0,0,0,0.006759729610815594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.199872005119795e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,7.199712011519536e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011839526418943234,0,0,6.399744010239588e-4,0,0,0,0,0.005039798408063687,0,0,0,0,1.5999360025598975e-4,1.5999360025598975e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.199712011519536e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.3998240070397174e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0071997120115195705,0,0,0,0,0,0,0,0.003919843206271747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007279708811647566,0.0017599296028158863,0,2.799888004479821e-4,0,0,0,0,0,0,0,0,0.001719931202751889,0,0,0,0,0,0.0023599056037758477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.999840006399744e-5,0,0,0,0,0,0,0.61585536578543,0.0051197952081916825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012439502419903188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.59977600895964e-4,7.59969601215951e-4,0,0,0,0,0,3.999840006399744e-5,3.599856005759769e-4,0,0,0,2.799888004479821e-4,0,0.029638814447422498,0.038598456061757574,0.00739970401183956,0.003159873605055796,0.05227790888364395,0.0022399104035838555,0.04163833446662121,0,0.02835886564537454,0.008759649614015467,0,0.003639854405823765,0.04687812487500459,0.034398624055038074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
