20_d500_71_0_badger_2017-10-01,20_d500_71_1_badger_2013-11-01,20_d500_71_2_badger_2018-09-01,20_d500_71_3_badger_2020-02-01,20_d500_71_4_badger_2020-02-01,20_d500_92_1460_0_badger_2020-02-01,20_d500_92_1460_1_badger_2018-05-01,20_d500_92_1460_2_badger_2018-07-01,40119050_0_cattle_2016-02-01,40252035_0_cattle_2019-06-01,40252035_10_cattle_2020-02-01,40252035_11_cattle_2019-09-01,40252035_1_cattle_2019-06-01,40252035_2_cattle_2020-02-01,40252035_3_cattle_2019-06-01,40252035_4_cattle_2019-06-01,40252035_5_cattle_2019-03-01,40252035_6_cattle_2019-06-01,40252035_7_cattle_2019-06-01,40252035_8_cattle_2019-06-01,40252035_9_cattle_2019-06-01,45_d500_123_762_0_badger_2013-06-01,45_d500_123_762_1_badger_2013-09-01,45_d500_155_880_0_badger_2015-02-01,45_d500_157_852_0_badger_2012-09-01,45_d500_157_858_0_badger_2013-09-01,45_d500_160_0_badger_2008-01-01,45_d500_237_0_badger_2020-02-01,45_d500_237_1_badger_2020-02-01,45_d500_65_0_badger_2020-02-01,45_d500_99_839_0_badger_2013-05-01,56_d500_24_0_badger_2016-01-01,56_d500_24_1_badger_2014-03-01,56_d500_24_2_badger_2020-02-01,56_d500_42_1988_0_badger_2017-07-01,56_d500_42_1988_2_badger_2017-03-01,56_d500_42_1988_4_badger_2019-05-01,56_d500_59_0_badger_2018-08-01,56_d500_59_1_badger_2018-08-01,64217022_0_cattle_2020-02-01,64217090_0_cattle_2016-03-01,64217090_10_cattle_2017-07-01,64217090_11_cattle_2017-04-01,64217090_12_cattle_2017-07-01,64217090_13_cattle_2017-04-01,64217090_14_cattle_2017-04-01,64217090_15_cattle_2018-10-01,64217090_1_cattle_2016-03-01,64217090_2_cattle_2016-05-01,64217090_3_cattle_2016-10-01,64217090_4_cattle_2016-03-01,64217090_5_cattle_2016-07-01,64217090_6_cattle_2016-07-01,64217090_7_cattle_2016-07-01,64217090_8_cattle_2016-07-01,64217090_9_cattle_2016-07-01,64217101_0_cattle_2015-08-01,64217101_1_cattle_2020-02-01,64241029_0_cattle_2015-05-01,64241029_1_cattle_2015-07-01,64241029_2_cattle_2015-07-01,64241029_3_cattle_2017-01-01,64241043_0_cattle_2019-12-01,64241043_1_cattle_2019-12-01,64241043_2_cattle_2020-02-01,64241043_3_cattle_2020-02-01,64244012_0_cattle_2013-07-01,64244012_10_cattle_2016-09-01,64244012_11_cattle_2016-08-01,64244012_12_cattle_2016-09-01,64244012_13_cattle_2018-02-01,64244012_14_cattle_2017-12-01,64244012_16_cattle_2017-12-01,64244012_17_cattle_2020-02-01,64244012_1_cattle_2013-12-01,64244012_2_cattle_2013-12-01,64244012_3_cattle_2013-12-01,64244012_4_cattle_2013-12-01,64244012_5_cattle_2013-11-01,64244012_6_cattle_2013-12-01,64244012_7_cattle_2013-12-01,64244012_8_cattle_2013-12-01,64244012_9_cattle_2016-09-01,64301015_0_cattle_2019-01-01,64326020_2_cattle_2009-07-01,64326020_7_cattle_2009-07-01,64326020_9_cattle_2009-05-01,64328057_6_cattle_2018-12-01,64409009_0_cattle_2019-04-01,64409018_0_cattle_2019-02-01,64420002_0_cattle_2010-01-01,64420009_7_cattle_2013-01-01,64420009_8_cattle_2014-03-01,64420015_0_cattle_2009-01-01,64420015_1_cattle_2008-03-01,64420015_2_cattle_2008-12-01,64420015_3_cattle_2012-03-01,64420015_4_cattle_2012-02-01,64420015_5_cattle_2012-03-01,64420015_6_cattle_2012-03-01,64420015_7_cattle_2012-03-01,64420015_8_cattle_2012-03-01,64420035_1_cattle_2012-06-01,64420035_2_cattle_2012-06-01,64420035_5_cattle_2012-06-01,64420035_6_cattle_2012-06-01,64420035_7_cattle_2012-06-01,64449006_0_cattle_2013-04-01,64449006_10_cattle_2013-04-01,64449006_11_cattle_2013-04-01,64449006_12_cattle_2013-04-01,64449006_1_cattle_2013-04-01,64449006_2_cattle_2013-04-01,64449006_3_cattle_2013-04-01,64449006_4_cattle_2013-03-01,64449006_5_cattle_2013-04-01,64449006_6_cattle_2013-04-01,64449006_7_cattle_2013-04-01,64449006_8_cattle_2013-04-01,64449006_9_cattle_2013-04-01,64459003_0_cattle_2012-08-01,64459003_10_cattle_2012-08-01,64459003_11_cattle_2012-08-01,64459003_12_cattle_2012-08-01,64459003_13_cattle_2012-08-01,64459003_14_cattle_2012-08-01,64459003_15_cattle_2012-03-01,64459003_16_cattle_2012-08-01,64459003_17_cattle_2012-08-01,64459003_18_cattle_2012-08-01,64459003_19_cattle_2012-08-01,64459003_1_cattle_2012-08-01,64459003_20_cattle_2012-08-01,64459003_21_cattle_2012-08-01,64459003_22_cattle_2012-08-01,64459003_23_cattle_2012-06-01,64459003_24_cattle_2012-08-01,64459003_25_cattle_2012-07-01,64459003_26_cattle_2012-07-01,64459003_27_cattle_2012-08-01,64459003_28_cattle_2012-08-01,64459003_29_cattle_2012-08-01,64459003_2_cattle_2012-08-01,64459003_30_cattle_2012-08-01,64459003_31_cattle_2012-08-01,64459003_32_cattle_2012-08-01,64459003_33_cattle_2012-08-01,64459003_34_cattle_2012-08-01,64459003_35_cattle_2012-08-01,64459003_36_cattle_2012-08-01,64459003_37_cattle_2012-08-01,64459003_38_cattle_2012-08-01,64459003_39_cattle_2012-08-01,64459003_3_cattle_2012-08-01,64459003_40_cattle_2012-08-01,64459003_41_cattle_2012-08-01,64459003_42_cattle_2012-08-01,64459003_43_cattle_2012-08-01,64459003_44_cattle_2012-08-01,64459003_45_cattle_2012-08-01,64459003_46_cattle_2012-08-01,64459003_47_cattle_2018-12-01,64459003_4_cattle_2012-08-01,64459003_5_cattle_2012-08-01,64459003_6_cattle_2012-08-01,64459003_7_cattle_2012-08-01,64459003_8_cattle_2012-08-01,64459003_9_cattle_2012-08-01,64459011_0_cattle_2013-01-01,64459011_1_cattle_2013-01-01,64508019_5_cattle_2014-05-01
0,0,0.8198360327933856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.007998400319936016,0,0,0,0,0,0,0,0.04159168166366715,0,0,0,0,0,0,0,0,0,0,0,0,0.0027994401119776045,0.19176164767046971,0.056788642271545516,0,0,0,0,0,0,0.008998200359928014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2069586082783486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.998800239952009e-4,0.02059588082383519,0.2757448510297969
0.05778844231153751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0.002199560087982403,0.0035992801439712063,0,0,0,1.999600079984003e-4,0.013397320535892805,3.999200159968006e-4,0,0.022595480903819187,0,0,1.999600079984003e-4,3.999200159968006e-4,0.00539892021595681,1.999600079984003e-4,0.009998000399920012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0.0023995200959808036,0,0.03979204159168155,3.999200159968006e-4,0.0011997600479904018,0,1.999600079984003e-4,3.999200159968006e-4,0,1.999600079984003e-4,0.002199560087982403,9.998000399920016e-4,1.999600079984003e-4,5.998800239952009e-4,7.998400319936012e-4,0.0049990001999600095,0.0023995200959808036,0.006198760247950412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0.0031993601279744054,0.04199160167966395,0,0.0049990001999600095,0.0037992401519696068,0,1.999600079984003e-4,0.0011997600479904018,9.998000399920016e-4,5.998800239952009e-4,3.999200159968006e-4,0.0023995200959808036,1.999600079984003e-4,0.004199160167966408,9.998000399920016e-4,0.004399120175964808,0.0017996400719856025,0.006198760247950412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0.0035992801439712063,0.004399120175964808,0.005598880223955211,0,0.249950009998006,0,0.03719256148770236,0.007398520295940815,0.05038992201559673,0.061787642471505505,0.004799040191961609,0.06518696260747839,0.03899220155968795,0.08958208358328398,0.03079384123175357,0.052389522095580725,0.11917616476704815,0.03619276144771036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0.009198160367926414,0.01099780043991201,0.009598080383923213,0.21815636872625938,0,0,0.03659268146370716,0.004199160167966408,0.046790641871625537,0.04439112177564474,0.010397920415916811,0.047390521895620735,0.028594281143771175,0.07718456308738278,0.04499100179963994,0.05338932213557272,0.11497700459908161,0.03419316136772636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.998400319936012e-4,0,0,0,3.999200159968006e-4,0.005598880223955211,0.28354329134173367,0.20595880823835658,0,0.006198760247950412,9.998000399920016e-4,0.022595480903819187,0.009398120375924813,0,0.004799040191961609,0.018396320735852796,0.0715856828634274,0.002599480103979204,0.0023995200959808036,0.061787642471505505,9.998000399920016e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.999600079984003e-4,0,0,0,0,0,0,0,0,0
0,0,0,9.998000399920016e-4,0.0011997600479904018,0.0011997600479904018,0.006598680263947213,0.008598280343931215,0,0,3.999200159968006e-4,3.999200159968006e-4,0.005998800239952012,0,0.002999400119976005,0.10957808438312464,0.07638472305538915,0.20815836832633905,0.003999200159968007,0.005998800239952012,0.002599480103979204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
