64301067_0_cattle_2018-01-01,64301067_1_cattle_2018-01-01,64301067_2_cattle_2019-03-01,64301083_0_cattle_2020-02-01,64301083_1_cattle_2020-02-01,64367042_0_cattle_2019-04-01,64367042_1_cattle_2018-12-01,64367042_2_cattle_2018-12-01,64367042_3_cattle_2019-04-01,64367_12_boar_2018-04-01,64367_13_boar_2018-06-01,64367_14_boar_2019-01-01,64367_17_boar_2020-02-01,64420012_0_cattle_2015-06-01,64420015_0_cattle_2009-10-01,64420015_10_cattle_2009-10-01,64420015_11_cattle_2009-09-01,64420015_12_cattle_2009-10-01,64420015_13_cattle_2009-10-01,64420015_14_cattle_2009-10-01,64420015_15_cattle_2009-10-01,64420015_16_cattle_2009-10-01,64420015_17_cattle_2009-10-01,64420015_1_cattle_2009-10-01,64420015_2_cattle_2009-10-01,64420015_3_cattle_2009-10-01,64420015_4_cattle_2009-10-01,64420015_5_cattle_2009-10-01,64420015_6_cattle_2009-10-01,64420015_7_cattle_2009-10-01,64420015_8_cattle_2009-10-01,64420015_9_cattle_2009-09-01,64420038_3_cattle_2013-12-01,64420038_4_cattle_2014-02-01,64420039_0_cattle_2013-10-01,64420039_1_cattle_2013-09-01,64420039_2_cattle_2013-10-01,64420039_3_cattle_2014-12-01,64420047_0_cattle_2014-05-01,64420047_1_cattle_2014-03-01,64420047_2_cattle_2014-05-01,64420047_3_cattle_2014-05-01,64497054_0_cattle_2015-10-01,64497054_1_cattle_2015-11-01,64497054_2_cattle_2015-12-01,64497054_3_cattle_2015-12-01,64497054_4_cattle_2015-12-01,64497054_5_cattle_2015-12-01,64512024_0_cattle_2014-02-01,64512024_1_cattle_2014-04-01,64512024_2_cattle_2014-04-01,64512024_3_cattle_2015-07-01,64512053_0_cattle_2016-02-01,64512053_1_cattle_2016-06-01,64556001_0_cattle_2018-02-01,64556001_10_cattle_2018-06-01,64556001_11_cattle_2018-06-01,64556001_12_cattle_2018-02-01,64556001_13_cattle_2018-09-01,64556001_14_cattle_2018-06-01,64556001_15_cattle_2018-02-01,64556001_16_cattle_2018-06-01,64556001_17_cattle_2018-02-01,64556001_18_cattle_2018-02-01,64556001_19_cattle_2018-06-01,64556001_1_cattle_2018-02-01,64556001_20_cattle_2018-06-01,64556001_21_cattle_2018-02-01,64556001_22_cattle_2018-06-01,64556001_23_cattle_2018-02-01,64556001_24_cattle_2018-06-01,64556001_25_cattle_2018-06-01,64556001_26_cattle_2019-03-01,64556001_27_cattle_2019-06-01,64556001_28_cattle_2019-09-01,64556001_29_cattle_2020-02-01,64556001_2_cattle_2018-02-01,64556001_3_cattle_2018-02-01,64556001_4_cattle_2018-02-01,64556001_5_cattle_2018-06-01,64556001_6_cattle_2018-02-01,64556001_7_cattle_2018-06-01,64556001_8_cattle_2018-02-01,64556001_9_cattle_2018-06-01,64556002_0_cattle_2018-03-01,64556002_10_cattle_2020-02-01,64556002_11_cattle_2020-02-01,64556002_12_cattle_2020-02-01,64556002_1_cattle_2018-01-01,64556002_2_cattle_2018-01-01,64556002_3_cattle_2018-03-01,64556002_4_cattle_2018-03-01,64556002_5_cattle_2018-01-01,64556002_6_cattle_2018-01-01,64556002_7_cattle_2018-03-01,64556002_8_cattle_2018-03-01,64556002_9_cattle_2018-03-01,64556005_0_cattle_2016-12-01,64556005_10_cattle_2020-02-01,64556005_1_cattle_2018-02-01,64556005_2_cattle_2018-02-01,64556005_3_cattle_2019-12-01,64556005_4_cattle_2020-02-01,64556005_5_cattle_2020-02-01,64556005_6_cattle_2019-12-01,64556005_7_cattle_2019-12-01,64556005_8_cattle_2019-12-01,64556005_9_cattle_2019-12-01,64556019_0_cattle_2016-02-01,64556019_1_cattle_2016-02-01,64556019_2_cattle_2016-04-01,64556019_3_cattle_2016-02-01,64556019_4_cattle_2016-02-01,64556023_0_cattle_2014-04-01,64556029_0_cattle_2016-12-01,64556032_0_cattle_2019-12-01,64556033_0_cattle_2016-03-01,64556033_1_cattle_2016-03-01,64556033_2_cattle_2016-03-01,64556033_3_cattle_2020-02-01,64556033_4_cattle_2020-02-01,64556034_0_cattle_2015-03-01,64556039_0_cattle_2019-04-01,64556039_1_cattle_2019-06-01,64556039_2_cattle_2019-02-01,64556044_0_cattle_2016-05-01,64556044_1_cattle_2016-03-01,64556044_2_cattle_2016-03-01,64556044_3_cattle_2016-03-01,64556048_0_cattle_2017-01-01,64556048_1_cattle_2017-01-01,64556048_2_cattle_2017-03-01,64556048_3_cattle_2017-03-01,64556048_4_cattle_2017-03-01,64556051_0_cattle_2015-04-01,64556051_1_cattle_2015-04-01,64556051_2_cattle_2015-04-01,64556051_3_cattle_2015-02-01,64556051_4_cattle_2015-04-01,64556051_5_cattle_2015-04-01,64556051_6_cattle_2015-06-01,64556051_7_cattle_2020-02-01,64556058_0_cattle_2018-02-01,64556058_1_cattle_2018-02-01,64556500_0_cattle_2018-06-01,64556_0_boar_2014-06-01,64556_10_boar_2017-04-01,64556_11_boar_2017-11-01,64556_12_boar_2020-02-01,64556_13_boar_2019-12-01,64556_14_boar_2020-02-01,64556_15_boar_2020-02-01,64556_16_boar_2020-02-01,64556_1_boar_2019-05-01,64556_2_boar_2015-07-01,64556_3_boar_2020-02-01,64556_4_boar_2015-10-01,64556_5_boar_2016-12-01,64556_6_boar_2016-07-01,64556_7_boar_2016-03-01,64556_8_boar_2017-11-01,64556_9_boar_2017-07-01
0,7.998400319936012e-4,5.998800239952009e-4,0,0,0,0,0,0,0.0049990001999600095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002199560087982403,0,0.0017996400719856025,0.0017996400719856025,3.999200159968006e-4,9.998000399920016e-4,0.0011997600479904018,0.0011997600479904018,5.998800239952009e-4,0.05418916216756632,0.001399720055988802,0.002199560087982403,0,0.001399720055988802,0,0,9.998000399920016e-4,0.0023995200959808036,0,5.998800239952009e-4,0,0,0,7.998400319936012e-4,0.0037992401519696068,1.999600079984003e-4,0.0019996000799840027,1.999600079984003e-4,0.038592281543691154,0.033793241351729564,0.0023995200959808036,0,0,0,0.22915416916617173,3.999200159968006e-4,0.0011997600479904018,0,0.004399120175964808,7.998400319936012e-4,5.998800239952009e-4,0.0027994401119776045,0,0,0,0.42771445710856476,0.003999200159968007,0,0,0,0,0,0,7.998400319936012e-4,0,0,0,0,0,0,9.998000399920016e-4,0,0,0,0,0,1.999600079984003e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002199560087982403,0.0017996400719856025,0.1695660867826466,0,0.00519896020795841,7.998400319936012e-4,0,5.998800239952009e-4,0,0,0,0,0,0,0,9.998000399920016e-4,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0653869226154768,0,0,0,0.1393721255748872,0,0,0.13497300539892226,0,0,0,0,0,0,0.1759648070385956,0,0,0,0,0,0,0,0,0,0,0,0,0.08518296340731904,0,0.0807838432313541,0,0,0.03659268146370716,0.03499300139971996,0.07098580283943218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014397120575884803,0,0,0,0,0,0,0.006598680263947213,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0.006398720255948813,0.003999200159968007,0.3077384523095375,0.0019996000799840027,0.0011997600479904018,9.998000399920016e-4,0.0017996400719856025,3.999200159968006e-4,0.0023995200959808036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.999200159968006e-4,0.03079384123175357,0.0017996400719856025,0,0,3.999200159968006e-4,0.014197160567886403,5.998800239952009e-4,0,0,0.0017996400719856025,0.001399720055988802,0,0,3.999200159968006e-4,5.998800239952009e-4,0.02679464107178558,0.007398520295940815,0.03179364127174557,0.019796040791841593,0,0,0,3.999200159968006e-4,7.998400319936012e-4,0.001399720055988802,0.012797440511897606,1.999600079984003e-4,0.0011997600479904018,0,0,0.0037992401519696068,0.0031993601279744054,0,0.0017996400719856025,9.998000399920016e-4,0.0017996400719856025,0,0.001399720055988802,0.001399720055988802,1.999600079984003e-4,0,0,0,0,0,3.999200159968006e-4,0,0.002999400119976005,0.001399720055988802,0,9.998000399920016e-4,3.999200159968006e-4,5.998800239952009e-4,0,0,0,0,0,0,3.999200159968006e-4,0,0,0,0,0.005798840231953611,0,0,0.014397120575884803,0.001399720055988802,0.0017996400719856025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001399720055988802,0.006998600279944014,0,0,0.0017996400719856025,3.999200159968006e-4,0,5.998800239952009e-4,0,0.002199560087982403,0,0.011797640471905608,0,0.002599480103979204,0,0,0,0,0,0
0,0,0,0,0.005998800239952012,0.001399720055988802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0015996800639872023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0049990001999600095,0.009198160367926414,0,0,0,0,0,0,0,0,0,0,0,0.0049990001999600095,0.008998200359928014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03459308138372316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012997400519896006,0,0,0.0023995200959808036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009398120375924813,0,0.003999200159968007,0,0.03039392121575677,0,0,0,0,0,0
0,0,0.0027994401119776045,0.01099780043991201,0,0.006598680263947213,0,0,0,3.999200159968006e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008198360327934416,3.999200159968006e-4,3.999200159968006e-4,0,0,0.007998400319936016,3.999200159968006e-4,0,0,0,0,0,0,0,3.999200159968006e-4,0.0023995200959808036,3.999200159968006e-4,0.0157968406318736,0.023995200959807984,0,0,0,0,0,0,9.998000399920016e-4,0,0,3.999200159968006e-4,0,0.02059588082383519,0.04159168166366715,0,3.999200159968006e-4,0,0,0,3.999200159968006e-4,0,0,0,0,0,0,0,3.999200159968006e-4,0,0.013197360527894405,0,0,0,0,0,0,0,0,0,0,0,3.999200159968006e-4,0,0,0,0,0.0157968406318736,0,0,0.010397920415916811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.999200159968006e-4,0,0,3.999200159968006e-4,0,0,0,0,0.012197560487902407,0,0.006598680263947213,0,0.013597280543891204,0,0,0,0,0,0
0,0,0.3191361727654451,0.0023995200959808036,0.005598880223955211,0,5.998800239952009e-4,5.998800239952009e-4,3.999200159968006e-4,0,0,5.998800239952009e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023395320935812786,0,0,0,0,0.009998000399920012,0,0,0,0,0,0,0,0,0,0.017396520695860798,0.003399320135972806,0.022395520895820788,0.012397520495900807,0,0,0,0,0,0,0.016996600679864,0,0,0,0,0.0015996800639872023,0.0015996800639872023,0,0,0,0,0,0,0,0,0,0,0,1.999600079984003e-4,0,0,0,0.003399320135972806,0,0,3.999200159968006e-4,1.999600079984003e-4,0,0,0,0,0,0,0,0,0,0,0,0,0.0049990001999600095,0,0,0.01099780043991201,0,5.998800239952009e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0017996400719856025,0,0,0,0,0,3.999200159968006e-4,0,0.0019996000799840027,0,0.013197360527894405,0,0.0011997600479904018,0,0,0,0,0,0
3.999200159968006e-4,0,0.0023995200959808036,0,0,0.001399720055988802,0,0.03119376124775037,0.023195360927814386,0.005598880223955211,9.998000399920016e-4,0.3849230153969117,0.0023995200959808036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.999600079984003e-4,3.999200159968006e-4,0.0037992401519696068,5.998800239952009e-4,0,3.999200159968006e-4,0.007198560287942414,0.0035992801439712063,7.998400319936012e-4,0.0011997600479904018,0.002199560087982403,0.002199560087982403,0,0.0017996400719856025,1.999600079984003e-4,7.998400319936012e-4,0.00539892021595681,0.01079784043191361,0.0015996800639872023,0.0019996000799840027,7.998400319936012e-4,0.008798240351929614,0,0.002599480103979204,0.0019996000799840027,0.0015996800639872023,0.0035992801439712063,0.003399320135972806,0.004399120175964808,0,7.998400319936012e-4,0,0,0.010197960407918412,0.0037992401519696068,3.999200159968006e-4,0.003399320135972806,0,0.002599480103979204,0.0023995200959808036,0,0.0027994401119776045,0,0,0.01079784043191361,9.998000399920016e-4,0.0017996400719856025,0.002599480103979204,0,0.007398520295940815,0.007998400319936016,0.01079784043191361,0.008198360327934416,0.011797640471905608,0,0,0,0,0,0,0.0019996000799840027,0,0,0,0,0,0.002199560087982403,0,0,0.017796440711857597,0.02559488102379518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0031993601279744054,0.03599280143971196,9.998000399920016e-4,0,0.005598880223955211,0.0027994401119776045,0,0.0027994401119776045,0.001399720055988802,0,0.0017996400719856025,0,0,0,0,3.999200159968006e-4,0,0,0,0
0.0017996400719856025,0.0011997600479904018,0.002199560087982403,0,7.998400319936012e-4,3.999200159968006e-4,0.03479304139172156,0,0.027994401119775976,0,0,0.019796040791841593,0.002599480103979204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0019996000799840027,0,0,0,0,0.0031993601279744054,0,0,0.0017996400719856025,0,0.0023995200959808036,0,0,0,0,0.0019996000799840027,0.014997000599880001,0.0015996800639872023,0.0027994401119776045,0,0.012397520495900807,0,7.998400319936012e-4,0,0,0.008198360327934416,0,0,7.998400319936012e-4,0,0,0,0.011997600479904008,0,7.998400319936012e-4,7.998400319936012e-4,0,0.0017996400719856025,0,5.998800239952009e-4,0,0,0,0.011397720455908809,0,0,0.0015996800639872023,0,0.012597480503899207,0.00539892021595681,0.029794041191761572,0.01119776044791041,0.032993401319735965,0,0,0,0,0,0,0.0017996400719856025,0,0,0,0,0,0.012597480503899207,0,0,0.3823235352929328,0.03459308138372316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002599480103979204,0.033193361327734365,0,0,0.0017996400719856025,0,0,0.018596280743851196,0.0027994401119776045,0,3.999200159968006e-4,0,0,0,0,0.0017996400719856025,0,0,0,0
0,0,0,0,0,1.999600079984003e-4,0.01079784043191361,0.02139572085582879,0,0,0,0.013597280543891204,0.08018396320735888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.998400319936012e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001399720055988802,5.998800239952009e-4,0,0,0.004399120175964808,0,0,0,0,0.001399720055988802,0,0,0,0,0,0,0.003999200159968007,0,0,0,0,0,0,0,0,0,0,0.006398720255948813,0,0,0.02139572085582879,0,0.0049990001999600095,0.12777444511097963,0.007398520295940815,0.00519896020795841,0.0067986402719456135,0,0,0,0,0,0,0,0,0,0,0,0,0.0049990001999600095,0,0,0.0049990001999600095,0.1699660067986434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011797640471905608,0,0,0,0,0,0.0045990801839632086,0.05138972205558873,0,0.004799040191961609,0,0,0,0,0,0,0,0,0
0.03219356128774237,0.009998000399920012,0.006598680263947213,0,9.998000399920016e-4,0.006598680263947213,0.006998600279944014,0.008198360327934416,0.004799040191961609,0,0.029394121175764773,0.011797640471905608,1.999600079984003e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03099380123975197,0.006398720255948813,0.06818636272745449,0.027394521095780777,0.025194961007798382,0.047790441911617534,0.033193361327734365,0.03599280143971196,0.0171965606878624,0.03039392121575677,0.06958608278344333,0.03099380123975197,0,0.03499300139971996,0.03119376124775037,0.009198160367926414,0.011797640471905608,0.05618876224755032,0.012997400519896006,0.006998600279944014,0.00539892021595681,0,7.998400319936012e-4,0.05978804239152151,0.06078784243151351,0.02099580083983199,0.0163967206558688,0.037992401519695955,0.038392321535692754,0.019396120775844794,0.023395320935812786,1.999600079984003e-4,1.999600079984003e-4,3.999200159968006e-4,0.023395320935812786,0.02559488102379518,0.06978604279144174,0.011997600479904008,0.04999000199959993,0.05458908218356312,0.01099780043991201,0.012997400519896006,0.0067986402719456135,0,0.001399720055988802,0.027194561087782378,0.05318936212757432,0,0,0,0,0.002999400119976005,0,3.999200159968006e-4,0,0,0,0,0,0,0.08618276344731107,0.00519896020795841,0,0,0,1.999600079984003e-4,1.999600079984003e-4,0,3.999200159968006e-4,0.004199160167966408,0.0049990001999600095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.029394121175764773,0.04959008198360313,0.017396520695860798,0,0.1053789242151581,0.047390521895620735,0,3.999200159968006e-4,0,0,0,1.999600079984003e-4,0,0,0,0.05558888222355512,0,0,0,0
