3_d500_284_0_badger_2017-06-01,3_d500_284_1_badger_2016-05-01,3_d500_284_2_badger_2019-11-01,3_d500_284_3_badger_2016-06-01,3_d500_303_1_badger_2020-02-01,3_d500_303_2_badger_2017-09-01,3_d500_304_0_badger_2018-08-01,3_d500_304_1_badger_2016-09-01,3_d500_305_0_badger_2015-08-01,3_d500_305_1_badger_2018-12-01,45_d500_100_0_badger_2020-02-01,45_d500_156_0_badger_2017-06-01,45_d500_156_3_badger_2014-07-01,45_d500_160_1_badger_2013-06-01,45_d500_160_2_badger_2020-02-01,45_d500_160_3_badger_2015-05-01,45_d500_160_4_badger_2016-10-01,45_d500_160_5_badger_2020-02-01,45_d500_163_0_badger_2015-07-01,45_d500_163_1_badger_2015-09-01,45_d500_168_0_badger_2015-03-01,45_d500_168_1_badger_2013-03-01,45_d500_169_0_badger_2012-02-01,45_d500_170_0_badger_2014-05-01,45_d500_175_0_badger_2017-08-01,45_d500_175_1_badger_2016-09-01,45_d500_176_0_badger_2012-04-01,45_d500_176_1_badger_2013-08-01,45_d500_177_0_badger_2013-08-01,45_d500_177_1_badger_2012-11-01,45_d500_177_2_badger_2020-02-01,45_d500_177_3_badger_2015-10-01,45_d500_178_0_badger_2012-12-01,45_d500_178_1_badger_2012-10-01,45_d500_178_2_badger_2012-01-01,45_d500_178_3_badger_2014-07-01,45_d500_182_0_badger_2017-09-01,45_d500_298_0_badger_2020-02-01,45_d500_40_0_badger_2020-02-01,45_d500_57_605_0_badger_2018-06-01,45_d500_57_687_0_badger_2018-07-01,45_d500_57_687_1_badger_2020-02-01,45_d500_57_715_0_badger_2017-08-01,45_d500_57_715_1_badger_2020-02-01,45_d500_57_715_2_badger_2019-06-01,45_d500_57_715_3_badger_2020-02-01,45_d500_82_0_badger_2019-07-01,45_d500_86_0_badger_2020-02-01,45_d500_87_0_badger_2020-02-01,45_d500_91_0_badger_2020-02-01,45_d500_99_716_0_badger_2019-07-01,45_d500_99_716_1_badger_2017-08-01,45_d500_99_720_0_badger_2020-02-01,45_d500_99_720_1_badger_2020-02-01,45_d500_99_866_0_badger_2015-05-01,45_d500_99_866_1_badger_2016-09-01,45_d500_99_869_0_badger_2020-02-01,64201008_0_cattle_2010-02-01,64201008_1_cattle_2010-04-01,64201008_2_cattle_2010-04-01,64201014_0_cattle_2012-08-01,64201014_1_cattle_2012-08-01,64201014_2_cattle_2012-08-01,64201014_3_cattle_2012-07-01,64201014_4_cattle_2012-01-01,64201014_5_cattle_2012-08-01,64201014_6_cattle_2012-05-01,64201014_7_cattle_2012-06-01,64201014_8_cattle_2012-08-01,64201014_9_cattle_2012-08-01,64201021_0_cattle_2011-01-01,64201021_10_cattle_2012-09-01,64201021_11_cattle_2012-08-01,64201021_12_cattle_2012-09-01,64201021_13_cattle_2012-09-01,64201021_14_cattle_2012-09-01,64201021_15_cattle_2012-09-01,64201021_16_cattle_2012-09-01,64201021_1_cattle_2011-01-01,64201021_2_cattle_2011-01-01,64201021_3_cattle_2011-01-01,64201021_4_cattle_2010-12-01,64201021_5_cattle_2011-01-01,64201021_6_cattle_2011-01-01,64201021_7_cattle_2011-01-01,64201021_8_cattle_2011-01-01,64201021_9_cattle_2012-09-01,64281003_0_cattle_2016-02-01,64281003_1_cattle_2016-06-01,64281003_2_cattle_2016-02-01,64281003_3_cattle_2016-02-01,64281003_4_cattle_2016-02-01,64281003_5_cattle_2016-02-01,64281003_6_cattle_2016-09-01,64290007_0_cattle_2016-02-01,64290007_10_cattle_2015-12-01,64290007_11_cattle_2016-06-01,64290007_12_cattle_2016-06-01,64290007_13_cattle_2016-09-01,64290007_1_cattle_2016-02-01,64290007_2_cattle_2016-02-01,64290007_3_cattle_2016-01-01,64290007_4_cattle_2015-03-01,64290007_5_cattle_2016-02-01,64290007_6_cattle_2016-02-01,64290007_7_cattle_2016-01-01,64290007_8_cattle_2016-06-01,64290007_9_cattle_2016-02-01,64290015_0_cattle_2019-03-01,64290015_1_cattle_2019-05-01,64290015_2_cattle_2019-03-01,64290015_3_cattle_2019-05-01,64290015_4_cattle_2019-05-01,64310006_0_cattle_2016-04-01,64310006_10_cattle_2016-06-01,64310006_11_cattle_2016-06-01,64310006_12_cattle_2016-09-01,64310006_13_cattle_2016-02-01,64310006_14_cattle_2016-06-01,64310006_15_cattle_2016-06-01,64310006_16_cattle_2016-06-01,64310006_17_cattle_2016-06-01,64310006_18_cattle_2016-06-01,64310006_19_cattle_2016-06-01,64310006_1_cattle_2016-06-01,64310006_20_cattle_2016-06-01,64310006_21_cattle_2016-06-01,64310006_22_cattle_2016-06-01,64310006_23_cattle_2016-06-01,64310006_24_cattle_2016-06-01,64310006_25_cattle_2016-05-01,64310006_26_cattle_2016-03-01,64310006_27_cattle_2016-06-01,64310006_28_cattle_2016-06-01,64310006_29_cattle_2016-06-01,64310006_2_cattle_2016-06-01,64310006_30_cattle_2016-09-01,64310006_31_cattle_2016-06-01,64310006_32_cattle_2016-06-01,64310006_33_cattle_2016-09-01,64310006_3_cattle_2016-06-01,64310006_4_cattle_2016-06-01,64310006_5_cattle_2016-06-01,64310006_6_cattle_2016-06-01,64310006_7_cattle_2016-06-01,64310006_8_cattle_2016-06-01,64310006_9_cattle_2016-06-01,64359023_0_cattle_2020-02-01,64359056_0_cattle_2019-12-01,64359056_1_cattle_2020-02-01,64359056_2_cattle_2020-02-01,64359056_3_cattle_2019-12-01,64359108_0_cattle_2020-02-01,64359110_0_cattle_2019-01-01,64359142_0_cattle_2019-12-01,64359149_0_cattle_2019-12-01,64359149_1_cattle_2019-12-01,64359149_2_cattle_2019-12-01,64359149_3_cattle_2019-12-01,64359158_0_cattle_2018-02-01,64359158_1_cattle_2018-03-01,64359158_2_cattle_2020-02-01,64359158_3_cattle_2020-02-01,64359187_0_cattle_2019-06-01,64359187_1_cattle_2019-07-01,64359200_0_cattle_2020-02-01,64359211_0_cattle_2018-12-01,64420009_0_cattle_2013-04-01,64420009_1_cattle_2017-02-01,64420009_2_cattle_2017-02-01,64420009_3_cattle_2017-06-01,64420009_4_cattle_2017-06-01,64420009_5_cattle_2017-12-01,64420009_6_cattle_2017-06-01,64420009_7_cattle_2018-03-01,64420015_0_cattle_2008-04-01,64420015_1_cattle_2008-01-01,64420015_2_cattle_2008-04-01,64420015_3_cattle_2008-06-01,64420015_4_cattle_2008-04-01,64420038_0_cattle_2015-09-01,64420038_1_cattle_2015-09-01,64420038_2_cattle_2015-08-01,64420042_0_cattle_2018-03-01,64420047_0_cattle_2016-01-01,64420047_1_cattle_2016-05-01,64420047_2_cattle_2016-01-01,64521015_0_cattle_2015-07-01,64521015_10_cattle_2015-07-01,64521015_1_cattle_2015-06-01,64521015_2_cattle_2015-07-01,64521015_3_cattle_2015-07-01,64521015_4_cattle_2015-07-01,64521015_5_cattle_2015-07-01,64521015_6_cattle_2015-07-01,64521015_7_cattle_2015-07-01,64521015_8_cattle_2015-07-01,64521015_9_cattle_2015-07-01,64521016_0_cattle_2016-05-01,64521016_1_cattle_2016-05-01,64521016_2_cattle_2016-05-01,64521016_3_cattle_2016-03-01,64521016_4_cattle_2016-03-01,64521016_5_cattle_2016-03-01,64554016_0_cattle_2014-12-01
0,0,0.0031993601279744054,0,0.01079784043191361,0.5730853829233862,0.2709458108378358,0.06758648270345927,0,0.03539292141571676,0,0,0,0,0.001399720055988802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03119376124775037,0.0045990801839632086,0.02059588082383519,0.04899020195960793,0.012197560487902407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0011997600479904018,0,0,0,0,0,0,0,0,0,0,0,0,0,5.998800239952009e-4,5.998800239952009e-4,0,0,0,0
0,0,0,0.07218556288742262,0,0,0,0.006398720255948813,0.002999400119976005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16436712657468802,0.019596080783843194,0.0011997600479904018,0.001399720055988802,0.037992401519695955,0.004399120175964808,0.1699660067986434,9.998000399920016e-4,0.017996400719855997,0.013197360527894405,0.008598280343931215,0,0.09758048390322024,0.003999200159968007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007598480303939215,0.005998800239952012,0.007398520295940815,0,0.017796440711857597,0.011597680463907209,0.002999400119976005,0.004199160167966408,0.03539292141571676,0.004799040191961609,0.06638672265546883,0.001399720055988802,0.001399720055988802,0.003399320135972806,0.012997400519896006,0.00519896020795841,0.009798040391921612,0.01099780043991201,0.0015996800639872023,0.0027994401119776045,7.998400319936012e-4,3.999200159968006e-4,3.999200159968006e-4,1.999600079984003e-4,0.007198560287942414
0,0,0,0,0.04559088182363514,0,0.0037992401519696068,0,0,0.0023995200959808036,0,0,0,0,0.10177964407118678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.998800239952009e-4,7.998400319936012e-4,0.0031993601279744054,0.07898420315936844,7.998400319936012e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.03519296140771836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03039392121575677,0.0031993601279744054,0,0,0.49550089982001516,1.999600079984003e-4,0.022595480903819187,0,0.0023995200959808036,0,5.998800239952009e-4,0,0.31273745250949697,0.0015996800639872023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.998000399920016e-4,5.998800239952009e-4,7.998400319936012e-4,0,7.998400319936012e-4,7.998400319936012e-4,0,9.998000399920016e-4,0.0045990801839632086,7.998400319936012e-4,0.011597680463907209,0,0,0,7.998400319936012e-4,0,0.0015996800639872023,0,0,5.998800239952009e-4,9.998000399920016e-4,0,0,0,0.0023995200959808036
0,0,0.05378924215156952,0,0,0,0.009998000399920012,0,0,0.009198160367926414,0,0,0,0,0.02139572085582879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004399120175964808,0.003399320135972806,0.004399120175964808,0.06898620275944811,0.001399720055988802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.3709258148370252,0,0,0,0.003399320135972806,0,0.1577684463107406,0.03919216156768635,0,0.033193361327734365,0,0,0,0,9.998000399920016e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02579484103179358,0.00539892021595681,0.008798240351929614,0.024595080983803183,0.007798440311937616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.998000399920016e-4,0,0,0,0
0.032793441311737566,0,0.061187762447510306,0,0.06058788242351511,0.029994001199759972,0,0.006998600279944014,0,0.2579484103179412,0,0,0,0,0.033593281343731164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14397120575885056,0.06518696260747839,0.15336932613477566,0.21775644871026256,0.06698660267946405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.4011197760447804,0.0017996400719856025,0.002199560087982403,0,0.0017996400719856025,0.28654269146170935,0.10757848430314057,0,9.998000399920016e-4,0.014597080583883202,0,0,0,0,0.0035992801439712063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.998000399920016e-4,0.042391521695660746,0,3.999200159968006e-4,0,1.999600079984003e-4,0,0.0027994401119776045,7.998400319936012e-4,0.0017996400719856025,0,3.999200159968006e-4,1.999600079984003e-4,0.00519896020795841,0.002599480103979204,0.0031993601279744054,0.017996400719855997,0.0017996400719856025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.998800239952009e-4,1.999600079984003e-4,0.001399720055988802,0,7.998400319936012e-4,0.06938612277544493,0,0.0017996400719856025,0.0027994401119776045,0.0019996000799840027,0.0017996400719856025,9.998000399920016e-4,0,0.0019996000799840027,0.0017996400719856025,0,1.999600079984003e-4,0.002599480103979204,7.998400319936012e-4,0.024795040991801583,0.05878824235152951,0,0,0,0.0017996400719856025
0,0.001399720055988802,0,0.0011997600479904018,0,0,0,5.998800239952009e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0015996800639872023,0.0049990001999600095,0,1.999600079984003e-4,5.998800239952009e-4,0.11097780443911348,0.0031993601279744054,0.09798040391921706,0.009198160367926414,0.002199560087982403,0.001399720055988802,0.09718056388722343,9.998000399920016e-4,0.0049990001999600095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0035992801439712063,1.999600079984003e-4,0.001399720055988802,0,0,0.002199560087982403,0.09438112377524574,0.19856028794241554,0.007398520295940815,0.006998600279944014,0.0019996000799840027,0.0035992801439712063,3.999200159968006e-4,0.032993401319735965,0.004399120175964808,0.028394321135772775,0.002999400119976005,0.004199160167966408,3.999200159968006e-4,0,0.006398720255948813,0.1547690461907645,0.06438712257548476,0.05378924215156952,0.05058988202359513
0,0,0.026994601079783978,0,0.006198760247950412,0,0.07138572285542899,0,0,0,0,0,0,0,0.010397920415916811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11117776444711189,0.22375524895021476,0.12917416516696847,0.06898620275944811,0.23175364927015102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
