19_d500_10_0_badger_2017-05-01,2_d500_28_0_badger_2017-08-01,2_d500_41_0_badger_2019-07-01,2_d500_42_0_badger_2019-09-01,2_d500_43_0_badger_2014-07-01,2_d500_6_0_badger_2018-06-01,2_d500_9_0_badger_2015-05-01,40089001_0_cattle_2014-04-01,40089001_1_cattle_2014-05-01,40089001_2_cattle_2014-05-01,40089001_3_cattle_2014-05-01,40089001_4_cattle_2014-05-01,40089001_5_cattle_2014-05-01,40089001_6_cattle_2014-05-01,40089001_7_cattle_2014-05-01,40089001_8_cattle_2014-05-01,40089001_9_cattle_2014-05-01,40203001_0_cattle_2016-12-01,40203001_1_cattle_2016-12-01,40203015_0_cattle_2016-02-01,40203015_1_cattle_2016-02-01,40203015_2_cattle_2016-01-01,40203015_3_cattle_2016-02-01,40203015_4_cattle_2016-02-01,40203015_5_cattle_2016-02-01,40203015_6_cattle_2016-02-01,40203015_7_cattle_2016-02-01,40203015_8_cattle_2016-02-01,45_d500_155_880_0_badger_2020-02-01,45_d500_156_0_badger_2015-02-01,45_d500_157_858_0_badger_2013-05-01,45_d500_157_858_1_badger_2013-08-01,45_d500_159_855_0_badger_2012-03-01,45_d500_160_0_badger_2018-06-01,45_d500_163_0_badger_2013-06-01,45_d500_163_1_badger_2020-02-01,45_d500_57_715_0_badger_2013-07-01,45_d500_61_0_badger_2017-08-01,45_d500_61_1_badger_2020-02-01,45_d500_78_668_0_badger_2014-02-01,45_d500_78_668_1_badger_2017-05-01,45_d500_99_866_1_badger_2013-04-01,45_d500_99_866_2_badger_2013-09-01,45_d500_99_866_3_badger_2014-03-01,45_d500_99_866_4_badger_2019-06-01,45_d500_99_866_5_badger_2014-08-01,45_d500_99_869_0_badger_2020-02-01,45_d500_99_869_1_badger_2014-08-01,64359108_0_cattle_2020-02-01,64359108_1_cattle_2020-02-01,64359187_0_cattle_2014-01-01,64359187_1_cattle_2014-01-01,64359187_2_cattle_2014-01-01,64359189_0_cattle_2018-03-01,64420009_0_cattle_2014-03-01,64420009_10_cattle_2017-04-01,64420009_11_cattle_2017-02-01,64420009_12_cattle_2017-02-01,64420009_13_cattle_2017-04-01,64420009_14_cattle_2017-02-01,64420009_15_cattle_2017-04-01,64420009_16_cattle_2017-04-01,64420009_17_cattle_2017-04-01,64420009_1_cattle_2014-01-01,64420009_2_cattle_2014-01-01,64420009_3_cattle_2014-01-01,64420009_4_cattle_2014-01-01,64420009_5_cattle_2014-01-01,64420009_6_cattle_2014-03-01,64420009_7_cattle_2014-01-01,64420009_8_cattle_2014-03-01,64420009_9_cattle_2017-04-01,64420015_0_cattle_2007-04-01,64420015_1_cattle_2007-06-01,64420015_2_cattle_2007-04-01,64420035_0_cattle_2012-05-01,64420035_10_cattle_2012-07-01,64420035_11_cattle_2012-05-01,64420035_12_cattle_2012-07-01,64420035_13_cattle_2012-07-01,64420035_14_cattle_2012-07-01,64420035_15_cattle_2012-05-01,64420035_16_cattle_2012-05-01,64420035_17_cattle_2012-07-01,64420035_18_cattle_2012-07-01,64420035_19_cattle_2012-05-01,64420035_1_cattle_2012-07-01,64420035_20_cattle_2012-05-01,64420035_21_cattle_2012-07-01,64420035_22_cattle_2016-03-01,64420035_2_cattle_2012-05-01,64420035_3_cattle_2012-05-01,64420035_4_cattle_2012-05-01,64420035_5_cattle_2012-05-01,64420035_6_cattle_2012-05-01,64420035_7_cattle_2012-05-01,64420035_8_cattle_2012-05-01,64420035_9_cattle_2012-05-01
0,0.06438712257548476,0.001399720055988802,0.0023995200959808036,0,0.018396320735852796,1.999600079984003e-4,0,0,0,0,0,0,0,0,0,0,5.998800239952009e-4,0,0.018196360727854397,0.002599480103979204,7.998400319936012e-4,0.0017996400719856025,0.002199560087982403,9.998000399920016e-4,3.999200159968006e-4,1.999600079984003e-4,1.999600079984003e-4,0,0,0,0,0,0.03919216156768635,0,0,0,0,0,0,0.31473705258948076,0,0,0,0.005798840231953611,1.999600079984003e-4,7.998400319936012e-4,0,0,0,0,0,0,7.998400319936012e-4,0,0,1.999600079984003e-4,0,0,5.998800239952009e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003999200159968007,0,0,0,0,0,0,0,0
0.04579084183163354,0,0.08938212357528558,0.05798840231953591,0,0.1055788842231565,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0023995200959808036,9.998000399920016e-4,0,0,3.999200159968006e-4,0,0,0,1.999600079984003e-4,5.998800239952009e-4,0,0,0,0,0.11717656468706408,0,0,0,0,0,0,0.05498900219955992,0,0,0,0.1297740451909637,0,0.018796240751849595,0,7.998400319936012e-4,0,0,0,0,0.012397520495900807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0011997600479904018,0,0,0,0,0,0,0,0
0,0.014397120575884803,0,0.013597280543891204,0,7.998400319936012e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.999200159968006e-4,0,0,0,0,0,0,0,0,0,0,0.03419316136772636,0,0.032793441311737566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.003999200159968007,0.019796040791841593,0,0,1.999600079984003e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.999200159968006e-4,0,0,0,0,0,0,0,0,0,0,0.056788642271545516,0,0.004399120175964808,0,0.00519896020795841,0.0015996800639872023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0.18036392721456054,9.998000399920016e-4,0,0,0,0,0.0035992801439712063,0.003999200159968007,0,0,0,0,0,0,0,0,0,0,0,0,5.998800239952009e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.999600079984003e-4,0,0.037792441511697555,0,0,0,0,0,0,5.998800239952009e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,5.998800239952009e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.007198560287942414,0.046790641871625537,0.008198360327934416,0.0037992401519696068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0019996000799840027,0,0,0,0,0.17336532693461632,0,0,0,0,0,0,0.012197560487902407,0,0,0,0.005598880223955211,0,0.0023995200959808036,0,0,0,0,0,0,0.2467506498700315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.005598880223955211,5.998800239952009e-4,0,0,0,0,0,0,0,5.998800239952009e-4,3.999200159968006e-4,0,0,0.03699260147970396,0,0.003399320135972806,0.0027994401119776045,0.002999400119976005,0.0035992801439712063,0.07658468306338756,0.07298540291941624,0.03619276144771036,0.0161967606478704,0.11817636472705612,0.11657668466306886,0.09338132373525371,0.014197160567886403,0.029994001199759972,0,0.17216556688662588,0,0,0,0.0017996400719856025,0,0,0,0,0,0,0.012797440511897606,0,0,0.0015996800639872023,0,0.06918616276744652,0,0.001399720055988802,0,0,0,0,9.998000399920016e-4,0,0.003999200159968007,5.998800239952009e-4,0,0,7.998400319936012e-4,0,0,0,0,7.998400319936012e-4,0,0,0,0,0.0015996800639872023,0,0.0011997600479904018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04639072185562874,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0.05038992201559673,0,0,0.02539492101579678,0.013197360527894405,0,0.014797040591881602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0011997600479904018,0,0,0,0.004799040191961609,0,0.007398520295940815,0,0,0.007198560287942414,0,0.002599480103979204,0,0.003999200159968007,0,5.998800239952009e-4,0,0,0,0,0.004399120175964808,0.06898620275944811,0.0023995200959808036,0,0.0015996800639872023,0,0,0,0,0,0,0,0,0.003399320135972806,5.998800239952009e-4,0.37692461507697655,0.007198560287942414,0.0017996400719856025,0.001399720055988802,0.0023995200959808036,0.0019996000799840027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.998400319936012e-4,0,0
0,0,0,0,0,0,0,0.0655868826234752,0,0,0,0.19356128774245537,0.10717856428714376,0,0.10077984403119475,9.998000399920016e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0027994401119776045,0,0,0,0.00519896020795841,0,0.0067986402719456135,0,0,0.00519896020795841,0,0,0,0.004399120175964808,0,0,0,0,0,0,0.0017996400719856025,0.18096380723855576,0.0027994401119776045,0,0.002599480103979204,0,0,0,0,0,0,0,0,0.001399720055988802,0.0031993601279744054,0.0839832033593286,0.013597280543891204,5.998800239952009e-4,0.004199160167966408,0.0027994401119776045,0.0067986402719456135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0.8154369126174212,0,0.0011997600479904018,0,0,0,0.009398120375924813,0,0,0.00519896020795841,0,0.0163967206558688,0.01099780043991201,0,0,0,0,0,0,0,0,0,0,0,0,0.0015996800639872023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00539892021595681,0,0.13777244551089995,0,0,0,0,0,0,0.0067986402719456135,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0035992801439712063,0,3.999200159968006e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
