tinfection,tremoved,infector_id,infected_id
2016.691882430331,2017.4136986301553,185,27_d500_139_0_badger_2017-06-01
2015.4877687158062,2015.9150684932208,177,27_d500_142_0_badger_2015-12-01
2019.8694457017345,2020.0846994536091,286,27_d500_142_1_badger_2020-02-01
2015.2566167380282,2015.4136986301535,177,27_d500_143_0_badger_2015-06-01
2016.3059421200403,2018.0849315069438,202,27_d500_143_1_badger_2018-02-01
2019.979479448228,2020.0846994536462,283,27_d500_146_0_badger_2020-02-01
2019.114735037847,2020.0846994535648,299,27_d500_149_0_badger_2020-02-01
2019.8918320697917,2020.0846994536353,285,27_d500_149_1_badger_2020-02-01
2018.9740975477723,2020.0846994535987,303,27_d500_171_0_badger_2020-02-01
2012.7439763745701,2013.328767123341,77,27_d500_172_0_badger_2013-05-01
2013.539960618834,2013.665753424715,106,27_d500_173_0_badger_2013-09-01
2017.150969940688,2017.328767123312,324,27_d500_173_1_badger_2017-05-01
2014.4626924834579,2015.084931506924,329,27_d500_174_0_badger_2015-02-01
2015.7562642443463,2016.6666666666858,182,27_d500_175_2211_0_badger_2016-09-01
2010.6122150633578,2013.084931506888,360,27_d500_24_0_badger_2013-02-01
2016.1984151949766,2017.4136986302221,17,27_d500_24_1_badger_2017-06-01
2015.519784960099,2016.4153005465448,326,27_d500_24_2_badger_2016-06-01
2012.672249039483,2014.7479452055031,335,27_d500_24_3_badger_2014-10-01
2013.4438365995898,2015.6657534247038,330,27_d500_24_4_badger_2015-09-01
2018.6968734887837,2019.4958904109662,309,27_d500_25_0_badger_2019-07-01
2014.6190347171307,2015.5808219178732,329,27_d500_25_1_badger_2015-08-01
2015.6683911732466,2015.832876712368,63,27_d500_26_0_badger_2015-11-01
2016.3656356508243,2017.495890411042,202,27_d500_29_0_badger_2017-07-01
2015.748087722576,2016.000000000014,182,27_d500_29_1_badger_2016-01-01
2019.7423936980401,2020.0846994535866,289,27_d500_29_2_badger_2020-02-01
2017.1382893652722,2019.580821917857,320,27_d500_29_3_badger_2019-08-01
2019.9558457789487,2020.0846994535668,284,27_d500_29_4_badger_2020-02-01
2015.6492906016529,2016.6666666667033,326,27_d500_61_0_badger_2016-09-01
2015.0885134078876,2015.6657534247554,202,27_d500_62_1224_0_badger_2015-09-01
2013.8376012912497,2014.413698630149,10,27_d500_62_1224_1_badger_2014-06-01
2015.1850132379477,2015.4136986301378,211,27_d500_62_1482_0_badger_2015-06-01
2014.80450186939,2016.4972677595797,130,27_d500_62_1482_1_badger_2016-07-01
2009.6453321300073,2012.66666666675,367,27_d500_65_0_badger_2012-09-01
2016.8499366586225,2018.6657534247443,17,27_d500_65_1_badger_2018-09-01
2013.909787964381,2014.4136986301871,130,27_d500_65_2_badger_2014-06-01
2014.797511185171,2015.4958904110208,59,27_d500_66_0_badger_2015-07-01
2019.0205628992485,2020.0846994536362,301,27_d500_78_2_badger_2020-02-01
2016.1637641228217,2016.5819672131436,197,27_d500_83_0_badger_2016-08-01
2019.4605065597154,2020.0846994536184,295,27_d500_83_1_badger_2020-02-01
2020.02800885679,2020.0846994535668,282,27_d500_86_0_badger_2020-02-01
2015.334426349431,2017.5808219179066,202,27_d500_89_0_badger_2017-08-01
2015.4158342895666,2016.415300546477,202,27_d500_94_1376_0_badger_2016-06-01
2016.0691927892265,2016.16393442624,42,27_d500_98_0_badger_2016-03-01
2018.931114493739,2019.5808219178246,304,27_d500_98_1_badger_2019-08-01
2019.7382145273298,2020.0846994536462,290,27_d500_98_2_badger_2020-02-01
2015.274680448521,2015.7479452055597,32,40072014_0_cattle_2015-10-01
2014.5781942662259,2015.7479452055777,130,40072014_10_cattle_2015-10-01
2015.1316621786023,2015.7479452055152,63,40072014_11_cattle_2015-10-01
2015.4963718997003,2015.7479452055304,21,40072014_12_cattle_2015-10-01
2014.8066540167613,2015.747945205561,47,40072014_13_cattle_2015-10-01
2015.1080828951954,2015.7479452054808,328,40072014_14_cattle_2015-10-01
2015.1995702167521,2015.7479452054815,61,40072014_15_cattle_2015-10-01
2015.04382996508,2015.7479452055486,47,40072014_16_cattle_2015-10-01
2014.8319859695323,2015.7479452055732,329,40072014_17_cattle_2015-10-01
2014.9366022277168,2015.7479452055077,61,40072014_18_cattle_2015-10-01
2015.5778487603238,2015.7479452055613,327,40072014_1_cattle_2015-10-01
2015.0160614478896,2015.5808219178857,329,40072014_2_cattle_2015-08-01
2015.432629534483,2015.747945205579,59,40072014_3_cattle_2015-10-01
2014.3910497760944,2015.7479452055416,130,40072014_4_cattle_2015-10-01
2014.989921113269,2015.747945205551,61,40072014_5_cattle_2015-10-01
2014.5482092545008,2015.7479452055572,130,40072014_6_cattle_2015-10-01
2015.3019900042198,2015.7479452055688,61,40072014_7_cattle_2015-10-01
2014.6744026941055,2015.7479452055427,130,40072014_8_cattle_2015-10-01
2015.073780771876,2015.6657534246851,328,40072014_9_cattle_2015-09-01
2015.4880909283333,2015.580821917893,177,40072018_0_cattle_2015-08-01
2010.6780913654748,2012.7486338798276,367,40110022_0_cattle_2012-10-01
2013.8514395211178,2015.084931506887,146,40110022_10_cattle_2015-02-01
2012.8434432270544,2015.0849315068942,89,40110022_11_cattle_2015-02-01
2014.592902547639,2015.08493150687,82,40110022_12_cattle_2015-02-01
2013.4690937955859,2015.2465753424729,102,40110022_13_cattle_2015-04-01
2013.3701274831144,2014.4136986301633,338,40110022_14_cattle_2014-06-01
2012.946791874655,2015.0849315068792,339,40110022_15_cattle_2015-02-01
2014.5666834075853,2015.2465753424706,330,40110022_16_cattle_2015-04-01
2014.6821712660515,2015.0849315068665,82,40110022_17_cattle_2015-02-01
2014.1510704907514,2015.0849315068665,130,40110022_18_cattle_2015-02-01
2013.8535603377502,2015.2465753425417,336,40110022_19_cattle_2015-04-01
2011.1277341757088,2012.4972677595924,362,40110022_1_cattle_2012-07-01
2014.9883463046274,2015.2465753425531,101,40110022_20_cattle_2015-04-01
2014.8008492939812,2015.0849315068883,75,40110022_21_cattle_2015-02-01
2015.04534778459,2015.2465753425236,67,40110022_22_cattle_2015-04-01
2014.4746235967266,2015.2465753425013,329,40110022_23_cattle_2015-04-01
2013.8950154693941,2015.2465753425336,122,40110022_24_cattle_2015-04-01
2014.7219889432236,2015.0849315068506,130,40110022_25_cattle_2015-02-01
2015.133437520333,2015.2465753425063,82,40110022_26_cattle_2015-04-01
2014.5057366920917,2015.2465753424863,329,40110022_27_cattle_2015-04-01
2013.6981599691899,2015.0849315069338,153,40110022_28_cattle_2015-02-01
2014.2870365674466,2015.2465753425633,130,40110022_29_cattle_2015-04-01
2009.2941647843036,2012.7486338798162,266,40110022_2_cattle_2012-10-01
2012.447079135807,2015.0849315069213,346,40110022_30_cattle_2015-02-01
2014.8280752458925,2015.0849315068822,82,40110022_31_cattle_2015-02-01
2015.14386622293,2015.246575342564,99,40110022_32_cattle_2015-04-01
2014.7837597228995,2015.0849315068879,82,40110022_33_cattle_2015-02-01
2014.9981184676165,2015.2465753425042,81,40110022_34_cattle_2015-04-01
2015.0065620704083,2015.2465753425222,101,40110022_35_cattle_2015-04-01
2013.0481511116232,2015.2465753425126,146,40110022_36_cattle_2015-04-01
2014.7761321829769,2015.0849315068679,109,40110022_37_cattle_2015-02-01
2014.612635743172,2015.246575342509,70,40110022_38_cattle_2015-04-01
2014.7908132644382,2015.2465753424756,82,40110022_39_cattle_2015-04-01
