45_d500_152_0_badger_2011-11-01,45_d500_160_0_badger_2019-05-01,45_d500_261_1_badger_2016-08-01,45_d500_78_668_0_badger_2017-05-01,45_d500_78_668_1_badger_2015-09-01,45_d500_99_766_0_badger_2015-05-01,45_d500_99_766_1_badger_2018-05-01,45_d500_99_766_2_badger_2012-10-01,45_d500_99_766_3_badger_2012-12-01,45_d500_99_766_4_badger_2017-09-01,45_d500_99_766_5_badger_2016-09-01,45_d500_99_839_0_badger_2013-07-01,45_d500_99_866_0_badger_2015-05-01,64002002_0_cattle_2015-06-01,64002002_1_cattle_2015-05-01,64002_0_boar_2013-01-01,64002_10_boar_2017-08-01,64002_11_boar_2016-01-01,64002_12_boar_2016-10-01,64002_1_boar_2015-04-01,64002_2_boar_2017-12-01,64002_3_boar_2016-03-01,64002_4_boar_2015-07-01,64002_5_boar_2015-04-01,64002_6_boar_2015-08-01,64002_7_boar_2014-08-01,64002_8_boar_2015-06-01,64002_9_boar_2017-02-01,64152_0_boar_2018-03-01,64405006_0_cattle_2017-01-01,64405006_1_cattle_2017-01-01,64405006_2_cattle_2017-01-01,64420012_0_cattle_2013-01-01,64420012_10_cattle_2013-01-01,64420012_11_cattle_2013-01-01,64420012_12_cattle_2013-01-01,64420012_13_cattle_2013-01-01,64420012_14_cattle_2013-01-01,64420012_15_cattle_2013-01-01,64420012_16_cattle_2013-01-01,64420012_17_cattle_2013-01-01,64420012_18_cattle_2013-01-01,64420012_19_cattle_2013-01-01,64420012_1_cattle_2013-01-01,64420012_20_cattle_2013-01-01,64420012_21_cattle_2013-01-01,64420012_22_cattle_2013-01-01,64420012_23_cattle_2019-02-01,64420012_24_cattle_2019-06-01,64420012_25_cattle_2019-02-01,64420012_26_cattle_2019-06-01,64420012_27_cattle_2019-02-01,64420012_28_cattle_2019-02-01,64420012_29_cattle_2019-02-01,64420012_2_cattle_2013-01-01,64420012_30_cattle_2019-02-01,64420012_31_cattle_2019-02-01,64420012_32_cattle_2019-06-01,64420012_33_cattle_2019-02-01,64420012_34_cattle_2020-02-01,64420012_35_cattle_2019-06-01,64420012_36_cattle_2019-12-01,64420012_37_cattle_2020-02-01,64420012_38_cattle_2020-02-01,64420012_39_cattle_2020-02-01,64420012_3_cattle_2012-12-01,64420012_40_cattle_2020-02-01,64420012_4_cattle_2013-01-01,64420012_5_cattle_2013-01-01,64420012_6_cattle_2013-01-01,64420012_7_cattle_2013-01-01,64420012_8_cattle_2013-01-01,64420012_9_cattle_2013-01-01,64420035_0_cattle_2011-06-01,64420035_10_cattle_2015-03-01,64420035_11_cattle_2015-03-01,64420035_12_cattle_2019-09-01,64420035_1_cattle_2011-06-01,64420035_2_cattle_2011-07-01,64420035_3_cattle_2011-02-01,64420035_4_cattle_2011-07-01,64420035_5_cattle_2011-07-01,64420035_6_cattle_2011-07-01,64420035_7_cattle_2011-07-01,64420035_8_cattle_2011-07-01,64420035_9_cattle_2015-03-01,64420039_0_cattle_2016-02-01,64420039_1_cattle_2016-02-01,64420039_2_cattle_2016-02-01,64420039_3_cattle_2016-02-01,64420039_4_cattle_2016-02-01,64420039_5_cattle_2016-02-01,64420047_0_cattle_2018-03-01,64420047_1_cattle_2018-03-01,64420047_2_cattle_2018-05-01,64472005_0_cattle_2016-02-01,64472005_1_cattle_2016-05-01,64472005_2_cattle_2016-05-01,64472005_3_cattle_2016-01-01,64472005_4_cattle_2016-08-01,64472005_5_cattle_2016-05-01,64472005_6_cattle_2016-05-01,64472005_7_cattle_2016-05-01,64472005_8_cattle_2016-05-01,64472_0_boar_2017-07-01,64472_1_boar_2018-02-01,6_d500_20_0_badger_2016-11-01,6_d500_28_0_badger_2020-02-01,6_d500_30_0_badger_2016-08-01,6_d500_30_1_badger_2014-09-01,6_d500_30_2_badger_2017-09-01,6_d500_7_0_badger_2018-09-01,6_d500_9_0_badger_2017-06-01
0,0,0,0,0,0,0,0.04479104179164154,0.03539292141571676,0,0,0.004199160167966408,0,9.998000399920016e-4,1.999600079984003e-4,0.004799040191961609,0,0,0,0,0,0,1.999600079984003e-4,0,0.001399720055988802,5.998800239952009e-4,0,0,0,0,0,0,0.001399720055988802,0.007798440311937616,0.01079784043191361,5.998800239952009e-4,0.006198760247950412,0.004199160167966408,0.0017996400719856025,0.0035992801439712063,0,0.004199160167966408,0.006998600279944014,0.0027994401119776045,0.009598080383923213,0.008798240351929614,0.002599480103979204,0,0,0,0,0,0,0,0.0011997600479904018,0,0,0,0,0,0,0,0,0,0,0.029394121175764773,0,0.003999200159968007,0,0.009198160367926414,0,0.008798240351929614,0.0045990801839632086,0.006198760247950412,3.999200159968006e-4,0,0,0.02079584083183359,0.047390521895620735,0.019596080783843194,0.037592481503699156,0.009998000399920012,0.005998800239952012,0.011997600479904008,0.005998800239952012,0,0,0,0,0,0,0,0,0,0,1.999600079984003e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,1.999600079984003e-4,0,0,0
0,0,0,0,0,0,0,0,0,5.998800239952009e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0011997600479904018,0,0,0,0,0.007198560287942414,0.004799040191961609,0,0,0.06938612277544493,0,0,0.0011997600479904018,1.999600079984003e-4,0,0,0,0,0,0,0,0,0,0,0,5.998800239952009e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0011997600479904018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,5.998800239952009e-4,0,1.999600079984003e-4,0,0,0,0,0,5.998800239952009e-4,0,0,0,0,0,0,3.999200159968006e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012997400519896006,0,0,0,0,0,0,0,0,0,0,1.999600079984003e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009398120375924813,0,0,0,3.999200159968006e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.999200159968006e-4,0,0.0023995200959808036,0,0
0,0,0,0,0,0,0,0,0,0,0,0.001399720055988802,0,0,0,0,0,0.0011997600479904018,0,0,0,7.998400319936012e-4,0.0017996400719856025,0.06638672265546883,0,5.998800239952009e-4,1.999600079984003e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.999600079984003e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0011997600479904018,0,0,0.0011997600479904018,0,0,0,0,0,0,0,0,0,0,5.998800239952009e-4,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.999200159968006e-4,0,0,0,0,0,0,0,0,0,0,0,0,0.7870425914816515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008598280343931215,0.0027994401119776045,0,0.016996600679864,0.006398720255948813,0.003999200159968007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.05918816236752631,0,0,0,0,0,0,0,0.06798640271945608,0,0,0.011997600479904008,0,0,0,0.02139572085582879,0,0,0,0,0,0,1.999600079984003e-4,0,0.003399320135972806,0.0031993601279744054,0,0,0,0,0,0,0.004399120175964808,0.02199560087982399,0.007598480303939215,0.0017996400719856025,0.012597480503899207,0.00539892021595681,0.0037992401519696068,0.006598680263947213,0,0.005598880223955211,0.005998800239952012,0.0045990801839632086,0.019596080783843194,0.019196160767846394,0.009198160367926414,0,0,0,0,0,0,0,0.008998200359928014,0,0,0,0,0,0,0,0,0,0,0.07038592281543696,0,0.007998400319936016,1.999600079984003e-4,0.015996800639872,0.0015996800639872023,0.023995200959807984,0.011997600479904008,1.999600079984003e-4,0.0015996800639872023,7.998400319936012e-4,0,7.998400319936012e-4,0.008398320335932815,0.0011997600479904018,0.01099780043991201,0.0011997600479904018,5.998800239952009e-4,0,5.998800239952009e-4,3.999200159968006e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.999600079984003e-4,0,0,0
0.04959008198360313,0,0,0,1.999600079984003e-4,0,0,0.07118576284743058,0,0,0,0.019596080783843194,0,7.998400319936012e-4,0,0.017396520695860798,0,0,0,0,0,0,0,3.999200159968006e-4,0.0017996400719856025,0.0023995200959808036,1.999600079984003e-4,0,0,0,0,0,0.003999200159968007,0.018196360727854397,0.018796240751849595,7.998400319936012e-4,0.013997200559888004,0.008598280343931215,0.0011997600479904018,0.009198160367926414,5.998800239952009e-4,0.008798240351929614,0.014397120575884803,0.009398120375924813,0.022995400919815986,0.019996000799839993,0.0157968406318736,0,0,0,0,0,0,0,0.004199160167966408,0,0,0,0,0,0,0,0,0,0,0.06018796240751831,0,0.01079784043191361,7.998400319936012e-4,0.019996000799839993,0,0.0165966806638672,0.014797040591881602,0.002199560087982403,0.0019996000799840027,0,0,0.0017996400719856025,0.013397320535892805,0.002599480103979204,0.0165966806638672,0.004199160167966408,0.001399720055988802,0.0023995200959808036,0.004799040191961609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.999200159968006e-4,5.998800239952009e-4,0,0,0
0,0.0031993601279744054,0,0,0,0,0,0,0,0,0.06018796240751831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0153969206158768,0.00539892021595681,0.01059788042391521,0.0171965606878624,0.016996600679864,0.02179564087182559,0.03619276144771036,0,0.029194161167766373,0.03059388122375517,0.02659468106378718,0.008598280343931215,0,0.004799040191961609,0.005998800239952012,7.998400319936012e-4,0.0031993601279744054,0,0,0,0,0,0,0,0,0,0,0,0,0.015996800639872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03639272145570876,0.04439112177564474,0.06058788242351511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
