45_d500_101_0_badger_2019-06-01,45_d500_102_0_badger_2020-02-01,45_d500_102_1_badger_2020-02-01,45_d500_102_2_badger_2019-08-01,45_d500_103_0_badger_2018-11-01,45_d500_109_844_0_badger_2020-02-01,45_d500_109_844_1_badger_2019-07-01,45_d500_124_0_badger_2018-10-01,45_d500_129_807_0_badger_2020-02-01,45_d500_132_808_0_badger_2019-06-01,45_d500_154_1_badger_2020-02-01,45_d500_154_3_badger_2020-02-01,45_d500_154_4_badger_2020-02-01,45_d500_159_855_0_badger_2020-02-01,45_d500_168_0_badger_2016-08-01,45_d500_169_0_badger_2016-11-01,45_d500_169_1_badger_2017-08-01,45_d500_169_2_badger_2011-03-01,45_d500_171_0_badger_2013-05-01,45_d500_171_1_badger_2014-06-01,45_d500_171_2_badger_2015-05-01,45_d500_171_3_badger_2014-01-01,45_d500_171_4_badger_2016-04-01,45_d500_171_5_badger_2017-06-01,45_d500_173_0_badger_2020-02-01,45_d500_173_1_badger_2020-02-01,45_d500_88_0_badger_2020-02-01,45_d500_88_1_badger_2020-02-01,64201014_0_cattle_2015-05-01,64281001_0_cattle_2012-04-01,64281001_1_cattle_2013-12-01,64281001_2_cattle_2013-12-01,64281001_3_cattle_2013-12-01,64281001_4_cattle_2013-11-01,64281001_5_cattle_2015-03-01,64281001_6_cattle_2015-03-01,64281003_0_cattle_2015-03-01,64281008_0_cattle_2015-01-01,64281008_10_cattle_2015-01-01,64281008_11_cattle_2015-01-01,64281008_12_cattle_2015-01-01,64281008_13_cattle_2015-01-01,64281008_14_cattle_2015-01-01,64281008_1_cattle_2015-01-01,64281008_2_cattle_2015-01-01,64281008_3_cattle_2015-01-01,64281008_4_cattle_2015-01-01,64281008_5_cattle_2015-01-01,64281008_6_cattle_2015-03-01,64281008_7_cattle_2015-01-01,64281008_8_cattle_2015-01-01,64281008_9_cattle_2015-01-01,64281_0_boar_2012-07-01,64281_1_boar_2014-06-01,64281_3_boar_2020-02-01,64416_1_boar_2017-12-01,64420012_0_cattle_2018-02-01,64556001_0_cattle_2019-12-01,64556002_0_cattle_2020-02-01,64556002_1_cattle_2020-02-01,64556002_2_cattle_2020-02-01,64556005_0_cattle_2019-02-01,64556005_1_cattle_2019-04-01,64556023_0_cattle_2018-09-01,64556023_1_cattle_2018-08-01,64556023_2_cattle_2018-09-01,64556023_3_cattle_2018-09-01,64556023_4_cattle_2020-02-01,64556023_5_cattle_2020-02-01,64556023_6_cattle_2020-02-01,64556033_0_cattle_2020-02-01,64556033_1_cattle_2020-02-01,64556034_0_cattle_2019-05-01,64556034_10_cattle_2020-02-01,64556034_11_cattle_2020-02-01,64556034_1_cattle_2019-01-01,64556034_2_cattle_2019-01-01,64556034_3_cattle_2019-05-01,64556034_4_cattle_2019-01-01,64556034_5_cattle_2019-05-01,64556034_6_cattle_2019-08-01,64556034_7_cattle_2019-08-01,64556034_8_cattle_2019-11-01,64556034_9_cattle_2019-08-01,64556039_0_cattle_2019-02-01,64556039_1_cattle_2019-02-01,64556039_2_cattle_2019-02-01,64556039_3_cattle_2019-02-01,64556039_4_cattle_2019-02-01,64556039_5_cattle_2019-02-01,64556039_6_cattle_2019-02-01,64556039_7_cattle_2019-02-01,64556044_0_cattle_2019-01-01,64556044_1_cattle_2019-01-01,64556048_0_cattle_2018-11-01,64556048_1_cattle_2018-11-01,64556048_2_cattle_2018-11-01,64556048_3_cattle_2018-08-01,64556048_4_cattle_2019-05-01,64556048_5_cattle_2018-11-01,64556048_6_cattle_2018-11-01,64556048_7_cattle_2019-05-01,64556048_8_cattle_2018-11-01,64556048_9_cattle_2019-05-01,64556051_0_cattle_2018-12-01,64556051_1_cattle_2017-11-01,64556051_2_cattle_2018-09-01,64556051_3_cattle_2018-12-01,64556_10_boar_2020-02-01,64556_11_boar_2019-11-01,64556_12_boar_2020-02-01,64556_13_boar_2020-02-01,64556_14_boar_2020-02-01,64556_2_boar_2020-02-01,64556_3_boar_2018-06-01,64556_4_boar_2018-12-01,64556_5_boar_2019-08-01,64556_6_boar_2019-01-01,64556_7_boar_2020-02-01,64556_8_boar_2020-02-01,64556_9_boar_2019-10-01
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013597280543891204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0.004199160167966408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0049990001999600095,0,0.0011997600479904018,0,0,0.003999200159968007,0,0.008598280343931215,0,0,0,0,0,0,0.0015996800639872023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0027994401119776045
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1.999600079984003e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001399720055988802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.998000399920016e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002199560087982403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
