45_d500_168_0_badger_2015-07-01,45_d500_169_0_badger_2012-07-01,45_d500_169_1_badger_2013-04-01,45_d500_169_2_badger_2017-01-01,45_d500_169_3_badger_2015-11-01,45_d500_169_4_badger_2014-08-01,45_d500_170_0_badger_2013-11-01,45_d500_170_1_badger_2015-09-01,45_d500_170_2_badger_2013-05-01,45_d500_170_3_badger_2014-09-01,45_d500_170_4_badger_2014-09-01,45_d500_171_0_badger_2014-05-01,45_d500_178_0_badger_2012-05-01,45_d500_178_1_badger_2015-09-01,45_d500_178_2_badger_2013-05-01,45_d500_178_3_badger_2015-02-01,45_d500_178_4_badger_2014-06-01,45_d500_178_5_badger_2016-06-01,56_d500_13_0_badger_2013-06-01,56_d500_15_0_badger_2012-11-01,56_d500_15_1_badger_2017-06-01,56_d500_15_2_badger_2017-06-01,56_d500_15_3_badger_2015-07-01,56_d500_22_0_badger_2020-02-01,56_d500_22_1_badger_2016-09-01,56_d500_22_2_badger_2018-06-01,56_d500_22_3_badger_2020-02-01,56_d500_23_0_badger_2016-05-01,56_d500_23_1_badger_2013-06-01,56_d500_23_2_badger_2014-08-01,56_d500_23_3_badger_2013-05-01,64025001_0_cattle_2011-01-01,64025001_10_cattle_2013-04-01,64025001_11_cattle_2013-02-01,64025001_12_cattle_2013-04-01,64025001_13_cattle_2013-03-01,64025001_14_cattle_2013-04-01,64025001_15_cattle_2013-04-01,64025001_16_cattle_2013-04-01,64025001_17_cattle_2013-02-01,64025001_18_cattle_2013-04-01,64025001_19_cattle_2013-04-01,64025001_1_cattle_2013-04-01,64025001_20_cattle_2013-02-01,64025001_21_cattle_2013-04-01,64025001_22_cattle_2013-04-01,64025001_23_cattle_2013-04-01,64025001_24_cattle_2013-04-01,64025001_25_cattle_2015-03-01,64025001_26_cattle_2015-03-01,64025001_27_cattle_2015-02-01,64025001_28_cattle_2018-01-01,64025001_29_cattle_2018-01-01,64025001_2_cattle_2013-02-01,64025001_30_cattle_2018-01-01,64025001_31_cattle_2018-01-01,64025001_3_cattle_2013-04-01,64025001_4_cattle_2013-04-01,64025001_5_cattle_2013-04-01,64025001_6_cattle_2013-04-01,64025001_7_cattle_2013-04-01,64025001_8_cattle_2013-04-01,64025001_9_cattle_2013-04-01,64025016_0_cattle_2019-01-01,64025023_0_cattle_2016-02-01,64025031_0_cattle_2013-03-01,64025031_1_cattle_2013-06-01,64025031_2_cattle_2013-06-01,64025031_3_cattle_2014-12-01,64025031_4_cattle_2014-12-01,64025031_5_cattle_2015-02-01,64025031_6_cattle_2019-01-01,64025_0_boar_2013-03-01,64025_1_boar_2015-01-01,64025_2_boar_2017-10-01,64025_3_boar_2020-02-01,64178024_0_cattle_2012-03-01,64178024_1_cattle_2012-04-01,64201007_0_cattle_2011-02-01,64201007_1_cattle_2011-02-01,64201007_2_cattle_2011-02-01,64201007_3_cattle_2011-01-01,64201007_4_cattle_2011-02-01,64201007_5_cattle_2011-02-01,64201007_6_cattle_2011-02-01,64201007_7_cattle_2011-02-01,64201008_0_cattle_2014-10-01,64201014_0_cattle_2008-11-01,64253056_0_cattle_2018-04-01,64253056_1_cattle_2018-02-01,64253_0_boar_2020-02-01,64253_1_boar_2018-08-01,64281003_0_cattle_2010-06-01,64281003_10_cattle_2013-10-01,64281003_11_cattle_2013-10-01,64281003_12_cattle_2013-10-01,64281003_13_cattle_2013-10-01,64281003_14_cattle_2013-10-01,64281003_15_cattle_2013-10-01,64281003_16_cattle_2013-10-01,64281003_17_cattle_2013-10-01,64281003_18_cattle_2013-10-01,64281003_19_cattle_2013-10-01,64281003_1_cattle_2013-10-01,64281003_20_cattle_2013-10-01,64281003_2_cattle_2013-09-01,64281003_3_cattle_2013-10-01,64281003_4_cattle_2013-10-01,64281003_5_cattle_2013-10-01,64281003_6_cattle_2013-10-01,64281003_7_cattle_2013-10-01,64281003_8_cattle_2013-10-01,64281003_9_cattle_2013-06-01,64281_0_boar_2011-02-01,64281_1_boar_2013-12-01,64422009_0_cattle_2016-04-01,64422009_10_cattle_2016-04-01,64422009_11_cattle_2016-04-01,64422009_12_cattle_2016-04-01,64422009_13_cattle_2016-04-01,64422009_14_cattle_2016-07-01,64422009_15_cattle_2016-04-01,64422009_16_cattle_2016-04-01,64422009_17_cattle_2016-04-01,64422009_18_cattle_2016-07-01,64422009_19_cattle_2017-04-01,64422009_1_cattle_2016-01-01,64422009_20_cattle_2016-07-01,64422009_21_cattle_2017-07-01,64422009_22_cattle_2017-07-01,64422009_2_cattle_2016-04-01,64422009_3_cattle_2016-04-01,64422009_4_cattle_2016-04-01,64422009_5_cattle_2016-04-01,64422009_6_cattle_2016-07-01,64422009_7_cattle_2016-04-01,64422009_8_cattle_2016-04-01,64422009_9_cattle_2016-04-01,64422045_0_cattle_2017-02-01,64422_0_boar_2017-05-01,64422_10_boar_2017-07-01,64422_11_boar_2016-12-01,64422_12_boar_2018-06-01,64422_13_boar_2017-06-01,64422_14_boar_2017-11-01,64422_15_boar_2018-06-01,64422_16_boar_2018-11-01,64422_17_boar_2017-11-01,64422_18_boar_2020-02-01,64422_19_boar_2017-05-01,64422_1_boar_2016-02-01,64422_20_boar_2017-12-01,64422_21_boar_2019-05-01,64422_23_boar_2017-09-01,64422_25_boar_2018-04-01,64422_26_boar_2019-10-01,64422_27_boar_2020-02-01,64422_4_boar_2017-03-01,64422_5_boar_2015-02-01,64422_9_boar_2020-02-01,64529002_0_cattle_2015-03-01,64529002_1_cattle_2015-03-01
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018796240751849595,0.02059588082383519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0.003399320135972806,0,0,0.008398320335932815,0,0,0,0,0,7.998400319936012e-4,0.0037992401519696068,0,0,0,0,0,0.017396520695860798,0.4045190961807528,0,0,0,0,0,0,0,0,0.0015996800639872023,0,9.998000399920016e-4,0,0.006198760247950412,0.015196960607878401,9.998000399920016e-4,9.998000399920016e-4,0.0023995200959808036,0.0023995200959808036,0.016996600679864,0.007798440311937616,0.001399720055988802,5.998800239952009e-4,0.00539892021595681,0.009998000399920012,0.00519896020795841,9.998000399920016e-4,0.0037992401519696068,7.998400319936012e-4,0,0,0,0,0,0.006598680263947213,0,0,0.004799040191961609,0.008598280343931215,0.005598880223955211,0.0023995200959808036,0.003999200159968007,0.015196960607878401,0.003999200159968007,0,0,0.003999200159968007,0.00519896020795841,3.999200159968006e-4,0,0.002199560087982403,0,0,0.008998200359928014,0,0,0,0.017596480703859198,0.02059588082383519,0,0.0011997600479904018,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00519896020795841,3.999200159968006e-4,5.998800239952009e-4,0,0,7.998400319936012e-4,0,0,0,0,1.999600079984003e-4,0.0015996800639872023,7.998400319936012e-4,0,0,0.001399720055988802,0,0.0015996800639872023,3.999200159968006e-4,0.006598680263947213,3.999200159968006e-4,0.0027994401119776045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0.008398320335932815,0.13517296540692067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03939212157568475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1699660067986434,0,0,0.027394521095780777,0,0,0,0,0,0,0,0,0.043191361727654344,0.011797640471905608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16536692661468005,0.004399120175964808,9.998000399920016e-4,0.001399720055988802,0.00519896020795841,0,0,0,0,0.005598880223955211,0.012597480503899207,0,0,0,7.998400319936012e-4,0.0019996000799840027,0,0,0,0.00519896020795841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,3.999200159968006e-4,0,0,9.998000399920016e-4,0,0,0,0,0,0,0,0,0,0,0,0,0.05958808238352311,0,5.998800239952009e-4,0,0,0.0015996800639872023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015996800639872,0.02539492101579678,0,0.019796040791841593,0.011597680463907209,0,0,0,0,0,0,0,0.0019996000799840027,0,0,0,0,0,0,0,0,0,0,0.03439312137572476,0.0015996800639872023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0.03139372125574877,0,0,0,0.023195360927814386,0,0,0.002199560087982403,3.999200159968006e-4,0,0,0,0,0,0,0,0,0.010197960407918412,0,0.03959208158368315,0,0,3.999200159968006e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006398720255948813,0.008198360327934416,0.011997600479904008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006198760247950412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,3.999200159968006e-4,0.006398720255948813,0,0,0,9.998000399920016e-4,0,0,0,0,0,0,0,0,0,0,0,0.0019996000799840027,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0015996800639872023,3.999200159968006e-4,0,0.008598280343931215,0,0,5.998800239952009e-4,0,0,0,0,1.999600079984003e-4,0,1.999600079984003e-4,0,0,0,0,0,0,0,0.006398720255948813,0,0,0.008398320335932815,0,7.998400319936012e-4,0,3.999200159968006e-4,9.998000399920016e-4,0,0,0,0.003999200159968007,0.10297940411917722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.999200159968006e-4,0,3.999200159968006e-4,9.998000399920016e-4,0,3.999200159968006e-4,0.09518096380723937,0,0,0,0,0.0019996000799840027,0.009998000399920012,0,0,0,9.998000399920016e-4,0.0017996400719856025,0,0,0,0.09138172365526964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0.0687862427514497,0,0,9.998000399920016e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009398120375924813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03639272145570876,0,0,0.004399120175964808,0,0,0,0,0,0,0,0,0.005998800239952012,0.004799040191961609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2437512497500554,9.998000399920016e-4,0,0,0,0,0,0,0,3.999200159968006e-4,0.0037992401519696068,0,0,0,0,1.999600079984003e-4,0,0,0,0.0019996000799840027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0.0011997600479904018,0.014397120575884803,0,0,0,0,0,0.0017996400719856025,9.998000399920016e-4,0,0,0,0,0,0,0,0,0,0,0.19516096780644263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.998400319936012e-4,0.002599480103979204,0.004399120175964808,0,0,0,0,0,0,0,0,0,0,0,0,0,7.998400319936012e-4,0,0,0,0,0.0031993601279744054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0.027994401119775976,0.0027994401119776045,0.003999200159968007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.077784443111378,0.02079584083183359,0.31193761247750346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.998400319936012e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.999600079984003e-4,0.0035992801439712063,0,0,0,0.04459108178364314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.998400319936012e-4,0,0,0,0,0,0.002199560087982403,0.00519896020795841,1.999600079984003e-4,0.0027994401119776045,0,0,0.0023995200959808036,0.0035992801439712063,0.002999400119976005,0,0,0.0037992401519696068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.999600079984003e-4,0
0,0,0,0,0,0,0,0,0.014197160567886403,0,0,9.998000399920016e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012197560487902407,0.22555488902220042,0.012397520495900807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05838832233553271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.999600079984003e-4,0,0,5.998800239952009e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
