45_d500_168_0_badger_2019-04-01,45_d500_168_1_badger_2018-07-01,45_d500_168_2_badger_2018-07-01,45_d500_168_3_badger_2020-02-01,45_d500_169_0_badger_2019-06-01,45_d500_170_0_badger_2016-07-01,45_d500_178_0_badger_2020-02-01,45_d500_178_1_badger_2019-08-01,45_d500_178_2_badger_2020-02-01,45_d500_181_0_badger_2018-12-01,56_d500_20_918_0_badger_2016-05-01,56_d500_4_0_badger_2015-08-01,56_d500_4_1_badger_2015-12-01,56_d500_4_2_badger_2014-05-01,56_d500_4_3_badger_2015-09-01,56_d500_4_4_badger_2020-02-01,56_d500_4_5_badger_2016-07-01,56_d500_9_0_badger_2011-07-01,56_d500_9_1_badger_2018-07-01,64039022_0_cattle_2015-06-01,64039022_10_cattle_2015-06-01,64039022_11_cattle_2015-06-01,64039022_12_cattle_2015-06-01,64039022_13_cattle_2015-06-01,64039022_14_cattle_2015-06-01,64039022_1_cattle_2015-06-01,64039022_2_cattle_2015-06-01,64039022_3_cattle_2015-06-01,64039022_4_cattle_2015-06-01,64039022_5_cattle_2015-05-01,64039022_6_cattle_2015-06-01,64039022_7_cattle_2015-06-01,64039022_8_cattle_2015-06-01,64039022_9_cattle_2015-06-01,64093_2_boar_2019-04-01,64201002_0_cattle_2008-12-01,64201002_1_cattle_2017-06-01,64201002_2_cattle_2017-09-01,64201002_3_cattle_2017-09-01,64201002_4_cattle_2017-12-01,64201002_5_cattle_2017-10-01,64201002_6_cattle_2017-09-01,64201007_0_cattle_2019-01-01,64253_0_boar_2010-06-01,64253_1_boar_2012-07-01,64253_2_boar_2013-05-01,64253_3_boar_2018-10-01,64253_4_boar_2018-08-01,64264001_0_cattle_2013-07-01,64264001_1_cattle_2013-06-01,64264001_2_cattle_2013-07-01,64264001_3_cattle_2015-07-01,64264001_4_cattle_2015-02-01,64264001_5_cattle_2017-01-01,64264001_6_cattle_2017-11-01,64264001_7_cattle_2018-05-01,64264003_0_cattle_2014-02-01,64264003_1_cattle_2014-04-01,64264003_2_cattle_2014-02-01,64264003_3_cattle_2016-04-01,64264003_4_cattle_2016-05-01,64264003_5_cattle_2019-12-01,64264007_0_cattle_2014-01-01,64264007_1_cattle_2015-12-01,64264007_2_cattle_2015-12-01,64264010_0_cattle_2013-09-01,64264010_10_cattle_2013-09-01,64264010_11_cattle_2015-03-01,64264010_12_cattle_2015-05-01,64264010_13_cattle_2015-05-01,64264010_14_cattle_2015-03-01,64264010_15_cattle_2015-05-01,64264010_16_cattle_2015-05-01,64264010_17_cattle_2015-03-01,64264010_18_cattle_2015-03-01,64264010_19_cattle_2015-03-01,64264010_1_cattle_2013-09-01,64264010_20_cattle_2015-05-01,64264010_21_cattle_2015-03-01,64264010_22_cattle_2017-02-01,64264010_23_cattle_2017-02-01,64264010_2_cattle_2013-09-01,64264010_3_cattle_2013-09-01,64264010_4_cattle_2013-09-01,64264010_5_cattle_2013-09-01,64264010_6_cattle_2013-09-01,64264010_7_cattle_2013-09-01,64264010_8_cattle_2013-09-01,64264010_9_cattle_2013-08-01,64264_0_boar_2012-02-01,64264_1_boar_2012-11-01,64264_2_boar_2016-08-01,64264_3_boar_2014-04-01,64264_4_boar_2014-04-01,64264_5_boar_2015-02-01,64264_6_boar_2014-02-01,64264_7_boar_2018-05-01,64281001_0_cattle_2018-12-01,64281001_1_cattle_2018-12-01,64281001_2_cattle_2018-12-01,64281003_0_cattle_2017-03-01,64281003_1_cattle_2017-03-01,64281008_0_cattle_2016-06-01,64281008_1_cattle_2017-12-01,64281008_2_cattle_2020-02-01,64281_1_boar_2012-02-01,64281_3_boar_2017-05-01,64281_4_boar_2020-02-01,64416031_0_cattle_2016-05-01,64416031_1_cattle_2016-03-01,64416031_2_cattle_2016-05-01,64416031_3_cattle_2016-01-01,64416031_4_cattle_2016-07-01,64416031_5_cattle_2016-05-01,64416031_6_cattle_2016-05-01,64416031_7_cattle_2016-05-01,64416031_8_cattle_2016-05-01,64416_1_boar_2016-11-01,64416_2_boar_2016-11-01,64416_3_boar_2017-02-01
0,0.2217556488702307,0,5.998800239952009e-4,0.052989402119575923,0,0,0,0,0.15876824635073264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.999600079984003e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0067986402719456135,0.002199560087982403,0.0017996400719856025,0.006398720255948813,0.003399320135972806,0,0,0,0,0.007998400319936016,0,0,0,0,0,0,0,0,0,0,0,0,0
0.3681263747250479,0,0,0.0015996800639872023,0.12117576484703221,0,0,0,0,0.36392721455708194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0031993601279744054,0.0015996800639872023,0.0017996400719856025,0.00519896020795841,0.006198760247950412,0,0,0,0,0.009998000399920012,0.002599480103979204,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0.0045990801839632086,1.999600079984003e-4,0,0,0,0,0,0,0,0,0,0.05798840231953591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03519296140771836,0.061187762447510306,0.21035792841432152,0.1663667266546721,0.022595480903819187,0.03099380123975197,0.04059188162367515,0,0,0,0.07698460307938437,0.05118976204759033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.999600079984003e-4,0,0,0,0,5.998800239952009e-4,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0.003399320135972806,0,0,0,0,5.998800239952009e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013397320535892805,0,0,0,0,0,0,0,0,0,0,0,0
0.007998400319936016,0.017396520695860798,0,0.022595480903819187,0,0,0,0,0,0.11337732453509436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04919016196760633,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02639472105578878,0,0,0,0,0,0.0035992801439712063,0.1357728454309159,0.008398320335932815,0.00539892021595681,0.019196160767846394,0.007798440311937616,0.005998800239952012,0.21375724855029443,0.1883623275344968,0.22715456908618767,0.0031993601279744054,0.001399720055988802
0,0,0,0,0,0,0,0.006198760247950412,0.017596480703859198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0019996000799840027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.998000399920016e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0.0167966406718656,0,0.022395520895820788,0,0,0,0,0,0,0,0,0,0.0019996000799840027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04379124175164954,0,0,0,0.006398720255948813,9.998000399920016e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.042191561687662346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0.013597280543891204,0.016996600679864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00539892021595681,0,0,0,7.998400319936012e-4,3.999200159968006e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.999600079984003e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.08578284343131426,0.1663667266546721,0,0.012997400519896006,0.36092781443710625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.998400319936012e-4,0,3.999200159968006e-4,7.998400319936012e-4,0,0,0,0,0,3.999200159968006e-4,0.024995000999799982,0,0,0,0,0,0,0,0,0,0,0,0
