40089001_0_cattle_2012-03-01,40089001_10_cattle_2012-03-01,40089001_11_cattle_2011-05-01,40089001_12_cattle_2012-03-01,40089001_13_cattle_2012-03-01,40089001_14_cattle_2012-02-01,40089001_15_cattle_2012-03-01,40089001_16_cattle_2012-03-01,40089001_17_cattle_2012-03-01,40089001_18_cattle_2012-03-01,40089001_19_cattle_2012-03-01,40089001_1_cattle_2012-03-01,40089001_20_cattle_2012-03-01,40089001_21_cattle_2012-03-01,40089001_22_cattle_2012-03-01,40089001_23_cattle_2012-03-01,40089001_24_cattle_2012-01-01,40089001_25_cattle_2012-03-01,40089001_26_cattle_2012-03-01,40089001_27_cattle_2012-03-01,40089001_28_cattle_2012-03-01,40089001_29_cattle_2011-04-01,40089001_2_cattle_2012-03-01,40089001_30_cattle_2012-03-01,40089001_31_cattle_2012-03-01,40089001_32_cattle_2012-03-01,40089001_33_cattle_2012-03-01,40089001_34_cattle_2012-03-01,40089001_35_cattle_2012-03-01,40089001_36_cattle_2012-03-01,40089001_37_cattle_2012-02-01,40089001_38_cattle_2012-03-01,40089001_39_cattle_2012-03-01,40089001_3_cattle_2012-03-01,40089001_40_cattle_2012-03-01,40089001_41_cattle_2012-03-01,40089001_42_cattle_2012-03-01,40089001_43_cattle_2012-03-01,40089001_44_cattle_2012-03-01,40089001_4_cattle_2012-03-01,40089001_5_cattle_2012-03-01,40089001_6_cattle_2012-03-01,40089001_7_cattle_2012-03-01,40089001_8_cattle_2012-03-01,40089001_9_cattle_2012-03-01,64420015_0_cattle_2009-04-01,64420015_10_cattle_2009-04-01,64420015_11_cattle_2009-04-01,64420015_12_cattle_2009-04-01,64420015_13_cattle_2009-04-01,64420015_14_cattle_2009-04-01,64420015_15_cattle_2009-04-01,64420015_16_cattle_2009-04-01,64420015_17_cattle_2009-04-01,64420015_18_cattle_2009-04-01,64420015_19_cattle_2009-04-01,64420015_1_cattle_2009-04-01,64420015_20_cattle_2009-04-01,64420015_21_cattle_2009-04-01,64420015_22_cattle_2009-04-01,64420015_23_cattle_2009-04-01,64420015_24_cattle_2009-03-01,64420015_25_cattle_2009-04-01,64420015_26_cattle_2009-04-01,64420015_27_cattle_2009-04-01,64420015_28_cattle_2009-04-01,64420015_29_cattle_2009-03-01,64420015_2_cattle_2009-04-01,64420015_30_cattle_2009-04-01,64420015_31_cattle_2009-04-01,64420015_32_cattle_2009-04-01,64420015_33_cattle_2009-04-01,64420015_34_cattle_2009-04-01,64420015_35_cattle_2009-04-01,64420015_36_cattle_2009-04-01,64420015_37_cattle_2009-04-01,64420015_38_cattle_2009-04-01,64420015_39_cattle_2009-04-01,64420015_3_cattle_2009-04-01,64420015_4_cattle_2009-04-01,64420015_5_cattle_2009-04-01,64420015_6_cattle_2008-09-01,64420015_7_cattle_2009-04-01,64420015_8_cattle_2009-04-01,64420015_9_cattle_2009-04-01,64420044_0_cattle_2010-03-01,64420044_1_cattle_2010-03-01,64420044_2_cattle_2010-03-01,64420044_3_cattle_2010-03-01,64420044_4_cattle_2010-02-01,64420044_5_cattle_2010-03-01,64420044_6_cattle_2010-03-01,64420044_7_cattle_2010-03-01
0,0,0,0,0,0,0,0,0,0,0,0,0.004799040191961609,0,0,0,0,0,0,0.005798840231953611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.038592281543691154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0015996800639872023,0,0,0,0,0,0,0,0,0,0,0,0,5.998800239952009e-4,0.04619076184763034,0,0,9.998000399920016e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.999600079984003e-4,3.999200159968006e-4,0,0,5.998800239952009e-4,5.998800239952009e-4,0,0,0,0,0,0,0,1.999600079984003e-4,1.999600079984003e-4,0,0,0,0,1.999600079984003e-4,0,0.002599480103979204,5.998800239952009e-4,0.0011997600479904018,0,0,7.998400319936012e-4,3.999200159968006e-4,0,0,1.999600079984003e-4,0,0.0015996800639872023,9.998000399920016e-4,0,7.998400319936012e-4,1.999600079984003e-4,0,0,0,1.999600079984003e-4,0,5.998800239952009e-4,0,3.999200159968006e-4,0,0,0,0,0.01079784043191361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009398120375924813,0.006198760247950412,0.007598480303939215,0.0019996000799840027,0.007198560287942414,0.00539892021595681,0.003399320135972806,0.008798240351929614
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0035992801439712063,0,0,0,0,0,0,0,0,0,0.006198760247950412,0,0,0,0.04839032193561273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0.005998800239952012,0.012397520495900807,0,0,0,0,0.014997000599880001,0,0,0,0,0,0,0,0,0,0,0.0011997600479904018,0,0,0,0,0,0,0,0,0.0015996800639872023,0,0,0,0,0.009598080383923213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,7.998400319936012e-4,0,0,0,0.004799040191961609,0,0,0,0,0,0,0,0,0,0,0,5.998800239952009e-4,0,0,0,0,0,0,0,0.0035992801439712063,0,0.01079784043191361,0,0.027994401119775976,0,0,0,0,0,0,0,3.999200159968006e-4,0,0,0,7.998400319936012e-4,0,0,0,0,0,0,7.998400319936012e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.998800239952009e-4,1.999600079984003e-4,5.998800239952009e-4,0,7.998400319936012e-4,7.998400319936012e-4,0,1.999600079984003e-4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.47010597880422106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0.01059788042391521,0,0,0,0,0,0,0,0,0,0,5.998800239952009e-4,0,5.998800239952009e-4,0,0,0,0,0,0,0,0,0,0,0,0,0.03159368126374717,0,0,0.004399120175964808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3125374925014986,0,0,0,0,0,0,0,0,0.3125374925014986,0,0,0,0,0.31973605278944023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0.0153969206158768,0,0,0,0.0011997600479904018,0,0,0,0,0,0.03019396120775837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0019996000799840027,0,0,0,0,0.002599480103979204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.998000399920016e-4,0,0,0,0,0.0017996400719856025,0,0,0,0,0,0,0,0,0,0,0,0,0.002999400119976005,0,0,0,0,0,0,0,0,0,0.05018996200759833,0.003999200159968007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0.01079784043191361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.999200159968006e-4,0,0,0,0,0,0,0,0,0,0,0,3.999200159968006e-4,0.014797040591881602,0,0,0.005798840231953611,1.999600079984003e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.006398720255948813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.042191561687662346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008198360327934416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0.0017996400719856025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.998800239952009e-4,0,0.03579284143171356,0,0,0,0.0019996000799840027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.998800239952009e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.998800239952009e-4,5.998800239952009e-4,5.998800239952009e-4,0,3.999200159968006e-4,5.998800239952009e-4,0,5.998800239952009e-4
0,0,0,0,0.013397320535892805,0,0,0,0.0035992801439712063,0.03479304139172156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001399720055988802,0,0,0,0,0,0,0,0,0.002999400119976005,0,0,0,0,0.0017996400719856025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0.0049990001999600095,0,0,0,0,0,0,0,0,0,0.0067986402719456135,0,0,0,0,0,0,0,0,0,0,0,0,0.006198760247950412,0,0,0,0,0,0,0,0,0,0.005598880223955211,0.0037992401519696068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,3.999200159968006e-4,0,0,0,0,0,0,0,0,5.998800239952009e-4,0,0,0,0.019596080783843194,0,0,0,5.998800239952009e-4,0,0,0,0,0,3.999200159968006e-4,0,0.006198760247950412,0,1.999600079984003e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.998800239952009e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.998800239952009e-4,1.999600079984003e-4,5.998800239952009e-4,1.999600079984003e-4,5.998800239952009e-4,3.999200159968006e-4,0,5.998800239952009e-4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.999200159968006e-4,0,0,0,0,0,0,0,0,0,0,0,0,0.45810837832431833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,5.998800239952009e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03179364127174557,7.998400319936012e-4,0,0,0.0023995200959808036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.005798840231953611,0,0,0,0,0,0,0,0,0,0,0,0.042591481703659145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.999200159968006e-4,0.006598680263947213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0.005798840231953611,0,0,0,0,0.005998800239952012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007398520295940815,0,0,0,0,0,0,0,0,0,0.005798840231953611,0.0035992801439712063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.998000399920016e-4,0,0.0035992801439712063,0.001399720055988802,3.999200159968006e-4,0.0017996400719856025,0,0.0011997600479904018,0,1.999600079984003e-4,0,1.999600079984003e-4,3.999200159968006e-4,7.998400319936012e-4,1.999600079984003e-4,0,0,0,1.999600079984003e-4,3.999200159968006e-4,0,0,3.999200159968006e-4,0,0,0,0,0.001399720055988802,0,0,0,0,0.002199560087982403,3.999200159968006e-4,0,9.998000399920016e-4,7.998400319936012e-4,3.999200159968006e-4,0,0,3.999200159968006e-4,5.998800239952009e-4,5.998800239952009e-4,0,0,0,0,0,0,0.01079784043191361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008798240351929614,0.004399120175964808,0.008598280343931215,0.004399120175964808,0.009398120375924813,0.00519896020795841,0.0031993601279744054,0.008798240351929614
0,0,1.999600079984003e-4,0,0,0,0,3.999200159968006e-4,0,0,0,3.999200159968006e-4,0,0,0,0,0,0,0,0,0,0,0,0,0.017396520695860798,0,0,0,0,0,0,0,0,0,0,0,0.011597680463907209,3.999200159968006e-4,0,0,3.999200159968006e-4,0,0,1.999600079984003e-4,0,0,0,0,0,3.999200159968006e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.999200159968006e-4,0,1.999600079984003e-4,3.999200159968006e-4,3.999200159968006e-4,0,1.999600079984003e-4,3.999200159968006e-4
