40316038_0_cattle_2015-05-01,40316038_10_cattle_2015-05-01,40316038_11_cattle_2015-05-01,40316038_12_cattle_2014-04-01,40316038_13_cattle_2014-03-01,40316038_14_cattle_2015-04-01,40316038_15_cattle_2015-04-01,40316038_16_cattle_2015-05-01,40316038_17_cattle_2015-05-01,40316038_18_cattle_2015-05-01,40316038_19_cattle_2015-05-01,40316038_1_cattle_2013-10-01,40316038_20_cattle_2015-05-01,40316038_21_cattle_2015-05-01,40316038_22_cattle_2015-05-01,40316038_23_cattle_2015-05-01,40316038_24_cattle_2015-05-01,40316038_25_cattle_2015-05-01,40316038_26_cattle_2015-05-01,40316038_27_cattle_2015-05-01,40316038_28_cattle_2015-05-01,40316038_29_cattle_2015-05-01,40316038_2_cattle_2015-05-01,40316038_30_cattle_2015-05-01,40316038_31_cattle_2015-05-01,40316038_32_cattle_2015-04-01,40316038_33_cattle_2015-05-01,40316038_34_cattle_2015-05-01,40316038_35_cattle_2015-05-01,40316038_36_cattle_2015-05-01,40316038_37_cattle_2015-05-01,40316038_38_cattle_2015-05-01,40316038_39_cattle_2015-05-01,40316038_3_cattle_2015-05-01,40316038_40_cattle_2015-05-01,40316038_41_cattle_2015-05-01,40316038_42_cattle_2015-05-01,40316038_43_cattle_2015-05-01,40316038_4_cattle_2015-05-01,40316038_5_cattle_2015-05-01,40316038_6_cattle_2013-11-01,40316038_7_cattle_2015-05-01,40316038_8_cattle_2015-05-01,40316038_9_cattle_2015-05-01,64359103_0_cattle_2013-03-01,64359103_1_cattle_2013-01-01,64359103_2_cattle_2013-05-01,64359103_3_cattle_2013-05-01,64420002_0_cattle_2012-11-01,64420002_1_cattle_2012-12-01,64420002_2_cattle_2012-12-01,64420002_3_cattle_2012-12-01,64420007_0_cattle_2012-12-01,64420007_1_cattle_2013-02-01,64420007_2_cattle_2012-12-01,64420007_3_cattle_2013-02-01,64420009_0_cattle_2013-03-01,64420009_1_cattle_2012-12-01,64420009_2_cattle_2012-12-01,64420009_3_cattle_2012-12-01,64420009_4_cattle_2013-03-01,64420012_0_cattle_2012-02-01,64420012_10_cattle_2012-03-01,64420012_11_cattle_2012-03-01,64420012_12_cattle_2012-03-01,64420012_13_cattle_2012-03-01,64420012_14_cattle_2012-03-01,64420012_1_cattle_2011-07-01,64420012_2_cattle_2012-03-01,64420012_3_cattle_2012-03-01,64420012_4_cattle_2012-03-01,64420012_5_cattle_2011-10-01,64420012_6_cattle_2012-03-01,64420012_7_cattle_2012-03-01,64420012_8_cattle_2012-03-01,64420012_9_cattle_2012-03-01,64420015_0_cattle_2009-03-01,64420015_10_cattle_2011-03-01,64420015_11_cattle_2011-02-01,64420015_12_cattle_2011-03-01,64420015_13_cattle_2011-03-01,64420015_14_cattle_2011-03-01,64420015_15_cattle_2011-03-01,64420015_16_cattle_2011-03-01,64420015_17_cattle_2011-03-01,64420015_18_cattle_2011-03-01,64420015_19_cattle_2011-03-01,64420015_1_cattle_2009-03-01,64420015_20_cattle_2011-03-01,64420015_21_cattle_2011-03-01,64420015_22_cattle_2011-03-01,64420015_23_cattle_2011-03-01,64420015_2_cattle_2009-02-01,64420015_3_cattle_2009-03-01,64420015_4_cattle_2009-03-01,64420015_5_cattle_2009-03-01,64420015_6_cattle_2009-03-01,64420015_7_cattle_2009-03-01,64420015_8_cattle_2009-03-01,64420015_9_cattle_2010-04-01,64420028_0_cattle_2013-03-01,64420028_1_cattle_2013-03-01,64420028_2_cattle_2013-03-01,64420035_0_cattle_2011-11-01,64420035_10_cattle_2012-03-01,64420035_11_cattle_2012-03-01,64420035_12_cattle_2012-03-01,64420035_13_cattle_2012-03-01,64420035_14_cattle_2012-03-01,64420035_15_cattle_2012-03-01,64420035_16_cattle_2012-03-01,64420035_17_cattle_2012-03-01,64420035_18_cattle_2012-03-01,64420035_19_cattle_2012-03-01,64420035_1_cattle_2012-03-01,64420035_20_cattle_2012-03-01,64420035_21_cattle_2012-03-01,64420035_22_cattle_2012-03-01,64420035_23_cattle_2012-03-01,64420035_24_cattle_2012-03-01,64420035_25_cattle_2012-03-01,64420035_26_cattle_2012-03-01,64420035_27_cattle_2012-03-01,64420035_28_cattle_2012-03-01,64420035_2_cattle_2012-03-01,64420035_3_cattle_2011-01-01,64420035_4_cattle_2012-03-01,64420035_5_cattle_2012-03-01,64420035_6_cattle_2012-02-01,64420035_7_cattle_2012-03-01,64420035_8_cattle_2012-03-01,64420035_9_cattle_2012-03-01,64420038_0_cattle_2012-05-01,64420038_10_cattle_2012-08-01,64420038_11_cattle_2012-08-01,64420038_12_cattle_2014-02-01,64420038_13_cattle_2014-02-01,64420038_14_cattle_2014-04-01,64420038_15_cattle_2014-04-01,64420038_1_cattle_2012-02-01,64420038_2_cattle_2012-08-01,64420038_3_cattle_2012-08-01,64420038_4_cattle_2012-08-01,64420038_5_cattle_2012-08-01,64420038_6_cattle_2012-08-01,64420038_7_cattle_2012-08-01,64420038_8_cattle_2012-08-01,64420038_9_cattle_2012-08-01,64420039_0_cattle_2011-11-01,64420039_10_cattle_2012-04-01,64420039_11_cattle_2012-04-01,64420039_12_cattle_2012-04-01,64420039_13_cattle_2012-04-01,64420039_14_cattle_2012-04-01,64420039_1_cattle_2012-04-01,64420039_2_cattle_2012-03-01,64420039_3_cattle_2012-04-01,64420039_4_cattle_2012-04-01,64420039_5_cattle_2012-04-01,64420039_6_cattle_2012-04-01,64420039_7_cattle_2012-04-01,64420039_8_cattle_2012-04-01,64420039_9_cattle_2012-04-01,64420044_0_cattle_2011-04-01,64420044_10_cattle_2011-06-01,64420044_11_cattle_2011-06-01,64420044_12_cattle_2011-04-01,64420044_13_cattle_2011-06-01,64420044_14_cattle_2011-04-01,64420044_15_cattle_2011-04-01,64420044_16_cattle_2011-06-01,64420044_17_cattle_2011-04-01,64420044_18_cattle_2011-04-01,64420044_19_cattle_2011-04-01,64420044_1_cattle_2011-04-01,64420044_20_cattle_2011-04-01,64420044_21_cattle_2011-06-01,64420044_22_cattle_2011-04-01,64420044_23_cattle_2011-04-01,64420044_24_cattle_2011-06-01,64420044_25_cattle_2011-06-01,64420044_26_cattle_2011-06-01,64420044_27_cattle_2012-12-01,64420044_28_cattle_2012-12-01,64420044_29_cattle_2012-11-01,64420044_2_cattle_2011-06-01,64420044_30_cattle_2012-12-01,64420044_31_cattle_2012-12-01,64420044_3_cattle_2011-04-01,64420044_4_cattle_2011-06-01,64420044_5_cattle_2011-04-01,64420044_6_cattle_2011-04-01,64420044_7_cattle_2011-04-01,64420044_8_cattle_2011-04-01,64420044_9_cattle_2011-06-01,64420047_0_cattle_2009-12-01,64420047_10_cattle_2010-12-01,64420047_11_cattle_2010-12-01,64420047_12_cattle_2010-12-01,64420047_13_cattle_2012-01-01,64420047_14_cattle_2012-01-01,64420047_15_cattle_2011-12-01,64420047_16_cattle_2012-01-01,64420047_17_cattle_2012-01-01,64420047_18_cattle_2012-01-01,64420047_19_cattle_2012-01-01,64420047_1_cattle_2010-11-01,64420047_20_cattle_2012-01-01,64420047_21_cattle_2012-01-01,64420047_22_cattle_2012-01-01,64420047_23_cattle_2012-01-01,64420047_24_cattle_2012-01-01,64420047_2_cattle_2010-12-01,64420047_3_cattle_2010-12-01,64420047_4_cattle_2010-11-01,64420047_5_cattle_2010-12-01,64420047_6_cattle_2010-12-01,64420047_7_cattle_2010-12-01,64420047_8_cattle_2010-12-01,64420047_9_cattle_2010-12-01,64521015_0_cattle_2014-05-01,64521015_1_cattle_2014-06-01,64521015_2_cattle_2014-06-01,64521015_3_cattle_2014-06-01
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0.2225851609892673,0,0,0,0,0,0,0,0,0,0.2225851609892673,0,0,0,0,0,0,0.2225851609892673,0,0,0,0,0,0.2225851609892673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.004533031131257915,8.666088927404837e-4,0,0.004533031131257915,0.004533031131257915,0.0022665155656289575,0.004533031131257915,0.0011332577828144787,0.004533031131257915,9.999333377774813e-4,0,0,0.0013999066728884737,0.003133124458369441,0.3357109526031597,0.00106659556029598,0.004533031131257915,5.3329778014799e-4,0.004533031131257915,0.0017332177854809674,0.00319978668088794,0.0018665422305179649,0.0011999200053329775,0.0011999200053329775,3.9997333511099253e-4,9.999333377774813e-4,0.3517098860075994,0.0016665555629624686,0.004533031131257915,0.004533031131257915,0.00159989334044397,0.0033331111259249373,0.004533031131257915,0.003133124458369441,0.003133124458369441,0,0.0035330977934804335,0.0013999066728884737,0.0032664489034064386,0.004533031131257915,0,0,0.004533031131257915,0.004533031131257915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.2784481034597693,0.060862609159389354,0.11072595160322642,0,0.27904806346243577,0.0906606226251583,0.2787147523498433,0.01486567562162522,0.26944870341977195,0.14172388507432834,0.058729418038797394,0,0.13785747616825542,0.26484901006599554,0.09132724485034328,0.1012599160055996,0.27891473901739877,0.06812879141390572,0.2785147656822878,0.15358976068262112,0.15158989400706616,0.06199586694220383,0.09659356042930468,0.14272381841210582,0.07052863142457168,0.05106326244917004,0.11052596493567092,0.06066262249183386,0.2779148056796213,0.25958269448703414,0.06466235584294379,0.1435237650823278,0.27891473901739877,0.14065728951403236,0.2771148590093993,0.050796613559096045,0.14132391173921735,0.2343177121525231,0.23698420105326304,0.2785147656822878,0,2.6664889007399506e-4,0.2782481167922138,0.27898140123991727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.3255782947803479,0.0691953869742017,0.12119192053863072,0.3261782547830144,0,0.10799280047996797,0.3261115925604959,0.03153123125124991,0.2999800013332444,0.17732151189920667,0.060262649156722865,0,0.15585627624825008,0.3034464369042063,0.09706019598693418,0.10345976934871005,0.3260449303379774,0.08806079594693685,0.3257116192253849,0.1960535964269048,0.1757882807812812,0.06772881807879473,0.13012465835610956,0.159722685154323,0.07786147590160654,0.06332911139257381,0.1393240450636624,0.057596160255982916,0.3255782947803479,0.3086460902606492,0.05952936470901938,0.17192187187520827,0.3248450103326444,0.16958869408706082,0.32257849476701544,0.07759482701153254,0.15352309846010262,0.27491500566628885,0.26371575228318106,0.3258449436704219,0,0,0.3257782814479034,0.3258449436704219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.29078061462569155,0,0,0,0,0,0,0.2926471568562095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.07292847143523763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07292847143523763,0,0,0,0,0,0,0.07292847143523763,0,0,0,0,0,0.07292847143523763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.07832811145923603,0.01486567562162522,0.042263849076728206,0.07892807146190252,0.07892807146190252,0.02233184454369708,0.07866142257182852,0.007332844477034862,0,0.048130124658356095,0.0159322711819212,0,0.03666422238517431,0.1383241117258849,0.01873208452769815,0.035397640157322836,0.07892807146190252,0.014065728951403235,0.07859476034931002,0.03926404906339576,0.04066395573628424,0.01433237784147723,0.020865275648290108,0.030064662355842934,0.024065062329178048,0.010532631157922802,0.028064795680287972,0.01659889340710619,0.07859476034931002,0.0743950403306446,0.01859876008266115,0.04893007132857808,0.07886140923938402,0.042263849076728206,0.0907272848476768,0.021398573428438098,0.03079794680354642,0.0692620491967202,0.07406172921805211,0.07879474701686552,0,0,0.07879474701686552,0.07892807146190252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.6663555762949127e-4,0,4.6663555762949127e-4,4.6663555762949127e-4,4.6663555762949127e-4,4.6663555762949127e-4,4.6663555762949127e-4,3.333111125924938e-4,4.6663555762949127e-4,0,0,0,1.3332444503699753e-4,0,0,0,4.6663555762949127e-4,1.3332444503699753e-4,4.6663555762949127e-4,0,4.6663555762949127e-4,0,0,0,0,4.6663555762949127e-4,0,0,4.6663555762949127e-4,4.6663555762949127e-4,0,4.6663555762949127e-4,4.6663555762949127e-4,3.333111125924938e-4,0,0,0.5095660289314045,4.6663555762949127e-4,4.6663555762949127e-4,4.6663555762949127e-4,0,0,4.6663555762949127e-4,4.6663555762949127e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
