64281001_0_cattle_2012-08-01,64281001_1_cattle_2012-05-01,64281001_2_cattle_2012-08-01,64281001_3_cattle_2012-08-01,64281001_4_cattle_2012-08-01,64281001_5_cattle_2012-08-01,64281001_6_cattle_2012-08-01,64281001_7_cattle_2012-08-01,64281001_8_cattle_2012-08-01,64281001_9_cattle_2012-08-01,64420002_0_cattle_2013-02-01,64420002_1_cattle_2013-04-01,64420002_2_cattle_2013-04-01,64420002_3_cattle_2013-02-01,64420009_0_cattle_2014-01-01,64420009_1_cattle_2013-08-01,64420012_0_cattle_2012-05-01,64420012_10_cattle_2012-05-01,64420012_11_cattle_2012-05-01,64420012_12_cattle_2012-05-01,64420012_13_cattle_2012-05-01,64420012_14_cattle_2012-05-01,64420012_15_cattle_2012-05-01,64420012_16_cattle_2012-05-01,64420012_17_cattle_2012-05-01,64420012_18_cattle_2012-05-01,64420012_19_cattle_2012-05-01,64420012_1_cattle_2012-05-01,64420012_20_cattle_2012-05-01,64420012_21_cattle_2012-05-01,64420012_22_cattle_2012-05-01,64420012_23_cattle_2012-05-01,64420012_24_cattle_2012-05-01,64420012_25_cattle_2012-04-01,64420012_26_cattle_2012-05-01,64420012_27_cattle_2012-05-01,64420012_28_cattle_2012-05-01,64420012_29_cattle_2012-05-01,64420012_2_cattle_2012-05-01,64420012_30_cattle_2012-05-01,64420012_31_cattle_2012-05-01,64420012_32_cattle_2012-05-01,64420012_33_cattle_2012-05-01,64420012_34_cattle_2012-05-01,64420012_35_cattle_2012-05-01,64420012_36_cattle_2012-05-01,64420012_37_cattle_2012-05-01,64420012_3_cattle_2012-05-01,64420012_4_cattle_2011-09-01,64420012_5_cattle_2012-05-01,64420012_6_cattle_2012-05-01,64420012_7_cattle_2012-05-01,64420012_8_cattle_2012-05-01,64420012_9_cattle_2012-05-01,64420015_0_cattle_2008-01-01,64420015_10_cattle_2009-02-01,64420015_1_cattle_2009-01-01,64420015_2_cattle_2009-01-01,64420015_3_cattle_2009-02-01,64420015_4_cattle_2009-02-01,64420015_5_cattle_2009-02-01,64420015_6_cattle_2009-02-01,64420015_7_cattle_2009-02-01,64420015_8_cattle_2009-02-01,64420015_9_cattle_2009-02-01,64420028_0_cattle_2013-02-01,64420028_1_cattle_2012-12-01,64420028_2_cattle_2012-12-01,64420028_3_cattle_2012-12-01,64420028_4_cattle_2013-02-01,64420028_5_cattle_2012-12-01,64420028_6_cattle_2013-02-01,64420028_7_cattle_2013-02-01,64420035_0_cattle_2012-09-01,64420035_10_cattle_2012-09-01,64420035_11_cattle_2012-09-01,64420035_12_cattle_2012-09-01,64420035_13_cattle_2012-09-01,64420035_14_cattle_2012-09-01,64420035_15_cattle_2012-09-01,64420035_16_cattle_2012-09-01,64420035_17_cattle_2012-09-01,64420035_18_cattle_2012-09-01,64420035_19_cattle_2012-09-01,64420035_1_cattle_2012-09-01,64420035_20_cattle_2012-09-01,64420035_21_cattle_2012-09-01,64420035_22_cattle_2012-08-01,64420035_23_cattle_2012-09-01,64420035_24_cattle_2012-09-01,64420035_25_cattle_2012-09-01,64420035_26_cattle_2012-09-01,64420035_27_cattle_2012-09-01,64420035_28_cattle_2012-09-01,64420035_29_cattle_2012-09-01,64420035_2_cattle_2012-09-01,64420035_30_cattle_2012-09-01,64420035_31_cattle_2012-09-01,64420035_32_cattle_2012-09-01,64420035_33_cattle_2012-09-01,64420035_34_cattle_2012-09-01,64420035_35_cattle_2012-09-01,64420035_36_cattle_2012-09-01,64420035_37_cattle_2012-09-01,64420035_38_cattle_2012-09-01,64420035_39_cattle_2012-09-01,64420035_3_cattle_2012-09-01,64420035_40_cattle_2012-09-01,64420035_41_cattle_2012-09-01,64420035_42_cattle_2012-09-01,64420035_43_cattle_2012-09-01,64420035_44_cattle_2012-09-01,64420035_45_cattle_2012-09-01,64420035_46_cattle_2012-09-01,64420035_47_cattle_2012-09-01,64420035_48_cattle_2012-09-01,64420035_49_cattle_2012-09-01,64420035_4_cattle_2012-09-01,64420035_5_cattle_2012-09-01,64420035_6_cattle_2012-09-01,64420035_7_cattle_2012-09-01,64420035_8_cattle_2012-09-01,64420035_9_cattle_2012-09-01,64420038_0_cattle_2012-06-01,64420038_10_cattle_2012-06-01,64420038_11_cattle_2012-06-01,64420038_12_cattle_2012-06-01,64420038_13_cattle_2012-06-01,64420038_14_cattle_2012-06-01,64420038_15_cattle_2012-02-01,64420038_16_cattle_2012-06-01,64420038_17_cattle_2012-06-01,64420038_18_cattle_2012-06-01,64420038_19_cattle_2012-06-01,64420038_1_cattle_2012-06-01,64420038_20_cattle_2012-06-01,64420038_21_cattle_2012-06-01,64420038_22_cattle_2012-06-01,64420038_23_cattle_2012-06-01,64420038_24_cattle_2012-06-01,64420038_25_cattle_2012-06-01,64420038_26_cattle_2012-06-01,64420038_27_cattle_2015-02-01,64420038_28_cattle_2015-02-01,64420038_29_cattle_2015-01-01,64420038_2_cattle_2012-05-01,64420038_30_cattle_2015-02-01,64420038_31_cattle_2015-02-01,64420038_32_cattle_2015-02-01,64420038_33_cattle_2015-02-01,64420038_34_cattle_2015-02-01,64420038_35_cattle_2015-02-01,64420038_3_cattle_2012-06-01,64420038_4_cattle_2012-06-01,64420038_5_cattle_2012-06-01,64420038_6_cattle_2012-06-01,64420038_7_cattle_2012-06-01,64420038_8_cattle_2012-06-01,64420038_9_cattle_2012-06-01,64420039_0_cattle_2012-07-01,64420039_10_cattle_2012-07-01,64420039_11_cattle_2012-07-01,64420039_12_cattle_2012-07-01,64420039_13_cattle_2012-07-01,64420039_14_cattle_2012-07-01,64420039_15_cattle_2014-12-01,64420039_16_cattle_2014-12-01,64420039_1_cattle_2012-06-01,64420039_2_cattle_2012-07-01,64420039_3_cattle_2012-07-01,64420039_4_cattle_2012-07-01,64420039_5_cattle_2012-07-01,64420039_6_cattle_2012-07-01,64420039_7_cattle_2012-07-01,64420039_8_cattle_2012-07-01,64420039_9_cattle_2012-07-01,64420042_0_cattle_2013-01-01,64420042_1_cattle_2013-03-01,64420042_2_cattle_2013-01-01,64420042_3_cattle_2013-03-01,64420042_4_cattle_2013-03-01,64420044_0_cattle_2010-02-01,64420044_1_cattle_2010-03-01,64420044_2_cattle_2010-03-01,64420044_3_cattle_2010-03-01,64420044_4_cattle_2010-03-01,64420044_5_cattle_2010-03-01,64420044_6_cattle_2010-03-01,64420047_0_cattle_2011-09-01,64420047_10_cattle_2011-09-01,64420047_11_cattle_2011-09-01,64420047_12_cattle_2011-09-01,64420047_13_cattle_2011-09-01,64420047_14_cattle_2011-09-01,64420047_15_cattle_2011-09-01,64420047_16_cattle_2011-09-01,64420047_17_cattle_2011-09-01,64420047_18_cattle_2013-01-01,64420047_19_cattle_2013-01-01,64420047_1_cattle_2011-09-01,64420047_20_cattle_2013-03-01,64420047_21_cattle_2013-01-01,64420047_22_cattle_2013-01-01,64420047_23_cattle_2013-01-01,64420047_24_cattle_2013-01-01,64420047_25_cattle_2014-09-01,64420047_2_cattle_2011-09-01,64420047_3_cattle_2011-09-01,64420047_4_cattle_2011-09-01,64420047_5_cattle_2011-09-01,64420047_6_cattle_2011-08-01,64420047_7_cattle_2011-09-01,64420047_8_cattle_2011-09-01,64420047_9_cattle_2011-09-01,64449007_0_cattle_2014-06-01,64449007_1_cattle_2014-07-01,64449007_2_cattle_2014-07-01,64449007_3_cattle_2014-04-01,64508019_0_cattle_2015-03-01,64521015_0_cattle_2015-02-01,64521015_10_cattle_2015-02-01,64521015_11_cattle_2015-03-01,64521015_12_cattle_2015-03-01,64521015_13_cattle_2015-03-01,64521015_14_cattle_2015-03-01,64521015_15_cattle_2015-03-01,64521015_1_cattle_2015-03-01,64521015_2_cattle_2015-03-01,64521015_3_cattle_2015-03-01,64521015_4_cattle_2015-03-01,64521015_5_cattle_2015-03-01,64521015_6_cattle_2015-03-01,64521015_7_cattle_2015-03-01,64521015_8_cattle_2015-03-01,64521015_9_cattle_2015-03-01
0,0,0,0,0.009149542522873855,0,0.007649617519124061,0,0,0.0054497275136243285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0037498125093745355,0,0,0,0.004199790010499481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005199740012999359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009799510024498765,0,0,0,0.008749562521873911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009699515024248779,0.011999400029998459,0,0,0,0,0,0.013549322533873243,0.009599520023998793,0.010749462526873633,0,0.008499575021248946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.431828408579666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0.00839958002099896,0,0.006499675016249201,0,0,0.006949652517374146,0.005199740012999359,0.0033498325083745843,0.010999450027498598,0.00174991250437478,0.0012999350032498367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001899905004749761,0.014899255037248055,0,0,0.004649767511624426,0.0036998150092495416,0.004649767511624426,0.0027498625068746573,0.014349282535873132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010349482525873688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006149692515374243,0,0,0.004599770011499432,0,0,0,0,0,0,0.1562421878906034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14159292035398044,0.004949752512374389,0,0,0,0,0.004749762511874414,0,0.006399680015999213,0,0,0,0,0,0,0.015099245037748028,0,0,0,0,0.003949802509874511,0,0.0017999100044997737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0036998150092495416,0.005749712514374292,0,0.0012999350032498367,0,0.0036498175091245477,0.004399780010999456,0.002349882505874706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0.40557972101403006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.06729663516824078,0,0,0,0,0,0.3569321533923848,0,0,0.02694865256737138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0195990200489974,0,0,0,0.01479926003699807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021298935053247165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.035998200089995123,0,0,0,0.04184790760461931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06069696515174169,0.054747262636867515,0,0,0,0,0,0.0598970051497418,0.046847657617118614,0.052797360131992786,0,0.04524773761311884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0.0031998400079996025,0,0,0,0,0.45197740113004936,0,0,0.0011999400029998493,0.003949802509874511,0.0027498625068746573,0.006699665016749176,0,0.0019499025048747547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0014999250037498115,0.01019949002549871,0,0,0.0025498725063746817,0.0014999250037498115,0.0030998450077496147,6.499675016249187e-4,0.010249487525623702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007099645017749128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008799560021998904,0,0,0.00354982250887456,0,0,0,0,0,0,0.005399730013499335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00354982250887456,0.005299735013249347,0,0,0,0,0.0036498175091245477,0,0.0027998600069996512,0,0,0,0,0,0,0.010099495025248723,0,0,0,0,0.006149692515374243,0,0.004399780010999456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004049797510124499,0.004849757512124402,0,1.99990000499975e-4,0,0.004999750012499383,0.0017999100044997737,0.005249737513124353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0663966801659909,0,0,0,0.40007999600027777,0,0,0,0,0.017049147542622756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017349132543372715,0,0,0,0.016749162541872798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011549422528873522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03859807009649476,0,0,0,0.038148092595369824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05824708764561703,0.05789710514474208,0,0,0,0,0,0.06074696265186668,0.046047697615118725,0.052447377631117835,0,0.04304784760761914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,9.499525023748808e-4,0,0,0.4770261486926848,0,0,0,0,0.002249887505624718,0.0018499075046247673,0.002249887505624718,0.0048997550122493955,0,0.001249937503124843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0018499075046247673,0.006099695015249249,0,0,0.0016999150042497863,0.0025498725063746817,0.0015999200039997989,2.4998750062496874e-4,0.006199690015499237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00354982250887456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004049797510124499,0,0,0.004299785010749469,0,0,0,0,0,0,0.002449877506124694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0032998350082495903,0.002449877506124694,0,0,0,0,0.003949802509874511,0,0.0036498175091245477,0,0,0,0,0,0,0.006199690015499237,0,0,0,0,0.003399830008499578,0,0.0030998450077496147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0014499275036248178,0.0019999000049997486,0,0,0,0.0012999350032498367,0.0038998050097495173,0.002349882505874706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0.36993150342489023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.01414929253537316,0,0,0,0.0060496975151242555,0,0.011049447527623591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22298885055746911,0,0,0,0.2217389130543443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.29593520323985945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007949602519874022,0,0,0,0.010449477526123675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00889955502224889,0.007799610019499042,0,0,0,0,0,0.01414929253537316,0.008999550022498876,0.010599470026498654,0,0.00674966251687417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
