40270033_0_cattle_2013-02-01,40270033_10_cattle_2013-03-01,40270033_11_cattle_2013-03-01,40270033_12_cattle_2013-03-01,40270033_13_cattle_2013-03-01,40270033_14_cattle_2013-03-01,40270033_15_cattle_2013-03-01,40270033_16_cattle_2013-03-01,40270033_17_cattle_2013-03-01,40270033_18_cattle_2014-03-01,40270033_19_cattle_2014-05-01,40270033_1_cattle_2013-03-01,40270033_20_cattle_2014-03-01,40270033_2_cattle_2013-03-01,40270033_3_cattle_2013-03-01,40270033_4_cattle_2013-03-01,40270033_5_cattle_2013-03-01,40270033_6_cattle_2013-03-01,40270033_7_cattle_2013-03-01,40270033_8_cattle_2013-03-01,40270033_9_cattle_2013-03-01,40270057_0_cattle_2013-10-01,40270057_10_cattle_2013-10-01,40270057_11_cattle_2013-10-01,40270057_12_cattle_2013-05-01,40270057_13_cattle_2013-10-01,40270057_14_cattle_2013-10-01,40270057_15_cattle_2013-10-01,40270057_16_cattle_2013-10-01,40270057_17_cattle_2013-09-01,40270057_18_cattle_2013-10-01,40270057_19_cattle_2013-10-01,40270057_1_cattle_2013-02-01,40270057_20_cattle_2013-10-01,40270057_21_cattle_2013-10-01,40270057_22_cattle_2013-06-01,40270057_23_cattle_2013-10-01,40270057_24_cattle_2013-10-01,40270057_25_cattle_2013-10-01,40270057_26_cattle_2013-10-01,40270057_27_cattle_2013-10-01,40270057_28_cattle_2013-10-01,40270057_29_cattle_2013-10-01,40270057_2_cattle_2013-02-01,40270057_30_cattle_2013-10-01,40270057_31_cattle_2013-05-01,40270057_32_cattle_2013-10-01,40270057_33_cattle_2013-10-01,40270057_34_cattle_2013-10-01,40270057_35_cattle_2013-10-01,40270057_36_cattle_2013-10-01,40270057_37_cattle_2013-10-01,40270057_38_cattle_2013-10-01,40270057_39_cattle_2013-10-01,40270057_3_cattle_2013-10-01,40270057_40_cattle_2013-10-01,40270057_41_cattle_2013-10-01,40270057_42_cattle_2013-10-01,40270057_43_cattle_2013-10-01,40270057_44_cattle_2013-10-01,40270057_45_cattle_2013-10-01,40270057_46_cattle_2013-10-01,40270057_47_cattle_2013-10-01,40270057_48_cattle_2013-10-01,40270057_49_cattle_2013-10-01,40270057_4_cattle_2013-10-01,40270057_50_cattle_2013-10-01,40270057_51_cattle_2013-10-01,40270057_52_cattle_2013-10-01,40270057_53_cattle_2013-10-01,40270057_54_cattle_2013-10-01,40270057_55_cattle_2013-10-01,40270057_56_cattle_2013-10-01,40270057_57_cattle_2013-10-01,40270057_58_cattle_2013-10-01,40270057_59_cattle_2013-10-01,40270057_5_cattle_2013-10-01,40270057_60_cattle_2013-10-01,40270057_61_cattle_2013-10-01,40270057_62_cattle_2013-10-01,40270057_63_cattle_2013-10-01,40270057_6_cattle_2013-10-01,40270057_7_cattle_2013-10-01,40270057_8_cattle_2013-04-01,40270057_9_cattle_2013-10-01,40270058_0_cattle_2010-04-01,40270058_100_cattle_2013-02-01,40270058_101_cattle_2013-02-01,40270058_102_cattle_2013-02-01,40270058_10_cattle_2010-10-01,40270058_11_cattle_2010-10-01,40270058_12_cattle_2010-09-01,40270058_13_cattle_2010-10-01,40270058_14_cattle_2010-10-01,40270058_15_cattle_2010-10-01,40270058_16_cattle_2010-10-01,40270058_17_cattle_2010-10-01,40270058_18_cattle_2010-10-01,40270058_19_cattle_2010-10-01,40270058_1_cattle_2009-01-01,40270058_20_cattle_2010-10-01,40270058_21_cattle_2013-02-01,40270058_22_cattle_2013-02-01,40270058_23_cattle_2013-02-01,40270058_24_cattle_2013-02-01,40270058_25_cattle_2013-02-01,40270058_26_cattle_2012-03-01,40270058_27_cattle_2013-02-01,40270058_28_cattle_2013-02-01,40270058_29_cattle_2013-02-01,40270058_2_cattle_2009-04-01,40270058_30_cattle_2013-02-01,40270058_31_cattle_2013-02-01,40270058_32_cattle_2013-02-01,40270058_33_cattle_2013-02-01,40270058_34_cattle_2013-02-01,40270058_35_cattle_2013-02-01,40270058_36_cattle_2013-02-01,40270058_37_cattle_2012-11-01,40270058_38_cattle_2013-02-01,40270058_39_cattle_2013-02-01,40270058_3_cattle_2009-01-01,40270058_40_cattle_2012-07-01,40270058_41_cattle_2013-02-01,40270058_42_cattle_2013-02-01,40270058_43_cattle_2013-02-01,40270058_44_cattle_2013-02-01,40270058_45_cattle_2013-02-01,40270058_46_cattle_2013-02-01,40270058_47_cattle_2013-02-01,40270058_48_cattle_2013-02-01,40270058_49_cattle_2013-02-01,40270058_4_cattle_2009-04-01,40270058_50_cattle_2013-02-01,40270058_51_cattle_2013-02-01,40270058_52_cattle_2013-02-01,40270058_53_cattle_2013-02-01,40270058_54_cattle_2013-02-01,40270058_55_cattle_2013-01-01,40270058_56_cattle_2013-02-01,40270058_57_cattle_2013-02-01,40270058_58_cattle_2013-02-01,40270058_59_cattle_2013-02-01,40270058_5_cattle_2010-10-01,40270058_60_cattle_2013-02-01,40270058_61_cattle_2013-02-01,40270058_62_cattle_2013-02-01,40270058_63_cattle_2013-02-01,40270058_64_cattle_2013-02-01,40270058_65_cattle_2013-02-01,40270058_66_cattle_2013-02-01,40270058_67_cattle_2013-02-01,40270058_68_cattle_2013-02-01,40270058_69_cattle_2013-02-01,40270058_6_cattle_2010-10-01,40270058_70_cattle_2013-02-01,40270058_71_cattle_2013-02-01,40270058_72_cattle_2013-02-01,40270058_73_cattle_2013-02-01,40270058_74_cattle_2013-02-01,40270058_75_cattle_2013-02-01,40270058_76_cattle_2013-02-01,40270058_77_cattle_2013-02-01,40270058_78_cattle_2013-02-01,40270058_79_cattle_2013-02-01,40270058_7_cattle_2010-10-01,40270058_80_cattle_2013-02-01,40270058_81_cattle_2013-02-01,40270058_82_cattle_2013-02-01,40270058_83_cattle_2013-02-01,40270058_84_cattle_2013-02-01,40270058_85_cattle_2013-02-01,40270058_86_cattle_2013-02-01,40270058_87_cattle_2013-02-01,40270058_88_cattle_2013-02-01,40270058_89_cattle_2013-02-01,40270058_8_cattle_2010-06-01,40270058_90_cattle_2013-02-01,40270058_91_cattle_2013-02-01,40270058_92_cattle_2013-02-01,40270058_93_cattle_2013-02-01,40270058_94_cattle_2013-02-01,40270058_95_cattle_2013-02-01,40270058_96_cattle_2013-02-01,40270058_97_cattle_2013-02-01,40270058_98_cattle_2013-02-01,40270058_99_cattle_2013-02-01,40270058_9_cattle_2010-01-01,64420015_0_cattle_2008-10-01,64420015_1_cattle_2008-11-01,64420015_2_cattle_2008-11-01,64420044_0_cattle_2009-04-01,64523019_0_cattle_2013-11-01,64523019_1_cattle_2013-12-01
0,8.999550022498872e-4,0.0023998800059997,4.999750012499375e-5,0.003999800009999505,0.0033498325083745843,0.007099645017749128,0.0031498425078746086,0.002299885005749712,0,0,2.999850007499625e-4,0,3.9998000099995e-4,0.0037498125093745355,7.999600019998998e-4,8.999550022498872e-4,0.0019999000049997486,0.0020498975051247426,1.99990000499975e-4,0.001899905004749761,0,0,0,0,0,0,0,9.99950002499875e-5,0,0,0,0.0071496425178741215,0,0,0,2.999850007499625e-4,0,0,0,0,0,3.9998000099995e-4,0.0071496425178741215,0,0,0,4.4997750112494374e-4,0,9.99950002499875e-5,0,7.499625018749061e-4,0,0,0,0,0,0,0,0,0,0,0,0,0.0011999400029998493,0,0,0,0,0,0,0,0,0,0,0,0,1.4999250037498125e-4,0,0,0,0,0.001899905004749761,0,0,0,0.0037998100094995295,0.0025998700064996756,0.003499825008749566,0,0,0,0,0,0,0,0,0,0,0,0,0.0014499275036248178,0.12004399780010844,0.0023998800059997,0.0037498125093745355,0.0014499275036248178,0.0071496425178741215,0.005399730013499335,0.001899905004749761,0.004099795010249493,0,0.0014999250037498115,7.999600019998998e-4,0.0024998750062496878,0.0014999250037498115,0.004499775011249444,0.0071496425178741215,0.002449877506124694,0.0071496425178741215,7.999600019998998e-4,0.03729813509324494,0,0.0071496425178741215,0,0.0032498375081245964,0.0025998700064996756,0.003449827508624572,7.999600019998998e-4,6.999650017499124e-4,0.0025498725063746817,0.001099945002749862,0.005649717514124304,0,0.0033498325083745843,0.0019499025048747547,5.499725013749313e-4,0.007099645017749128,0.004599770011499432,2.4998750062496874e-4,7.999600019998998e-4,7.499625018749061e-4,0.03664816759162003,0.0030998450077496147,0,0.0014499275036248178,0.0015999200039997989,0.0011999400029998493,0.0032498375081245964,9.499525023748808e-4,0.0025998700064996756,0.004649767511624426,0.006149692515374243,0.003399830008499578,0.002899855007249639,0,5.99970001499925e-4,0.0024998750062496878,0.0024998750062496878,0.002249887505624718,0.004649767511624426,0.005099745012749371,0.004599770011499432,0.0020498975051247426,0.0030998450077496147,5.499725013749313e-4,0,0.00174991250437478,4.4997750112494374e-4,0.0012999350032498367,0.0027998600069996512,0.0010499475026248682,0.11784410779460874,0.0020498975051247426,0.004099795010249493,0.003399830008499578,0.0013499325033748304,0,0.0071496425178741215,0.00444977751112445,0.003499825008749566,0.0032498375081245964,0.002299885005749712,0.004049797510124499,0.0032498375081245964,6.499675016249187e-4,0.001099945002749862,0.001099945002749862,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0.13994300284985567,0,0,0,0,0,0.1920903954802234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1332933353332316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.137643117844106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13599320033998122,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13159342032898183,0,0,0,0,0,0,0,0,0
4.4997750112494374e-4,9.99950002499875e-5,0,0,0.0015499225038748052,0.001399930003499824,0.0015999200039997989,4.999750012499375e-5,2.999850007499625e-4,0,0,4.999750012499375e-4,0,2.4998750062496874e-4,0.0015499225038748052,6.999650017499124e-4,0.18764061796909903,0,3.9998000099995e-4,0,0.18974051297434874,0,0,0,0,0,0,0,0,0,0,0,0.0015999200039997989,0,0,0,0,0,0,0,0,0,2.4998750062496874e-4,0.0015999200039997989,0,0,0,0,0,1.99990000499975e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.999550022498872e-4,0,0,0,0.0011999400029998493,6.499675016249187e-4,6.999650017499124e-4,0,0,0,0,0,0,0,0,0,0,0,0,4.999750012499375e-4,4.4997750112494374e-4,4.999750012499375e-5,0.0011499425028748556,9.499525023748808e-4,0.0015999200039997989,8.499575021248935e-4,0.0013499325033748304,0.0013499325033748304,0,0.001099945002749862,0,0.0015999200039997989,1.99990000499975e-4,0.0011499425028748556,0.0015999200039997989,7.999600019998998e-4,0.0015999200039997989,0.0012999350032498367,1.99990000499975e-4,0,0.0015999200039997989,0,0.001099945002749862,4.4997750112494374e-4,1.99990000499975e-4,6.999650017499124e-4,0,1.99990000499975e-4,1.4999250037498125e-4,4.999750012499375e-4,0,3.9998000099995e-4,0.1899905004749737,0,0.0015999200039997989,0.0011499425028748556,2.4998750062496874e-4,0,9.99950002499875e-5,0.0013499325033748304,4.4997750112494374e-4,0,4.4997750112494374e-4,4.4997750112494374e-4,9.99950002499875e-5,2.999850007499625e-4,0,4.999750012499375e-4,1.99990000499975e-4,0.0015999200039997989,1.99990000499975e-4,9.99950002499875e-5,0,0,0.001099945002749862,4.4997750112494374e-4,3.4998250087495624e-4,0,5.499725013749313e-4,0.001399930003499824,0.0010499475026248682,4.4997750112494374e-4,0,0,7.499625018749061e-4,0,1.4999250037498125e-4,0.0013499325033748304,4.999750012499375e-4,4.999750012499375e-4,0,4.999750012499375e-5,0.0011499425028748556,3.9998000099995e-4,0,0.0015999200039997989,1.99990000499975e-4,4.999750012499375e-5,4.999750012499375e-5,9.499525023748808e-4,0.0013499325033748304,0,1.99990000499975e-4,4.999750012499375e-5,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007799610019499042,0,0,0.00699965001749914,0,0.009649517524123786,0.011749412529373494,0,0,0,0,3.4998250087495624e-4,0,0.008949552522373883,0,0.008349582520873967,0,0,0,0.010299485025748695,0,0.0037498125093745355,0,0,0.00939953002349882,0.015999200039997902,0.007199640017999115,3.9998000099995e-4,0.010799460026998626,0,0,9.999500024998745e-4,0,0.0031998400079996025,0,0,0,0.003999800009999505,0,6.999650017499124e-4,0,0.008049597520124008,0,0,0.0077496125193740484,0,0.002249887505624718,0.001249937503124843,0,0,0,0,0,0,0.0116994150292485,0.010299485025748695,0.00174991250437478,0,0,0.011399430028498542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017399130043497708,0,0,0,0,0,0.012099395030248445,0,0,0,0,0,0.011499425028748528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.499725013749313e-4,9.99950002499875e-5,6.999650017499124e-4,0,0,0,0.0010499475026248682,0.4905754712265654,3.9998000099995e-4,0,0,5.99970001499925e-4,0,3.4998250087495624e-4,0,2.4998750062496874e-4,0,0,7.499625018749061e-4,0,1.4999250037498125e-4,0,0,0,0,0,0,0,0,0,0,0,0.0010499475026248682,0,0,0,4.4997750112494374e-4,0,4.999750012499375e-5,0,0,0,0,0.0010499475026248682,0,0,0,0,0,0,0,4.999750012499375e-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4999250037498125e-4,0,0,0,5.99970001499925e-4,3.4998250087495624e-4,4.999750012499375e-5,0,0,0,0,0,0,0,0,0,0,0,0,1.99990000499975e-4,9.999500024998745e-4,4.999750012499375e-4,1.4999250037498125e-4,4.4997750112494374e-4,0.0010499475026248682,3.4998250087495624e-4,3.4998250087495624e-4,8.499575021248935e-4,0,8.499575021248935e-4,0,3.9998000099995e-4,0,8.999550022498872e-4,0.0010499475026248682,3.9998000099995e-4,0.0010499475026248682,0,9.99950002499875e-5,0,0.0010499475026248682,0,6.499675016249187e-4,5.99970001499925e-4,0,0,5.499725013749313e-4,3.9998000099995e-4,2.999850007499625e-4,1.99990000499975e-4,0,4.4997750112494374e-4,1.99990000499975e-4,0,0.0010499475026248682,4.4997750112494374e-4,0,4.999750012499375e-4,0,4.999750012499375e-4,1.4999250037498125e-4,0,9.99950002499875e-5,9.499525023748808e-4,0,4.4997750112494374e-4,0,0,5.499725013749313e-4,6.999650017499124e-4,4.999750012499375e-5,9.999500024998745e-4,0,4.999750012499375e-5,4.4997750112494374e-4,3.9998000099995e-4,0,6.499675016249187e-4,4.999750012499375e-5,8.999550022498872e-4,9.999500024998745e-4,5.499725013749313e-4,2.4998750062496874e-4,0,6.999650017499124e-4,0,0,5.99970001499925e-4,0,5.99970001499925e-4,1.4999250037498125e-4,0,4.999750012499375e-5,4.4997750112494374e-4,0,0.0010499475026248682,1.4999250037498125e-4,9.999500024998745e-4,6.999650017499124e-4,9.99950002499875e-5,5.99970001499925e-4,5.99970001499925e-4,3.4998250087495624e-4,2.999850007499625e-4,5.499725013749313e-4,0,0,0,0,0,0,0
3.9998000099995e-4,0,2.4998750062496874e-4,0,6.999650017499124e-4,0,0.0019999000049997486,0.0012999350032498367,2.999850007499625e-4,0,0,3.4998250087495624e-4,0,0,0.001249937503124843,9.99950002499875e-5,2.4998750062496874e-4,9.99950002499875e-5,3.9998000099995e-4,0,5.499725013749313e-4,0,0,0,0,0,0,0,3.9998000099995e-4,0,0,0,0.0019999000049997486,0,0,0,0,0,0,0,0,0,0,0.0019999000049997486,0,0,0,0,0,1.4999250037498125e-4,0,7.999600019998998e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4998750062496874e-4,0,0,0,0.0012999350032498367,3.9998000099995e-4,4.999750012499375e-4,0,0,0,0,0,0,0,0,0,0,0,0,3.9998000099995e-4,0.0015999200039997989,8.999550022498872e-4,0.001099945002749862,7.499625018749061e-4,0.0019999000049997486,8.999550022498872e-4,2.999850007499625e-4,0.0017999100044997737,0,0.0017999100044997737,6.999650017499124e-4,0.0011999400029998493,0,6.999650017499124e-4,0.0019999000049997486,3.9998000099995e-4,0.0019999000049997486,7.499625018749061e-4,6.499675016249187e-4,0,0.0019999000049997486,9.99950002499875e-5,9.499525023748808e-4,0.11589420528973401,4.999750012499375e-4,2.4998750062496874e-4,3.9998000099995e-4,0,4.999750012499375e-4,1.99990000499975e-4,0,6.999650017499124e-4,9.499525023748808e-4,9.99950002499875e-5,0.0019999000049997486,5.99970001499925e-4,0,0,5.499725013749313e-4,0.0013499325033748304,0.00174991250437478,0,4.4997750112494374e-4,0.0010499475026248682,6.499675016249187e-4,0.0011999400029998493,0,0.11694415279235887,5.499725013749313e-4,0.0019999000049997486,0.001099945002749862,1.4999250037498125e-4,0,0,0.0015499225038748052,0,0.001099945002749862,7.999600019998998e-4,5.499725013749313e-4,5.99970001499925e-4,0.0014499275036248178,0.0010499475026248682,0,0,0.001099945002749862,3.9998000099995e-4,4.999750012499375e-5,7.499625018749061e-4,4.999750012499375e-5,5.99970001499925e-4,5.99970001499925e-4,8.999550022498872e-4,9.499525023748808e-4,0.11624418779060897,0,0.0019999000049997486,0.0014999250037498115,0.0011999400029998493,0.0016999150042497863,4.4997750112494374e-4,8.499575021248935e-4,0.0012999350032498367,8.999550022498872e-4,1.4999250037498125e-4,9.99950002499875e-5,0,0,0,0,0,0,0
0,0,0,0,2.999850007499625e-4,0,0,0,1.4999250037498125e-4,0,0,0,0,2.999850007499625e-4,2.999850007499625e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.999750012499375e-5,0,0,2.999850007499625e-4,0,0,0,0,0,0,0,0,0,0,2.999850007499625e-4,0,0,0,1.99990000499975e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4999250037498125e-4,9.99950002499875e-5,0,0,0,0,0,0,0,0,0,0,0,0,0,9.99950002499875e-5,0,2.999850007499625e-4,4.999750012499375e-5,2.999850007499625e-4,4.999750012499375e-5,0,4.999750012499375e-5,0,0,0,0,2.4998750062496874e-4,2.999850007499625e-4,2.999850007499625e-4,0,2.999850007499625e-4,0,0,0,2.999850007499625e-4,0,0,9.99950002499875e-5,0,0,1.4999250037498125e-4,0,1.99990000499975e-4,2.999850007499625e-4,0,2.999850007499625e-4,2.999850007499625e-4,0,2.999850007499625e-4,2.999850007499625e-4,0,4.999750012499375e-5,0,2.4998750062496874e-4,2.4998750062496874e-4,0,1.99990000499975e-4,2.4998750062496874e-4,0,2.999850007499625e-4,0,1.99990000499975e-4,0,4.999750012499375e-5,4.999750012499375e-5,2.4998750062496874e-4,0,0,2.999850007499625e-4,4.999750012499375e-5,2.4998750062496874e-4,2.999850007499625e-4,4.999750012499375e-5,2.4998750062496874e-4,2.4998750062496874e-4,0,0,0,2.4998750062496874e-4,0,4.999750012499375e-5,4.999750012499375e-5,4.999750012499375e-5,1.99990000499975e-4,9.99950002499875e-5,0,4.999750012499375e-5,0,0,2.999850007499625e-4,4.999750012499375e-5,0,2.4998750062496874e-4,4.999750012499375e-5,2.999850007499625e-4,0,0,0,4.999750012499375e-5,0,0,0,0,0,0,0
7.999600019998998e-4,4.999750012499375e-5,4.999750012499375e-5,9.99950002499875e-5,0.5008249587521947,5.99970001499925e-4,0.0010499475026248682,0,4.999750012499375e-4,0,0,1.4999250037498125e-4,0,3.4998250087495624e-4,7.499625018749061e-4,1.99990000499975e-4,2.999850007499625e-4,0,4.999750012499375e-4,0,4.999750012499375e-4,0,0,0,0,0,0,0,0,0,0,0,0.0010499475026248682,0,0,0,1.99990000499975e-4,0,0,0,0,0,0,0.0010499475026248682,0,0,0,0,0,0,0,4.4997750112494374e-4,0,0,0,0,0,0,0,0,0,0,0,0,4.999750012499375e-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4999250037498125e-4,0,0,0,6.999650017499124e-4,7.499625018749061e-4,3.4998250087495624e-4,0,0,0,0,0,0,0,0,0,0,0,0,2.999850007499625e-4,7.999600019998998e-4,1.4999250037498125e-4,3.9998000099995e-4,4.4997750112494374e-4,0.0010499475026248682,6.499675016249187e-4,1.4999250037498125e-4,7.499625018749061e-4,0,4.999750012499375e-4,5.99970001499925e-4,2.4998750062496874e-4,0,4.4997750112494374e-4,0.0010499475026248682,2.999850007499625e-4,0.0010499475026248682,3.9998000099995e-4,2.999850007499625e-4,0,0.0010499475026248682,4.999750012499375e-5,5.499725013749313e-4,4.999750012499375e-5,0,2.4998750062496874e-4,3.9998000099995e-4,0,6.499675016249187e-4,5.499725013749313e-4,0,3.4998250087495624e-4,1.99990000499975e-4,4.999750012499375e-5,0.0010499475026248682,9.499525023748808e-4,0,4.999750012499375e-5,3.4998250087495624e-4,6.499675016249187e-4,5.499725013749313e-4,0,9.99950002499875e-5,7.499625018749061e-4,4.999750012499375e-5,4.4997750112494374e-4,4.999750012499375e-5,9.99950002499875e-5,1.99990000499975e-4,7.499625018749061e-4,9.99950002499875e-5,5.499725013749313e-4,0,0,6.999650017499124e-4,9.99950002499875e-5,1.4999250037498125e-4,7.999600019998998e-4,2.4998750062496874e-4,6.499675016249187e-4,7.999600019998998e-4,6.499675016249187e-4,0,0,3.9998000099995e-4,0,3.9998000099995e-4,4.999750012499375e-5,4.4997750112494374e-4,4.999750012499375e-4,0,7.999600019998998e-4,9.99950002499875e-5,7.499625018749061e-4,0,0.0010499475026248682,2.999850007499625e-4,8.499575021248935e-4,0,2.999850007499625e-4,1.4999250037498125e-4,9.99950002499875e-5,4.999750012499375e-5,3.9998000099995e-4,0,0,0,0,0,0,0,0
0.009949502524873744,0.0016499175041247926,0.004799760011999408,2.4998750062496874e-4,0.008499575021248946,0.0021998900054997243,0.018199090045497596,0.009649517524123786,0,0,0,0.0014999250037498115,0,0.043747812609369045,0.008999550022498876,0.00674966251687417,0.0015499225038748052,0.002249887505624718,0.24843757812109057,8.999550022498872e-4,0.005949702514874268,0,0,0,0,0,0,0,0.0012999350032498367,0,0,0,0.018199090045497596,0,0,0,0.0019999000049997486,0,0,0,0,0,0.002299885005749712,0.018149092545372603,0,0,0,4.999750012499375e-5,3.4998250087495624e-4,0,0,0.003449827508624572,0,0,0,0,0,0,0,0,0,0,0,0,4.999750012499375e-5,0,0,0,0,0,0,0,0,0,0,0,0,7.999600019998998e-4,0,0,0,0,0.005699715014249298,0,0,0,0.006649667516624182,0.2410379481025916,0.004199790010499481,0,0,0,0,0,0,0,0,0,0,0,0,0.0033498325083745843,0.007599620018999067,0.003049847507624621,0.009199540022998848,0.007349632518374097,0.018199090045497596,0.007599620018999067,0.0025498725063746817,0.0014999250037498115,0,0.010499475026248668,0.0036498175091245477,0.008149592520373995,7.999600019998998e-4,0.014299285035748139,0.018199090045497596,0.004649767511624426,0.018199090045497596,0.006899655017249152,0.0031498425078746086,0,0.018199090045497596,2.4998750062496874e-4,0.04889755512224333,0.0076996150192490545,0.0076996150192490545,0.003449827508624572,0.0038498075096245234,0.0011999400029998493,0.004199790010499481,0.007649617519124061,0,0.011499425028748528,0.005899705014749274,3.4998250087495624e-4,0.018199090045497596,0.020348982550872297,0,0.014499275036248111,0.003399830008499578,0.0077496125193740484,0.014549272536373104,0,0.0026498675066246695,0.005099745012749371,0.002249887505624718,0.01019949002549871,2.4998750062496874e-4,0.004749762511874414,0.014199290035498153,0.008749562521873911,0.005049747512624377,0.006249687515624231,0,1.4999250037498125e-4,0.01054947252637366,0.0011999400029998493,0.003599820008999554,0.01004949752512373,0.008349582520873967,0.011449427528623535,0.009849507524623758,0.00584970751462428,0.003999800009999505,0,0.010649467526623647,0.0026498675066246695,0.005299735013249347,0.0054497275136243285,0.004849757512124402,0.007849607519624036,0.004199790010499481,0.047047647617618586,0.0060496975151242555,0.00354982250887456,0,0.018199090045497596,0.005149742512874365,0.007949602519874022,0.0032498375081245964,0.012799360031998348,0.013049347532623313,0.017899105044747638,0.0036998150092495416,0.002849857507124645,0.004549772511374438,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.99970001499925e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
