64420015_0_cattle_2008-11-01,64420015_1_cattle_2008-10-01,64420015_2_cattle_2008-11-01,64420015_3_cattle_2010-12-01,64420015_4_cattle_2010-12-01,64420015_5_cattle_2010-11-01,64420015_6_cattle_2010-12-01,64420015_7_cattle_2012-12-01,64420015_8_cattle_2012-12-01,64420015_9_cattle_2012-12-01,64420035_0_cattle_2012-03-01,64420035_10_cattle_2012-04-01,64420035_1_cattle_2012-04-01,64420035_2_cattle_2012-04-01,64420035_3_cattle_2012-04-01,64420035_4_cattle_2012-04-01,64420035_5_cattle_2012-04-01,64420035_6_cattle_2012-04-01,64420035_7_cattle_2012-04-01,64420035_8_cattle_2012-04-01,64420035_9_cattle_2012-04-01,64420044_0_cattle_2011-05-01,64420044_10_cattle_2011-07-01,64420044_11_cattle_2011-06-01,64420044_12_cattle_2011-07-01,64420044_13_cattle_2010-10-01,64420044_14_cattle_2011-05-01,64420044_15_cattle_2011-07-01,64420044_16_cattle_2011-07-01,64420044_17_cattle_2011-02-01,64420044_18_cattle_2011-05-01,64420044_19_cattle_2011-05-01,64420044_1_cattle_2011-05-01,64420044_20_cattle_2011-05-01,64420044_21_cattle_2011-05-01,64420044_22_cattle_2011-05-01,64420044_23_cattle_2011-05-01,64420044_24_cattle_2011-05-01,64420044_25_cattle_2011-05-01,64420044_26_cattle_2011-07-01,64420044_27_cattle_2011-05-01,64420044_28_cattle_2011-07-01,64420044_2_cattle_2011-07-01,64420044_3_cattle_2010-11-01,64420044_4_cattle_2011-05-01,64420044_5_cattle_2011-05-01,64420044_6_cattle_2011-05-01,64420044_7_cattle_2011-07-01,64420044_8_cattle_2011-05-01,64420044_9_cattle_2011-05-01,64420047_0_cattle_2011-02-01,64420047_10_cattle_2011-03-01,64420047_11_cattle_2011-03-01,64420047_12_cattle_2011-03-01,64420047_13_cattle_2011-03-01,64420047_14_cattle_2011-03-01,64420047_15_cattle_2011-03-01,64420047_16_cattle_2011-03-01,64420047_17_cattle_2011-03-01,64420047_18_cattle_2011-03-01,64420047_19_cattle_2011-03-01,64420047_1_cattle_2011-03-01,64420047_20_cattle_2011-03-01,64420047_21_cattle_2011-03-01,64420047_22_cattle_2011-03-01,64420047_23_cattle_2011-03-01,64420047_24_cattle_2011-03-01,64420047_25_cattle_2011-03-01,64420047_26_cattle_2011-03-01,64420047_27_cattle_2011-03-01,64420047_28_cattle_2011-03-01,64420047_29_cattle_2011-03-01,64420047_2_cattle_2011-03-01,64420047_3_cattle_2011-03-01,64420047_4_cattle_2011-03-01,64420047_5_cattle_2011-03-01,64420047_6_cattle_2011-02-01,64420047_7_cattle_2011-03-01,64420047_8_cattle_2011-02-01,64420047_9_cattle_2010-11-01
0,0.5322233888307077,0.5322233888307077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003449827508624572,0,0.0043497825108744625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005199740012999359,0,0.005799710014499286,0.004749762511874414,0,0,0,9.99950002499875e-5,0.0032998350082495903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.3009349532523615,0,0.3009349532523615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0033498325083745843,0,0.002999850007499627,0,0,5.499725013749313e-4,0,0,0,0,0,0,0,0,0,8.999550022498872e-4,0,0.006399680015999213,0,0.004049797510124499,0.004099795010249493,0,0,0,4.999750012499375e-5,0.0060496975151242555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.16644167791610198,0.16644167791610198,0,0,0,2.4998750062496874e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4999250037498125e-4,0.1289435528223572,1.4999250037498125e-4,0.18664066796659917,2.4998750062496874e-4,0,0.019699015049247388,0.0013499325033748304,0,0,0,0,0,0,0,0,0.003949802509874511,0,0.1541922903854787,0.004549772511374438,0.15669216539172834,0.13634318284085617,0,4.999750012499375e-5,0,0.0026498675066246695,0.12954352282385712,0.003449827508624572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.99990000499975e-4,0,0,9.99950002499875e-5,0,0,9.99950002499875e-5,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,2.4998750062496874e-4,2.4998750062496874e-4,0,2.4998750062496874e-4,0,0,0,0,0,0,0,9.99950002499875e-5,1.4999250037498125e-4,0,0,0,0,0,2.4998750062496874e-4,2.4998750062496874e-4,2.4998750062496874e-4,1.4999250037498125e-4,2.4998750062496874e-4,2.4998750062496874e-4,2.4998750062496874e-4,2.4998750062496874e-4,1.4999250037498125e-4,1.4999250037498125e-4,0,2.4998750062496874e-4,0,2.4998750062496874e-4,9.99950002499875e-5,2.4998750062496874e-4,2.4998750062496874e-4,9.99950002499875e-5,2.4998750062496874e-4,2.4998750062496874e-4,2.4998750062496874e-4,2.4998750062496874e-4,2.4998750062496874e-4,2.4998750062496874e-4,2.4998750062496874e-4,2.4998750062496874e-4,1.4999250037498125e-4,2.4998750062496874e-4,1.4999250037498125e-4,9.99950002499875e-5,9.99950002499875e-5,0,9.99950002499875e-5,0,0,9.99950002499875e-5,9.99950002499875e-5,2.4998750062496874e-4,2.4998750062496874e-4,9.99950002499875e-5,2.4998750062496874e-4,2.4998750062496874e-4,2.4998750062496874e-4,2.4998750062496874e-4,2.4998750062496874e-4,9.99950002499875e-5,9.99950002499875e-5,0,2.4998750062496874e-4,2.4998750062496874e-4,0,2.4998750062496874e-4,2.4998750062496874e-4,1.4999250037498125e-4,1.4999250037498125e-4,2.4998750062496874e-4,9.99950002499875e-5,2.4998750062496874e-4,2.4998750062496874e-4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0.1757412129393507,0.1757412129393507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0.4138793060347835,0,0.4138793060347835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0.4089795510225315,0.4089795510225315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,5.99970001499925e-4,3.9998000099995e-4,8.499575021248935e-4,0,0.0018499075046247673,0.0018499075046247673,0.0018499075046247673,0.0018499075046247673,0.0018499075046247673,0.0018499075046247673,0.0018499075046247673,0.0018499075046247673,0.0018499075046247673,0.0018499075046247673,0,0,0,0,0,0,1.99990000499975e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0.020098995050247332,0.0519974001299929,0.05794710264486707,0.13004349782510705,0,0.13004349782510705,0.13004349782510705,0.13004349782510705,0.12934353282335714,0.13004349782510705,0.13004349782510705,0.13004349782510705,0.13004349782510705,0.13004349782510705,0,0,0,0,0,0,0.0019999000049997486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0.020198990050497318,0.04919754012299329,0.05009749512524316,0.11949402529873351,0.11949402529873351,0,0.11949402529873351,0.11949402529873351,0.11844407779610866,0.11949402529873351,0.11949402529873351,0.11924403779810855,0.11949402529873351,0.11949402529873351,0,0,0,0,0,0,0.006899655017249152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0.01924903754812245,0.04364781760911906,0.042897855107244164,0.10539473026348548,0.10539473026348548,0.10539473026348548,0,0.10539473026348548,0.1052447377631105,0.10539473026348548,0.10539473026348548,0.10504474776261052,0.10539473026348548,0.10539473026348548,0,0,0,0,0,0,0.009099545022748862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0.022648867556621977,0.06019699015049176,0.05829708514574202,0.14129293535323048,0.14129293535323048,0.14129293535323048,0.14129293535323048,0,0.1411429428528555,0.14129293535323048,0.14129293535323048,0.14069296535173056,0.14129293535323048,0.14129293535323048,0,0,0,0,0,0,0.006499675016249201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0.018699065046747527,0.04614769261536871,0.03654817259137005,0.10069496525173613,0.10069496525173613,0.10069496525173613,0.10069496525173613,0.10069496525173613,0,0.10069496525173613,0.10069496525173613,0.10369481525923571,0.10069496525173613,0.10069496525173613,0,0,0,0,0,0,0.004549772511374438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0.0015999200039997989,0.0032498375081245964,0.0032498375081245964,0.008099595020249001,0.008099595020249001,0.008099595020249001,0.008099595020249001,0.008099595020249001,0.008099595020249001,0,0.008099595020249001,0.007999600019999015,0.008099595020249001,0.008099595020249001,0,0,0,0,0,0,1.4999250037498125e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0.026698665066746414,0.06219689015549148,0.058047097645117056,0.14674266286685472,0.14674266286685472,0.14674266286685472,0.14674266286685472,0.14674266286685472,0.14569271536422987,0.14674266286685472,0,0.14599270036497983,0.14674266286685472,0.14674266286685472,0,0,0,0,0,0,0.004599770011499432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0.023448827558621866,0.03594820258987013,0.0347482625868703,0.09419529023548703,0.09419529023548703,0.09419529023548703,0.09419529023548703,0.09419529023548703,0.09749512524373657,0.09419529023548703,0.09419529023548703,0,0.09419529023548703,0.09419529023548703,0,0,0,0,0,0,0.00354982250887456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0.01724913754312273,0.049347532623368266,0.04089795510224444,0.10754462276886018,0.10754462276886018,0.10754462276886018,0.10754462276886018,0.10754462276886018,0.1073446327683602,0.10754462276886018,0.10754462276886018,0.10659467026648531,0,0.10754462276886018,0,0,0,0,0,0,0.007499625018749079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0.00174991250437478,0.0032998350082495903,0.007199640017999115,0.012299385030748417,0.012299385030748417,0.012299385030748417,0.012299385030748417,0.012299385030748417,0.012299385030748417,0.012299385030748417,0.012299385030748417,0.012299385030748417,0.012299385030748417,0,0,0,0,0,0,0,6.499675016249187e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
