40270058_0_cattle_2010-12-01,64420015_0_cattle_2009-02-01,64420015_10_cattle_2010-09-01,64420015_11_cattle_2011-03-01,64420015_12_cattle_2011-02-01,64420015_13_cattle_2011-03-01,64420015_14_cattle_2011-03-01,64420015_15_cattle_2011-03-01,64420015_16_cattle_2011-03-01,64420015_17_cattle_2011-03-01,64420015_18_cattle_2011-03-01,64420015_19_cattle_2011-03-01,64420015_1_cattle_2007-04-01,64420015_20_cattle_2011-03-01,64420015_21_cattle_2011-03-01,64420015_22_cattle_2011-03-01,64420015_23_cattle_2011-03-01,64420015_24_cattle_2011-03-01,64420015_25_cattle_2011-03-01,64420015_26_cattle_2011-03-01,64420015_27_cattle_2011-03-01,64420015_28_cattle_2011-03-01,64420015_29_cattle_2011-03-01,64420015_2_cattle_2011-03-01,64420015_30_cattle_2011-03-01,64420015_31_cattle_2011-03-01,64420015_32_cattle_2011-03-01,64420015_33_cattle_2011-03-01,64420015_34_cattle_2011-03-01,64420015_35_cattle_2011-03-01,64420015_36_cattle_2011-03-01,64420015_37_cattle_2011-03-01,64420015_38_cattle_2011-03-01,64420015_39_cattle_2011-03-01,64420015_3_cattle_2011-03-01,64420015_40_cattle_2011-03-01,64420015_41_cattle_2011-03-01,64420015_42_cattle_2011-03-01,64420015_43_cattle_2011-03-01,64420015_44_cattle_2011-03-01,64420015_45_cattle_2013-02-01,64420015_46_cattle_2013-02-01,64420015_47_cattle_2013-02-01,64420015_48_cattle_2013-02-01,64420015_49_cattle_2013-02-01,64420015_4_cattle_2009-02-01,64420015_50_cattle_2013-02-01,64420015_51_cattle_2013-02-01,64420015_5_cattle_2011-03-01,64420015_6_cattle_2011-03-01,64420015_7_cattle_2011-03-01,64420015_8_cattle_2011-03-01,64420015_9_cattle_2011-03-01,64420044_0_cattle_2010-01-01,64420044_1_cattle_2012-05-01,64420044_2_cattle_2012-05-01,64420044_3_cattle_2012-05-01,64420044_4_cattle_2012-05-01,64420044_5_cattle_2012-05-01,64420044_6_cattle_2012-05-01,64420044_7_cattle_2012-07-01,64420044_8_cattle_2012-05-01,64420044_9_cattle_2012-07-01,64420047_0_cattle_2013-01-01,64420047_1_cattle_2013-01-01,64420047_2_cattle_2012-12-01,64420047_3_cattle_2013-01-01,64420047_4_cattle_2013-01-01,64420047_5_cattle_2013-01-01,64420047_6_cattle_2013-01-01
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0.0037996200379962018,0,0,0,0,1.9998000199980003e-4,0,6.999300069993001e-4,0,0,0,0,0,8.999100089991002e-4,0,2.9997000299970003e-4,0.0028997100289971005,0.003199680031996801,0,0,0.005399460053994604,0,0,0,5.999400059994001e-4,0.0036996300369963016,0.004799520047995203,0.0014998500149984997,0,0.0012998700129986998,0,8.999100089991002e-4,0,0,0.0021997800219977996,0,0,0,0,0,0,0,0.31126887311268736,0,0,0,0,1.9998000199980003e-4,0,0,0.21447855214477793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.011298870112988682,0,0.011298870112988682,0,0.011298870112988682,0.011198880111988782,7.999200079992001e-4,0.005699430056994304,0.006899310068993106,0.0022997700229976997,0.008399160083991603,0.0050994900509949035,0,0.005599440055994404,9.99900009999e-4,0.0035996400359964015,0.006999300069993006,0.0028997100289971005,0.006199380061993805,0.011198880111988782,0.007399260073992607,6.999300069993001e-4,0.003099690030996901,0.010498950104989488,0.011298870112988682,0.011298870112988682,0.003399660033996601,0.005599440055994404,0.07599240075992506,0.011298870112988682,0.008499150084991502,0.0027997200279972004,0.004599540045995403,9.99900009999e-4,0.0072992700729927066,0.0028997100289971005,0.021997800219977905,0.0087991200879912,0.0064993500649935055,1.9998000199980003e-4,0,0,0,0,0,0,0,0,0.0020997900209978994,0.0017998200179981994,0.005399460053994604,0.0088991100889911,0.005299470052994704,0.011298870112988682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.9997000299970003e-4,0,2.9997000299970003e-4,2.9997000299970003e-4,2.9997000299970003e-4,0,1.9998000199980003e-4,2.9997000299970003e-4,2.9997000299970003e-4,0,2.9997000299970003e-4,0,0,2.9997000299970003e-4,0,2.9997000299970003e-4,0,2.9997000299970003e-4,2.9997000299970003e-4,2.9997000299970003e-4,2.9997000299970003e-4,0,0,0.013698630136986264,2.9997000299970003e-4,2.9997000299970003e-4,0,0,2.9997000299970003e-4,2.9997000299970003e-4,2.9997000299970003e-4,9.999000099990002e-5,2.9997000299970003e-4,0,2.9997000299970003e-4,0,2.9997000299970003e-4,0.013698630136986264,0,0,0,0,0,0,0,0,0,0,0,0,2.9997000299970003e-4,2.9997000299970003e-4,0,2.9997000299970003e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06969303069693118,0,0,0,0,0,0,0,0,0,0,0,0.06969303069693118,0,0,0,0,0.06969303069693118,0,0.06969303069693118,0,0,0,0,0,0.06969303069693118,0,0,0,0,0,0,0,0,0.06969303069693118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.999500049995e-4,0,4.999500049995e-4,4.999500049995e-4,4.999500049995e-4,4.999500049995e-4,0,0,0,0,3.9996000399960006e-4,4.999500049995e-4,0,4.999500049995e-4,1.9998000199980003e-4,2.9997000299970003e-4,0,2.9997000299970003e-4,2.9997000299970003e-4,4.999500049995e-4,4.999500049995e-4,0,0,4.999500049995e-4,4.999500049995e-4,4.999500049995e-4,1.9998000199980003e-4,0.4732526747325523,2.9997000299970003e-4,4.999500049995e-4,0,0,3.9996000399960006e-4,0,4.999500049995e-4,1.9998000199980003e-4,2.9997000299970003e-4,4.999500049995e-4,0,0,0,0,0,0,0,0,0,0,9.999000099990002e-5,0,4.999500049995e-4,3.9996000399960006e-4,1.9998000199980003e-4,4.999500049995e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.9998000199980003e-4,0,1.9998000199980003e-4,1.9998000199980003e-4,1.9998000199980003e-4,1.9998000199980003e-4,0,0,0,1.9998000199980003e-4,0,0.43815618438158155,0,1.9998000199980003e-4,0,0,0,1.9998000199980003e-4,0,1.9998000199980003e-4,1.9998000199980003e-4,0,0,1.9998000199980003e-4,1.9998000199980003e-4,1.9998000199980003e-4,0,1.9998000199980003e-4,1.9998000199980003e-4,1.9998000199980003e-4,0,0,1.9998000199980003e-4,0,1.9998000199980003e-4,0,1.9998000199980003e-4,1.9998000199980003e-4,0,0,0,0,0,0,0,0,0,0,1.9998000199980003e-4,0,1.9998000199980003e-4,1.9998000199980003e-4,0,1.9998000199980003e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2210778922107706,0,0,0,0,0,0.2210778922107706,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2210778922107706,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2210778922107706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0023997600239976,0,0.0023997600239976,0.0021997800219977996,0.0023997600239976,0.0023997600239976,1.9998000199980003e-4,0.0010998900109989,0.0011998800119988,4.999500049995e-4,0,0.0012998700129986998,0,0.0014998500149984997,6.999300069993001e-4,7.999200079992001e-4,0.26357364263572713,5.999400059994001e-4,0.0011998800119988,0.0023997600239976,0.0016998300169982995,1.9998000199980003e-4,8.999100089991002e-4,0.0023997600239976,0.0023997600239976,0.0023997600239976,5.999400059994001e-4,0.0012998700129986998,0.0021997800219977996,0.0023997600239976,0.03079692030796904,6.999300069993001e-4,0.03089691030896894,1.9998000199980003e-4,0.0019998000199979993,2.9997000299970003e-4,0.0023997600239976,0.0016998300169982995,0.0013998600139985998,0,0,0,0,0,0,0,0,0,0,5.999400059994001e-4,0.0010998900109989,0.0012998700129986998,8.999100089991002e-4,0.0023997600239976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0.3958604139586168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.3223677632236781,0,1.9998000199980003e-4,0,0,0,0,0,0,9.999000099990002e-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.999100089991002e-4,9.99900009999e-4,0,0,9.999000099990002e-5,0,0,0,0,0,0,0,0,0,0,0,0,0.6783321667833813,0,0,0,0,5.999400059994001e-4,0,0,0.003299670032996701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08659134086591475,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08659134086591475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0.2174782521747746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2174782521747746,0,0,0,0,0.2174782521747746,0,0.2174782521747746,0,0,0,0,0,0.2174782521747746,0,0,0,0,0,0,0,0,0.2174782521747746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0.22757724227576337,0,0,0,0,0,0,0,0,0,0,0,0.22757724227576337,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22757724227576337,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22757724227576337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0026997300269973002,0,0.0026997300269973002,0.0026997300269973002,0.0026997300269973002,0.0026997300269973002,4.999500049995e-4,0.0014998500149984997,0.0016998300169982995,0.0010998900109989,0.2832716728327107,0.0016998300169982995,0,9.99900009999e-4,5.999400059994001e-4,4.999500049995e-4,0,5.999400059994001e-4,0.0021997800219977996,0.0026997300269973002,0.0020997900209978994,3.9996000399960006e-4,0,0.0023997600239976,0.0026997300269973002,0.0026997300269973002,2.9997000299970003e-4,0.0014998500149984997,0.0023997600239976,0.0026997300269973002,0.021997800219977905,2.9997000299970003e-4,0.023297670232976596,0,0.0015998400159983996,2.9997000299970003e-4,0.0026997300269973002,0.0026997300269973002,7.999200079992001e-4,0,0,0,0,0,0,0,0,0,9.99900009999e-4,3.9996000399960006e-4,0.0018998100189980994,6.999300069993001e-4,0.0020997900209978994,0.0026997300269973002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4813518648135455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003099690030996901,0.05879412058794179,0.005399460053994604,0.006699330066993306,0.07209279072092885,0,0.0018998100189980994,0.006599340065993406,0,0,0,0,0.4813518648135455,0,0.0517948205179486,0.05939406059394121,0.051594840515948794,0.0021997800219977996,0.009899010098990092,0.058594140585941985,0.01989801019898002,0.007399260073992607,0.014098590140985861,7.999200079992001e-4,9.99900009999e-4,2.9997000299970003e-4,0.022897710228977,4.999500049995e-4,0.02139786021397851,0.0019998000199979993
7.999200079992001e-4,0,7.999200079992001e-4,7.999200079992001e-4,7.999200079992001e-4,6.999300069993001e-4,9.999000099990002e-5,1.9998000199980003e-4,9.999000099990002e-5,9.999000099990002e-5,3.9996000399960006e-4,6.999300069993001e-4,0,5.999400059994001e-4,2.9997000299970003e-4,9.999000099990002e-5,6.999300069993001e-4,4.999500049995e-4,0,6.999300069993001e-4,3.9996000399960006e-4,0,0,7.999200079992001e-4,7.999200079992001e-4,7.999200079992001e-4,1.9998000199980003e-4,5.999400059994001e-4,7.999200079992001e-4,7.999200079992001e-4,7.999200079992001e-4,9.999000099990002e-5,9.999000099990002e-5,0,3.9996000399960006e-4,2.9997000299970003e-4,7.999200079992001e-4,6.999300069993001e-4,9.999000099990002e-5,0,0,0,0,0,0,0,0,0,9.999000099990002e-5,2.9997000299970003e-4,7.999200079992001e-4,0.37196280371963675,2.9997000299970003e-4,7.999200079992001e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.013798620137986163,0,0.013798620137986163,0.01149885011498848,0.013798620137986163,0.013798620137986163,0.0022997700229976997,0.009399060093990596,0.006899310068993106,0.0050994900509949035,0.010298970102989689,0.006899310068993106,0,0.009899010098990092,0.003399660033996601,0.0022997700229976997,0.007699230076992307,0.0057994200579942045,0.009899010098990092,0,0.008599140085991401,5.999400059994001e-4,0.0010998900109989,0.013798620137986163,0.013798620137986163,0.02149785021497841,0.0020997900209978994,0.004499550044995503,0.011698830116988279,0.031896810318967954,0.0088991100889911,0.0025997400259974,0.006899310068993106,0,0.010498950104989488,0.003899610038996102,0.011398860113988581,0.013798620137986163,0.008499150084991502,7.999200079992001e-4,0,0,0,0,0,0,0,0,0.0025997400259974,0.0018998100189980994,0.005499450054994504,0.008199180081991804,0.006899310068993106,0.013798620137986163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.01419858014198576,0,0.01419858014198576,0.013398660133986566,0.01419858014198576,0.01419858014198576,0.0011998800119988,0.008299170082991704,0.007199280071992806,0.003299670032996701,0.009699030096990293,0.009499050094990495,0,0.13148685131487017,0.005199480051994804,0.0026997300269973002,0.007599240075992407,0.007199280071992806,0.009599040095990394,0.01419858014198576,0,7.999200079992001e-4,0,0.014098590140985861,0.01419858014198576,0.01419858014198576,0.0024997500249975,0.006299370062993705,0.013198680131986768,0.01419858014198576,0.005199480051994804,0.0020997900209978994,0.008299170082991704,3.9996000399960006e-4,0.14138586141385917,0.0025997400259974,0.013798620137986163,0.01279872012798717,0.008499150084991502,0.0010998900109989,0,0,0,0,0,0,0,0,0.0016998300169982995,0.004799520047995203,0.005699430056994304,0.005199480051994804,0.006999300069993006,0.01419858014198576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0.06949305069493138,0,0,0,0,0,0.06949305069493138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06949305069493138,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06949305069493138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07069293070693021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9998000199980003e-4,0.006999300069993006,0,0.003299670032996701,0.010498950104989488,0,0,0,0,0,0,0,0.07069293070693021,0,0.008999100089990998,0.008999100089990998,0.009399060093990596,6.999300069993001e-4,6.999300069993001e-4,0.011698830116988279,3.9996000399960006e-4,5.999400059994001e-4,0.0023997600239976,0,6.999300069993001e-4,0,0.0027997200279972004,1.9998000199980003e-4,0.0011998800119988,6.999300069993001e-4
0.019698030196980222,0,0.019698030196980222,0.017998200179981935,0.019698030196980222,0.034896510348965036,3.9996000399960006e-4,0.006799320067993206,0.01429857014298566,0.0072992700729927066,0.008599140085991401,0.011698830116988279,0,0.012198780121987775,0.006099390060993905,0.0034996500349965013,0.012498750124987473,0.009899010098990092,0.009199080091990797,0.019398060193980524,0.01299870012998697,7.999200079992001e-4,4.999500049995e-4,0,0.019698030196980222,0.019698030196980222,0.0015998400159983996,0.01299870012998697,0.019398060193980524,0.019098090190980826,0.01279872012798717,0.004899510048995103,0.01599840015998395,3.9996000399960006e-4,0.013698630136986264,0.005599440055994404,0.019698030196980222,0.06559344065593517,0.01299870012998697,6.999300069993001e-4,0,0,0,0,0,0,0,0,0.005599440055994404,0.0024997500249975,0.008099190080991905,0.01279872012798717,0.009299070092990696,0.019698030196980222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005299470052994704,0,0,0,0,0,0,0,0,0,0.005299470052994704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0.21607839216077615,0,0,0,0,0,0,0,0.21607839216077615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21607839216077615,0,0.21607839216077615,0,0,0,0,0,0.21607839216077615,0,0,0,0,0,0,0,0,0.21607839216077615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.999300069993001e-4,0,6.999300069993001e-4,6.999300069993001e-4,6.999300069993001e-4,6.999300069993001e-4,2.9997000299970003e-4,0.46825317468255645,6.999300069993001e-4,0,4.999500049995e-4,6.999300069993001e-4,0,6.999300069993001e-4,3.9996000399960006e-4,0,4.999500049995e-4,6.999300069993001e-4,9.999000099990002e-5,6.999300069993001e-4,6.999300069993001e-4,0,0,6.999300069993001e-4,6.999300069993001e-4,6.999300069993001e-4,0,0,6.999300069993001e-4,6.999300069993001e-4,0,0,6.999300069993001e-4,0,6.999300069993001e-4,2.9997000299970003e-4,6.999300069993001e-4,6.999300069993001e-4,2.9997000299970003e-4,0,0,0,0,0,0,0,0,0,0,3.9996000399960006e-4,3.9996000399960006e-4,5.999400059994001e-4,0,6.999300069993001e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.01289871012898707,0,0.01289871012898707,0.08449155084491679,0.01289871012898707,0.01289871012898707,0.0010998900109989,0.006299370062993705,0.009399060093990596,0.004099590040995902,0.0072992700729927066,0.006199380061993805,0,0.010698930106989286,0.0020997900209978994,0.003999600039996002,0.005499450054994504,0.006199380061993805,0.009799020097990193,0.01289871012898707,0.010998900109988984,4.999500049995e-4,8.999100089991002e-4,0.01289871012898707,0.01289871012898707,0.01289871012898707,0.004199580041995802,0.006599340065993406,0,0.01289871012898707,0.005299470052994704,0.0035996400359964015,0.008999100089990998,1.9998000199980003e-4,0.010598940105989387,0.0024997500249975,0.027197280271972667,0.01289871012898707,0.007999200079992006,0,0,0,0,0,0,0,0,0,0.0016998300169982995,0.0017998200179981994,0.006699330066993306,0.003999600039996002,0.0057994200579942045,0.01289871012898707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.01609839016098385,0,0.01609839016098385,0.01579842015798415,0.01609839016098385,0.01609839016098385,5.999400059994001e-4,0.005299470052994704,0.007799220077992207,0.004199580041995802,0.009499050094990495,0.008599140085991401,0,0.011298870112988682,0.0017998200179981994,0.003999600039996002,0.009299070092990696,0.005999400059994005,0.008399160083991603,0.03289671032896698,0.011898810118988077,3.9996000399960006e-4,6.999300069993001e-4,0.014398560143985559,0.01609839016098385,0.022897710228977,0.0028997100289971005,0.010798920107989185,0.01609839016098385,0,0.012398760123987574,0.0029997000299970007,0.0086991300869913,2.9997000299970003e-4,0.012298770122987674,0.003899610038996102,0.01609839016098385,0.015198480151984753,0.010398960103989588,0.0023997600239976,0,0,0,0,0,0,0,0,0.0050994900509949035,0.0035996400359964015,0.006799320067993206,0.008199180081991804,0.009399060093990596,0.01609839016098385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0037996200379962018,0,0.0037996200379962018,0.0036996300369963016,0.0037996200379962018,0.003299670032996701,9.999000099990002e-5,6.999300069993001e-4,0.0023997600239976,4.999500049995e-4,0.02389761023897599,0.0013998600139985998,0,0.0028997100289971005,6.999300069993001e-4,0.0016998300169982995,0.024697530246975186,0.0017998200179981994,0.0015998400159983996,0.003299670032996701,0.0034996500349965013,1.9998000199980003e-4,3.9996000399960006e-4,0.0034996500349965013,0.0037996200379962018,0.0037996200379962018,0,0.003099690030996901,0.0037996200379962018,0.0037996200379962018,0,5.999400059994001e-4,0.2663733626637248,0,0.003199680031996801,9.999000099990002e-5,0.0037996200379962018,0.0035996400359964015,0.0022997700229976997,9.999000099990002e-5,0,0,0,0,0,0,0,0,0.0022997700229976997,0.0012998700129986998,0.0026997300269973002,0.0026997300269973002,0.0015998400159983996,0.0037996200379962018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0.21047895210478237,0,0,0,0,0,0,0,0.21047895210478237,0,0,0,0,0,0,0,0,0,0,0,0.21047895210478237,0,0,0,0,0,0,0.21047895210478237,0,0,0,0,0,0.21047895210478237,0,0,0,0,0,0,0,0,0.21047895210478237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
