40089001_0_cattle_2012-05-01,40089001_10_cattle_2012-05-01,40089001_11_cattle_2012-05-01,40089001_12_cattle_2012-05-01,40089001_13_cattle_2012-05-01,40089001_14_cattle_2012-04-01,40089001_15_cattle_2012-05-01,40089001_16_cattle_2012-05-01,40089001_17_cattle_2012-05-01,40089001_18_cattle_2012-05-01,40089001_19_cattle_2012-05-01,40089001_1_cattle_2012-05-01,40089001_20_cattle_2012-05-01,40089001_21_cattle_2012-05-01,40089001_22_cattle_2012-05-01,40089001_23_cattle_2012-05-01,40089001_24_cattle_2012-05-01,40089001_25_cattle_2012-05-01,40089001_2_cattle_2012-05-01,40089001_3_cattle_2012-05-01,40089001_4_cattle_2012-05-01,40089001_5_cattle_2012-05-01,40089001_6_cattle_2012-05-01,40089001_7_cattle_2012-05-01,40089001_8_cattle_2012-05-01,40089001_9_cattle_2012-05-01,40270058_0_cattle_2009-08-01,40270058_1_cattle_2009-09-01,40270058_2_cattle_2009-08-01,64420015_0_cattle_2009-07-01,64420015_10_cattle_2009-05-01,64420015_11_cattle_2009-02-01,64420015_12_cattle_2009-05-01,64420015_13_cattle_2009-05-01,64420015_14_cattle_2009-05-01,64420015_15_cattle_2009-05-01,64420015_16_cattle_2009-05-01,64420015_17_cattle_2009-05-01,64420015_18_cattle_2009-07-01,64420015_19_cattle_2009-05-01,64420015_1_cattle_2009-05-01,64420015_20_cattle_2009-07-01,64420015_21_cattle_2009-05-01,64420015_22_cattle_2009-05-01,64420015_2_cattle_2009-03-01,64420015_3_cattle_2009-05-01,64420015_4_cattle_2009-05-01,64420015_5_cattle_2009-05-01,64420015_6_cattle_2009-05-01,64420015_7_cattle_2009-05-01,64420015_8_cattle_2009-05-01,64420015_9_cattle_2009-07-01
0,0,0,0.17356528694261472,0,0.17476504699060516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17396520695861153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0.06398720255948795,0,0,0,0,0,0.001399720055988802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02099580083983199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.33453309338132026,0,0,0,0,0.33533293341331377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3379324135172927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0.0015996800639872023,0.006198760247950412,0,0.0011997600479904018,0,0,0,0,0,0,0,0,0,0.04379124175164954,0,0,1.999600079984003e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.12197560487902584,0,0,0.120575884823037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1207758448310354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,9.998000399920016e-4,0,0,0.0017996400719856025,0,0,0,0,0,0,0.04179164167166555,0,0.002599480103979204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1.999600079984003e-4,0,0,0,0,0,0,5.998800239952009e-4,0,0,0,5.998800239952009e-4,0,3.999200159968006e-4,0,0.056988602279543915,0,0.01099780043991201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.05818836232753431,0,0,0,0,0,0,0,0,0,0,0,0,0.0015996800639872023,0,0,0,0,0,0.0019996000799840027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1.999600079984003e-4,0,0,0,0,0,0.004199160167966408,1.999600079984003e-4,0.06438712257548476,0,0,5.998800239952009e-4,0,0,0,0,0,0,0.001399720055988802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
