64281001_0_cattle_2010-08-01,64281001_10_cattle_2013-04-01,64281001_11_cattle_2013-02-01,64281001_12_cattle_2013-04-01,64281001_13_cattle_2013-04-01,64281001_14_cattle_2013-04-01,64281001_15_cattle_2013-04-01,64281001_1_cattle_2010-07-01,64281001_2_cattle_2010-03-01,64281001_3_cattle_2010-08-01,64281001_4_cattle_2010-06-01,64281001_5_cattle_2010-08-01,64281001_6_cattle_2010-08-01,64281001_7_cattle_2013-04-01,64281001_8_cattle_2013-04-01,64281001_9_cattle_2013-04-01,64281008_0_cattle_2012-11-01,64359187_0_cattle_2014-03-01,64420002_0_cattle_2013-02-01,64420002_1_cattle_2013-02-01,64420002_2_cattle_2013-02-01,64420002_3_cattle_2012-12-01,64420002_4_cattle_2013-02-01,64420002_5_cattle_2013-02-01,64420007_0_cattle_2011-10-01,64420007_1_cattle_2012-04-01,64420007_2_cattle_2011-08-01,64420007_3_cattle_2012-04-01,64420007_4_cattle_2012-03-01,64420007_5_cattle_2012-04-01,64420007_6_cattle_2012-04-01,64420007_7_cattle_2012-04-01,64420008_0_cattle_2012-12-01,64420008_1_cattle_2013-02-01,64420008_2_cattle_2012-12-01,64420008_3_cattle_2013-02-01,64420009_0_cattle_2013-02-01,64420009_1_cattle_2013-04-01,64420009_2_cattle_2013-02-01,64420009_3_cattle_2013-02-01,64420009_4_cattle_2013-04-01,64420009_5_cattle_2013-04-01,64420012_0_cattle_2011-07-01,64420012_10_cattle_2012-11-01,64420012_1_cattle_2012-11-01,64420012_2_cattle_2012-04-01,64420012_3_cattle_2012-11-01,64420012_4_cattle_2012-11-01,64420012_5_cattle_2012-10-01,64420012_6_cattle_2012-11-01,64420012_7_cattle_2012-11-01,64420012_8_cattle_2012-11-01,64420012_9_cattle_2012-11-01,64420015_0_cattle_2008-09-01,64420015_10_cattle_2013-05-01,64420015_1_cattle_2008-08-01,64420015_2_cattle_2008-09-01,64420015_3_cattle_2008-09-01,64420015_4_cattle_2013-03-01,64420015_5_cattle_2013-03-01,64420015_6_cattle_2013-03-01,64420015_7_cattle_2013-03-01,64420015_8_cattle_2013-05-01,64420015_9_cattle_2013-03-01,64420028_0_cattle_2013-01-01,64420028_1_cattle_2012-11-01,64420028_2_cattle_2013-03-01,64420035_0_cattle_2012-06-01,64420035_10_cattle_2012-06-01,64420035_11_cattle_2012-06-01,64420035_12_cattle_2012-06-01,64420035_13_cattle_2012-06-01,64420035_14_cattle_2012-06-01,64420035_15_cattle_2012-06-01,64420035_16_cattle_2012-06-01,64420035_17_cattle_2012-03-01,64420035_18_cattle_2012-06-01,64420035_19_cattle_2012-06-01,64420035_1_cattle_2012-06-01,64420035_20_cattle_2012-06-01,64420035_21_cattle_2012-06-01,64420035_22_cattle_2012-06-01,64420035_23_cattle_2012-06-01,64420035_24_cattle_2012-06-01,64420035_25_cattle_2012-06-01,64420035_26_cattle_2012-06-01,64420035_27_cattle_2012-05-01,64420035_28_cattle_2012-05-01,64420035_29_cattle_2012-06-01,64420035_2_cattle_2012-05-01,64420035_30_cattle_2012-06-01,64420035_31_cattle_2012-06-01,64420035_32_cattle_2012-06-01,64420035_33_cattle_2012-06-01,64420035_34_cattle_2012-06-01,64420035_35_cattle_2012-06-01,64420035_36_cattle_2012-06-01,64420035_37_cattle_2012-06-01,64420035_38_cattle_2012-06-01,64420035_39_cattle_2012-06-01,64420035_3_cattle_2012-06-01,64420035_40_cattle_2012-06-01,64420035_41_cattle_2012-06-01,64420035_4_cattle_2012-06-01,64420035_5_cattle_2012-06-01,64420035_6_cattle_2012-06-01,64420035_7_cattle_2012-02-01,64420035_8_cattle_2012-06-01,64420035_9_cattle_2012-06-01,64420038_0_cattle_2011-10-01,64420038_1_cattle_2011-09-01,64420038_2_cattle_2011-10-01,64420038_3_cattle_2011-10-01,64420038_4_cattle_2011-10-01,64420038_5_cattle_2011-10-01,64420038_6_cattle_2011-10-01,64420038_7_cattle_2011-10-01,64420039_0_cattle_2010-08-01,64420039_10_cattle_2012-07-01,64420039_11_cattle_2012-07-01,64420039_12_cattle_2012-07-01,64420039_13_cattle_2012-07-01,64420039_14_cattle_2012-07-01,64420039_15_cattle_2012-07-01,64420039_16_cattle_2012-07-01,64420039_17_cattle_2012-07-01,64420039_18_cattle_2012-07-01,64420039_1_cattle_2012-07-01,64420039_2_cattle_2011-11-01,64420039_3_cattle_2012-07-01,64420039_4_cattle_2012-07-01,64420039_5_cattle_2012-07-01,64420039_6_cattle_2012-01-01,64420039_7_cattle_2012-06-01,64420039_8_cattle_2012-07-01,64420039_9_cattle_2012-07-01,64420042_0_cattle_2013-01-01,64420042_10_cattle_2013-01-01,64420042_11_cattle_2013-01-01,64420042_12_cattle_2013-03-01,64420042_13_cattle_2013-01-01,64420042_14_cattle_2013-03-01,64420042_15_cattle_2013-03-01,64420042_1_cattle_2013-01-01,64420042_2_cattle_2012-07-01,64420042_3_cattle_2013-01-01,64420042_4_cattle_2013-01-01,64420042_5_cattle_2013-03-01,64420042_6_cattle_2013-01-01,64420042_7_cattle_2013-01-01,64420042_8_cattle_2013-03-01,64420042_9_cattle_2013-01-01,64420044_0_cattle_2009-03-01,64420044_10_cattle_2009-05-01,64420044_11_cattle_2009-05-01,64420044_12_cattle_2009-05-01,64420044_13_cattle_2012-09-01,64420044_14_cattle_2012-09-01,64420044_15_cattle_2012-09-01,64420044_16_cattle_2012-08-01,64420044_17_cattle_2012-09-01,64420044_18_cattle_2012-08-01,64420044_19_cattle_2012-09-01,64420044_1_cattle_2009-03-01,64420044_20_cattle_2012-09-01,64420044_21_cattle_2012-09-01,64420044_22_cattle_2012-09-01,64420044_23_cattle_2012-06-01,64420044_24_cattle_2012-09-01,64420044_25_cattle_2012-09-01,64420044_26_cattle_2012-09-01,64420044_27_cattle_2012-09-01,64420044_28_cattle_2012-09-01,64420044_29_cattle_2012-09-01,64420044_2_cattle_2009-05-01,64420044_30_cattle_2012-09-01,64420044_31_cattle_2012-09-01,64420044_3_cattle_2009-05-01,64420044_4_cattle_2009-05-01,64420044_5_cattle_2009-03-01,64420044_6_cattle_2009-05-01,64420044_7_cattle_2009-03-01,64420044_8_cattle_2009-05-01,64420044_9_cattle_2009-05-01,64420047_0_cattle_2012-04-01,64420047_10_cattle_2012-04-01,64420047_11_cattle_2012-04-01,64420047_12_cattle_2012-04-01,64420047_13_cattle_2012-04-01,64420047_14_cattle_2013-04-01,64420047_15_cattle_2013-02-01,64420047_1_cattle_2012-03-01,64420047_2_cattle_2012-04-01,64420047_3_cattle_2012-04-01,64420047_4_cattle_2012-04-01,64420047_5_cattle_2012-04-01,64420047_6_cattle_2012-04-01,64420047_7_cattle_2012-04-01,64420047_8_cattle_2012-04-01,64420047_9_cattle_2012-04-01,64556051_0_cattle_2013-04-01,64556051_1_cattle_2013-03-01,64556051_2_cattle_2013-04-01,64556051_3_cattle_2013-04-01,64556051_4_cattle_2013-04-01
0,0,0.0019998666755549625,0.060329311379241364,0.006799546696886872,0,0.0319978668088794,0.28038130791280574,0.28038130791280574,0.28038130791280574,0.28038130791280574,0.28038130791280574,0.29504699686687547,0.0024665022331844537,0.07859476034931002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021531897873475096,0,0.01226584894340377,0.0023331777881474562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28038130791280574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.332844477034862e-4,0.003666422238517431,0,0,0,0,0.006732884474368373,0,3.9997333511099253e-4,6.666222251849876e-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0.002399840010665955,0.0011332577828144787,0.028331444570361967,0.02866475568295446,0.02866475568295446,0,0,0,0,0,0,0,0.0012665822278514762,0.02866475568295446,0.002399840010665955,0,0,0,0,0,0,0,0.002399840010665955,8.666088927404837e-4,0.002399840010665955,0.002399840010665955,0.0012665822278514762,3.9997333511099253e-4,0.002399840010665955,0,0,0,0,0,0,0,0,0,0,0,0.0011332577828144787,5.3329778014799e-4,7.99946670221985e-4,0.002399840010665955,0,0,0.002399840010665955,0.00159989334044397,7.332844477034862e-4,0.0011332577828144787,0.0023331777881474562,0,0,0,0,0,0,0.002399840010665955,0.002399840010665955,7.99946670221985e-4,0,0.00159989334044397,0,0,0,8.666088927404837e-4,0.002399840010665955,0,3.333111125924938e-4,0,0.002399840010665955,0,0.0018665422305179649,0.0011332577828144787,0.0011332577828144787,3.9997333511099253e-4,0.00106659556029598,0.001333244450369975,0.00213319112059196,1.999866675554963e-4,0,0.00106659556029598,7.332844477034862e-4,0.002399840010665955,6.666222251849875e-4,0.002399840010665955,5.3329778014799e-4,0,0.001333244450369975,0,5.3329778014799e-4,0,0,6.666222251849875e-4,5.3329778014799e-4,0.002399840010665955,7.99946670221985e-4,0.0018665422305179649,0,0.0015332311179254712,0.002399840010665955,0,5.3329778014799e-4,0,0,3.333111125924938e-4,0,0.002399840010665955,0.002399840010665955,5.3329778014799e-4,0.002399840010665955,0.002399840010665955,0.002399840010665955,0.002399840010665955,7.332844477034862e-4,0,0.002399840010665955,5.3329778014799e-4,3.333111125924938e-4,0,0,0,0,0,9.999333377774813e-4,0.002399840010665955,0.002399840010665955,0,0,0.0011332577828144787,0.002399840010665955,0.0020665288980734613,0,0.0015332311179254712,0.002399840010665955,7.99946670221985e-4,0.0011332577828144787,0,6.666222251849876e-5,0.0012665822278514762,0,0.00159989334044397,0.0013999066728884737,0.00106659556029598,3.333111125924938e-4,0,9.332711152589824e-4,0.002399840010665955,0.0012665822278514762,0.0012665822278514762,0,0,0,0,0.0018665422305179649,9.999333377774813e-4,0.002399840010665955,0.0012665822278514762,0.002399840010665955,0,0,0,0.0016665555629624686,0,0.0013999066728884737,0.0016665555629624686,0,0,0,7.332844477034862e-4,0,0.002399840010665955,0,5.3329778014799e-4,0,0,0,0,0,0,0,0,0,0.0019998666755549625,0,0.002399840010665955,0,0.02866475568295446,0,0,0,5.3329778014799e-4,0,0,0.0015332311179254712,0,3.333111125924938e-4,0,0,0,0,0,0
0,0,0,0.00106659556029598,9.999333377774813e-4,0,7.332844477034862e-4,0,0,0,0,0,0,5.3329778014799e-4,9.332711152589824e-4,0,0.0019998666755549625,0,0,0,0,0,0,0,0.0019998666755549625,7.99946670221985e-4,0.0019998666755549625,9.999333377774813e-4,0.0014665688954069724,0.0013999066728884737,0.0019998666755549625,0,0,0,0,0,0,0,0,0,0,0,2.6664889007399506e-4,0,7.332844477034862e-4,0.0019998666755549625,0,0,0.0019998666755549625,0.0012665822278514762,9.999333377774813e-4,9.999333377774813e-4,0.0019998666755549625,0,0,0,0,0,7.99946670221985e-4,0.0019998666755549625,0.0017332177854809674,5.999600026664887e-4,0,0.0013999066728884737,0,0,0,7.332844477034862e-4,0.0019998666755549625,0.00106659556029598,0,0,0.0019998666755549625,1.999866675554963e-4,3.333111125924938e-4,5.3329778014799e-4,3.333111125924938e-4,0.0011332577828144787,0.0011332577828144787,8.666088927404837e-4,7.332844477034862e-4,6.666222251849876e-5,5.3329778014799e-4,0.0011332577828144787,5.999600026664887e-4,0.0019998666755549625,0,0.0019998666755549625,0,5.3329778014799e-4,1.3332444503699753e-4,7.332844477034862e-4,0.0018665422305179649,0,7.332844477034862e-4,0.0011332577828144787,8.666088927404837e-4,0.001333244450369975,0.0012665822278514762,1.3332444503699753e-4,0,6.666222251849876e-5,0.0019998666755549625,0,0.0016665555629624686,1.3332444503699753e-4,0,3.333111125924938e-4,0,0.0012665822278514762,0.0019998666755549625,9.999333377774813e-4,0.0019998666755549625,0.0017332177854809674,0.0019998666755549625,8.666088927404837e-4,7.332844477034862e-4,0,0.0019998666755549625,8.666088927404837e-4,0,2.6664889007399506e-4,0,0,0.0014665688954069724,0,1.3332444503699753e-4,5.3329778014799e-4,9.999333377774813e-4,0,0,1.3332444503699753e-4,0.0019998666755549625,5.3329778014799e-4,0,3.333111125924938e-4,9.999333377774813e-4,5.999600026664887e-4,3.9997333511099253e-4,0,2.6664889007399506e-4,2.6664889007399506e-4,9.999333377774813e-4,3.9997333511099253e-4,0.0018665422305179649,0.0017332177854809674,0,7.332844477034862e-4,0,0.0019998666755549625,2.6664889007399506e-4,0.00159989334044397,0,0,0,0,9.999333377774813e-4,1.3332444503699753e-4,0.0019998666755549625,1.3332444503699753e-4,0.0019998666755549625,0.0019998666755549625,2.6664889007399506e-4,0,3.9997333511099253e-4,3.9997333511099253e-4,2.6664889007399506e-4,8.666088927404837e-4,0,0,7.332844477034862e-4,0.0011999200053329775,3.9997333511099253e-4,0.0019998666755549625,0,5.999600026664887e-4,0,0,0,0,0,0,0,0,8.666088927404837e-4,5.999600026664887e-4,0,0.0019998666755549625,0,2.6664889007399506e-4,0,0,1.999866675554963e-4,2.6664889007399506e-4,0,0,0.00106659556029598,6.666222251849876e-5,6.666222251849875e-4,0,0,5.3329778014799e-4,0,0,0
0,0.0033331111259249373,0.2505832944470368,0,0.1115925604959669,0.003133124458369441,0.11052596493567092,0,0,0,0,0,0,0.01433237784147723,0.4724351709886006,0.0035997600159989322,0.2505832944470368,0,0,0,0,0,7.99946670221985e-4,0,0.2505832944470368,0.04933004466368907,0.2505832944470368,0.132857809479368,0.13139124058396104,0.11232584494367039,0.2505832944470368,0.03626424905006332,0,0,0,0,0,0,0,0,0,0,0.0849276714885674,0.01646556896206919,0.12379174721685217,0.2505832944470368,0.026798213452436496,0.009866008932737815,0.2505832944470368,0.1285247650156656,0.08099460035997598,0.11645890273981731,0.2505832944470368,0,0,0,0,0,0.021465235650956597,0.2505832944470368,0.23585094327044856,0.10205986267582158,0,0.1169922005199653,0,0,0,0.07859476034931002,0.2505832944470368,0.05959602693153788,0.023598426771548556,0,0.2505832944470368,0.029598026798213443,0.11372575161655886,0.11912539164055726,0.11079261382574492,0.03413105792947136,0.09932671155256313,0.14072395173655086,0.11425904939670685,0.07672821811879206,0.03773081794547029,0.10979268048796743,0.11119258716085591,0.2505832944470368,0.013199120058662752,0.2505832944470368,0.05412972468502098,0.03613092460502632,0.10012665822278512,0.05039664022398505,0.13712419172055193,0,0.06592893807079526,0.07266182254516364,0.05732951136590892,0.10759282714485698,0.07919472035197651,0.11345910272648486,0.008132791147256848,0.05899606692887139,0.2505832944470368,0,0.13679088060795944,0.10679288047463499,0.013465768948736747,0.06006266248916737,0.0022665155656289575,0.14499033397773478,0.2505832944470368,0.1115925604959669,0.2505832944470368,0.1392573828411439,0.2505832944470368,0.2285180987934137,0.08279448036797545,0,0.2503833077794813,0.041863875741617214,0.04353043130457968,0.025664955669622017,0.009532697820145321,0.03306446236917538,0.11912539164055726,0.03413105792947136,0.14512365842277178,0.13145790280647954,0.13099126724885005,0,0.004933004466368907,0.09766015598960066,0.2505832944470368,0.040730617958802735,1.999866675554963e-4,0.04013065795613625,0.09266048930071326,0.046530231317912125,0.11932537830811275,0.003399773348443436,0.02606492900473301,0.029398040130657947,0.3997066862209185,0.061395906939537344,0.10545963602426502,0.11205919605359639,0.025931604559696012,0.424638357442837,0.08652756482901137,0.2505832944470368,0.02386507566162255,0.13125791613892404,0,0,0,0,0.1007266182254516,0.04566362242517164,0.2505832944470368,0.09086060929271379,0.2505832944470368,0.10819278714752346,0.035997600159989325,0,0.09799346710219316,0.1117258849410039,0.04486367575494966,0.10152656489567359,0.008066128924738349,0.00853276448236784,0.044397040197320166,0.040797280181321234,0.1219252049863342,0.2505832944470368,0,0.027931471235250974,0.007466168922071859,0,0,0,0,0,0,0,0.005199653356442902,0.10459302713152453,0.0027331511232584487,0.2505832944470368,0.006466235584294378,0.018265448970068657,0,0.017732151189920668,0.0035330977934804335,0.03873075128324777,0.0023331777881474562,0.00799946670221985,0.08259449370041995,2.6664889007399506e-4,0.09779348043463766,0.03353109792680487,0,0.016665555629624688,0,0,6.666222251849876e-5
0,0.43257116192253836,0.04746350243317111,0.017998800079994662,0,0.43257116192253836,0.43257116192253836,0,0,0,0,0,0,0.0027331511232584487,0.02186520898606759,0.43257116192253836,0.04746350243317111,0,0,0,0,0,0,0,0.04746350243317111,0.006866208919405371,0.04746350243317111,0.040197320178654745,0.02446503566428904,0.022998466768882068,0.04746350243317111,0.0037330844610359297,0,0,0,0,0,0,0,0,0,0,0.01819878674755016,0.006599560029331376,0.021131924538364103,0.04746350243317111,0.0033331111259249373,0.0030664622358509423,0.04739684021065261,0.026331577894807005,0.02033197786814212,0.014132391173921734,0.04746350243317111,0,0,0,0,0,0.003133124458369441,0.04746350243317111,0.04413039130724617,0.0212652489834011,0,0.02333177788147456,0,0,0,0.020065328978068123,0.04746350243317111,0.011532564495700283,0.009266048930071326,0,0.04746350243317111,0.001333244450369975,0.0159989334044397,0.022998466768882068,0.022198520098660083,0.003866408906072927,0.01279914672355176,0.02073195120325311,0.03526431571228584,0.020398640090660617,0.007266182254516363,0.026731551229917997,0.014199053396440233,0.04746350243317111,0.0019998666755549625,0.04746350243317111,0.017865475634957665,0.008132791147256848,0.022198520098660083,0.010732617825478298,0.02966468902073194,0,0.010332644490367306,0.012665822278514762,0.014465702286514228,0.02333177788147456,0.02399840010665955,0.017798813412439166,1.999866675554963e-4,0.008732751149923336,0.04746350243317111,0,0.03146456902873141,0.0159989334044397,0.0035330977934804335,0.013732417838810742,0,0.04699686687554162,0.04746350243317111,0.019065395640290642,0.04746350243317111,0.04433037797480167,0.04746350243317111,0.04479701353243116,0.012465835610959266,0,0.04746350243317111,0.009999333377774812,0.008332777814812344,0.0037330844610359297,0.0022665155656289575,0.009399373375108324,0.02279848010132657,5.999600026664887e-4,0.021598560095993594,0.024665022331844536,0.04746350243317111,0,0.0014665688954069724,0.010599293380441301,0.04746350243317111,0.019332044530364637,0,0.009332711152589825,0.03566428904739683,0.01166588894073728,0.01326578228118125,0.0018665422305179649,0.008666088927404838,0.021465235650956597,0.00799946670221985,0.02399840010665955,0.025864942337177513,0.020598626758216113,0.006532897806812877,0.002399840010665955,0.01166588894073728,0.04746350243317111,0.022465168988734078,0.03419772015198986,0,0,0,0,0.020131991200586622,0.011399240050663286,0.04746350243317111,0.02606492900473301,0.04746350243317111,0.014465702286514228,0.01653223118458769,0,0.01919872008532764,0.02453169788680754,0.006466235584294378,0.02599826678221451,0.00159989334044397,5.3329778014799e-4,0.007399506699553361,0.0037330844610359297,0.021731884541030592,0.04746350243317111,0,0.005599626691553895,0.0035330977934804335,0,0,0,0,0,0,0,0.00106659556029598,0.015532297846810207,7.332844477034862e-4,0.04746350243317111,0.0017998800079994661,0.43257116192253836,0,5.999600026664887e-4,0,0.005399640023998399,0,8.666088927404837e-4,0.016398906739550693,0,0.021531897873475096,0.008932737817478833,0.00106659556029598,0.00106659556029598,1.999866675554963e-4,0,0
0,0.019398706752883136,6.666222251849875e-4,6.666222251849875e-4,0.019398706752883136,0,0.019398706752883136,0,0,0,0,0,0,0,0,0.019398706752883136,6.666222251849875e-4,0,0,0,0,0,0,0,6.666222251849875e-4,0,6.666222251849875e-4,6.666222251849875e-4,0,0,6.666222251849875e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.666222251849875e-4,0,0,6.666222251849875e-4,6.666222251849875e-4,6.666222251849875e-4,0,6.666222251849875e-4,0,0,0,0,0,0,6.666222251849875e-4,6.666222251849875e-4,6.666222251849875e-4,0,0,0,0,0,0,6.666222251849875e-4,0,0,0,6.666222251849875e-4,0,6.666222251849875e-4,6.666222251849875e-4,0,6.666222251849875e-4,0,6.666222251849876e-5,6.666222251849875e-4,6.666222251849875e-4,0,5.999600026664887e-4,6.666222251849875e-4,6.666222251849875e-4,0,6.666222251849875e-4,6.666222251849875e-4,0,0,6.666222251849875e-4,0,0,2.6664889007399506e-4,0,3.9997333511099253e-4,0,6.666222251849875e-4,6.666222251849875e-4,0,0,6.666222251849875e-4,0,0,6.666222251849875e-4,0,0,0,6.666222251849875e-4,6.666222251849875e-4,0,6.666222251849875e-4,6.666222251849875e-4,6.666222251849875e-4,6.666222251849875e-4,6.666222251849875e-4,0,6.666222251849875e-4,0,0,3.9997333511099253e-4,0,2.6664889007399506e-4,0,0,0,6.666222251849875e-4,6.666222251849875e-4,0,0,6.666222251849875e-4,6.666222251849875e-4,6.666222251849875e-4,0,0,6.666222251849875e-4,6.666222251849875e-4,0,0,0,6.666222251849875e-4,0,0,6.666222251849875e-4,0,6.666222251849875e-4,0,0,6.666222251849875e-4,6.666222251849875e-4,6.666222251849875e-4,0,0,0,0,0,0,6.666222251849875e-4,0,6.666222251849875e-4,0,1.999866675554963e-4,0,0,0,0,0,0,6.666222251849876e-5,0,6.666222251849875e-4,6.666222251849875e-4,6.666222251849875e-4,0,0,3.9997333511099253e-4,0,0,0,0,0,0,0,0,6.666222251849875e-4,0,6.666222251849875e-4,0,0.019398706752883136,0,0,0,0,0,0,6.666222251849875e-4,0,0,0,0,0,0,0,0
0,0.4366375574961668,0.08766082261182585,0.051796546896873526,0.43810412639157376,0.4366375574961668,0,0,0,0,0,0,0,0.003866408906072927,0.02873141790547296,0.4366375574961668,0.08766082261182585,0,0,0,0,0,6.666222251849876e-5,0,0.08766082261182585,0.011065928938070792,0.08766082261182585,0.07672821811879206,0.04486367575494966,0.02966468902073194,0.08766082261182585,0.01219918672088527,0,0,0,0,0,0,0,0,0,0,0.062329178054796326,0.005066328911405905,0.052929804679688004,0.08759416038930735,0.010999266715552293,0.0014665688954069724,0.08766082261182585,0.03473101793213785,0.03793080461302579,0.0321978534764349,0.08766082261182585,0,0,0,0,0,0.004199720018665421,0.08766082261182585,0.08306112925804944,0.04933004466368907,0,0.03586427571495233,0,0,0,0.028464769015398964,0.08766082261182585,0.03026464902339843,0.013132457836144253,0,0.08759416038930735,0.008399440037330843,0.042797146856876196,0.042797146856876196,0.039664022398506756,0.01113259116058929,0.02439837344177054,0.03359776014932337,0.06879541363909071,0.03133124458369441,0.006732884474368373,0.053996400239983984,0.04693020465302312,0.08766082261182585,0.0011999200053329775,0.08766082261182585,0.03786414239050729,0.007666155589627356,0.043997066862209173,0.0159322711819212,0.04513032464502365,0,0.014065728951403235,0.030997933471101916,0.03159789347376841,0.04573028464769014,0.05066328911405905,0.0425304979668022,0.004333044463702419,0.014732351176588223,0.08766082261182585,0,0.04486367575494966,0.03426438237450836,0.0017332177854809674,0.02293180454636357,0,0.08712752483167786,0.08766082261182585,0.031264582361175915,0.08766082261182585,0.08039464035730949,0.08766082261182585,0.07512832477834809,0.03839744017065528,0,0.08766082261182585,0.018865408972735146,0.014599026731551225,0.008866075594960334,0.002866475568295446,0.01713219118725418,0.040197320178654745,0.006466235584294378,0.05172988467435503,0.04746350243317111,0.08766082261182585,0,0.003866408906072927,0.015332311179254711,0.08766082261182585,0.033331111259249376,9.332711152589824e-4,0.012932471168588757,0.05472968468768747,0.016865542297180184,0.043930404639690675,0,0.010932604493033795,0.03086460902606492,0.0030664622358509423,0.03826411572561828,0.035930937937470826,0.03073128458102792,0.014132391173921734,0.004066395573628424,0.0318645423638424,0.08766082261182585,0.02973135124325044,0.04373041797213518,0,0,0,0,0.04039730684621024,0.02606492900473301,0.08766082261182585,0.04373041797213518,0.08766082261182585,0.031197920138657412,0.02286514232384507,0,0.041330577961469224,0.03586427571495233,0.013399106726218248,0.03399773348443436,0.002399840010665955,0.0017998800079994661,0.017865475634957665,0.010465968935404303,0.0427304846343577,0.08766082261182585,0,0.004466368908739416,0.0032664489034064386,0,0,0,0,0,0,0,0,0.040730617958802735,0.00426638224118392,0.08766082261182585,8.666088927404837e-4,0.4365708952736483,0,9.332711152589824e-4,4.6663555762949127e-4,0.012132524498366772,0.0032664489034064386,0.004533031131257915,0.04559696020265314,0,0.02706486234251049,0.017265515632291176,5.999600026664887e-4,0,0,0,4.6663555762949127e-4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.002399840010665955,0,0,0.00106659556029598,0,0,0,0.00319978668088794,0,0.00319978668088794,0.00319978668088794,0.00319978668088794,0.0021998533431104588,0,0.001333244450369975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00319978668088794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.6663555762949127e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.014665688954069724,5.3329778014799e-4,0,0.001333244450369975,0.0019998666755549625,0,0.0027331511232584487,0.016398906739550693,0.016398906739550693,0,0.016398906739550693,0.0159322711819212,0.016398906739550693,0,0.0059329378041463885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.99946670221985e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016398906739550693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.999600026664887e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
