20_d500_20_137_0_badger_2020-02-01,23_d500_46_0_badger_2020-02-01,23_d500_46_1_badger_2019-05-01,23_d500_46_2_badger_2018-09-01,23_d500_46_3_badger_2019-08-01,2_d500_35_1178_1_badger_2020-02-01,2_d500_35_1412_0_badger_2017-03-01,2_d500_35_1412_1_badger_2020-02-01,2_d500_35_1412_2_badger_2020-02-01,2_d500_35_1412_3_badger_2020-02-01,2_d500_39_0_badger_2018-06-01,2_d500_4_0_badger_2018-05-01,2_d500_4_1_badger_2019-12-01,2_d500_4_2_badger_2018-07-01,2_d500_70_0_badger_2020-02-01,2_d500_71_0_badger_2019-06-01,3_d500_101_497_0_badger_2015-09-01,3_d500_117_0_badger_2016-05-01,3_d500_117_1_badger_2017-04-01,3_d500_117_2_badger_2018-06-01,3_d500_117_3_badger_2020-02-01,3_d500_120_0_badger_2019-08-01,3_d500_120_1_badger_2020-02-01,3_d500_124_0_badger_2020-02-01,3_d500_124_1_badger_2017-11-01,3_d500_127_0_badger_2019-06-01,3_d500_151_996_1_badger_2016-06-01,3_d500_151_996_2_badger_2019-06-01,3_d500_151_996_3_badger_2019-05-01,3_d500_151_998_0_badger_2014-01-01,3_d500_151_998_1_badger_2014-05-01,3_d500_151_998_2_badger_2014-07-01,3_d500_151_998_3_badger_2016-05-01,3_d500_151_998_4_badger_2014-06-01,3_d500_152_0_badger_2014-05-01,3_d500_152_1_badger_2014-07-01,3_d500_152_2_badger_2019-08-01,3_d500_152_3_badger_2013-01-01,3_d500_159_0_badger_2014-05-01,3_d500_195_1_badger_2020-02-01,3_d500_196_0_badger_2016-03-01,3_d500_196_1_badger_2017-06-01,40002128_0_cattle_2019-02-01,40002128_1_cattle_2019-02-01,40002128_2_cattle_2019-02-01,40002135_10_cattle_2017-06-01,40002135_11_cattle_2018-09-01,40002135_15_cattle_2019-09-01,40002135_1_cattle_2016-09-01,40002135_2_cattle_2016-06-01,40002135_3_cattle_2016-04-01,40002135_4_cattle_2016-09-01,40002135_5_cattle_2016-04-01,40002135_6_cattle_2016-09-01,40002135_7_cattle_2016-04-01,40002135_8_cattle_2017-03-01,40002135_9_cattle_2017-03-01,40002_0_boar_2015-12-01,40002_1_boar_2020-02-01,40007015_0_cattle_2018-03-01,40007015_1_cattle_2018-03-01,40007015_2_cattle_2018-05-01,40007015_3_cattle_2018-03-01,40007015_4_cattle_2018-03-01,40007015_5_cattle_2018-03-01,40007015_6_cattle_2018-05-01,40027006_0_cattle_2014-12-01,40027006_1_cattle_2015-02-01,40027006_2_cattle_2015-02-01,40027006_3_cattle_2015-04-01,40027006_4_cattle_2015-02-01,40027008_0_cattle_2019-12-01,40027009_0_cattle_2015-02-01,40027009_1_cattle_2015-02-01,40027023_0_cattle_2013-02-01,40027023_10_cattle_2013-02-01,40027023_11_cattle_2012-10-01,40027023_12_cattle_2013-02-01,40027023_13_cattle_2013-02-01,40027023_14_cattle_2013-02-01,40027023_15_cattle_2013-02-01,40027023_16_cattle_2013-02-01,40027023_17_cattle_2013-02-01,40027023_18_cattle_2013-01-01,40027023_19_cattle_2013-02-01,40027023_1_cattle_2013-02-01,40027023_20_cattle_2013-02-01,40027023_21_cattle_2013-02-01,40027023_22_cattle_2013-02-01,40027023_23_cattle_2013-02-01,40027023_24_cattle_2013-02-01,40027023_25_cattle_2013-02-01,40027023_26_cattle_2013-02-01,40027023_27_cattle_2013-02-01,40027023_28_cattle_2013-02-01,40027023_29_cattle_2013-02-01,40027023_2_cattle_2013-02-01,40027023_30_cattle_2013-02-01,40027023_31_cattle_2013-02-01,40027023_32_cattle_2013-02-01,40027023_33_cattle_2013-02-01,40027023_34_cattle_2013-02-01,40027023_35_cattle_2013-02-01,40027023_36_cattle_2013-02-01,40027023_37_cattle_2013-02-01,40027023_38_cattle_2013-02-01,40027023_39_cattle_2013-02-01,40027023_3_cattle_2013-02-01,40027023_4_cattle_2013-02-01,40027023_5_cattle_2013-02-01,40027023_6_cattle_2013-02-01,40027023_7_cattle_2013-02-01,40027023_8_cattle_2013-02-01,40027023_9_cattle_2013-02-01,40027_0_boar_2013-12-01,40027_1_boar_2015-08-01,40027_2_boar_2014-06-01,40027_3_boar_2014-10-01,40027_4_boar_2013-09-01,40027_5_boar_2020-02-01,40027_6_boar_2020-02-01,40047018_0_cattle_2020-02-01,40073008_0_cattle_2018-01-01,40073008_10_cattle_2018-11-01,40073008_11_cattle_2019-08-01,40073008_12_cattle_2019-02-01,40073008_13_cattle_2020-02-01,40073008_14_cattle_2020-02-01,40073008_15_cattle_2019-05-01,40073008_16_cattle_2019-05-01,40073008_17_cattle_2020-02-01,40073008_18_cattle_2019-11-01,40073008_19_cattle_2019-08-01,40073008_1_cattle_2018-01-01,40073008_20_cattle_2020-02-01,40073008_2_cattle_2018-01-01,40073008_3_cattle_2018-01-01,40073008_4_cattle_2018-01-01,40073008_5_cattle_2018-02-01,40073008_6_cattle_2018-11-01,40073008_7_cattle_2019-05-01,40073008_8_cattle_2018-11-01,40073008_9_cattle_2019-05-01,40073_0_boar_2020-02-01,40073_1_boar_2018-07-01,40073_2_boar_2017-11-01,40073_3_boar_2019-02-01,40073_4_boar_2020-02-01,40177030_0_cattle_2015-08-01,40177030_1_cattle_2015-08-01,40177030_2_cattle_2015-07-01,40177030_3_cattle_2015-08-01,40177030_4_cattle_2015-08-01,40177_0_boar_2017-07-01,45_d500_152_0_badger_2010-11-01,45_d500_152_1_badger_2007-11-01,45_d500_152_2_badger_2011-05-01,45_d500_152_3_badger_2011-09-01,45_d500_152_4_badger_2017-05-01,45_d500_152_5_badger_2014-08-01,64172001_0_cattle_2019-02-01,64172002_0_cattle_2020-02-01,64172002_1_cattle_2020-02-01,64172002_2_cattle_2020-02-01,64172002_3_cattle_2020-02-01,64172002_4_cattle_2020-02-01,64172002_5_cattle_2020-02-01,64172018_0_cattle_2019-12-01,64172018_1_cattle_2020-02-01,64172_1_boar_2019-10-01,64172_2_boar_2019-06-01,64172_3_boar_2020-02-01,64195003_0_cattle_2019-07-01,64195003_1_cattle_2020-02-01,64195003_2_cattle_2020-02-01,64195003_3_cattle_2020-02-01,64195003_4_cattle_2020-02-01,64195003_5_cattle_2019-12-01,64195003_6_cattle_2020-02-01,64195003_7_cattle_2020-02-01,64195003_8_cattle_2020-02-01,64254_0_boar_2015-04-01,64254_1_boar_2015-10-01,64254_2_boar_2020-02-01,64254_3_boar_2018-02-01,64295017_0_cattle_2014-05-01,64295017_10_cattle_2014-07-01,64295017_11_cattle_2014-05-01,64295017_12_cattle_2014-05-01,64295017_13_cattle_2014-05-01,64295017_1_cattle_2014-05-01,64295017_2_cattle_2014-05-01,64295017_3_cattle_2014-05-01,64295017_4_cattle_2014-05-01,64295017_5_cattle_2014-07-01,64295017_6_cattle_2014-05-01,64295017_7_cattle_2014-05-01,64295017_8_cattle_2014-07-01,64295017_9_cattle_2014-05-01,64295_1_boar_2014-03-01,64420012_0_cattle_2008-04-01,64420015_0_cattle_2008-04-01,64420015_10_cattle_2008-06-01,64420015_11_cattle_2008-04-01,64420015_1_cattle_2008-04-01,64420015_2_cattle_2008-04-01,64420015_3_cattle_2008-04-01,64420015_4_cattle_2008-04-01,64420015_5_cattle_2008-04-01,64420015_6_cattle_2008-04-01,64420015_7_cattle_2008-06-01,64420015_8_cattle_2008-04-01,64420015_9_cattle_2008-06-01,64420039_0_cattle_2011-10-01,64420039_10_cattle_2011-10-01,64420039_11_cattle_2011-10-01,64420039_12_cattle_2010-11-01,64420039_13_cattle_2011-10-01,64420039_14_cattle_2011-10-01,64420039_15_cattle_2011-10-01,64420039_16_cattle_2011-04-01,64420039_17_cattle_2011-10-01,64420039_18_cattle_2011-10-01,64420039_19_cattle_2011-10-01,64420039_1_cattle_2011-10-01,64420039_20_cattle_2011-10-01,64420039_21_cattle_2011-10-01,64420039_22_cattle_2011-10-01,64420039_23_cattle_2011-10-01,64420039_24_cattle_2011-09-01,64420039_25_cattle_2011-10-01,64420039_26_cattle_2011-10-01,64420039_27_cattle_2011-10-01,64420039_28_cattle_2011-10-01,64420039_29_cattle_2011-10-01,64420039_2_cattle_2011-10-01,64420039_30_cattle_2011-10-01,64420039_31_cattle_2011-10-01,64420039_32_cattle_2011-10-01,64420039_33_cattle_2011-10-01,64420039_34_cattle_2011-10-01,64420039_35_cattle_2011-09-01,64420039_36_cattle_2011-10-01,64420039_37_cattle_2011-10-01,64420039_38_cattle_2011-10-01,64420039_39_cattle_2011-10-01,64420039_3_cattle_2011-10-01,64420039_40_cattle_2011-10-01,64420039_41_cattle_2011-10-01,64420039_42_cattle_2011-10-01,64420039_43_cattle_2011-10-01,64420039_44_cattle_2011-10-01,64420039_45_cattle_2011-10-01,64420039_46_cattle_2011-10-01,64420039_47_cattle_2011-10-01,64420039_48_cattle_2011-10-01,64420039_49_cattle_2011-10-01,64420039_4_cattle_2011-10-01,64420039_50_cattle_2011-10-01,64420039_51_cattle_2011-10-01,64420039_52_cattle_2011-10-01,64420039_53_cattle_2011-10-01,64420039_54_cattle_2011-10-01,64420039_55_cattle_2011-10-01,64420039_56_cattle_2011-10-01,64420039_57_cattle_2011-10-01,64420039_58_cattle_2011-10-01,64420039_59_cattle_2011-10-01,64420039_5_cattle_2011-10-01,64420039_6_cattle_2011-10-01,64420039_7_cattle_2011-10-01,64420039_8_cattle_2011-10-01,64420039_9_cattle_2011-10-01,64420044_0_cattle_2018-05-01,64420044_1_cattle_2018-03-01,64420044_2_cattle_2018-03-01,64420044_3_cattle_2018-03-01,64420044_4_cattle_2018-05-01,64420044_5_cattle_2018-05-01,64420044_6_cattle_2018-05-01,64491_1_boar_2017-02-01,64491_2_boar_2020-02-01,64491_4_boar_2019-10-01,64501035_0_cattle_2016-12-01,64501035_1_cattle_2016-12-01,64501035_2_cattle_2015-07-01,64501035_3_cattle_2016-11-01,64501035_4_cattle_2016-12-01,64501044_0_cattle_2019-02-01,64501044_1_cattle_2019-06-01,64501044_2_cattle_2019-02-01,64501044_3_cattle_2018-07-01,64501044_4_cattle_2019-06-01,64501044_5_cattle_2019-02-01,64501044_6_cattle_2019-02-01,64501044_7_cattle_2019-06-01,64501_0_boar_2016-06-01,64501_10_boar_2019-03-01,64501_11_boar_2019-11-01,64501_12_boar_2019-04-01,64501_13_boar_2020-02-01,64501_1_boar_2016-05-01,64501_2_boar_2017-01-01,64501_3_boar_2016-11-01,64501_4_boar_2017-08-01,64501_5_boar_2018-06-01,64501_6_boar_2016-11-01,64501_7_boar_2020-02-01,64501_8_boar_2020-02-01,64501_9_boar_2019-02-01,64510_0_boar_2020-02-01,64523029_0_cattle_2018-02-01,64523029_10_cattle_2018-04-01,64523029_11_cattle_2018-02-01,64523029_12_cattle_2018-02-01,64523029_13_cattle_2018-02-01,64523029_14_cattle_2018-04-01,64523029_15_cattle_2018-04-01,64523029_1_cattle_2018-02-01,64523029_2_cattle_2018-04-01,64523029_3_cattle_2018-02-01,64523029_4_cattle_2018-02-01,64523029_5_cattle_2018-04-01,64523029_6_cattle_2018-04-01,64523029_7_cattle_2018-04-01,64523029_8_cattle_2018-02-01,64523029_9_cattle_2018-02-01,64523_0_boar_2020-02-01,64523_1_boar_2017-08-01,64523_2_boar_2020-02-01,64523_3_boar_2017-11-01,64523_4_boar_2018-04-01,64523_5_boar_2020-02-01,64523_6_boar_2020-02-01,64541023_0_cattle_2019-12-01,64541023_1_cattle_2020-02-01
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01615935362585493,0.026998920043198583,0.20351185952560996,0.1141154353825806,0.017279308827646896,0.04199832006719717,0.018839246430142845,0.019479220831166825,0.017239310427582897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0.03019879204831848,0.001919923203071876,0.07595696172152913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.06755729770809013,0,0.10119595216191013,0.42478300867975294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0013999440022399096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.599856005759769e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.7998080076796915e-4,0,0,4.7998080076796915e-4,0,0,0,0,0,0,0,0,0,0.004039838406463741,0,0,0,0,0,0
0,0.04975800967961225,0.5449382024720156,0,0.3203471861125889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005079796808127685,0,0,0,0,2.3999040038398463e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010399584016639343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0021199152033918632,0,0,0.0018399264029438811,0,0,0,0,0,0,0,0,0,0.06371745130194659,0,0,0,0,0,0
0,0.45962161513551697,0.21707131714730435,0.011479540818367261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0.27258909643614543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0.11987520499179591,0,0,0.14051437942481745,0,0,0,0,0,0,5.199792008319666e-4,0,0,0,0.0020399184032638684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015359385624574968,0,0,0,0,0,0,0,0,0,0,0,1.5999360025598975e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04383824647014095,0,0,0.051717931282748014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005519779208831661,0,0,9.599616015359381e-4,0.01043958241670334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0.0010799568017279303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3147874085036897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0.3062677492900528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,8.399664013439459e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12475500979960333,0.0018399264029438811,0.11775528978840416,0.019759209631614816,0.004839806407743698,5.999760009599614e-4,0.001639934402623894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
