45_d500_123_762_0_badger_2020-02-01,45_d500_123_762_1_badger_2011-05-01,45_d500_123_762_3_badger_2019-02-01,45_d500_124_0_badger_2015-03-01,45_d500_124_1_badger_2012-05-01,45_d500_124_2_badger_2013-07-01,45_d500_152_0_badger_2010-05-01,45_d500_157_858_0_badger_2012-08-01,45_d500_159_855_0_badger_2012-02-01,45_d500_160_0_badger_2014-05-01,45_d500_160_1_badger_2014-07-01,45_d500_160_2_badger_2015-08-01,45_d500_160_3_badger_2011-08-01,45_d500_182_0_badger_2013-05-01,45_d500_218_0_badger_2020-02-01,45_d500_218_1_badger_2016-06-01,45_d500_221_0_badger_2016-04-01,45_d500_98_0_badger_2013-08-01,45_d500_98_1_badger_2014-11-01,45_d500_99_699_0_badger_2014-05-01,45_d500_99_699_1_badger_2017-09-01,45_d500_99_716_2_badger_2014-09-01,45_d500_99_716_3_badger_2015-08-01,45_d500_99_720_0_badger_2020-02-01,45_d500_99_720_1_badger_2014-08-01,45_d500_99_766_0_badger_2016-08-01,45_d500_99_766_1_badger_2010-10-01,45_d500_99_839_0_badger_2007-05-01,45_d500_99_839_1_badger_2020-02-01,56_d500_42_1975_0_badger_2020-02-01,64244024_0_cattle_2020-02-01,64244024_10_cattle_2020-02-01,64244024_1_cattle_2019-09-01,64244024_2_cattle_2019-12-01,64244024_3_cattle_2019-12-01,64244024_4_cattle_2019-12-01,64244024_5_cattle_2020-02-01,64244024_6_cattle_2019-12-01,64244024_7_cattle_2020-02-01,64244024_8_cattle_2019-12-01,64244024_9_cattle_2019-12-01,64253027_0_cattle_2015-03-01,64253027_1_cattle_2015-03-01,64253027_2_cattle_2015-05-01,64253027_3_cattle_2015-05-01,64253027_4_cattle_2015-05-01,64253027_5_cattle_2015-05-01,64253027_6_cattle_2015-05-01,64253027_7_cattle_2015-05-01,64253027_8_cattle_2015-05-01,64253028_0_cattle_2014-02-01,64253028_10_cattle_2014-02-01,64253028_11_cattle_2014-02-01,64253028_12_cattle_2014-02-01,64253028_13_cattle_2014-02-01,64253028_14_cattle_2014-01-01,64253028_15_cattle_2014-02-01,64253028_16_cattle_2014-02-01,64253028_17_cattle_2014-02-01,64253028_18_cattle_2014-02-01,64253028_19_cattle_2014-02-01,64253028_1_cattle_2014-02-01,64253028_20_cattle_2014-02-01,64253028_21_cattle_2014-02-01,64253028_22_cattle_2014-02-01,64253028_23_cattle_2014-02-01,64253028_24_cattle_2014-02-01,64253028_25_cattle_2016-03-01,64253028_26_cattle_2016-03-01,64253028_27_cattle_2016-03-01,64253028_2_cattle_2013-10-01,64253028_3_cattle_2014-02-01,64253028_4_cattle_2014-02-01,64253028_5_cattle_2014-02-01,64253028_6_cattle_2014-02-01,64253028_7_cattle_2014-02-01,64253028_8_cattle_2014-02-01,64253028_9_cattle_2014-02-01,64253056_0_cattle_2019-02-01,64253056_1_cattle_2019-02-01,64253056_2_cattle_2019-02-01,64253_0_boar_2014-05-01,64253_10_boar_2019-11-01,64253_11_boar_2020-02-01,64253_1_boar_2013-06-01,64253_2_boar_2013-12-01,64253_3_boar_2014-08-01,64253_4_boar_2017-04-01,64253_5_boar_2014-10-01,64253_6_boar_2014-07-01,64253_7_boar_2020-02-01,64253_8_boar_2015-09-01,64253_9_boar_2017-06-01,64264001_0_cattle_2017-07-01,64264001_1_cattle_2017-05-01,64264001_2_cattle_2017-07-01,64264001_3_cattle_2017-07-01,64264001_4_cattle_2017-07-01,64264_2_boar_2020-02-01,64281008_0_cattle_2020-02-01,64301015_0_cattle_2020-02-01,64359108_0_cattle_2014-01-01,64359187_7_cattle_2016-12-01,64359189_7_cattle_2015-02-01,64359200_1_cattle_2014-03-01,64359200_3_cattle_2014-01-01,64359200_4_cattle_2014-03-01,64359200_5_cattle_2014-12-01,64359_10_boar_2014-12-01,64416_0_boar_2013-06-01,64420012_0_cattle_2010-05-01,64420012_10_cattle_2010-05-01,64420012_1_cattle_2010-04-01,64420012_2_cattle_2010-05-01,64420012_3_cattle_2010-03-01,64420012_4_cattle_2010-05-01,64420012_5_cattle_2010-05-01,64420012_6_cattle_2010-05-01,64420012_7_cattle_2010-05-01,64420012_8_cattle_2010-05-01,64420012_9_cattle_2010-05-01,64420015_0_cattle_2007-05-01,64420015_1_cattle_2012-12-01,64420035_0_cattle_2012-07-01,64420035_10_cattle_2012-07-01,64420035_12_cattle_2012-07-01,64420035_14_cattle_2012-07-01,64420035_15_cattle_2012-07-01,64420035_17_cattle_2012-07-01,64420035_18_cattle_2012-07-01,64420035_19_cattle_2012-07-01,64420035_23_cattle_2012-07-01,64420035_29_cattle_2012-07-01,64420035_2_cattle_2012-06-01,64420035_30_cattle_2012-04-01,64420035_31_cattle_2012-07-01,64420035_32_cattle_2012-07-01,64420035_36_cattle_2014-01-01,64420035_37_cattle_2014-01-01,64420035_38_cattle_2014-01-01,64420035_39_cattle_2015-12-01,64420035_3_cattle_2012-07-01,64420035_40_cattle_2015-12-01,64420035_4_cattle_2012-07-01,64420035_5_cattle_2012-07-01,64420035_7_cattle_2012-02-01,64420035_9_cattle_2012-07-01,64420039_0_cattle_2014-01-01,64420039_1_cattle_2017-04-01,64420039_2_cattle_2017-02-01,64420039_3_cattle_2017-02-01,64420039_4_cattle_2017-02-01,64420039_5_cattle_2017-02-01,64422009_0_cattle_2020-02-01,64422009_1_cattle_2020-02-01,64422009_2_cattle_2020-02-01,64422009_3_cattle_2020-02-01,64422009_4_cattle_2020-02-01,64422_2_boar_2020-02-01,64422_3_boar_2020-02-01,64422_4_boar_2020-02-01,64449001_0_cattle_2017-01-01,64449007_0_cattle_2015-05-01,64449007_1_cattle_2015-07-01,64449007_2_cattle_2015-03-01,64449007_3_cattle_2015-07-01
0,0,0.03099690030996884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0011998800119988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0.2056794320567877,0.20897910208978404,0.1393860613938614,0.24957504249573892,0.06139386061393926,0.06939306069393147,0.01599840015998395,0,0.23047695230476015,3.9996000399960006e-4,0,0,0,0,0,0,0,0,0,0,0,0,0.030696930306969142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.9997000299970003e-4,0.016498350164983445,0.013198680131986768,0.009099090090990898,0.010598940105989387,0.012398760123987574,0.007099290070992906,0.025097490250974783,0.004999500049995003,0.0050994900509949035,0.010998900109988984,0.054894510548945584,0,0.1860813918608095,0.0015998400159983996,0.012398760123987574,0.004999500049995003,0.015098490150984854,0.0029997000299970007,0.004199580041995802,0.0012998700129986998,0.004399560043995603,0.005899410058994105,0,0.004799520047995203,0.003099690030996901,0,0.0021997800219977996,0.010798920107989185,0.006099390060993905,0.011798820117988178,0,0.004699530046995303,0,4.999500049995e-4,3.9996000399960006e-4,0.06179382061793887,0,0.005499450054994504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.10088991100890084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012298770122987674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,2.9997000299970003e-4,0,0,0,0.0086991300869913,0.04149585041495862,0.09409059094090745,0,0,0,0,0,0,0,0,0,0,0,0.07269273072692826,0,0,0,0,0.05619438056194432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0335966403359663,0,0,0,0,0,0,0,0.017898210178982035,0.009299070092990696,0.034096590340965814,0.34906509349065584,0.010598940105989387,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.04019598040195988,0,0,0,0.05389461053894656,0.008399160083991603,0.251774822517737,8.999100089991002e-4,0.004399560043995603,7.999200079992001e-4,0,0.012598740125987372,0,0,0,0,0,0,0,0,0,0,0,0,0,3.9996000399960006e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005499450054994504,0,0.318868113188681,0,9.999000099990002e-5,2.9997000299970003e-4,0.0023997600239976,0,0,0,0,0,0,9.999000099990002e-5,0,0,0,0.0034996500349965013,0,0.0014998500149984997,0,0,0,0,0,0.0012998700129986998,0,4.999500049995e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1.9998000199980003e-4,0,0.0042995700429957024,8.999100089991002e-4,0,0,9.99900009999e-4,0,0.2478752124787408,0.16028397160283817,0.0037996200379962018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0019998000199979993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06099390060993965,0.06099390060993965,0.11478852114788732,6.999300069993001e-4,0,0.0042995700429957024,0,0,0,0,0.5764423557644662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.9996000399960006e-4,5.999400059994001e-4,6.999300069993001e-4,0
0,0.40395960403961007,0,0,0.046895310468953365,0.026197380261973675,0,0.09299070092990852,0.029897010298969948,0.009899010098990092,0,0,0.15138486151384806,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1571842815718416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.9996000399960006e-4,0.08909109089091231,0.11568843115688644,0.030696930306969142,0.06769323067693313,0.09309069093090842,0.09659034096590502,0.13598640135986517,0.04699530046995327,0.025097490250974783,0.0481951804819521,0.2542745725427349,0,0.051294870512949085,0.0036996300369963016,0.0086991300869913,0.003099690030996901,0.007199280071992806,0.0011998800119988,0.004599540045995403,3.9996000399960006e-4,0.0028997100289971005,0.0023997600239976,6.999300069993001e-4,0.008399160083991603,5.999400059994001e-4,0,0.003899610038996102,5.999400059994001e-4,9.99900009999e-4,9.999000099990002e-5,0,0.0086991300869913,0,0,0.0015998400159983996,0.06379362063793692,0.0018998100189980994,9.999000099990002e-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.07839216078392272,0,2.9997000299970003e-4,0.2812718728127124,0.0666933306669341,0.005299470052994704,0,0.007099290070992906,0.016798320167983143,0.004999500049995003,0,0.017698230176982237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0024997500249975,0,0.2658734126587252,0,7.999200079992001e-4,5.999400059994001e-4,0.0025997400259974,0,0.0021997800219977996,0,5.999400059994001e-4,0,0,0,8.999100089991002e-4,0,7.999200079992001e-4,6.999300069993001e-4,0.0017998200179981994,6.999300069993001e-4,0,0,0,0,0,0.005299470052994704,0,0.004999500049995003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,9.999000099990002e-5,0,0,0,0,0.1939806019398007,5.999400059994001e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.999100089991002e-4,0.0021997800219977996,0.004399560043995603,0.004999500049995003,0.0017998200179981994,0.0034996500349965013,0.05209479052094831,0.1213878612138809,0.0018998100189980994,0.06449355064493624,5.999400059994001e-4,0.0026997300269973002,0,0.16928307169282816,0,0,0,0,0,0,0,0.0703929607039305,0.03289671032896698,0.06899310068993186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.003099690030996901,0,0.19098090190980405,0.0017998200179981994,0.09759024097590405,5.999400059994001e-4,0.0013998600139985998,0,0,0.44655534446557454,0.10178982101789996,3.9996000399960006e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9998000199980003e-4,0,0.0035996400359964015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02149785021497841,0.01849815018498143,0.03319668033196669,0.023597640235976294,0,0,0,0,0,0,0.022897710228977,0,0,0,9.999000099990002e-5,0,0,0,0,0,0,0,0,0,0,0,1.9998000199980003e-4,0,0
