27_d500_106_1480_0_badger_2018-06-01,27_d500_187_0_badger_2015-07-01,27_d500_190_0_badger_2016-05-01,27_d500_191_0_badger_2020-02-01,27_d500_191_1_badger_2017-08-01,27_d500_192_0_badger_2014-11-01,27_d500_192_1_badger_2020-02-01,27_d500_67_1_badger_2018-07-01,27_d500_67_2_badger_2020-02-01,3_d500_258_0_badger_2014-08-01,40057001_0_cattle_2019-02-01,40057001_10_cattle_2018-12-01,40057001_11_cattle_2018-12-01,40057001_12_cattle_2019-02-01,40057001_13_cattle_2018-12-01,40057001_14_cattle_2019-02-01,40057001_15_cattle_2018-12-01,40057001_16_cattle_2018-12-01,40057001_17_cattle_2019-02-01,40057001_18_cattle_2018-12-01,40057001_19_cattle_2018-12-01,40057001_1_cattle_2019-02-01,40057001_20_cattle_2020-02-01,40057001_21_cattle_2020-02-01,40057001_2_cattle_2018-12-01,40057001_3_cattle_2018-12-01,40057001_4_cattle_2019-02-01,40057001_5_cattle_2018-12-01,40057001_6_cattle_2018-12-01,40057001_7_cattle_2018-12-01,40057001_8_cattle_2018-12-01,40057001_9_cattle_2018-12-01,40057018_0_cattle_2018-01-01,40057018_1_cattle_2019-03-01,40057018_2_cattle_2018-03-01,40057018_3_cattle_2019-03-01,40057018_4_cattle_2019-05-01,40057018_5_cattle_2019-05-01,40057018_6_cattle_2020-02-01,40057027_0_cattle_2020-02-01,40057032_0_cattle_2017-12-01,40057032_1_cattle_2018-01-01,40057032_2_cattle_2020-02-01,40057032_3_cattle_2020-02-01,40057039_0_cattle_2017-04-01,40057039_1_cattle_2017-04-01,40057039_2_cattle_2017-04-01,40057039_3_cattle_2017-03-01,40057039_4_cattle_2017-04-01,40057039_5_cattle_2020-02-01,40057_1_boar_2017-06-01,40057_2_boar_2019-02-01,40057_3_boar_2019-02-01,40057_4_boar_2018-08-01,40057_5_boar_2020-02-01,40057_6_boar_2019-05-01,40057_7_boar_2020-02-01,40057_8_boar_2020-02-01,40082001_0_cattle_2016-03-01,40082001_1_cattle_2016-01-01,40082001_2_cattle_2016-01-01,40082001_3_cattle_2016-01-01,40082001_4_cattle_2016-03-01,40082002_0_cattle_2015-02-01,40082002_1_cattle_2014-06-01,40082002_2_cattle_2014-11-01,40082002_3_cattle_2015-02-01,40082004_0_cattle_2015-04-01,40082004_1_cattle_2015-04-01,40082004_2_cattle_2015-03-01,40082004_3_cattle_2015-04-01,40082004_4_cattle_2015-04-01,40082004_5_cattle_2015-04-01,40082004_6_cattle_2016-12-01,40082010_0_cattle_2016-01-01,40082021_0_cattle_2014-06-01,40082021_10_cattle_2014-06-01,40082021_11_cattle_2014-06-01,40082021_12_cattle_2014-06-01,40082021_13_cattle_2014-06-01,40082021_14_cattle_2014-06-01,40082021_15_cattle_2014-06-01,40082021_16_cattle_2014-06-01,40082021_17_cattle_2014-06-01,40082021_18_cattle_2014-06-01,40082021_19_cattle_2014-06-01,40082021_1_cattle_2014-06-01,40082021_20_cattle_2014-06-01,40082021_21_cattle_2014-06-01,40082021_22_cattle_2014-06-01,40082021_23_cattle_2014-06-01,40082021_24_cattle_2014-06-01,40082021_25_cattle_2014-05-01,40082021_26_cattle_2014-06-01,40082021_27_cattle_2014-06-01,40082021_28_cattle_2014-06-01,40082021_29_cattle_2014-06-01,40082021_2_cattle_2014-06-01,40082021_30_cattle_2014-06-01,40082021_31_cattle_2014-06-01,40082021_32_cattle_2014-06-01,40082021_33_cattle_2014-06-01,40082021_34_cattle_2014-06-01,40082021_35_cattle_2016-02-01,40082021_3_cattle_2012-04-01,40082021_4_cattle_2014-06-01,40082021_5_cattle_2013-05-01,40082021_6_cattle_2014-06-01,40082021_7_cattle_2014-06-01,40082021_8_cattle_2014-06-01,40082021_9_cattle_2014-06-01,40082038_0_cattle_2020-02-01,40082_0_boar_2015-02-01,40082_10_boar_2017-08-01,40082_11_boar_2019-11-01,40082_12_boar_2020-02-01,40082_13_boar_2020-02-01,40082_1_boar_2014-02-01,40082_2_boar_2014-06-01,40082_3_boar_2014-04-01,40082_4_boar_2016-12-01,40082_5_boar_2016-05-01,40082_6_boar_2014-12-01,40082_7_boar_2019-08-01,40082_8_boar_2017-07-01,40082_9_boar_2019-02-01,40091066_0_cattle_2014-12-01,40091066_1_cattle_2014-12-01,40091066_2_cattle_2014-11-01,40091_10_boar_2015-10-01,40091_4_boar_2014-02-01,40091_5_boar_2014-12-01,40091_8_boar_2016-01-01,40091_9_boar_2015-05-01,40117005_0_cattle_2016-01-01,40117_0_boar_2016-06-01,40145_5_boar_2020-02-01,40145_6_boar_2019-04-01,40189030_0_cattle_2015-05-01,40189030_1_cattle_2015-05-01,40189030_2_cattle_2015-04-01,40189_1_boar_2014-12-01,40189_2_boar_2016-04-01,40270003_0_cattle_2017-11-01,40270003_1_cattle_2017-12-01,40270026_0_cattle_2018-02-01,40270026_1_cattle_2018-04-01,40270026_2_cattle_2018-02-01,40270026_3_cattle_2018-02-01,40270026_4_cattle_2018-04-01,40270026_5_cattle_2018-04-01,40270026_6_cattle_2018-04-01,40270026_7_cattle_2019-07-01,40270058_0_cattle_2016-05-01,40270058_1_cattle_2016-09-01,40270058_2_cattle_2016-09-01,40270_0_boar_2018-02-01,40270_10_boar_2020-02-01,40270_11_boar_2020-02-01,40270_12_boar_2019-01-01,40270_13_boar_2020-02-01,40270_1_boar_2017-02-01,40270_2_boar_2017-10-01,40270_3_boar_2017-03-01,40270_4_boar_2017-06-01,40270_5_boar_2017-09-01,40270_6_boar_2018-08-01,40270_7_boar_2018-05-01,40270_8_boar_2020-02-01,40270_9_boar_2019-06-01,45_d500_123_762_0_badger_2009-04-01,45_d500_123_762_1_badger_2010-04-01,45_d500_152_0_badger_2007-07-01,45_d500_157_858_0_badger_2014-05-01,45_d500_157_858_1_badger_2014-01-01,45_d500_157_858_2_badger_2013-03-01,45_d500_160_0_badger_2018-04-01,45_d500_160_1_badger_2013-03-01,45_d500_160_2_badger_2012-10-01,45_d500_160_3_badger_2014-04-01,45_d500_170_0_badger_2014-06-01,45_d500_170_1_badger_2020-02-01,45_d500_170_2_badger_2011-06-01,45_d500_57_715_0_badger_2014-03-01,45_d500_78_668_0_badger_2018-08-01,45_d500_99_716_0_badger_2018-02-01,45_d500_99_766_0_badger_2014-05-01,45_d500_99_839_0_badger_2012-05-01,45_d500_99_839_1_badger_2016-06-01,45_d500_99_866_0_badger_2018-06-01,56_d500_18_912_0_badger_2019-09-01,56_d500_5_0_badger_2020-02-01,64039022_0_cattle_2018-05-01,64039022_1_cattle_2018-05-01,64039022_2_cattle_2018-07-01,64201021_0_cattle_2019-04-01,64201021_1_cattle_2019-04-01,64201021_2_cattle_2019-06-01,64201021_3_cattle_2019-04-01,64253001_0_cattle_2018-01-01,64253027_0_cattle_2019-03-01,64253027_1_cattle_2019-05-01,64253027_2_cattle_2019-03-01,64253028_0_cattle_2017-05-01,64253028_10_cattle_2017-05-01,64253028_11_cattle_2017-05-01,64253028_12_cattle_2017-05-01,64253028_13_cattle_2017-05-01,64253028_14_cattle_2017-05-01,64253028_15_cattle_2017-03-01,64253028_16_cattle_2017-05-01,64253028_17_cattle_2017-05-01,64253028_18_cattle_2017-05-01,64253028_19_cattle_2017-05-01,64253028_1_cattle_2017-05-01,64253028_20_cattle_2017-05-01,64253028_21_cattle_2017-05-01,64253028_22_cattle_2017-05-01,64253028_23_cattle_2017-05-01,64253028_24_cattle_2017-05-01,64253028_25_cattle_2017-05-01,64253028_2_cattle_2017-05-01,64253028_3_cattle_2017-05-01,64253028_4_cattle_2017-05-01,64253028_5_cattle_2017-04-01,64253028_6_cattle_2017-05-01,64253028_7_cattle_2017-05-01,64253028_8_cattle_2017-05-01,64253028_9_cattle_2017-05-01,64253_0_boar_2015-10-01,64253_10_boar_2019-08-01,64253_1_boar_2017-05-01,64253_2_boar_2017-12-01,64253_3_boar_2016-04-01,64253_4_boar_2015-12-01,64253_5_boar_2018-02-01,64253_6_boar_2016-10-01,64253_7_boar_2019-09-01,64253_8_boar_2018-06-01,64253_9_boar_2018-06-01,64281001_0_cattle_2018-01-01,64281_1_boar_2020-02-01,64281_2_boar_2017-09-01,64281_3_boar_2020-02-01,64326020_0_cattle_2011-05-01,64326020_10_cattle_2011-05-01,64326020_11_cattle_2013-03-01,64326020_12_cattle_2013-04-01,64326020_1_cattle_2011-05-01,64326020_2_cattle_2011-05-01,64326020_3_cattle_2011-05-01,64326020_4_cattle_2011-05-01,64326020_5_cattle_2011-05-01,64326020_6_cattle_2011-05-01,64326020_7_cattle_2011-05-01,64326020_8_cattle_2011-05-01,64326020_9_cattle_2011-04-01,64359024_3_cattle_2019-04-01,64359024_4_cattle_2019-04-01,64359024_6_cattle_2020-02-01,64359045_11_cattle_2020-02-01,64359107_4_cattle_2020-02-01,64359_35_boar_2020-02-01,64397011_0_cattle_2011-04-01,64397011_1_cattle_2011-04-01,64397011_2_cattle_2011-04-01,64397011_3_cattle_2011-03-01,64397011_4_cattle_2011-04-01,64397011_5_cattle_2011-04-01,64397011_6_cattle_2011-04-01,64397011_7_cattle_2011-04-01,64397011_8_cattle_2011-04-01,64397011_9_cattle_2011-04-01,64420009_0_cattle_2013-01-01,64420009_1_cattle_2014-12-01,64420009_2_cattle_2014-11-01,64420015_0_cattle_2007-04-01,64420028_0_cattle_2015-05-01,64420028_1_cattle_2015-03-01,64420028_2_cattle_2015-03-01,64420028_3_cattle_2015-05-01,64420028_4_cattle_2015-07-01,64420035_0_cattle_2013-06-01,64420035_1_cattle_2013-04-01,64420035_2_cattle_2013-06-01,64420035_3_cattle_2013-02-01,64420035_4_cattle_2013-04-01,64420035_5_cattle_2018-12-01,64420039_0_cattle_2010-02-01,64420039_10_cattle_2010-02-01,64420039_11_cattle_2010-02-01,64420039_12_cattle_2010-02-01,64420039_13_cattle_2010-02-01,64420039_14_cattle_2010-02-01,64420039_15_cattle_2010-02-01,64420039_16_cattle_2010-02-01,64420039_17_cattle_2010-02-01,64420039_18_cattle_2010-02-01,64420039_19_cattle_2010-02-01,64420039_1_cattle_2010-02-01,64420039_20_cattle_2010-02-01,64420039_21_cattle_2010-02-01,64420039_22_cattle_2010-02-01,64420039_23_cattle_2010-02-01,64420039_24_cattle_2010-02-01,64420039_25_cattle_2010-02-01,64420039_26_cattle_2010-02-01,64420039_27_cattle_2010-02-01,64420039_2_cattle_2010-02-01,64420039_3_cattle_2009-11-01,64420039_4_cattle_2010-02-01,64420039_5_cattle_2010-02-01,64420039_6_cattle_2010-02-01,64420039_7_cattle_2010-02-01,64420039_8_cattle_2010-02-01,64420039_9_cattle_2010-02-01,64420047_0_cattle_2011-12-01,64420047_10_cattle_2011-12-01,64420047_1_cattle_2011-12-01,64420047_2_cattle_2011-12-01,64420047_3_cattle_2011-12-01,64420047_4_cattle_2011-12-01,64420047_5_cattle_2012-02-01,64420047_6_cattle_2011-10-01,64420047_7_cattle_2011-12-01,64420047_8_cattle_2011-12-01,64420047_9_cattle_2011-12-01
0,0,0,0,0,0,0,0,0,0,0.004959801607935691,0.001639934402623894,0.007679692812287545,7.999680012799484e-4,0.001719931202751889,4.7998080076796915e-4,0.0066797328106875985,0.011599536018559252,0.0061597536098556265,0.01771929122835088,0.0011599536018559251,0.010079596816127367,0,2.3999040038398463e-4,0.0026398944042238296,0.012519499220031182,0.014439422423103037,0.015279388824446974,0.01623935042598293,0.0018799248030078786,0.009519619215231409,0.02215911363545474,0.35590576376950533,0,0,0.007839686412543536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03559857605695793,0.0035198592056317726,0,0.028758849646014526,2.3999040038398463e-4,0.0074397024119035576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.199712011519536e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0.014319427222911046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02211911523539074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1283948642054269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0015199392024319019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0.006999720011199581,0,0.12715491380344304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00911963521459144,0.004119835206591736,0,0.039438422463101475,0.004279828806847728,0.002879884804607814,0.20295188192471403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004839806407743698,0,0,0,0,0,0,0,0,0,0.02299908003679871,0,0,0,0,0,0,0.3540658373665603,0,0,0,0,0.0020399184032638684,0,0,0,0,0,0,0,0,0.0023199072037118503,5.199792008319666e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07547698092076119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005839766409343644,0,0,0,0,0,0,0,0,0,0.11891524339026002,0.09291628334866311,0.3636654533819258,0.12367505299787546,0.12763489460421099,0,0,0,5.199792008319666e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.199872005119795e-4,5.199792008319666e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0.08111675532978452,0,0,0,0,0.005679772809087652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2732290708371698,0.1115155393784209,0,0.23955041798326968,0.21947122115114406,0.1485540578376805,0.04651813927442863,0,0,0,0,0,0,0.0027998880044798192,0,0,0,0,0,0.0017999280028798837,0,0,3.999840006399744e-5,0,0,0,0,0.0022399104035838555,0,0,0,0,0,0,0,0,0.1980720771169066,0,0,0,0,0,0,0,0,0,0.004759809607615702,0,0,0,0,0,0,0.017839286428542878,0,0,0,0,0.04311827526898904,0,0,0,0,0,0,0,0,0.08527658893644002,0.016439342426302923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0.023119075236990708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001999920003199871,0,0,0.012039518419263219,7.59969601215951e-4,0.001039958401663933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0.05283788648453988,0,0,7.999680012799488e-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.999680012799488e-5,0,0,0.0048798048078076955,7.999680012799488e-5,7.999680012799488e-5,0.01927922883084683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0013199472021119148,0,0,0,0,0,0,0.1712331506739658,0,0,0,0,7.999680012799488e-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0.025158993640254642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0011599536018559251,0,9.599616015359381e-4,0.01655933762649492,0.0012799488020479174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002599896004159832,0.0018399264029438811,0.0804767809287606,0.005199792008319678,7.999680012799484e-4,0.0015599376024958993,0.0025198992040318374,8.399664013439459e-4,0.006719731210751596,0.0015599376024958993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.999840006399744e-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.999840006399744e-5,0,0,0,0,0,0,0,0,0,0,0,0
