tinfection,tremoved,infector_id,infected_id
2013.2176063482877,2014.665753424677,16,2_d500_43_0_badger_2014-09-01
2014.1456649172,2014.6657534247288,19,40089001_0_cattle_2014-09-01
2013.6984974983814,2014.6657534247158,21,40089001_10_cattle_2014-09-01
2014.1458224367634,2014.6657534246754,19,40089001_11_cattle_2014-09-01
2013.5181293931437,2014.665753424753,21,40089001_12_cattle_2014-09-01
2014.5141860209685,2014.665753424753,21,40089001_13_cattle_2014-09-01
2013.8741164189398,2014.6657534246715,5,40089001_14_cattle_2014-09-01
2014.3635092832528,2014.665753424742,11,40089001_15_cattle_2014-09-01
2014.5301588633822,2014.6657534247054,14,40089001_16_cattle_2014-09-01
2014.1836839287344,2014.6657534247136,19,40089001_17_cattle_2014-09-01
2013.7057205915362,2014.6657534247138,21,40089001_18_cattle_2014-09-01
2013.8225469894937,2014.6657534246824,90,40089001_1_cattle_2014-09-01
2014.4110331301658,2014.6657534247345,21,40089001_2_cattle_2014-09-01
2014.2370540934658,2014.5808219178257,20,40089001_3_cattle_2014-08-01
2014.0814293100414,2014.665753424699,1,40089001_4_cattle_2014-09-01
2012.490946114389,2014.6657534247438,232,40089001_5_cattle_2014-09-01
2013.9514210941566,2014.665753424756,3,40089001_6_cattle_2014-09-01
2013.600914450545,2014.665753424681,90,40089001_7_cattle_2014-09-01
2013.1985343418314,2014.665753424703,232,40089001_8_cattle_2014-09-01
2013.0517126473608,2014.665753424666,232,40089001_9_cattle_2014-09-01
2013.1256675379707,2013.4958904110242,58,40089_0_boar_2013-07-01
2015.071415099353,2018.0849315068876,5,40089_1_boar_2018-02-01
2015.31573318341,2016.415300546532,4,40089_2_boar_2016-06-01
2018.122444005967,2019.4136986301519,120,45_d500_101_0_badger_2019-06-01
2014.4466649674885,2015.6657534246929,18,45_d500_123_762_0_badger_2015-09-01
2012.7336807660884,2013.495890411007,188,45_d500_123_762_1_badger_2013-07-01
2013.2334619980109,2015.3287671233034,38,45_d500_123_762_2_badger_2015-05-01
2013.3148214526054,2013.580821917843,38,45_d500_123_762_3_badger_2013-08-01
2008.3817876593369,2009.580821917905,153,45_d500_152_0_badger_2009-08-01
2013.070565794139,2014.3287671233015,37,45_d500_156_0_badger_2014-05-01
2006.7129148015397,2008.3306010928968,194,45_d500_156_1_badger_2008-05-01
