X1,root,type,sp_infected,sp_infector,infected,infector,pop_infected,pop_infector,modeinfection,tinfection,tinfective,tremoved,moderemoval,index,sim,transmission,year,period_inf,surv,nb_lineages,badger,boar,cattle
40620,13,SB0832,cattle,NA,64420015_0,NA,64420015,NA,initialisation,0,5,13,demographie,13,175,NA->cattle,2007,13,b2012,212,87,33,92
40621,13,SB0832,badger,cattle,45_d500_99_839_0,64420015_0,45_d500_99_839,64420015,cattle,7,7,79,trapping,34,175,cattle->badger,2007,72,b2012,212,87,33,92
40622,13,SB0832,badger,cattle,45_d500_152_0,64420015_0,45_d500_152,64420015,cattle,8,8,13,demographie,39,175,cattle->badger,2007,5,b2012,212,87,33,92
40623,13,SB0832,badger,badger,45_d500_152_1,45_d500_152_0,45_d500_152,45_d500_152,within,9,9,36,demographie,46,175,badger->badger,2007,27,b2012,212,87,33,92
40624,13,SB0832,badger,badger,45_d500_99_839_1,45_d500_99_839_0,45_d500_99_839,45_d500_99_839,within,16,16,18,demographie,79,175,badger->badger,2008,2,b2012,212,87,33,92
40625,13,SB0832,badger,badger,45_d500_105_726_0,45_d500_99_839_0,45_d500_105_726,45_d500_99_839,neighborhood,18,18,32,demographie,85,175,badger->badger,2008,14,b2012,212,87,33,92
40626,13,SB0832,badger,badger,45_d500_105_726_1,45_d500_105_726_0,45_d500_105_726,45_d500_105_726,within,22,22,103,trapping,92,175,badger->badger,2008,81,b2012,212,87,33,92
40627,13,SB0832,cattle,badger,64359108_0,45_d500_105_726_1,64359108,45_d500_105_726,badger,27,30,54,abattage,104,175,badger->cattle,2009,27,b2012,212,87,33,92
40628,13,SB0832,cattle,badger,64420009_0,45_d500_105_726_1,64420009,45_d500_105_726,badger,32,35,51,abattage,127,175,badger->cattle,2009,19,b2012,212,87,33,92
40629,13,SB0832,badger,badger,45_d500_100_0,45_d500_105_726_1,45_d500_100,45_d500_105_726,neighborhood,32,32,49,demographie,128,175,badger->badger,2009,17,b2012,212,87,33,92
40630,13,SB0832,badger,cattle,45_d500_99_869_0,64359108_0,45_d500_99_869,64359108,cattle,32,32,102,trapping,130,175,cattle->badger,2009,70,b2012,212,87,33,92
40631,13,SB0832,badger,badger,45_d500_99_839_2,45_d500_99_839_0,45_d500_99_839,45_d500_99_839,within,33,33,78,trapping,136,175,badger->badger,2009,45,b2012,212,87,33,92
40632,13,SB0832,badger,cattle,45_d500_87_0,64359108_0,45_d500_87,64359108,cattle,33,33,149,trapping,137,175,cattle->badger,2009,116,b2012,212,87,33,92
40633,13,SB0832,badger,badger,45_d500_154_0,45_d500_105_726_1,45_d500_154,45_d500_105_726,neighborhood,34,34,78,trapping,139,175,badger->badger,2009,44,b2012,212,87,33,92
