X1,root,type,sp_infected,sp_infector,infected,infector,pop_infected,pop_infector,modeinfection,tinfection,tinfective,tremoved,moderemoval,index,sim,transmission,year,period_inf,surv,nb_lineages,badger,boar,cattle,trans_1,trans_2,trans_3,trans_4,trans_5,trans_6
16540,13,SB0832,cattle,NA,64420015_0,NA,64420015,NA,initialisation,0,0,7,demographie,13,60,NA->cattle,2007,7,b2012,390,114,45,231,NA,NA,NA,NA,NA,NA
16541,13,SB0832,cattle,cattle,64420044_0,64420015_0,64420044,64420015,pasture,4,5,20,abattage,31,60,cattle->cattle,2007,16,b2012,390,114,45,231,64420015_0->64420044_0,64420015_0->64420044_0,64420015_0->64420044_0,64420015_0->64420044_0,64420015_0->64420044_0,64420015_0->64420044_0
16542,13,SB0832,badger,cattle,45_d500_152_0,64420015_0,45_d500_152,64420015,cattle,4,4,78,trapping,32,60,cattle->badger,2007,74,b2012,390,114,45,231,64420015_0->45_d500_152_0,64420015_0->45_d500_152_0,64420015_0->45_d500_152_0,NA,64420015_0->45_d500_152_0,NA
16543,13,SB0832,badger,cattle,45_d500_156_1,64420015_0,45_d500_156,64420015,cattle,4,4,33,demographie,33,60,cattle->badger,2007,29,b2012,390,114,45,231,64420015_0->45_d500_156_1,NA,64420015_0->45_d500_156_1,NA,NA,NA
16544,13,SB0832,badger,cattle,45_d500_157_858_0,64420015_0,45_d500_157_858,64420015,cattle,4,4,72,demographie,34,60,cattle->badger,2007,68,b2012,390,114,45,231,64420015_0->45_d500_157_858_0,64420015_0->45_d500_157_858_0,64420015_0->45_d500_157_858_0,NA,64420015_0->45_d500_157_858_0,NA
16545,13,SB0832,badger,cattle,45_d500_157_858_2,64420015_0,45_d500_157_858,64420015,cattle,6,6,21,demographie,48,60,cattle->badger,2007,15,b2012,390,114,45,231,64420015_0->45_d500_157_858_2,NA,64420015_0->45_d500_157_858_2,NA,NA,NA
16546,13,SB0832,badger,cattle,45_d500_157_858_1,64420044_0,45_d500_157_858,64420044,cattle,6,6,29,demographie,49,60,cattle->badger,2007,23,b2012,390,114,45,231,64420044_0->45_d500_157_858_1,NA,64420044_0->45_d500_157_858_1,NA,NA,NA
16547,13,SB0832,badger,cattle,45_d500_157_858_3,64420044_0,45_d500_157_858,64420044,cattle,6,6,26,demographie,50,60,cattle->badger,2007,20,b2012,390,114,45,231,64420044_0->45_d500_157_858_3,NA,64420044_0->45_d500_157_858_3,NA,NA,NA
16548,13,SB0832,badger,cattle,45_d500_157_858_4,64420015_0,45_d500_157_858,64420015,cattle,7,7,138,trapping,57,60,cattle->badger,2007,131,b2012,390,114,45,231,64420015_0->45_d500_157_858_4,64420015_0->45_d500_157_858_4,64420015_0->45_d500_157_858_4,NA,64420015_0->45_d500_157_858_4,NA
16549,13,SB0832,badger,cattle,45_d500_160_0,64420015_0,45_d500_160,64420015,cattle,7,7,69,demographie,58,60,cattle->badger,2007,62,b2012,390,114,45,231,64420015_0->45_d500_160_0,64420015_0->45_d500_160_0,64420015_0->45_d500_160_0,NA,64420015_0->45_d500_160_0,NA
16550,13,SB0832,badger,badger,45_d500_152_1,45_d500_152_0,45_d500_152,45_d500_152,within,8,8,28,demographie,59,60,badger->badger,2007,20,b2012,390,114,45,231,45_d500_152_0->45_d500_152_1,NA,45_d500_152_0->45_d500_152_1,NA,NA,NA
16551,13,SB0832,cattle,cattle,64420015_1,64420044_0,64420015,64420044,pasture,8,-1,8,abattage,65,60,cattle->cattle,2007,0,b2012,390,114,45,231,64420044_0->64420015_1,64420044_0->64420015_1,64420044_0->64420015_1,64420044_0->64420015_1,64420044_0->64420015_1,64420044_0->64420015_1
16552,13,SB0832,badger,cattle,45_d500_99_766_0,64420044_0,45_d500_99_766,64420044,cattle,8,8,87,demographie,66,60,cattle->badger,2007,79,b2012,390,114,45,231,64420044_0->45_d500_99_766_0,64420044_0->45_d500_99_766_0,64420044_0->45_d500_99_766_0,NA,64420044_0->45_d500_99_766_0,NA
16553,13,SB0832,badger,cattle,45_d500_99_866_0,64420044_0,45_d500_99_866,64420044,cattle,9,9,41,demographie,75,60,cattle->badger,2007,32,b2012,390,114,45,231,64420044_0->45_d500_99_866_0,NA,64420044_0->45_d500_99_866_0,NA,NA,NA
16554,13,SB0832,badger,cattle,45_d500_163_0,64420044_0,45_d500_163,64420044,cattle,10,10,80,trapping,81,60,cattle->badger,2007,70,b2012,390,114,45,231,64420044_0->45_d500_163_0,64420044_0->45_d500_163_0,64420044_0->45_d500_163_0,NA,64420044_0->45_d500_163_0,NA
16555,13,SB0832,badger,badger,45_d500_99_766_1,45_d500_99_766_0,45_d500_99_766,45_d500_99_766,within,11,11,78,demographie,83,60,badger->badger,2007,67,b2012,390,114,45,231,45_d500_99_766_0->45_d500_99_766_1,45_d500_99_766_0->45_d500_99_766_1,45_d500_99_766_0->45_d500_99_766_1,NA,45_d500_99_766_0->45_d500_99_766_1,NA
16556,13,SB0832,cattle,cattle,64420044_1,64420044_0,64420044,64420044,within,11,-1,20,abattage,94,60,cattle->cattle,2007,9,b2012,390,114,45,231,64420044_0->64420044_1,64420044_0->64420044_1,64420044_0->64420044_1,64420044_0->64420044_1,64420044_0->64420044_1,64420044_0->64420044_1
16557,13,SB0832,cattle,cattle,64420044_2,64420044_0,64420044,64420044,within,11,17,20,abattage,95,60,cattle->cattle,2007,9,b2012,390,114,45,231,64420044_0->64420044_2,64420044_0->64420044_2,64420044_0->64420044_2,64420044_0->64420044_2,64420044_0->64420044_2,64420044_0->64420044_2
16558,13,SB0832,cattle,cattle,64420044_3,64420044_0,64420044,64420044,within,13,-1,15,demographie,115,60,cattle->cattle,2008,2,b2012,390,114,45,231,64420044_0->64420044_3,64420044_0->64420044_3,64420044_0->64420044_3,64420044_0->64420044_3,64420044_0->64420044_3,64420044_0->64420044_3
16559,13,SB0832,badger,badger,45_d500_157_858_5,45_d500_157_858_1,45_d500_157_858,45_d500_157_858,within,14,14,20,demographie,117,60,badger->badger,2008,6,b2012,390,114,45,231,45_d500_157_858_1->45_d500_157_858_5,NA,45_d500_157_858_1->45_d500_157_858_5,NA,NA,NA
16560,13,SB0832,badger,badger,45_d500_160_1,45_d500_160_0,45_d500_160,45_d500_160,within,14,14,127,trapping,118,60,badger->badger,2008,113,b2012,390,114,45,231,45_d500_160_0->45_d500_160_1,45_d500_160_0->45_d500_160_1,45_d500_160_0->45_d500_160_1,NA,45_d500_160_0->45_d500_160_1,NA
16561,13,SB0832,cattle,cattle,64420044_4,64420044_0,64420044,64420044,within,14,15,19,demographie,124,60,cattle->cattle,2008,5,b2012,390,114,45,231,64420044_0->64420044_4,64420044_0->64420044_4,64420044_0->64420044_4,64420044_0->64420044_4,64420044_0->64420044_4,64420044_0->64420044_4
16562,13,SB0832,badger,cattle,45_d500_163_1,64420044_0,45_d500_163,64420044,cattle,17,17,39,demographie,155,60,cattle->badger,2008,22,b2012,390,114,45,231,64420044_0->45_d500_163_1,NA,64420044_0->45_d500_163_1,NA,NA,NA
16563,13,SB0832,cattle,badger,64420035_0,45_d500_163_1,64420035,45_d500_163,badger,18,21,28,abattage,156,60,badger->cattle,2008,10,b2012,390,114,45,231,45_d500_163_1->64420035_0,64420044_0->64420035_0,45_d500_163_1->64420035_0,64420044_0->64420035_0,64420044_0->64420035_0,64420044_0->64420035_0
16564,13,SB0832,cattle,cattle,64420044_5,64420044_0,64420044,64420044,within,18,18,20,abattage,167,60,cattle->cattle,2008,2,b2012,390,114,45,231,64420044_0->64420044_5,64420044_0->64420044_5,64420044_0->64420044_5,64420044_0->64420044_5,64420044_0->64420044_5,64420044_0->64420044_5
16565,13,SB0832,cattle,cattle,64420044_6,64420044_4,64420044,64420044,within,18,-1,20,abattage,168,60,cattle->cattle,2008,2,b2012,390,114,45,231,64420044_4->64420044_6,64420044_4->64420044_6,64420044_4->64420044_6,64420044_4->64420044_6,64420044_4->64420044_6,64420044_4->64420044_6
16566,13,SB0832,badger,cattle,45_d500_152_2,64420044_0,45_d500_152,64420044,cattle,20,20,23,demographie,188,60,cattle->badger,2008,3,b2012,390,114,45,231,64420044_0->45_d500_152_2,NA,64420044_0->45_d500_152_2,NA,NA,NA
16567,13,SB0832,cattle,cattle,64420047_0,64420044_5,64420047,64420044,pasture,21,23,30,demographie,197,60,cattle->cattle,2008,9,b2012,390,114,45,231,64420044_5->64420047_0,64420044_5->64420047_0,64420044_5->64420047_0,64420044_5->64420047_0,64420044_5->64420047_0,64420044_5->64420047_0
16568,13,SB0832,badger,cattle,45_d500_123_762_0,64420035_0,45_d500_123_762,64420035,cattle,22,22,23,demographie,213,60,cattle->badger,2008,1,b2012,390,114,45,231,64420035_0->45_d500_123_762_0,NA,64420035_0->45_d500_123_762_0,NA,NA,NA
16569,13,SB0832,badger,cattle,45_d500_182_0,64420035_0,45_d500_182,64420035,cattle,22,22,77,demographie,214,60,cattle->badger,2008,55,b2012,390,114,45,231,64420035_0->45_d500_182_0,64420035_0->45_d500_182_0,64420035_0->45_d500_182_0,NA,64420035_0->45_d500_182_0,NA
16570,13,SB0832,badger,cattle,45_d500_99_839_0,64420035_0,45_d500_99_839,64420035,cattle,22,22,81,demographie,215,60,cattle->badger,2008,59,b2012,390,114,45,231,64420035_0->45_d500_99_839_0,64420035_0->45_d500_99_839_0,64420035_0->45_d500_99_839_0,NA,64420035_0->45_d500_99_839_0,NA
16571,13,SB0832,badger,cattle,45_d500_156_2,64420044_4,45_d500_156,64420044,cattle,22,22,127,trapping,216,60,cattle->badger,2008,105,b2012,390,114,45,231,64420044_4->45_d500_156_2,64420044_4->45_d500_156_2,64420044_4->45_d500_156_2,NA,64420044_4->45_d500_156_2,NA
16572,13,SB0832,cattle,cattle,64420035_1,64420035_0,64420035,64420035,within,23,26,28,abattage,230,60,cattle->cattle,2008,5,b2012,390,114,45,231,64420035_0->64420035_1,64420035_0->64420035_1,64420035_0->64420035_1,64420035_0->64420035_1,64420035_0->64420035_1,64420035_0->64420035_1
16573,13,SB0832,cattle,cattle,64420035_2,64420035_0,64420035,64420035,within,25,25,28,abattage,251,60,cattle->cattle,2009,3,b2012,390,114,45,231,64420035_0->64420035_2,64420035_0->64420035_2,64420035_0->64420035_2,64420035_0->64420035_2,64420035_0->64420035_2,64420035_0->64420035_2
