X1,root,type,sp_infected,sp_infector,infected,infector,pop_infected,pop_infector,modeinfection,tinfection,tinfective,tremoved,moderemoval,index,sim,transmission,year,period_inf,surv,nb_lineages,badger,boar,cattle
92786,13,SB0832,cattle,NA,64420015_0,NA,64420015,NA,initialisation,0,5,11,demographie,13,77,NA->cattle,2007,11,b2012,306,51,71,184
92787,13,SB0832,badger,cattle,45_d500_99_839_1,64420015_0,45_d500_99_839,64420015,cattle,6,6,7,demographie,24,77,cattle->badger,2007,1,b2012,306,51,71,184
92788,13,SB0832,badger,cattle,45_d500_99_839_2,64420015_0,45_d500_99_839,64420015,cattle,7,7,116,trapping,26,77,cattle->badger,2007,109,b2012,306,51,71,184
92789,13,SB0832,badger,cattle,45_d500_152_0,64420015_0,45_d500_152,64420015,cattle,9,9,14,demographie,31,77,cattle->badger,2007,5,b2012,306,51,71,184
92790,13,SB0832,badger,cattle,45_d500_156_0,64420015_0,45_d500_156,64420015,cattle,9,9,106,demographie,32,77,cattle->badger,2007,97,b2012,306,51,71,184
92791,13,SB0832,cattle,badger,64281001_0,45_d500_156_0,64281001,45_d500_156,badger,10,12,26,abattage,34,77,badger->cattle,2007,16,b2012,306,51,71,184
92792,13,SB0832,badger,cattle,45_d500_152_1,64420015_0,45_d500_152,64420015,cattle,10,10,21,demographie,38,77,cattle->badger,2007,11,b2012,306,51,71,184
92793,13,SB0832,cattle,badger,64420012_0,45_d500_152_0,64420012,45_d500_152,badger,15,17,47,abattage,54,77,badger->cattle,2008,32,b2012,306,51,71,184
92794,13,SB0832,boar,cattle,64281_0,64281001_0,64281,64281001,cattle,16,16,34,demographie,56,77,cattle->boar,2008,18,b2012,306,51,71,184
92795,13,SB0832,badger,cattle,45_d500_168_0,64281001_0,45_d500_168,64281001,cattle,17,17,68,demographie,58,77,cattle->badger,2008,51,b2012,306,51,71,184
92796,13,SB0832,cattle,cattle,64281001_1,64281001_0,64281001,64281001,within,18,19,26,abattage,60,77,cattle->cattle,2008,8,b2012,306,51,71,184
92797,13,SB0832,badger,cattle,45_d500_160_0,64420012_0,45_d500_160,64420012,cattle,18,18,26,demographie,61,77,cattle->badger,2008,8,b2012,306,51,71,184
92798,13,SB0832,boar,cattle,64281_1,64281001_0,64281,64281001,cattle,19,19,45,demographie,62,77,cattle->boar,2008,26,b2012,306,51,71,184
92799,13,SB0832,badger,cattle,45_d500_99_766_0,64420012_0,45_d500_99_766,64420012,cattle,19,19,57,demographie,63,77,cattle->badger,2008,38,b2012,306,51,71,184
