X1,root,type,sp_infected,sp_infector,infected,infector,pop_infected,pop_infector,modeinfection,tinfection,tinfective,tremoved,moderemoval,index,sim,transmission,year,period_inf,surv,nb_lineages,badger,boar,cattle,trans_1,trans_2,trans_3,trans_4,trans_5,trans_6
18438,15,SB0832,badger,NA,45_d500_156_0,NA,45_d500_156,NA,initialisation,0,0,48,demographie,15,705,NA->badger,2007,48,b2012,472,63,67,342,NA,NA,NA,NA,NA,NA
18439,15,SB0832,cattle,badger,64420015_2,45_d500_156_0,64420015,45_d500_156,badger,8,9,14,abattage,41,705,badger->cattle,2007,6,b2012,472,63,67,342,45_d500_156_0->64420015_2,NA,45_d500_156_0->64420015_2,NA,NA,NA
18440,15,SB0832,cattle,cattle,64420015_3,64420015_2,64420015,64420015,within,12,14,14,abattage,85,705,cattle->cattle,2008,2,b2012,472,63,67,342,64420015_2->64420015_3,64420015_2->64420015_3,64420015_2->64420015_3,64420015_2->64420015_3,64420015_2->64420015_3,64420015_2->64420015_3
18441,15,SB0832,cattle,cattle,64420015_5,64420015_2,64420015,64420015,within,14,-1,14,abattage,102,705,cattle->cattle,2008,0,b2012,472,63,67,342,64420015_2->64420015_5,64420015_2->64420015_5,64420015_2->64420015_5,64420015_2->64420015_5,64420015_2->64420015_5,64420015_2->64420015_5
18442,15,SB0832,badger,badger,45_d500_170_0,45_d500_156_0,45_d500_170,45_d500_156,neighborhood,22,22,115,trapping,199,705,badger->badger,2008,93,b2012,472,63,67,342,45_d500_156_0->45_d500_170_0,NA,45_d500_156_0->45_d500_170_0,NA,NA,NA
18443,15,SB0832,cattle,badger,64416031_0,45_d500_170_0,64416031,45_d500_170,badger,42,46,55,abattage,454,705,badger->cattle,2010,13,b2012,472,63,67,342,45_d500_170_0->64416031_0,45_d500_170_0->64416031_0,45_d500_170_0->64416031_0,NA,45_d500_170_0->64416031_0,NA
18444,15,SB0832,cattle,badger,64326020_0,45_d500_156_0,64326020,45_d500_156,badger,46,51,61,abattage,494,705,badger->cattle,2010,15,b2012,472,63,67,342,45_d500_156_0->64326020_0,NA,45_d500_156_0->64326020_0,NA,NA,NA
18445,15,SB0832,cattle,cattle,64416031_1,64416031_0,64416031,64416031,within,47,49,54,demographie,511,705,cattle->cattle,2010,7,b2012,472,63,67,342,64416031_0->64416031_1,64416031_0->64416031_1,64416031_0->64416031_1,64416031_0->64416031_1,64416031_0->64416031_1,64416031_0->64416031_1
18446,15,SB0832,cattle,cattle,64416031_2,64416031_0,64416031,64416031,within,50,-1,55,abattage,549,705,cattle->cattle,2011,5,b2012,472,63,67,342,64416031_0->64416031_2,64416031_0->64416031_2,64416031_0->64416031_2,64416031_0->64416031_2,64416031_0->64416031_2,64416031_0->64416031_2
18447,15,SB0832,badger,cattle,45_d500_170_1,64416031_0,45_d500_170,64416031,cattle,51,51,61,demographie,560,705,cattle->badger,2011,10,b2012,472,63,67,342,64416031_0->45_d500_170_1,64416031_0->45_d500_170_1,64416031_0->45_d500_170_1,NA,64416031_0->45_d500_170_1,NA
18448,15,SB0832,badger,cattle,45_d500_167_0,64326020_0,45_d500_167,64326020,cattle,52,52,56,demographie,568,705,cattle->badger,2011,4,b2012,472,63,67,342,64326020_0->45_d500_167_0,NA,64326020_0->45_d500_167_0,NA,NA,NA
18449,15,SB0832,badger,cattle,45_d500_156_2,64326020_0,45_d500_156,64326020,cattle,53,53,102,trapping,577,705,cattle->badger,2011,49,b2012,472,63,67,342,64326020_0->45_d500_156_2,64326020_0->45_d500_156_2,64326020_0->45_d500_156_2,NA,64326020_0->45_d500_156_2,NA
18450,15,SB0832,badger,cattle,45_d500_62_0,64326020_0,45_d500_62,64326020,cattle,53,53,86,demographie,578,705,cattle->badger,2011,33,b2012,472,63,67,342,64326020_0->45_d500_62_0,64326020_0->45_d500_62_0,64326020_0->45_d500_62_0,NA,64326020_0->45_d500_62_0,NA
18451,15,SB0832,boar,cattle,64416_0,64416031_0,64416,64416031,cattle,53,53,75,demographie,579,705,cattle->boar,2011,22,b2012,472,63,67,342,64416031_0->64416_0,64416031_0->64416_0,NA,64416031_0->64416_0,NA,64416031_0->64416_0
18452,15,SB0832,badger,cattle,45_d500_173_0,64416031_1,45_d500_173,64416031,cattle,53,53,116,demographie,580,705,cattle->badger,2011,63,b2012,472,63,67,342,64416031_1->45_d500_173_0,64416031_1->45_d500_173_0,64416031_1->45_d500_173_0,NA,64416031_1->45_d500_173_0,NA
18453,15,SB0832,badger,cattle,45_d500_167_1,64326020_0,45_d500_167,64326020,cattle,55,55,140,trapping,605,705,cattle->badger,2011,85,b2012,472,63,67,342,64326020_0->45_d500_167_1,64326020_0->45_d500_167_1,64326020_0->45_d500_167_1,NA,64326020_0->45_d500_167_1,NA
18454,15,SB0832,badger,cattle,45_d500_50_612_0,64326020_0,45_d500_50_612,64326020,cattle,56,56,90,demographie,614,705,cattle->badger,2011,34,b2012,472,63,67,342,64326020_0->45_d500_50_612_0,64326020_0->45_d500_50_612_0,64326020_0->45_d500_50_612_0,NA,64326020_0->45_d500_50_612_0,NA
18455,15,SB0832,badger,cattle,45_d500_182_0,64416031_1,45_d500_182,64416031,cattle,56,56,65,demographie,616,705,cattle->badger,2011,9,b2012,472,63,67,342,64416031_1->45_d500_182_0,64416031_1->45_d500_182_0,64416031_1->45_d500_182_0,NA,64416031_1->45_d500_182_0,NA
18456,15,SB0832,badger,cattle,45_d500_164_1,64326020_0,45_d500_164,64326020,cattle,58,58,126,trapping,628,705,cattle->badger,2011,68,b2012,472,63,67,342,64326020_0->45_d500_164_1,64326020_0->45_d500_164_1,64326020_0->45_d500_164_1,NA,64326020_0->45_d500_164_1,NA
18457,15,SB0832,boar,cattle,64416_1,64416031_0,64416,64416031,cattle,58,58,110,demographie,629,705,cattle->boar,2011,52,b2012,472,63,67,342,64416031_0->64416_1,64416031_0->64416_1,NA,64416031_0->64416_1,NA,64416031_0->64416_1
18458,15,SB0832,cattle,cattle,64326020_1,64326020_0,64326020,64326020,within,60,63,63,abattage,658,705,cattle->cattle,2012,3,b2016,472,63,67,342,64326020_0->64326020_1,64326020_0->64326020_1,64326020_0->64326020_1,64326020_0->64326020_1,64326020_0->64326020_1,64326020_0->64326020_1
18459,15,SB0832,boar,boar,64416_2,64416_1,64416,64416,within,68,68,79,demographie,776,705,boar->boar,2012,11,b2016,472,63,67,342,64416_1->64416_2,64416_1->64416_2,NA,64416_1->64416_2,NA,64416_1->64416_2
18460,15,SB0832,boar,badger,64281_0,45_d500_170_0,64281,45_d500_170,badger,69,69,81,demographie,788,705,badger->boar,2012,12,b2016,472,63,67,342,45_d500_170_0->64281_0,45_d500_170_0->64281_0,NA,NA,NA,NA
18461,15,SB0832,cattle,badger,64281001_0,45_d500_156_2,64281001,45_d500_156,badger,70,72,88,abattage,810,705,badger->cattle,2012,18,b2016,472,63,67,342,45_d500_156_2->64281001_0,45_d500_156_2->64281001_0,45_d500_156_2->64281001_0,64326020_0->64281001_0,45_d500_156_2->64281001_0,64326020_0->64281001_0
18462,15,SB0832,boar,badger,64281_1,45_d500_170_0,64281,45_d500_170,badger,70,70,95,demographie,811,705,badger->boar,2012,25,b2016,472,63,67,342,45_d500_170_0->64281_1,45_d500_170_0->64281_1,NA,NA,NA,NA
18463,15,SB0832,boar,boar,64416_3,64416_0,64416,64416,within,70,70,100,demographie,830,705,boar->boar,2012,30,b2016,472,63,67,342,64416_0->64416_3,64416_0->64416_3,NA,64416_0->64416_3,NA,64416_0->64416_3
18464,15,SB0832,badger,badger,45_d500_167_2,45_d500_167_1,45_d500_167,45_d500_167,within,71,71,76,trapping,836,705,badger->badger,2012,5,b2016,472,63,67,342,45_d500_167_1->45_d500_167_2,45_d500_167_1->45_d500_167_2,45_d500_167_1->45_d500_167_2,NA,45_d500_167_1->45_d500_167_2,NA
18465,15,SB0832,badger,badger,45_d500_50_612_1,45_d500_50_612_0,45_d500_50_612,45_d500_50_612,within,75,75,117,demographie,959,705,badger->badger,2013,42,b2016,472,63,67,342,45_d500_50_612_0->45_d500_50_612_1,45_d500_50_612_0->45_d500_50_612_1,45_d500_50_612_0->45_d500_50_612_1,NA,45_d500_50_612_0->45_d500_50_612_1,NA
18466,15,SB0832,cattle,cattle,64281001_1,64281001_0,64281001,64281001,within,75,-1,88,abattage,968,705,cattle->cattle,2013,13,b2016,472,63,67,342,64281001_0->64281001_1,64281001_0->64281001_1,64281001_0->64281001_1,64281001_0->64281001_1,64281001_0->64281001_1,64281001_0->64281001_1
