X1,root,type,sp_infected,sp_infector,infected,infector,pop_infected,pop_infector,modeinfection,tinfection,tinfective,tremoved,moderemoval,index,sim,transmission,year,period_inf,surv,nb_lineages,badger,boar,cattle,trans_1,trans_2,trans_3,trans_4,trans_5,trans_6,presence_2,presence_3,presence_4,presence_5,presence_6
153740,15,SB0832,badger,NA,45_d500_124_0,NA,45_d500_124,NA,initialisation,0,0,157,NA,15,191,NA->badger,2007,157,b2012,125,35,17,73,NA,NA,NA,NA,NA,NA,1,1,1,1,1
153741,15,SB0832,cattle,badger,64281008_0,45_d500_124_0,64281008,45_d500_124,badger,69,70,97,abattage,1047,191,badger->cattle,2012,28,b2016,125,35,17,73,45_d500_124_0->64281008_0,45_d500_124_0->64281008_0,45_d500_124_0->64281008_0,NA,45_d500_124_0->64281008_0,NA,1,1,1,1,1
153742,15,SB0832,cattle,cattle,64281008_1,64281008_0,64281008,64281008,within,71,75,81,demographie,1128,191,cattle->cattle,2012,10,b2016,125,35,17,73,64281008_0->64281008_1,64281008_0->64281008_1,64281008_0->64281008_1,64281008_0->64281008_1,64281008_0->64281008_1,64281008_0->64281008_1,1,1,1,1,1
153743,15,SB0832,cattle,cattle,64281008_2,64281008_0,64281008,64281008,within,73,-1,82,demographie,1224,191,cattle->cattle,2013,9,b2016,125,35,17,73,64281008_0->64281008_2,64281008_0->64281008_2,64281008_0->64281008_2,64281008_0->64281008_2,64281008_0->64281008_2,64281008_0->64281008_2,1,1,1,1,1
153744,15,SB0832,badger,cattle,45_d500_168_0,64281008_1,45_d500_168,64281008,cattle,75,75,115,trapping,1289,191,cattle->badger,2013,40,b2016,125,35,17,73,64281008_1->45_d500_168_0,64281008_1->45_d500_168_0,64281008_1->45_d500_168_0,NA,64281008_1->45_d500_168_0,NA,1,1,1,1,1
153745,15,SB0832,boar,badger,64281_0,45_d500_168_0,64281,45_d500_168,badger,76,76,111,demographie,1300,191,badger->boar,2013,35,b2016,125,35,17,73,45_d500_168_0->64281_0,45_d500_168_0->64281_0,NA,64281008_1->64281_0,NA,64281008_1->64281_0,1,1,1,1,1
153746,15,SB0832,cattle,cattle,64281001_0,64281008_1,64281001,64281008,pasture,76,87,101,demographie,1309,191,cattle->cattle,2013,25,b2016,125,35,17,73,64281008_1->64281001_0,64281008_1->64281001_0,64281008_1->64281001_0,64281008_1->64281001_0,64281008_1->64281001_0,64281008_1->64281001_0,1,1,1,1,1
153747,15,SB0832,boar,cattle,64281_1,64281008_1,64281,64281008,cattle,77,77,122,demographie,1329,191,cattle->boar,2013,45,b2016,125,35,17,73,64281008_1->64281_1,64281008_1->64281_1,NA,64281008_1->64281_1,NA,64281008_1->64281_1,1,0,1,0,1
153748,15,SB0832,cattle,cattle,64281003_0,64281008_0,64281003,64281008,pasture,79,82,98,abattage,1374,191,cattle->cattle,2013,19,b2016,125,35,17,73,64281008_0->64281003_0,64281008_0->64281003_0,64281008_0->64281003_0,64281008_0->64281003_0,64281008_0->64281003_0,64281008_0->64281003_0,1,1,1,1,1
153749,15,SB0832,badger,cattle,45_d500_181_0,64281008_1,45_d500_181,64281008,cattle,80,80,112,trapping,1392,191,cattle->badger,2013,32,b2016,125,35,17,73,64281008_1->45_d500_181_0,64281008_1->45_d500_181_0,64281008_1->45_d500_181_0,NA,64281008_1->45_d500_181_0,NA,1,1,0,1,0
153750,15,SB0832,cattle,boar,64281001_1,64281_0,64281001,64281,boar,81,82,102,abattage,1414,191,boar->cattle,2013,21,b2016,125,35,17,73,64281_0->64281001_1,64281_0->64281001_1,45_d500_168_0->64281001_1,64281_0->64281001_1,45_d500_168_0->64281001_1,64281_0->64281001_1,1,1,1,1,1
153751,15,SB0832,boar,cattle,64281_2,64281008_0,64281,64281008,cattle,81,81,114,demographie,1415,191,cattle->boar,2013,33,b2016,125,35,17,73,64281008_0->64281_2,64281008_0->64281_2,NA,64281008_0->64281_2,NA,64281008_0->64281_2,1,0,1,0,1
153752,15,SB0832,boar,cattle,64281_3,64281008_1,64281,64281008,cattle,84,84,104,demographie,1504,191,cattle->boar,2014,20,b2016,125,35,17,73,64281008_1->64281_3,64281008_1->64281_3,NA,64281008_1->64281_3,NA,64281008_1->64281_3,1,1,1,1,1
153753,15,SB0832,cattle,cattle,64281003_1,64281003_0,64281003,64281003,within,86,87,97,demographie,1581,191,cattle->cattle,2014,11,b2016,125,35,17,73,64281003_0->64281003_1,64281003_0->64281003_1,64281003_0->64281003_1,64281003_0->64281003_1,64281003_0->64281003_1,64281003_0->64281003_1,1,1,1,1,1
153754,15,SB0832,badger,cattle,45_d500_169_0,64281001_0,45_d500_169,64281001,cattle,88,88,116,trapping,1619,191,cattle->badger,2014,28,b2016,125,35,17,73,64281001_0->45_d500_169_0,64281001_0->45_d500_169_0,64281001_0->45_d500_169_0,NA,64281001_0->45_d500_169_0,NA,1,1,1,1,1
153755,15,SB0832,cattle,cattle,64281003_2,64281003_0,64281003,64281003,within,88,91,93,demographie,1620,191,cattle->cattle,2014,5,b2016,125,35,17,73,64281003_0->64281003_2,64281003_0->64281003_2,64281003_0->64281003_2,64281003_0->64281003_2,64281003_0->64281003_2,64281003_0->64281003_2,1,1,1,1,1
153756,15,SB0832,badger,cattle,45_d500_179_0,64281003_0,45_d500_179,64281003,cattle,89,89,100,demographie,1645,191,cattle->badger,2014,11,b2016,125,35,17,73,64281003_0->45_d500_179_0,64281003_0->45_d500_179_0,64281003_0->45_d500_179_0,NA,64281003_0->45_d500_179_0,NA,1,1,0,1,0
153757,15,SB0832,cattle,badger,64281008_3,45_d500_169_0,64281008,45_d500_169,badger,90,92,97,abattage,1661,191,badger->cattle,2014,7,b2016,125,35,17,73,45_d500_169_0->64281008_3,45_d500_169_0->64281008_3,45_d500_169_0->64281008_3,64281001_0->64281008_3,45_d500_169_0->64281008_3,64281001_0->64281008_3,1,1,1,1,1
153758,15,SB0832,cattle,boar,64281001_2,64281_3,64281001,64281,boar,90,91,102,abattage,1664,191,boar->cattle,2014,12,b2016,125,35,17,73,64281_3->64281001_2,64281_3->64281001_2,64281008_1->64281001_2,64281_3->64281001_2,64281008_1->64281001_2,64281_3->64281001_2,1,1,1,1,1
153759,15,SB0832,cattle,cattle,64281003_3,64281008_0,64281003,64281008,pasture,90,-1,98,abattage,1665,191,cattle->cattle,2014,8,b2016,125,35,17,73,64281008_0->64281003_3,64281008_0->64281003_3,64281008_0->64281003_3,64281008_0->64281003_3,64281008_0->64281003_3,64281008_0->64281003_3,1,1,1,1,1
153760,15,SB0832,cattle,cattle,64281003_4,64281003_1,64281003,64281003,within,91,97,98,abattage,1676,191,cattle->cattle,2014,7,b2016,125,35,17,73,64281003_1->64281003_4,64281003_1->64281003_4,64281003_1->64281003_4,64281003_1->64281003_4,64281003_1->64281003_4,64281003_1->64281003_4,1,1,1,1,1
153761,15,SB0832,cattle,cattle,64281003_5,64281003_0,64281003,64281003,within,92,93,98,abattage,1688,191,cattle->cattle,2014,6,b2016,125,35,17,73,64281003_0->64281003_5,64281003_0->64281003_5,64281003_0->64281003_5,64281003_0->64281003_5,64281003_0->64281003_5,64281003_0->64281003_5,1,1,1,1,1
153762,15,SB0832,boar,boar,64281_4,64281_2,64281,64281,within,93,93,111,demographie,1699,191,boar->boar,2014,18,b2016,125,35,17,73,64281_2->64281_4,64281_2->64281_4,NA,64281_2->64281_4,NA,64281_2->64281_4,1,0,1,0,1
153763,15,SB0832,cattle,cattle,64281003_7,64281003_0,64281003,64281003,within,93,94,97,demographie,1700,191,cattle->cattle,2014,4,b2016,125,35,17,73,64281003_0->64281003_7,64281003_0->64281003_7,64281003_0->64281003_7,64281003_0->64281003_7,64281003_0->64281003_7,64281003_0->64281003_7,1,1,1,1,1
153764,15,SB0832,cattle,cattle,64281003_6,64281003_1,64281003,64281003,within,93,96,98,abattage,1701,191,cattle->cattle,2014,5,b2016,125,35,17,73,64281003_1->64281003_6,64281003_1->64281003_6,64281003_1->64281003_6,64281003_1->64281003_6,64281003_1->64281003_6,64281003_1->64281003_6,1,1,1,1,1
153765,15,SB0832,cattle,cattle,64281003_8,64281003_1,64281003,64281003,within,95,96,98,abattage,1737,191,cattle->cattle,2014,3,b2016,125,35,17,73,64281003_1->64281003_8,64281003_1->64281003_8,64281003_1->64281003_8,64281003_1->64281003_8,64281003_1->64281003_8,64281003_1->64281003_8,1,1,1,1,1
153766,15,SB0832,cattle,cattle,64281008_4,64281008_3,64281008,64281008,within,95,96,97,abattage,1738,191,cattle->cattle,2014,2,b2016,125,35,17,73,64281008_3->64281008_4,64281008_3->64281008_4,64281008_3->64281008_4,64281008_3->64281008_4,64281008_3->64281008_4,64281008_3->64281008_4,1,1,1,1,1
153767,15,SB0832,cattle,cattle,64281001_3,64281001_0,64281001,64281001,within,96,-1,102,abattage,1755,191,cattle->cattle,2015,6,b2016,125,35,17,73,64281001_0->64281001_3,64281001_0->64281001_3,64281001_0->64281001_3,64281001_0->64281001_3,64281001_0->64281001_3,64281001_0->64281001_3,1,1,1,1,1
153768,15,SB0832,cattle,cattle,64281003_9,64281003_8,64281003,64281003,within,96,-1,98,abattage,1756,191,cattle->cattle,2015,2,b2016,125,35,17,73,64281003_8->64281003_9,64281003_8->64281003_9,64281003_8->64281003_9,64281003_8->64281003_9,64281003_8->64281003_9,64281003_8->64281003_9,1,1,1,1,1
153769,15,SB0832,cattle,cattle,64281001_4,64281001_2,64281001,64281001,within,97,-1,102,abattage,1775,191,cattle->cattle,2015,5,b2016,125,35,17,73,64281001_2->64281001_4,64281001_2->64281001_4,64281001_2->64281001_4,64281001_2->64281001_4,64281001_2->64281001_4,64281001_2->64281001_4,1,1,1,1,1
153770,15,SB0832,cattle,cattle,64281003_10,64281003_0,64281003,64281003,within,97,-1,98,abattage,1776,191,cattle->cattle,2015,1,b2016,125,35,17,73,64281003_0->64281003_10,64281003_0->64281003_10,64281003_0->64281003_10,64281003_0->64281003_10,64281003_0->64281003_10,64281003_0->64281003_10,1,1,1,1,1
153771,15,SB0832,cattle,cattle,64281003_11,64281003_0,64281003,64281003,within,97,98,98,abattage,1777,191,cattle->cattle,2015,1,b2016,125,35,17,73,64281003_0->64281003_11,64281003_0->64281003_11,64281003_0->64281003_11,64281003_0->64281003_11,64281003_0->64281003_11,64281003_0->64281003_11,1,1,1,1,1
153772,15,SB0832,cattle,cattle,64281008_6,64281008_0,64281008,64281008,within,97,-1,99,abattage,1778,191,cattle->cattle,2015,2,b2016,125,35,17,73,64281008_0->64281008_6,64281008_0->64281008_6,64281008_0->64281008_6,64281008_0->64281008_6,64281008_0->64281008_6,64281008_0->64281008_6,1,1,1,1,1
153773,15,SB0832,cattle,cattle,64281008_5,64281008_4,64281008,64281008,within,97,99,99,abattage,1779,191,cattle->cattle,2015,2,b2016,125,35,17,73,64281008_4->64281008_5,64281008_4->64281008_5,64281008_4->64281008_5,64281008_4->64281008_5,64281008_4->64281008_5,64281008_4->64281008_5,1,1,1,1,1
153774,15,SB0832,cattle,cattle,64281003_14,64281003_12,64281003,64281003,within,98,-1,98,abattage,1796,191,cattle->cattle,2015,0,b2016,125,35,17,73,64281003_12->64281003_14,64281003_12->64281003_14,64281003_12->64281003_14,64281003_12->64281003_14,64281003_12->64281003_14,64281003_12->64281003_14,1,1,1,1,1
153775,15,SB0832,cattle,cattle,64281003_12,64281003_4,64281003,64281003,within,98,98,98,abattage,1797,191,cattle->cattle,2015,0,b2016,125,35,17,73,64281003_4->64281003_12,64281003_4->64281003_12,64281003_4->64281003_12,64281003_4->64281003_12,64281003_4->64281003_12,64281003_4->64281003_12,1,1,1,1,1
153776,15,SB0832,cattle,cattle,64281003_13,64281003_8,64281003,64281003,within,98,-1,98,abattage,1798,191,cattle->cattle,2015,0,b2016,125,35,17,73,64281003_8->64281003_13,64281003_8->64281003_13,64281003_8->64281003_13,64281003_8->64281003_13,64281003_8->64281003_13,64281003_8->64281003_13,1,1,1,1,1
153777,15,SB0832,cattle,cattle,64281001_5,64281001_1,64281001,64281001,within,99,101,102,abattage,1805,191,cattle->cattle,2015,3,b2016,125,35,17,73,64281001_1->64281001_5,64281001_1->64281001_5,64281001_1->64281001_5,64281001_1->64281001_5,64281001_1->64281001_5,64281001_1->64281001_5,1,1,1,1,1
153778,15,SB0832,badger,cattle,45_d500_170_0,64281001_0,45_d500_170,64281001,cattle,100,100,157,NA,1816,191,cattle->badger,2015,57,b2016,125,35,17,73,64281001_0->45_d500_170_0,64281001_0->45_d500_170_0,64281001_0->45_d500_170_0,NA,64281001_0->45_d500_170_0,NA,1,1,0,1,0
153779,15,SB0832,badger,cattle,45_d500_156_4,64281001_0,45_d500_156,64281001,cattle,104,104,136,trapping,1842,191,cattle->badger,2015,32,b2016,125,35,17,73,64281001_0->45_d500_156_4,64281001_0->45_d500_156_4,64281001_0->45_d500_156_4,NA,64281001_0->45_d500_156_4,NA,1,1,0,1,0
153780,15,SB0832,boar,cattle,64281_5,64281001_2,64281,64281001,cattle,105,105,108,demographie,1850,191,cattle->boar,2015,3,b2016,125,35,17,73,64281001_2->64281_5,64281001_2->64281_5,NA,64281001_2->64281_5,NA,64281001_2->64281_5,1,0,1,0,1
153781,15,SB0832,cattle,boar,64556500_0,64281_0,64556500,64556,boar,111,113,122,abattage,1919,191,boar->cattle,2016,11,s2016,125,35,17,73,64281_0->64556500_0,64281_0->64556500_0,45_d500_168_0->64556500_0,64281_0->64556500_0,45_d500_168_0->64556500_0,64281_0->64556500_0,1,1,1,1,1
153782,15,SB0832,badger,cattle,45_d500_154_0,64556500_0,45_d500_154,64556500,cattle,116,116,157,NA,1965,191,cattle->badger,2016,41,s2016,125,35,17,73,64556500_0->45_d500_154_0,64556500_0->45_d500_154_0,64556500_0->45_d500_154_0,NA,64556500_0->45_d500_154_0,NA,1,1,0,1,0
153783,15,SB0832,badger,cattle,45_d500_87_0,64556500_0,45_d500_87,64556500,cattle,117,117,148,trapping,1972,191,cattle->badger,2016,31,s2016,125,35,17,73,64556500_0->45_d500_87_0,64556500_0->45_d500_87_0,64556500_0->45_d500_87_0,NA,64556500_0->45_d500_87_0,NA,1,1,0,1,0
153784,15,SB0832,boar,cattle,64556_1,64556500_0,64556,64556500,cattle,118,118,150,demographie,1990,191,cattle->boar,2016,32,s2016,125,35,17,73,64556500_0->64556_1,64556500_0->64556_1,NA,64556500_0->64556_1,NA,64556500_0->64556_1,1,1,1,1,1
153785,15,SB0832,boar,cattle,64556_2,64556500_0,64556,64556500,cattle,120,120,143,demographie,2015,191,cattle->boar,2017,23,s2016,125,35,17,73,64556500_0->64556_2,64556500_0->64556_2,NA,64556500_0->64556_2,NA,64556500_0->64556_2,1,1,1,1,1
153786,15,SB0832,cattle,cattle,64556500_1,64556500_0,64556500,64556500,within,121,-1,124,demographie,2033,191,cattle->cattle,2017,3,s2016,125,35,17,73,64556500_0->64556500_1,64556500_0->64556500_1,64556500_0->64556500_1,64556500_0->64556500_1,64556500_0->64556500_1,64556500_0->64556500_1,1,1,1,1,1
153787,15,SB0832,cattle,cattle,64556500_2,64556500_0,64556500,64556500,within,121,122,124,abattage,2034,191,cattle->cattle,2017,3,s2016,125,35,17,73,64556500_0->64556500_2,64556500_0->64556500_2,64556500_0->64556500_2,64556500_0->64556500_2,64556500_0->64556500_2,64556500_0->64556500_2,1,1,1,1,1
153788,15,SB0832,badger,cattle,45_d500_151_0,64556500_0,45_d500_151,64556500,cattle,123,123,128,trapping,2052,191,cattle->badger,2017,5,s2016,125,35,17,73,64556500_0->45_d500_151_0,64556500_0->45_d500_151_0,64556500_0->45_d500_151_0,NA,64556500_0->45_d500_151_0,NA,1,1,0,1,0
153789,15,SB0832,cattle,boar,64556005_0,64556_1,64556005,64556,boar,125,126,134,demographie,2076,191,boar->cattle,2017,9,s2016,125,35,17,73,64556_1->64556005_0,64556_1->64556005_0,64556500_0->64556005_0,64556_1->64556005_0,64556500_0->64556005_0,64556_1->64556005_0,1,1,1,1,1
153790,15,SB0832,badger,cattle,45_d500_153_0,64556500_2,45_d500_153,64556500,cattle,125,125,157,NA,2077,191,cattle->badger,2017,32,s2016,125,35,17,73,64556500_2->45_d500_153_0,64556500_2->45_d500_153_0,64556500_2->45_d500_153_0,NA,64556500_2->45_d500_153_0,NA,1,1,0,1,0
153791,15,SB0832,badger,cattle,45_d500_102_0,64556005_0,45_d500_102,64556005,cattle,127,127,128,trapping,2109,191,cattle->badger,2017,1,s2016,125,35,17,73,64556005_0->45_d500_102_0,64556005_0->45_d500_102_0,64556005_0->45_d500_102_0,NA,64556005_0->45_d500_102_0,NA,1,1,0,1,0
153792,15,SB0832,badger,cattle,45_d500_88_0,64556005_0,45_d500_88,64556005,cattle,127,127,133,demographie,2110,191,cattle->badger,2017,6,s2016,125,35,17,73,64556005_0->45_d500_88_0,64556005_0->45_d500_88_0,64556005_0->45_d500_88_0,NA,64556005_0->45_d500_88_0,NA,1,1,0,1,0
153793,15,SB0832,boar,cattle,64556_3,64556005_0,64556,64556005,cattle,127,127,128,demographie,2111,191,cattle->boar,2017,1,s2016,125,35,17,73,64556005_0->64556_3,64556005_0->64556_3,NA,64556005_0->64556_3,NA,64556005_0->64556_3,1,0,1,0,1
153794,15,SB0832,badger,cattle,45_d500_123_762_0,64556500_2,45_d500_123_762,64556500,cattle,127,127,136,trapping,2112,191,cattle->badger,2017,9,s2016,125,35,17,73,64556500_2->45_d500_123_762_0,64556500_2->45_d500_123_762_0,64556500_2->45_d500_123_762_0,NA,64556500_2->45_d500_123_762_0,NA,1,1,0,1,0
153795,15,SB0832,cattle,cattle,64556005_1,64556005_0,64556005,64556005,within,128,133,137,abattage,2131,191,cattle->cattle,2017,9,s2016,125,35,17,73,64556005_0->64556005_1,64556005_0->64556005_1,64556005_0->64556005_1,64556005_0->64556005_1,64556005_0->64556005_1,64556005_0->64556005_1,1,1,1,1,1
153796,15,SB0832,cattle,boar,64359138_0,64556_2,64359138,64359,boar,130,134,149,abattage,2153,191,boar->cattle,2017,19,s2016,125,35,17,73,64556_2->64359138_0,64556_2->64359138_0,64556500_0->64359138_0,64556_2->64359138_0,64556500_0->64359138_0,64556_2->64359138_0,1,1,1,1,1
153797,15,SB0832,boar,cattle,64556_4,64556005_0,64556,64556005,cattle,132,132,151,demographie,2205,191,cattle->boar,2018,19,s2016,125,35,17,73,64556005_0->64556_4,64556005_0->64556_4,NA,64556005_0->64556_4,NA,64556005_0->64556_4,1,1,1,1,1
153798,15,SB0832,boar,cattle,64359_7,64359138_0,64359,64359138,cattle,135,135,155,demographie,2251,191,cattle->boar,2018,20,s2016,125,35,17,73,64359138_0->64359_7,64359138_0->64359_7,NA,64359138_0->64359_7,NA,64359138_0->64359_7,1,1,1,1,1
153799,15,SB0832,cattle,boar,64556051_0,64556_4,64556051,64556,boar,135,-1,155,abattage,2252,191,boar->cattle,2018,20,s2016,125,35,17,73,64556_4->64556051_0,64556_4->64556051_0,64556005_0->64556051_0,64556_4->64556051_0,64556005_0->64556051_0,64556_4->64556051_0,1,1,1,1,1
153800,15,SB0832,badger,cattle,45_d500_196_0,64556005_1,45_d500_196,64556005,cattle,135,135,157,NA,2253,191,cattle->badger,2018,22,s2016,125,35,17,73,64556005_1->45_d500_196_0,64556005_1->45_d500_196_0,64556005_1->45_d500_196_0,NA,64556005_1->45_d500_196_0,NA,1,1,0,1,0
153801,15,SB0832,badger,boar,45_d500_59_0,64359_7,45_d500_59,64359,boar,136,136,154,demographie,2261,191,boar->badger,2018,18,s2016,125,35,17,73,64359_7->45_d500_59_0,64359_7->45_d500_59_0,64359138_0->45_d500_59_0,NA,64359138_0->45_d500_59_0,NA,1,1,1,1,1
153802,15,SB0832,badger,cattle,45_d500_106_752_0,64556005_0,45_d500_106_752,64556005,cattle,136,136,157,NA,2265,191,cattle->badger,2018,21,s2016,125,35,17,73,64556005_0->45_d500_106_752_0,64556005_0->45_d500_106_752_0,64556005_0->45_d500_106_752_0,NA,64556005_0->45_d500_106_752_0,NA,1,1,0,1,0
153803,15,SB0832,cattle,boar,64556001_0,64556_1,64556001,64556,boar,137,142,145,abattage,2288,191,boar->cattle,2018,8,s2016,125,35,17,73,64556_1->64556001_0,64556_1->64556001_0,64556500_0->64556001_0,64556_1->64556001_0,64556500_0->64556001_0,64556_1->64556001_0,1,1,1,1,1
153804,15,SB0832,cattle,badger,64326020_0,45_d500_59_0,64326020,45_d500_59,badger,138,143,150,demographie,2290,191,badger->cattle,2018,12,s2016,125,35,17,73,45_d500_59_0->64326020_0,45_d500_59_0->64326020_0,45_d500_59_0->64326020_0,64359_7->64326020_0,45_d500_59_0->64326020_0,64359_7->64326020_0,1,1,1,1,1
153805,15,SB0832,cattle,boar,64359136_1,64359_7,64359136,64359,boar,138,141,145,abattage,2298,191,boar->cattle,2018,7,s2016,125,35,17,73,64359_7->64359136_1,64359_7->64359136_1,64359138_0->64359136_1,64359_7->64359136_1,64359138_0->64359136_1,64359_7->64359136_1,1,1,1,1,1
153806,15,SB0832,cattle,boar,64359149_0,64359_7,64359149,64359,boar,138,139,145,abattage,2299,191,boar->cattle,2018,7,s2016,125,35,17,73,64359_7->64359149_0,64359_7->64359149_0,64359138_0->64359149_0,64359_7->64359149_0,64359138_0->64359149_0,64359_7->64359149_0,1,1,1,1,1
153807,15,SB0832,badger,boar,45_d500_40_0,64359_7,45_d500_40,64359,boar,139,139,157,NA,2321,191,boar->badger,2018,18,s2016,125,35,17,73,64359_7->45_d500_40_0,64359_7->45_d500_40_0,64359138_0->45_d500_40_0,NA,64359138_0->45_d500_40_0,NA,1,1,0,1,0
153808,15,SB0832,cattle,boar,64359035_0,64359_16,64359035,64359,boar,140,143,144,abattage,2339,191,boar->cattle,2018,4,s2016,125,35,17,73,64359_16->64359035_0,64359_16->64359035_0,64359138_0->64359035_0,64359_16->64359035_0,64359138_0->64359035_0,64359_16->64359035_0,1,1,1,1,1
153809,15,SB0832,cattle,boar,64359209_1,64359_16,64359209,64359,boar,140,141,147,abattage,2340,191,boar->cattle,2018,7,s2016,125,35,17,73,64359_16->64359209_1,64359_16->64359209_1,64359138_0->64359209_1,64359_16->64359209_1,64359138_0->64359209_1,64359_16->64359209_1,1,1,1,1,1
