X1,root,type,sp_infected,sp_infector,infected,infector,pop_infected,pop_infector,modeinfection,tinfection,tinfective,tremoved,moderemoval,index,sim,transmission,year,period_inf,surv,nb_lineages,cattle
25735,13,SB0832,cattle,NA,64420015_0,NA,64420015,NA,initialisation,0,5,12,demographie,13,135,NA->cattle,2007,12,b2012,235,235
25736,13,SB0832,cattle,cattle,64420015_1,64420015_0,64420015,64420015,within,6,13,24,demographie,25,135,cattle->cattle,2007,18,b2012,235,235
25737,13,SB0832,cattle,cattle,64420015_2,64420015_1,64420015,64420015,within,14,15,24,demographie,55,135,cattle->cattle,2008,10,b2012,235,235
25738,13,SB0832,cattle,cattle,64420015_3,64420015_1,64420015,64420015,within,14,-1,25,abattage,56,135,cattle->cattle,2008,11,b2012,235,235
25739,13,SB0832,cattle,cattle,64420015_4,64420015_1,64420015,64420015,within,16,17,25,abattage,66,135,cattle->cattle,2008,9,b2012,235,235
25740,13,SB0832,cattle,cattle,64420044_0,64420015_4,64420044,64420015,pasture,18,23,37,demographie,71,135,cattle->cattle,2008,19,b2012,235,235
25741,13,SB0832,cattle,cattle,64420015_5,64420015_4,64420015,64420015,within,19,-1,25,abattage,75,135,cattle->cattle,2008,6,b2012,235,235
25742,13,SB0832,cattle,cattle,64420044_1,64420015_4,64420044,64420015,pasture,20,28,38,demographie,80,135,cattle->cattle,2008,18,b2012,235,235
25743,13,SB0832,cattle,cattle,64420015_6,64420015_4,64420015,64420015,within,24,-1,25,abattage,102,135,cattle->cattle,2009,1,b2012,235,235
25744,13,SB0832,cattle,cattle,64420015_7,64420015_4,64420015,64420015,within,24,-1,25,abattage,103,135,cattle->cattle,2009,1,b2012,235,235
25745,13,SB0832,cattle,cattle,64420015_8,64420015_4,64420015,64420015,within,25,-1,25,abattage,108,135,cattle->cattle,2009,0,b2012,235,235
25746,13,SB0832,cattle,cattle,64420015_9,64420015_4,64420015,64420015,within,25,-1,25,abattage,109,135,cattle->cattle,2009,0,b2012,235,235
25747,13,SB0832,cattle,cattle,64420015_10,64420015_4,64420015,64420015,within,25,-1,25,abattage,110,135,cattle->cattle,2009,0,b2012,235,235
25748,13,SB0832,cattle,cattle,64420044_2,64420044_0,64420044,64420044,within,25,32,38,abattage,111,135,cattle->cattle,2009,13,b2012,235,235
25749,13,SB0832,cattle,cattle,64420044_3,64420044_1,64420044,64420044,within,28,29,38,abattage,122,135,cattle->cattle,2009,10,b2012,235,235
25750,13,SB0832,cattle,cattle,64420044_4,64420044_1,64420044,64420044,within,30,-1,38,abattage,126,135,cattle->cattle,2009,8,b2012,235,235
