X1,root,type,sp_infected,sp_infector,infected,infector,pop_infected,pop_infector,modeinfection,tinfection,tinfective,tremoved,moderemoval,index,sim,transmission,year,period_inf,surv,nb_lineages,cattle,trans_1,trans_2,trans_3,trans_4,trans_5,trans_6
10462,13,SB0832,cattle,NA,64420015_0,NA,64420015,NA,initialisation,0,8,26,abattage,13,120,NA->cattle,2007,26,b2012,224,224,NA,NA,NA,NA,NA,NA
10463,13,SB0832,cattle,cattle,64420015_1,64420015_0,64420015,64420015,within,11,14,26,abattage,35,120,cattle->cattle,2007,15,b2012,224,224,64420015_0->64420015_1,64420015_0->64420015_1,64420015_0->64420015_1,64420015_0->64420015_1,64420015_0->64420015_1,64420015_0->64420015_1
10464,13,SB0832,cattle,cattle,64420015_2,64420015_0,64420015,64420015,within,11,13,25,demographie,36,120,cattle->cattle,2007,14,b2012,224,224,64420015_0->64420015_2,64420015_0->64420015_2,64420015_0->64420015_2,64420015_0->64420015_2,64420015_0->64420015_2,64420015_0->64420015_2
10465,13,SB0832,cattle,cattle,64420015_3,64420015_2,64420015,64420015,within,13,26,26,abattage,53,120,cattle->cattle,2008,13,b2012,224,224,64420015_2->64420015_3,64420015_2->64420015_3,64420015_2->64420015_3,64420015_2->64420015_3,64420015_2->64420015_3,64420015_2->64420015_3
10466,13,SB0832,cattle,cattle,64420044_0,64420015_2,64420044,64420015,pasture,20,21,51,abattage,87,120,cattle->cattle,2008,31,b2012,224,224,64420015_2->64420044_0,64420015_2->64420044_0,64420015_2->64420044_0,64420015_2->64420044_0,64420015_2->64420044_0,64420015_2->64420044_0
10467,13,SB0832,cattle,cattle,64420015_4,64420015_0,64420015,64420015,within,24,-1,26,abattage,123,120,cattle->cattle,2009,2,b2012,224,224,64420015_0->64420015_4,64420015_0->64420015_4,64420015_0->64420015_4,64420015_0->64420015_4,64420015_0->64420015_4,64420015_0->64420015_4
10468,13,SB0832,cattle,cattle,64420015_6,64420015_0,64420015,64420015,within,24,-1,26,abattage,124,120,cattle->cattle,2009,2,b2012,224,224,64420015_0->64420015_6,64420015_0->64420015_6,64420015_0->64420015_6,64420015_0->64420015_6,64420015_0->64420015_6,64420015_0->64420015_6
10469,13,SB0832,cattle,cattle,64420015_5,64420015_1,64420015,64420015,within,24,-1,26,abattage,125,120,cattle->cattle,2009,2,b2012,224,224,64420015_1->64420015_5,64420015_1->64420015_5,64420015_1->64420015_5,64420015_1->64420015_5,64420015_1->64420015_5,64420015_1->64420015_5
10470,13,SB0832,cattle,cattle,64420044_1,64420044_0,64420044,64420044,within,24,29,51,abattage,126,120,cattle->cattle,2009,27,b2012,224,224,64420044_0->64420044_1,64420044_0->64420044_1,64420044_0->64420044_1,64420044_0->64420044_1,64420044_0->64420044_1,64420044_0->64420044_1
10471,13,SB0832,cattle,cattle,64420015_7,64420015_1,64420015,64420015,within,25,26,26,abattage,140,120,cattle->cattle,2009,1,b2012,224,224,64420015_1->64420015_7,64420015_1->64420015_7,64420015_1->64420015_7,64420015_1->64420015_7,64420015_1->64420015_7,64420015_1->64420015_7
