param,median,2.5%,97.5%,ess,sim,scenario
post,-2118.5862260803674,-2203.7158990504436,-2060.8385236632585,473.83994481839596,A1_1,1
mu,7.851932000174248e-4,5.539293799811918e-4,0.001069256676160976,1649.2108095108501,A1_1,1
pi,0.9718926324357676,0.8804292363368146,0.9989677795544343,628.190216858073,A1_1,1
post,-2043.871410536271,-2128.8337000187844,-1993.7538612060555,430.43101905324005,A1_1,2
mu,7.805661385538356e-4,5.547645378326665e-4,0.0010689037922489357,1801.0000000000014,A1_1,2
pi,0.9688513604016176,0.8676169038939835,0.9986875002594024,384.56341061819575,A1_1,2
post,-1657.6195731852606,-1731.594136699909,-1610.8518382822726,535.6517038158239,A1_1,3
mu,7.100916200378969e-4,4.598453642591645e-4,0.0010048867460189452,1652.4943486873476,A1_1,3
pi,0.9648324554700992,0.8675618763390046,0.9980466319908929,694.2551299776824,A1_1,3
post,-1721.6058485866677,-1798.0630304737522,-1670.8528242473117,472.95761920839186,A1_1,4
mu,7.160613574335307e-4,4.6902232837528826e-4,0.0010233083077409283,1800.9999999999964,A1_1,4
pi,0.9697461234469936,0.8719678547385946,0.9990555231190599,722.3663461067247,A1_1,4
post,-1644.5464306868882,-1719.2144757162637,-1593.4345505656481,217.6540798981128,A1_1,5
mu,7.22888298243336e-4,4.870503346567957e-4,0.0010506524134741325,1906.3938349351313,A1_1,5
pi,0.96611870466059,0.8657440489512349,0.9989582029501988,539.4076216237053,A1_1,5
post,-1662.869730422537,-1738.057359204257,-1615.980506664986,484.85227818310767,A1_1,6
mu,7.104583613285673e-4,4.6726902793442526e-4,0.0010252909859482515,1801,A1_1,6
pi,0.9689890530853836,0.8685447618385147,0.9986959976044106,681.5519927980366,A1_1,6
post,-995.2870474532806,-1041.978484275059,-962.2915766405788,216.37298558625196,A1_2,1
mu,7.523725670204383e-4,4.436071185367085e-4,0.0011563171317172088,1800.9999999999977,A1_2,1
pi,0.9770910998888456,0.88818168587403,0.9990822365514397,1240.9661209268386,A1_2,1
post,-973.2382202502839,-1014.477578890301,-942.1274891945417,562.406381140071,A1_2,2
mu,7.639768287440994e-4,4.611171941214086e-4,0.0012045629220817486,3600.999999999998,A1_2,2
pi,0.9772561401075117,0.8938630712546848,0.9991971110842635,2383.640870257614,A1_2,2
post,-885.3384689227678,-930.1433464917262,-853.7662428332546,414.4629667532867,A1_2,3
mu,7.884091335967103e-4,4.6537481920404337e-4,0.0012658253573983667,3499.3271751030043,A1_2,3
pi,0.9719165200613372,0.876162457968961,0.9990013271579122,2418.604948759093,A1_2,3
post,-792.3026148513567,-828.3809055302793,-764.3778130282471,302.236716653451,A1_2,4
mu,7.088664682306374e-4,3.8203663779674807e-4,0.0011570812840801263,1669.7677890409345,A1_2,4
pi,0.9757639008983023,0.8834882958979107,0.9991481289337341,1384.1848800551345,A1_2,4
post,-865.9380157321131,-912.8806117067932,-834.6491039371732,225.10994345108793,A1_2,5
mu,8.12955147967735e-4,4.569663519720876e-4,0.0013105269476186739,1574.6118409763153,A1_2,5
pi,0.9711181333976838,0.870461945049434,0.998876622143083,1051.8480287419923,A1_2,5
post,-792.3026148513567,-828.3809055302793,-764.3778130282471,302.236716653451,A1_2,6
mu,7.088664682306374e-4,3.8203663779674807e-4,0.0011570812840801263,1669.7677890409345,A1_2,6
pi,0.9757639008983023,0.8834882958979107,0.9991481289337341,1384.1848800551345,A1_2,6
post,-2780.1282551916215,-2854.2042333730546,-2726.4362580301586,281.02313032221724,A1_3,1
mu,6.141633409312445e-4,4.491024326074643e-4,8.203615405519485e-4,1800.9999999999961,A1_3,1
pi,0.9898415527103467,0.9497252665869799,0.9996120192288162,529.9826644624732,A1_3,1
post,-2728.602070286767,-2802.084188974941,-2677.9148577589394,394.09014080010394,A1_3,2
mu,6.268585390708936e-4,4.544264309931734e-4,8.425220393649237e-4,1801.0000000000011,A1_3,2
pi,0.9896194075817832,0.9483084389353011,0.9996781841313856,468.30122128651425,A1_3,2
post,-2644.9055619851347,-2712.560415336648,-2594.327845703381,374.96131173877706,A1_3,3
mu,5.868302427737863e-4,4.1454054599556606e-4,7.947332592782996e-4,1800.9999999999993,A1_3,3
pi,0.9895314183326563,0.9524992279144966,0.9994921131504191,688.5878274703418,A1_3,3
post,-2178.8304027144777,-2232.9837717071036,-2133.2859960038563,334.6452960569409,A1_3,4
mu,5.023230856740322e-4,3.2362448710639396e-4,7.134089549864876e-4,1800.9999999999955,A1_3,4
pi,0.9933544380084944,0.964202593447561,0.9997191394445685,760.5208553633864,A1_3,4
post,-2600.1284870923764,-2664.538895531485,-2550.8321815350155,374.44144588202806,A1_3,5
mu,6.041473472791585e-4,4.287482359191515e-4,8.159058514267231e-4,1579.2662991105403,A1_3,5
pi,0.9897733154116263,0.9492836173155766,0.9995118328717991,681.4621835234876,A1_3,5
post,-2177.3200104026123,-2230.9449165967158,-2136.74358008599,503.1895436642341,A1_3,6
mu,5.093573204228524e-4,3.3568469415009726e-4,7.28067120942729e-4,2015.0987156075923,A1_3,6
pi,0.9928231984020863,0.9665573045746235,0.9997770035828969,874.1400167352176,A1_3,6
post,-3416.6079202417764,-3483.035976748044,-3357.926991470557,303.59739219136503,A1_4,1
mu,6.494031465754882e-4,4.856989176401212e-4,8.449620776152857e-4,1215.6671633517708,A1_4,1
pi,0.9946332575157052,0.9727337179258095,0.9996555670933217,658.6465495466005,A1_4,1
post,-3391.1277093470344,-3455.922799791531,-3334.6581223795506,427.4755251062084,A1_4,2
mu,6.598718647310378e-4,4.884796578782627e-4,8.506821794125121e-4,1330.197402174115,A1_4,2
pi,0.9943527163811732,0.970305031141739,0.9997501828794054,462.2786256338641,A1_4,2
post,-3154.533712395359,-3217.8770069788043,-3102.6205477900544,357.53642494187733,A1_4,3
mu,6.227517771744435e-4,4.584738112876328e-4,8.25913652906909e-4,1800.9999999999975,A1_4,3
pi,0.9944491772171989,0.9706593675852545,0.9997508717595285,661.3984108958346,A1_4,3
post,-2769.1427827853913,-2823.322424132877,-2722.011559895361,431.56271871442164,A1_4,4
mu,5.548386425575555e-4,3.920198294518974e-4,7.54096640153597e-4,1145.2984466336027,A1_4,4
pi,0.9952824478612158,0.9745936990225119,0.999818953421898,616.2796507691168,A1_4,4
post,-3136.0721024596733,-3197.2293195924367,-3084.3523724377915,307.94410720329324,A1_4,5
mu,6.192088775817169e-4,4.501695509111871e-4,8.12242162791129e-4,1588.039542294668,A1_4,5
pi,0.9938472497841949,0.9709079060738184,0.9996821008166825,515.6915264448544,A1_4,5
post,-2761.4614514129207,-2813.548212236309,-2716.364169038953,369.0961345881538,A1_4,6
mu,5.494290653522058e-4,3.9703877303421775e-4,7.502970133583145e-4,1622.8805940897587,A1_4,6
pi,0.9957742358952355,0.9785975845403564,0.9999048461246814,858.4683364178011,A1_4,6
post,-2925.3522801072554,-3007.7788274224727,-2861.349456234215,428.60058001810836,A1_5,1
mu,7.510954864558804e-4,5.526723442649501e-4,9.744540757907604e-4,1801.0000000000011,A1_5,1
pi,0.984294306093321,0.9295326443299251,0.9992409048335126,546.1185518079983,A1_5,1
post,-2760.0361362200947,-2842.700144281206,-2706.3920631834067,320.6530582227907,A1_5,2
mu,7.970560406172196e-4,5.971190056057547e-4,0.0010441744409922858,1598.402703172469,A1_5,2
pi,0.9871596193065402,0.9363851746979828,0.9995649318562413,500.1561219244287,A1_5,2
post,-2564.752108104626,-2645.838794833603,-2508.217292284014,397.1413742057798,A1_5,3
mu,7.240842138429183e-4,5.33876524394056e-4,9.614498091291536e-4,1801.0000000000014,A1_5,3
pi,0.9853132638842798,0.9276422324075522,0.9995903721320929,573.9846972808984,A1_5,3
post,-1976.8850429570355,-2034.4687356953407,-1931.7319839217287,378.8690305105052,A1_5,4
mu,5.919794326212732e-4,3.9472036374515226e-4,8.300997034372578e-4,1538.61375914815,A1_5,4
pi,0.9886112224490564,0.9393501355670806,0.9996694029220868,739.4027553158239,A1_5,4
post,-2417.100846500313,-2493.2462523453332,-2363.7189793842017,325.0314383291365,A1_5,5
mu,7.836652483119591e-4,5.659135043066058e-4,0.001036010072415512,1800.9999999999998,A1_5,5
pi,0.9870235998347384,0.935167489904162,0.9996831967766556,602.7948611690873,A1_5,5
post,-1961.5398655066342,-2023.4182857792644,-1916.001967586381,326.725370585899,A1_5,6
mu,5.757171627893961e-4,3.9120541803253805e-4,8.260926508282152e-4,1801.0000000000002,A1_5,6
pi,0.9881723308242255,0.9398557564103163,0.9995003789276625,805.5616118644253,A1_5,6
post,-2449.7088187217546,-2515.0994851933333,-2401.259669227635,431.6852715246486,A1_6,1
mu,8.396907943161491e-4,6.200404905386678e-4,0.0011143413741682225,1801,A1_6,1
pi,0.9884652427814785,0.9453760204888404,0.9994973646549259,781.7745430488008,A1_6,1
post,-2405.6101265259676,-2468.1356495616715,-2354.3033302204685,283.4252478033475,A1_6,2
mu,8.600974859896203e-4,6.31261903358444e-4,0.0011307534872233408,1711.7512919948094,A1_6,2
pi,0.9884296851346571,0.9426449133309007,0.999633278747447,756.7104063852381,A1_6,2
post,-2174.7656981488985,-2237.1301261219924,-2129.5159865985893,275.47319968479616,A1_6,3
mu,7.914254619982144e-4,5.586628478275446e-4,0.0010746997209131893,1987.4987206734752,A1_6,3
pi,0.9888279914914316,0.9414275693124459,0.9995541026400773,684.9593969873179,A1_6,3
post,-1790.4494686580124,-1842.0021469154694,-1744.1203497495917,339.34973348068416,A1_6,4
mu,8.671153695521959e-4,6.074711553169355e-4,0.0011893900043913556,1801.0000000000025,A1_6,4
