param,median,2.5%,97.5%,ess,sim,scenario
post,-1972.8942021259882,-2029.8403520764116,-1929.8979653787692,472.1578744909107,B2_1,1
mu,6.054318244340662e-4,4.20133450408513e-4,8.502498278078091e-4,1671.377974184367,B2_1,1
pi,0.9871318242586187,0.9361562750056045,0.9996574694159781,588.8265846050901,B2_1,1
post,-1972.8942021259882,-2029.8403520764116,-1929.8979653787692,472.1578744909107,B2_1,2
mu,6.054318244340662e-4,4.20133450408513e-4,8.502498278078091e-4,1671.377974184367,B2_1,2
pi,0.9871318242586187,0.9361562750056045,0.9996574694159781,588.8265846050901,B2_1,2
post,-1804.4018218666038,-1858.7816483997638,-1764.4172804172745,429.18145092998986,B2_1,3
mu,5.399725010395966e-4,3.4176054002796346e-4,8.00336446346062e-4,1801.0000000000018,B2_1,3
pi,0.9845373498745335,0.932421565287975,0.9992429773903381,658.9628814770236,B2_1,3
post,-1729.8438302831612,-1777.040098647974,-1693.924067540108,456.27759382584344,B2_1,4
mu,5.367976647471859e-4,3.421728517365699e-4,7.843897770922106e-4,1446.591729592857,B2_1,4
pi,0.9905436227136852,0.9559084900707946,0.9995460520557656,950.6608985748472,B2_1,4
post,-1804.4018218666038,-1858.7816483997638,-1764.4172804172745,429.18145092998986,B2_1,5
mu,5.399725010395966e-4,3.4176054002796346e-4,8.00336446346062e-4,1801.0000000000018,B2_1,5
pi,0.9845373498745335,0.932421565287975,0.9992429773903381,658.9628814770236,B2_1,5
post,-1729.8438302831612,-1777.040098647974,-1693.924067540108,456.27759382584344,B2_1,6
mu,5.367976647471859e-4,3.421728517365699e-4,7.843897770922106e-4,1446.591729592857,B2_1,6
pi,0.9905436227136852,0.9559084900707946,0.9995460520557656,950.6608985748472,B2_1,6
post,-2039.268128801536,-2090.978470754201,-1995.465839102649,373.00662601120774,B2_2,1
mu,5.171827842988937e-4,3.3754240766814493e-4,7.324196050781345e-4,1801.000000000001,B2_2,1
pi,0.9896142015145521,0.9488505805709156,0.9995800401594039,956.2404874602369,B2_2,1
post,-2009.8656080896633,-2061.536199831417,-1967.3164548608338,435.0541761413012,B2_2,2
mu,5.253908617016839e-4,3.449817387899184e-4,7.591842401481457e-4,1801.0000000000011,B2_2,2
pi,0.9897116820583233,0.9440290636016598,0.9996357502902307,824.3469240507676,B2_2,2
post,-1671.2153074138384,-1723.8043653767961,-1631.9831996043492,370.04407283389435,B2_2,3
mu,4.751175439500035e-4,2.8851522564740076e-4,7.310133544855711e-4,1800.9999999999984,B2_2,3
pi,0.9867783704516482,0.933780160269035,0.9995306702871449,1049.3865511375027,B2_2,3
post,-1793.5003289394547,-1841.1541349538795,-1753.7402759331565,424.37113540031396,B2_2,4
mu,4.549916129781347e-4,2.8533771063289604e-4,7.13743681144918e-4,1742.2558177801498,B2_2,4
pi,0.9891989106567539,0.9475923254297973,0.9996314170967654,959.938437319463,B2_2,4
post,-1658.7455072193086,-1710.4519988683508,-1623.0285899331043,473.146368314488,B2_2,5
mu,4.8222662645256044e-4,2.915140663371738e-4,7.360892691325419e-4,1801.0000000000023,B2_2,5
pi,0.9871595006609853,0.9371079219521313,0.9995181812682655,805.9819083819567,B2_2,5
post,-1771.0691454799146,-1819.8778585865339,-1734.3170719811856,331.7801552552328,B2_2,6
mu,4.6738779607859827e-4,0.00029465757201514844,7.160119851771593e-4,1801.000000000002,B2_2,6
pi,0.9907026327093018,0.9511369131723176,0.9996489681141469,968.1393131822952,B2_2,6
post,-1478.5368378538074,-1530.7414060734047,-1438.6558360834351,380.8550540868232,B2_3,1
mu,4.6549456115482925e-4,2.767997614769777e-4,7.212686023893604e-4,1801.0000000000002,B2_3,1
pi,0.9859437940667107,0.9283889740512384,0.9995499207109073,1037.5063478428779,B2_3,1
post,-1478.5368378538074,-1530.7414060734047,-1438.6558360834351,380.8550540868232,B2_3,2
mu,4.6549456115482925e-4,2.767997614769777e-4,7.212686023893604e-4,1801.0000000000002,B2_3,2
pi,0.9859437940667107,0.9283889740512384,0.9995499207109073,1037.5063478428779,B2_3,2
post,-1110.8076323072407,-1151.1913159104947,-1079.8138912326604,551.8251214659183,B2_3,3
mu,4.7357032589033813e-4,2.568030311597831e-4,7.930828320058104e-4,1800.9999999999982,B2_3,3
pi,0.9801814478213307,0.9120781056530791,0.9991730319150779,1237.210007229626,B2_3,3
post,-1347.2754494208775,-1391.5399338823286,-1311.5549529543646,372.46289718880104,B2_3,4
mu,4.828153908564781e-4,2.800864976439811e-4,7.765049162960997e-4,1801,B2_3,4
pi,0.9855744590418782,0.9282070668043793,0.9993610296010385,708.2269718363754,B2_3,4
post,-1110.8076323072407,-1151.1913159104947,-1079.8138912326604,551.8251214659183,B2_3,5
mu,4.7357032589033813e-4,2.568030311597831e-4,7.930828320058104e-4,1800.9999999999982,B2_3,5
pi,0.9801814478213307,0.9120781056530791,0.9991730319150779,1237.210007229626,B2_3,5
post,-1347.2754494208775,-1391.5399338823286,-1311.5549529543646,372.46289718880104,B2_3,6
mu,4.828153908564781e-4,2.800864976439811e-4,7.765049162960997e-4,1801,B2_3,6
pi,0.9855744590418782,0.9282070668043793,0.9993610296010385,708.2269718363754,B2_3,6
post,-892.9184522714546,-931.538072714724,-864.84109580502,503.4799486650061,B2_4,1
mu,6.225906583393502e-4,3.579407664146128e-4,0.0010342379945430366,1801.0000000000018,B2_4,1
pi,0.980764803824986,0.9036717981213108,0.9990426296979784,1295.5085813654491,B2_4,1
post,-856.8640668635807,-894.1251074906659,-829.7557293163001,337.3677320886628,B2_4,2
mu,6.214420640464137e-4,3.197959446966643e-4,0.0010053596770650186,1643.550899734555,B2_4,2
pi,0.979247207433912,0.9003294135579578,0.9994068185628162,1046.0334431962178,B2_4,2
post,-701.3315151485626,-736.1176358947138,-677.5283507150987,562.1399784745062,B2_4,3
mu,5.541265061414796e-4,2.880112341964655e-4,9.929025367952592e-4,1800.999999999997,B2_4,3
pi,0.9751663494151825,0.8786292172188992,0.998857464840005,1470.2545169508078,B2_4,3
post,-767.8116417771796,-802.7411033995022,-741.1451241697454,395.2888608647163,B2_4,4
mu,6.26289531954276e-4,3.3923182420582024e-4,0.0010505242447021266,1612.8587993080123,B2_4,4
pi,0.9807116152456314,0.9026160607177599,0.9991789394150238,1301.9257808033376,B2_4,4
post,-670.2679287921418,-706.3916298031664,-647.1524412940736,414.79601994152915,B2_4,5
mu,5.189717890529089e-4,2.418620542075179e-4,9.368566339954663e-4,1800.9999999999993,B2_4,5
pi,0.9753864210913674,0.8850166631234315,0.9992912537499584,1263.648325599986,B2_4,5
post,-749.1786652915902,-782.2172266022276,-725.4484953618373,298.7597907051349,B2_4,6
mu,5.785944375756941e-4,2.9640704201178765e-4,9.947156520913047e-4,1800.9999999999977,B2_4,6
pi,0.9809160372557587,0.9080177255054558,0.9992776378530228,1609.5340937442004,B2_4,6
post,-2241.3095510908483,-2298.5321323255744,-2195.578934895015,543.2493766055156,B2_5,1
mu,4.441220257590604e-4,2.9579730770846156e-4,6.358130179803033e-4,1801.0000000000011,B2_5,1
pi,0.9937409488550463,0.9675588285791379,0.999791468713056,898.4312727554975,B2_5,1
post,-2229.7486773714,-2282.5369458829205,-2186.4291020871337,683.9370269090713,B2_5,2
mu,4.494732101784001e-4,2.9742426885207127e-4,6.478943779913424e-4,1801.0000000000007,B2_5,2
pi,0.9937293001310471,0.9692918581966936,0.999699020562775,930.3215544341846,B2_5,2
post,-1977.7659197457083,-2032.7601007578216,-1932.5685326889234,450.3485454761013,B2_5,3
mu,4.6737102286154757e-4,3.0894859356822275e-4,6.677289792443942e-4,1801.0000000000023,B2_5,3
pi,0.9924571417383191,0.9601685184761195,0.9996720815005394,949.8217555919905,B2_5,3
post,-2104.152058030024,-2156.7253486392096,-2060.167038519566,517.1416721187721,B2_5,4
mu,4.52557856057179e-4,2.937829399646646e-4,6.557318546746232e-4,1801.0000000000016,B2_5,4
pi,0.993593067212607,0.9628845240109589,0.9997876964286035,929.5521602359897,B2_5,4
post,-1966.6982008916923,-2016.590170444419,-1925.4017394913953,526.2427147478616,B2_5,5
mu,4.674334178998256e-4,3.009357425146503e-4,6.838874924779732e-4,1800.9999999999998,B2_5,5
pi,0.992227068137699,0.9639628544206327,0.9996421686607446,928.8100137347487,B2_5,5
post,-2104.152058030024,-2156.7253486392096,-2060.167038519566,517.1416721187721,B2_5,6
mu,4.52557856057179e-4,2.937829399646646e-4,6.557318546746232e-4,1801.0000000000016,B2_5,6
pi,0.993593067212607,0.9628845240109589,0.9997876964286035,929.5521602359897,B2_5,6
post,-1454.155256115223,-1509.8437056097544,-1413.4809200614554,375.38808660012586,B2_6,1
mu,9.620862571866228e-4,6.652385017743796e-4,0.0013285077159461334,2016.8000680988673,B2_6,1
pi,0.9750172066176007,0.8994088142870177,0.9991178435743259,617.8412998518323,B2_6,1
post,-1436.090501198526,-1487.839860657856,-1397.9335641742048,486.3085735834551,B2_6,2
mu,9.850444572378186e-4,6.73497178251991e-4,0.0013741599943031316,1954.8678050197504,B2_6,2
pi,0.9753505413806606,0.9013714136543522,0.9991884047955706,602.2409574994393,B2_6,2
post,-1218.5132372099315,-1271.8505149283476,-1182.9901646510211,397.84077482990665,B2_6,3
mu,0.0010017995886322916,6.910014387412485e-4,0.0014366057874773675,1399.9266706758885,B2_6,3
pi,0.9720540687549049,0.879488091712218,0.9987546804407853,645.5736701304014,B2_6,3
post,-1119.3102390702725,-1159.8572091693727,-1085.605770496003,466.28358679728586,B2_6,4
mu,8.309535182142367e-4,5.30511997140136e-4,0.001250038026833886,1800.999999999998,B2_6,4
pi,0.9814436520670387,0.9137508242070045,0.9989913396868126,1137.8345801932112,B2_6,4
post,-1205.7944336135347,-1254.8730857856285,-1168.9943246847292,398.8845369067234,B2_6,5
mu,0.0010272841276138354,7.014164874932976e-4,0.0014757495149336456,1653.4579530287472,B2_6,5
pi,0.9726385259786281,0.8796222225589369,0.9988190663498148,620.57564176614585,B2_6,5
post,-1113.874785766385,-1158.0996455032393,-1082.5338768335678,407.7641685132949,B2_6,6
mu,8.386438127375605e-4,5.276784056105491e-4,0.0012454836249166483,1800.9999999999995,B2_6,6
pi,0.9815630144378871,0.9134292429150969,0.9994416351130821,1195.339675973129,B2_6,6
post,-2243.418171685245,-2299.9168579452908,-2196.0368979192267,364.0573349718546,B2_7,1
mu,6.102589469415496e-4,4.2142399433081493e-4,8.373120111921263e-4,1801.0000000000007,B2_7,1
pi,0.9917885707903931,0.9594429029594905,0.9996987577560479,936.7463843056577,B2_7,1
post,-2212.2148220098043,-2267.1117753978733,-2166.0275510198035,337.7334498997899,B2_7,2
mu,5.989160820943836e-4,4.056838773097289e-4,8.339989841612676e-4,1927.3464703142938,B2_7,2
pi,0.9925260400693641,0.9623131855745799,0.9996886354157168,929.4473458431047,B2_7,2
post,-1946.414125282342,-1999.973385610089,-1904.8236154084634,399.1850559737672,B2_7,3
mu,6.716449945278802e-4,4.5844500630612655e-4,9.216710607314209e-4,1679.8575557341546,B2_7,3
pi,0.9917989810723479,0.9540225968620505,0.9997277105737481,986.4786092317001,B2_7,3
post,-1803.3864561969265,-1855.230560461671,-1763.0528826324721,252.95649806739394,B2_7,4
mu,4.252952854532502e-4,2.6055247315153547e-4,6.39864919165055e-4,1801.0000000000023,B2_7,4
pi,0.9922458047343408,0.9613661281227337,0.9997962375994045,916.6314289406835,B2_7,4
post,-1936.02398585167,-1988.5656789592247,-1893.902833599019,444.2492408289468,B2_7,5
mu,6.783136772413078e-4,4.620779410559648e-4,9.257160773161944e-4,1620.6246972734812,B2_7,5
pi,0.9911671487259939,0.9531730501644672,0.999540415361585,827.0497850815738,B2_7,5
post,-1780.5013228349083,-1828.924723941879,-1743.282894287716,421.14025159634343,B2_7,6
mu,3.9990837728920913e-4,2.4277728061713831e-4,6.162697209164784e-4,1501.4847272023205,B2_7,6
pi,0.9919678208368705,0.9606564283005445,0.9996444594451865,914.0506575134535,B2_7,6
