param,median,2.5%,97.5%,ess,sim,scenario
post,-2156.357749252954,-2197.02127765414,-2119.434224402047,276.93753567304566,S4_1,1
mu,0.003079980004968887,0.002580037469429197,0.0036548725798431826,1388.6667783353803,S4_1,1
pi,0.9906765210348384,0.9545279380347322,0.999575593009089,1279.1069037243276,S4_1,1
post,-1640.0127267076928,-1684.824989029523,-1602.1047797731549,326.4836133043101,S4_2,1
mu,0.003010199429087134,0.0023785206239681344,0.003761404218114972,1148.9520740747496,S4_2,1
pi,0.94461649074654,0.8553477184556492,0.991489267261374,634.7865073383617,S4_2,1
post,-1198.2072299713861,-1247.5381256798987,-1155.7019475900008,524.5484296352473,S4_3,1
mu,0.002723963829449104,0.0020159603246821954,0.0035960807485136987,1065.2193782156614,S4_3,1
pi,0.9025315105664196,0.7601320351873297,0.9923552941273868,471.3713368802655,S4_3,1
post,-4225.03284412442,-4289.591488481569,-4168.401016998726,302.98808634529297,S4_4,1
mu,0.002715133056858061,0.0023631301830008837,0.0030942684892168626,1321.4528914911755,S4_4,1
pi,0.985990331527147,0.9527236227684825,0.998413455986548,516.6291065513459,S4_4,1
post,-3326.7718599935506,-3375.295053393193,-3280.8283608764013,410.70285867437826,S4_5,1
mu,0.0027791928551870087,0.002384970081452529,0.003233574771267939,1386.806639108933,S4_5,1
pi,0.9940131238590932,0.9688018208289092,0.9996985183970178,768.2881406291423,S4_5,1
post,-1098.9824739291569,-1146.9356226396374,-1062.1551355516863,235.17750957090936,S4_6,1
mu,0.0028509092469793168,0.0021121216859158625,0.003723937165910695,807.3178236605615,S4_6,1
pi,0.9424090730237706,0.817408414770237,0.9970796109810957,374.3104835105313,S4_6,1
post,-2797.0699910099875,-2851.883007946744,-2751.4418813533393,352.9514728224836,S4_7,1
mu,0.0032870285075369088,0.002810121943761649,0.0038457658068922563,1508.4245401384424,S4_7,1
pi,0.991632393218572,0.9603539589706082,0.9996942485524232,495.5975199833791,S4_7,1
post,-2333.9047722921077,-2387.5265439002533,-2294.5197828379696,301.3160784270163,S4_8,1
mu,0.003004428541573938,0.0025055215822890847,0.003547685472542457,1521.1532644933002,S4_8,1
pi,0.9840946745337092,0.9361317220369555,0.9992314014107266,753.1369698011888,S4_8,1
post,-3023.086702962723,-3076.2244517108943,-2981.20013890343,340.7724577043152,S4_9,1
mu,0.003133247839028685,0.0026760844796659628,0.0036291791061698175,1605.673747571375,S4_9,1
pi,0.9901087349018952,0.9520104051712573,0.999589735106653,589.1459830152069,S4_9,1
post,-2454.771338451851,-2500.1225875083846,-2416.201586508987,293.5512256604434,S4_10,1
mu,0.002691305182337835,0.002268690414434496,0.0032200275544472354,1521.3124196904178,S4_10,1
pi,0.9932797629533502,0.9674463283539301,0.9996858011397779,1146.8302131700773,S4_10,1
post,-3508.1590588269078,-3563.7134748744843,-3455.9194317714723,294.96188752124306,S4_11,1
mu,0.0031156950000615284,0.002651614303230873,0.0035753793792012655,1330.9886989675206,S4_11,1
pi,0.9916319183836997,0.9618100571434257,0.9997798700300016,720.967009812144,S4_11,1
post,-2436.24464347875,-2475.399173129836,-2399.3610145608404,353.21888244126495,S4_12,1
mu,0.0025394821969644756,0.0021001817135010924,0.00305212083471288,1590.2991664875512,S4_12,1
pi,0.9943228088542685,0.9720769245292539,0.9997788118701766,932.8199218709781,S4_12,1
post,-2473.3846617084596,-2521.077061192902,-2430.267912016655,407.49231997852166,S4_13,1
mu,0.0029110875454184727,0.0024293248926053426,0.003445294239306763,1479.5103617321463,S4_13,1
pi,0.989621036108313,0.9480062290015119,0.999453031353611,866.7329070936539,S4_13,1
post,-3610.126570280393,-3664.8656740835772,-3558.8723918318988,353.18608586846557,S4_14,1
mu,0.0028756653888006942,0.0024905336478241234,0.00329686923226827,1365.9478386055068,S4_14,1
pi,0.98748290250583,0.9606732182502583,0.9984461688985419,983.4750905864651,S4_14,1
post,-3366.9930303753777,-3423.46557288875,-3325.370828466741,547.9642025998436,S4_15,1
mu,0.0033177839568069942,0.00284013097505853,0.0038447822368609243,1483.5466480799018,S4_15,1
pi,0.9909849640953574,0.957614431805663,0.9996348957586269,804.4132312461476,S4_15,1
post,-3322.704162406429,-3382.5119509440215,-3273.09463820487,281.92548974707313,S4_16,1
mu,0.0029041098226545233,0.0025056115341562752,0.0033698191925655777,1568.2024493899492,S4_16,1
pi,0.9906034022823911,0.9562053768755459,0.9997880860191878,622.7740032288192,S4_16,1
post,-2066.4799828380333,-2109.338835423749,-2030.3418787328426,404.7031084754313,S4_17,1
mu,0.0033259343120357813,0.002741557997055615,0.003933607976951694,1570.9178250861005,S4_17,1
pi,0.9901175588629667,0.9490037313647246,0.9996282420766057,989.0877050098729,S4_17,1
post,-1503.064965377995,-1546.058299487627,-1462.7826658676352,363.9259301319723,S4_18,1
mu,0.0029375643040452297,0.0022651898472939836,0.0037954553102084094,653.1327264947763,S4_18,1
pi,0.7418338868510471,0.6261675661956925,0.8602073816673848,483.2790648674115,S4_18,1
post,-3338.989511445713,-3395.706244202912,-3291.1656560092565,219.76540435733548,S4_19,1
mu,0.0031342195123570437,0.002702553918827538,0.003653486150535113,1276.8769899205502,S4_19,1
pi,0.9895437142343212,0.9575885478695805,0.999573177427237,727.5440496555759,S4_19,1
post,-2092.264504992939,-2152.2471928950094,-2038.1262670722372,209.80032039959713,S4_20,1
mu,0.0029240425485989063,0.002369861532662765,0.0035867423087985453,666.206084118912,S4_20,1
pi,0.9387863404742934,0.8405188253988948,0.9943500351446636,306.2482171039512,S4_20,1
post,-1721.6650358945583,-1770.1113595736358,-1681.7616470882242,582.7340696654786,S4_21,1
mu,0.003308395748336714,0.002618940842301167,0.004085057635429317,1038.3617600445207,S4_21,1
pi,0.9528728984826321,0.8593936011578691,0.9971853040245243,450.85269632845285,S4_21,1
post,-2982.536723002078,-3039.0215489816737,-2936.00908525167,293.3574726587629,S4_22,1
mu,0.0031995120286439603,0.002726192684746628,0.0037338449700709472,3086.458485418117,S4_22,1
pi,0.9907901651128886,0.9557354033615376,0.9996530089103582,1043.437267586263,S4_22,1
post,-2535.8707618782846,-2581.5009024891688,-2495.4814828595445,358.22598445133696,S4_23,1
mu,0.0029298682294940643,0.0024673240803596342,0.0034655118259196,1252.8881600631062,S4_23,1
pi,0.9938661119403749,0.9693168326339229,0.9998008312568409,1052.542053402286,S4_23,1
post,-2763.4546895041326,-2817.072508470664,-2715.4247202598567,412.66336628834324,S4_24,1
mu,0.0027287781070529137,0.0022790511458640112,0.0032215220508710865,1206.690562141953,S4_24,1
pi,0.9884117782288327,0.9441662049485801,0.9994738644615836,440.6410543127207,S4_24,1
post,-3258.701970317283,-3316.5326073536207,-3212.22005009405,351.3862691234635,S4_25,1
mu,0.002647787331702441,0.0022686820207911368,0.0030995727609873687,1800.9999999999995,S4_25,1
pi,0.9893078778820407,0.9559416580290431,0.9995363022603487,656.4567442281444,S4_25,1
post,-1889.5552393428895,-1937.2309362330216,-1847.4236535892783,301.09135483296217,S4_26,1
mu,0.0027857229616896576,0.0022412405427056485,0.003350987708557698,1381.5201137796703,S4_26,1
