param,median,2.5%,97.5%,ess,sim,scenario
pi,0.15805080845021283,0.1274316085269726,0.19548589503393027,304.8059586900651,A1_1,1
neg,4.821048370857518,2.352014382781256,9.04428112780841,356.90794760508606,A1_1,1
off.r,1.1853513116948307,1.093932471703738,1.2791645565303043,1436.101409422163,A1_1,1
pi,0.1232304257806484,0.09805838782341969,0.1535292870132439,278.4094439081568,A1_1,2
neg,3.5407744212465175,1.7593747581744381,7.509324262097273,321.0818493630848,A1_1,2
off.r,1.2177394804311916,1.130811985116452,1.3058456592261791,1478.4337011395432,A1_1,2
pi,0.2168646808713794,0.17102358720732222,0.2732692549470934,510.53138941296015,A1_1,3
neg,2.377889679341372,0.7019526145344415,6.0652626555569285,122.45648789479208,A1_1,3
off.r,1.119360993965529,1.0126167943235487,1.2326732072979212,3496.6510208939467,A1_1,3
pi,0.2210679857060518,0.17730269711465388,0.27455997834914403,381.2199966734858,A1_1,4
neg,3.344952305491809,1.5832306206615456,7.297777536503766,384.52872332599964,A1_1,4
off.r,1.1011622741352767,0.9970370238879696,1.2098802999826148,1844.730653225987,A1_1,4
pi,0.19533142645377935,0.15339134351816683,0.24773763518315162,342.64436325726933,A1_1,5
neg,2.6819540886830353,0.9982386786181294,6.4498595648368635,110.25200115940564,A1_1,5
off.r,1.1324651383329183,1.0270072064595297,1.2411273408215493,2793.2663288665626,A1_1,5
pi,0.18795299262274462,0.14800920304842713,0.2338748347945561,411.3166136563431,A1_1,6
neg,3.134878818939235,1.4155528506420367,6.491118001930211,339.2788328933077,A1_1,6
off.r,1.140025574248284,1.036428181338124,1.246167653473094,1711.8612923580718,A1_1,6
pi,0.8222898457897818,0.6618389609968222,0.9770192089956278,165.4375125185847,A1_6,1
neg,5.660473320346121,2.957774751183372,10.244312174447607,905.6813400034556,A1_6,1
off.r,1.6542451047571376,1.450353612541221,1.8756899524014443,345.3173708364534,A1_6,1
pi,0.8256334896199371,0.6695013698656257,0.9728166929213171,116.12305335303758,A1_6,2
neg,5.791066240581479,3.094827439465355,10.243674981004354,436.1896605155152,A1_6,2
off.r,1.672294509015046,1.459982999251224,1.905557403457351,130.19732373753664,A1_6,2
pi,0.9658478923607401,0.8457015224033726,0.9987087811576367,410.687813658138,A1_6,3
neg,4.761391304844786,2.4298907224478015,8.78630547546016,335.60527025692164,A1_6,3
off.r,1.4440406906651333,1.244405192323029,1.65930389019195,659.1273659028282,A1_6,3
pi,0.9840995879610995,0.9236791086848725,0.9994277580641232,2648.6396285893716,A1_6,4
neg,2.3327188640290686,0.544419019312393,6.295650975375231,162.98044082011722,A1_6,4
off.r,1.5800284122815356,1.3333950791275129,1.850523801986128,523.5029465723775,A1_6,4
pi,0.9128883416065964,0.7561613950645443,0.9959450112888639,205.8296525615701,A1_6,5
neg,4.600162748658825,2.3706344435380586,8.769060894094203,482.9971954766483,A1_6,5
off.r,1.4836276131682098,1.2817947553703561,1.7055874813813716,381.68438684359035,A1_6,5
pi,0.9839162108255646,0.9248027338180496,0.9993573852116158,2634.7740458951307,A1_6,6
neg,3.8580939786664956,1.6506289077846148,8.499737135662492,432.1901181420705,A1_6,6
off.r,1.556263220263645,1.2996022534789518,1.818386782077141,374.6577474281094,A1_6,6
pi,0.07105601411778498,0.04621628700289972,0.10923685363959695,307.4225555928168,A1_7,1
neg,1.2640448014175343,0.34279632039068364,4.25110680290198,215.25267714383926,A1_7,1
off.r,1.4414060754934326,1.301058359676972,1.585754300816916,915.2321152507244,A1_7,1
pi,0.10558461546898412,0.06638169756625367,0.16539811000694132,329.79037064597316,A1_7,2
neg,1.9160688019513898,0.633825581699405,5.26113300765099,392.46224623268427,A1_7,2
off.r,1.496051330352202,1.3189394825603813,1.683985061943531,726.6477900532485,A1_7,2
pi,0.08519080383703209,0.053179403627290636,0.1330163272097713,379.78405574903263,A1_7,3
neg,1.8952646736910381,0.6388947384588235,5.205140182228554,386.827656520925,A1_7,3
off.r,1.3918917254777625,1.233508461387828,1.5529613220132887,1185.1904728102274,A1_7,3
pi,0.20009959081653972,0.11864739416634544,0.3271205158904292,732.9638288729772,A1_7,4
