param,median,2.5%,97.5%,ess,sim,scenario
pi,0.48835087672341276,0.40302980111446085,0.5719684396870419,343.55796712611385,B2_1,1
neg,5.497788261102308,3.0671280134159886,9.80365596717855,313.80509103459804,B2_1,1
off.r,0.9402382911648601,0.8226773652713746,1.061804004595615,1564.0090055226801,B2_1,1
pi,0.45773030866404313,0.37903712326661737,0.5419775081565725,286.3346040947711,B2_1,2
neg,4.973659952233341,2.5593633988795617,9.845590232002344,307.36084906974315,B2_1,2
off.r,0.9515516007086262,0.8403453349601477,1.0674995793960989,2043.3741314692306,B2_1,2
pi,0.4276436118874777,0.3534133499022655,0.5168018019991069,320.9553623818045,B2_1,3
neg,4.767697955660317,2.546662825803999,9.07430723595133,423.5328050177905,B2_1,3
off.r,0.9122541119577363,0.8044535181252286,1.0271252613747492,2454.860240887676,B2_1,3
pi,0.6468516343739062,0.536727156862637,0.7678458346752646,281.8216500589664,B2_1,4
neg,6.134037523126956,3.420133620097097,10.55538536055645,459.25685379007217,B2_1,4
off.r,0.8676134642446414,0.7351933418540284,1.0117795777041465,1738.8590298337,B2_1,4
pi,0.4325165880611192,0.35945269237272753,0.5165295552462421,365.08137837990523,B2_1,5
neg,4.86050362087952,2.633830868468415,9.228399336400237,547.4966092867569,B2_1,5
off.r,0.907430392340757,0.7993599904002622,1.0253239672165364,3408.417280233379,B2_1,5
pi,0.6362822633003729,0.5377558975713257,0.7486220748163693,462.50049676804116,B2_1,6
neg,5.202880187371541,2.8513555027933606,10.048671407454442,427.845528276189,B2_1,6
off.r,0.8625743233133107,0.7356473585823551,1.0043949135579169,2643.2964451518255,B2_1,6
pi,0.9800779374782056,0.903511911048547,0.9992801281157899,687.1816350806542,B2_2,1
neg,4.959261894870345,2.6536774963063934,8.779587078319658,671.4585865503326,B2_2,1
off.r,1.0647274358198047,0.8890548478811979,1.2549537776503712,1013.0292082655307,B2_2,1
pi,0.9873062972212207,0.9363202219829023,0.9994959227973588,2560.4816479391384,B2_2,2
neg,4.279559098129887,2.084034008036163,8.452920200714637,285.90170889788243,B2_2,2
off.r,1.0274636020185426,0.8538327612914145,1.2248629292007536,762.5431455237762,B2_2,2
pi,0.9897545733721882,0.9455469880718813,0.9995960263768002,5178.958468281709,B2_2,3
neg,2.9196590330142342,1.25244696293192,6.327192472705413,324.6943225514681,B2_2,3
off.r,0.9930061810882762,0.8107993913581595,1.1979224992683157,1642.2538825705722,B2_2,3
pi,0.9814838711405057,0.9201863540103521,0.9991133098024805,1257.8384599686292,B2_2,4
neg,3.4330120613489115,1.560306215837393,7.344752821551431,430.3725682507378,B2_2,4
off.r,1.0644558841595426,0.8784227751893923,1.2625711767468601,1047.5718055673922,B2_2,4
