param,median,2.5%,97.5%,ess,sim,scenario
pi,0.9890045679174508,0.9456720501417252,0.9996473843464905,13278.9995210269,S1_1,1
neg,0.18969912588762128,0.14371600636912518,0.25124386506320917,115.2068158231169,S1_1,1
off.r,0.36184561531990767,0.24386727227829397,0.5110030677169561,2462.279231230003,S1_1,1
pi,0.9904692639829741,0.9503374647582079,0.9996551907155753,7472.372231432167,S1_2,1
neg,0.20875823748463773,0.16749830410515898,0.2667694732703083,109.835209506182,S1_2,1
off.r,0.463847427861765,0.33261232858058065,0.6222022566944361,1577.9796418810247,S1_2,1
pi,0.9781151539878771,0.8933396174572394,0.999170202342792,16000.99999999992,S1_4,1
neg,0.10031206445602603,0.06425065215842896,0.15811847342012353,207.22359986733562,S1_4,1
off.r,0.38036726566497236,0.1962179004913196,0.6430565067566931,1058.2681147021121,S1_4,1
pi,0.993114723428177,0.9658342464826778,0.9997458803002084,5601.86359652438,S1_6,1
neg,8.713694925947841,5.579691616182011,14.150225037188996,343.7657577138424,S1_6,1
off.r,0.3960493910126388,0.30365309363696724,0.5038999763783067,754.0867377837056,S1_6,1
pi,0.859676001989299,0.7375984241487313,0.9763807084411529,400.7053148316387,S1_7,1
neg,5.052513824954424,2.74457816657776,9.355445434168708,462.82763852445476,S1_7,1
off.r,0.6685419114073738,0.5299382660305128,0.8251400672597811,2582.9836371776305,S1_7,1
pi,0.9817185062449535,0.9081911227665743,0.9992997946217851,7496.68634818821,S1_8,1
neg,0.15903832804577522,0.11291051976548605,0.2338225965544405,152.96225599806533,S1_8,1
off.r,0.46211241732817143,0.289035941939801,0.6922147792065516,3921.3117683303135,S1_8,1
pi,0.9727867786772452,0.8646113451570171,0.9989456798182925,8000.999999999975,S1_9,1
neg,0.3996930597971948,0.28631391231136494,0.5910376741707148,637.7875599751754,S1_9,1
off.r,0.09968695242423564,0.02237994980532676,0.2724137493642047,8001.000000000003,S1_9,1
pi,0.35496359725949794,0.23825731293765984,0.5043451651698165,1702.6661716957806,S1_10,1
neg,1.989673513282817,0.5370669760199078,5.6834515524718725,566.0005727295257,S1_10,1
off.r,0.9381151972338557,0.7282571604009718,1.1601328741526231,6762.7971265237275,S1_10,1
pi,0.8621671951375885,0.6990682649658974,0.9755947256227946,1627.8515046821442,S1_11,1
neg,0.557885607417469,0.321128326763195,1.185630634023604,186.5431863463104,S1_11,1
off.r,0.46312457346357405,0.26155585783999413,0.7201167970197275,1399.1987999492994,S1_11,1
pi,0.5390453164931337,0.4185011630412047,0.6774219386279554,1463.193999932616,S1_12,1
neg,2.4677612260605954,1.1413978599633836,5.749221520327758,669.6672484280291,S1_12,1
off.r,0.7425674148835242,0.569755467469804,0.938273961073719,3149.006625083117,S1_12,1
pi,0.9215781359001963,0.8529417857993065,0.9670114034321404,4998.168614435483,S1_13,1
neg,0.12608831486830496,0.10162832430398083,0.15981877239720887,151.12440533468308,S1_13,1
off.r,0.5311824067030102,0.4115565860411152,0.6679955690633506,5148.102656234815,S1_13,1
pi,0.9328919931314916,0.8564107603393506,0.9852253695018607,2576.4282219611327,S1_14,1
neg,0.3851962264783495,0.3007428035529145,0.5303729449555092,123.71474041709793,S1_14,1
off.r,0.4682279888074845,0.3550584160257131,0.5986315256450325,2376.2547274039903,S1_14,1
pi,0.9400616757571519,0.8066649768967371,0.9972698000725124,1244.1939008726154,S1_15,1
neg,2.783971886329148,1.315309497589972,6.2127364758092725,387.1767592076936,S1_15,1
off.r,0.6317859651753679,0.45849428966175765,0.8400690424023196,3771.5234871823336,S1_15,1
pi,0.9727607449516468,0.88078215408605,0.9989583213813684,5603.00762661588,S1_17,1
neg,0.16544687392489887,0.10877611249053754,0.2512798662686544,157.85405283759084,S1_17,1
off.r,0.524580599158071,0.3609968594973907,0.7271632777992636,6181.369904716739,S1_17,1
pi,0.9752125761006063,0.8740373978391256,0.999018726008959,8001.000000000002,S1_18,1
neg,0.07605079474559151,0.045723338432813954,0.13728876708375193,117.72026847650423,S1_18,1
off.r,0.5259094549110159,0.3031363000627607,0.8156771033536643,1629.9048632159554,S1_18,1
pi,0.9898077228106319,0.9492160980356903,0.9996174905914904,12946.423270257426,S1_19,1
neg,0.46576312947252774,0.3425442421033793,0.6873451123868861,112.41969345779141,S1_19,1
off.r,0.39668093516957015,0.2815066073089838,0.5362383637111634,1739.0354038348833,S1_19,1
pi,0.9446608274709578,0.7974350172793376,0.9977140582632551,4227.868734163662,S1_20,1
neg,0.19319417671466343,0.11002581828905367,0.348493032677303,155.6924709329382,S1_20,1
off.r,0.6335283257067204,0.40362735744565725,0.9321815505390987,7361.2430694107825,S1_20,1
pi,0.9865532279014535,0.9344890867359931,0.9994941372191573,12419.593621143795,S1_21,1
neg,0.1489437969245193,0.11239868372978545,0.20326140609869636,234.36285426712016,S1_21,1
off.r,0.5577378888847306,0.3990300144068897,0.7416063568089157,2250.5294124082407,S1_21,1
pi,0.8902272390434319,0.7613452163059626,0.9733828844269448,3090.4047259313234,S1_22,1
neg,0.5744508073588657,0.356264008271304,1.1159224740153002,110.12565515584397,S1_22,1
off.r,0.4642148403218016,0.30221410805825144,0.6769336400320753,1645.7592455216495,S1_22,1
pi,0.6588785566156637,0.5091827715514339,0.8134288689354338,1977.56879868072,S1_23,1
neg,0.5175355188006359,0.29785606271287524,1.3749563743516626,111.57560736251416,S1_23,1
off.r,0.6749246175168082,0.4867668878287077,0.8967223231447861,9085.38665983926,S1_23,1
pi,0.9818487637908948,0.9108025252819459,0.9993603893555401,29826.32764607536,S1_24,1
neg,0.11868899006696321,0.07876857003828608,0.18400956870356477,128.1025282496976,S1_24,1
off.r,0.3998810952762142,0.2383882199646905,0.6129176801769063,1517.2837841557152,S1_24,1
pi,0.97959385786672,0.89965765303933,0.9992809253977495,16000.999999999942,S1_25,1
neg,0.17306187801694595,0.11810539168471568,0.27288372645454384,121.42878444869913,S1_25,1
off.r,0.379301002016291,0.21221532847266644,0.6126907251309603,1520.438183944188,S1_25,1
pi,0.407866179593854,0.2789248520741415,0.5740205426234776,1073.3530166653889,S1_26,1
neg,2.06904090516435,0.6375685040296801,5.803310701103676,193.04967943072145,S1_26,1
off.r,0.8102543213171884,0.6010975788813084,1.050595526699908,7249.40932915384,S1_26,1
pi,0.9912645372562048,0.9574308409821294,0.9996893146307992,10503.09332824584,S1_28,1
neg,0.1029870252201519,0.082121074603144,0.13009976496288544,178.49211644129977,S1_28,1
off.r,0.37723592761904,0.27147255232557654,0.5056611120235175,2472.2864162260253,S1_28,1
pi,0.9926334054908028,0.9662202286767119,0.9997513806447893,3906.8632588385335,S1_29,1
neg,0.34411808714902037,0.2816973361808621,0.4196450597995707,123.74435714580429,S1_29,1
off.r,0.38408488675486296,0.2977384233381599,0.48822976334486157,1677.4338854817988,S1_29,1
pi,0.4276957827154613,0.3781256117858033,0.477355683711362,374.26778892621843,S1_30,1
neg,3.690246416783687,2.0745867912813836,6.9099211642209255,134.7996170089313,S1_30,1
off.r,0.767164170392789,0.6939762332476676,0.8421379254432395,2193.57846150576,S1_30,1
