post,mu,pi
-9628.441764743853,1e-4,0.9
-2908.910136204801,5.778776354515502e-4,0.8403092219372814
-2745.071813734127,7.553352064233289e-4,0.9780976900855426
-2783.919742150051,7.053717189659695e-4,0.977266237251401
-2804.5318831947925,7.602568643806162e-4,0.9772015738841338
-2848.7812436851054,7.245813254015048e-4,0.9722761626834553
-2782.040705191294,6.104928582410628e-4,0.9941840385659756
-2798.9870931153555,6.751986248447575e-4,0.9971166883414507
-2752.2784268076566,7.729617401911829e-4,0.9971166883414507
-2784.5013968118474,6.513787017886736e-4,0.9926072977770228
-2801.3271588596017,5.870189318423545e-4,0.9747370553266016
-2805.3433767292754,5.949848918700187e-4,0.991019887383509
-2827.1150686585925,7.766594758483843e-4,0.9808563367039992
-2786.6763930331254,7.443549071052213e-4,0.9894717294808163
-2828.8929786862104,6.106243890848676e-4,0.9893082961582178
-2833.652189013469,7.051928635067868e-4,0.9883651802861855
-2804.6656926019477,4.2445250405532045e-4,0.9866939623285889
-2796.7382121228156,8.528660610777861e-4,0.9893347838700552
-2815.0141098098584,5.875088120325635e-4,0.9909542546564051
-2825.1833640433388,5.569238332155143e-4,0.9945747315656892
-2823.786298594623,5.912612538056215e-4,0.9937555122450785
-2829.183880186819,6.059735974293909e-4,0.9881808261555515
-2803.01535776418,6.141552262362552e-4,0.9881808261555515
-2858.0484656092513,8.652422983643649e-4,0.9750342411575843
-2813.8223739549712,6.383600767234051e-4,0.9988506763394126
-2828.2682634757825,4.6775231695815893e-4,0.9881378766594925
-2837.179582392787,6.4571477695597e-4,0.9929120126252845
-2784.4523784676253,6.237112546366558e-4,0.9929120126252845
-2836.542215046308,7.551350770520329e-4,0.9929120126252845
-2856.2769025180974,5.573499028452125e-4,0.9929120126252845
-2796.5413189269098,8.292148360739628e-4,0.9929120126252845
-2845.3293392054,6.49716323327449e-4,0.989894232816985
-2876.284899012072,5.612337074697835e-4,0.9889663067622259
-2843.6099762890362,6.998103085755716e-4,0.9890712020797219
-2830.940691272771,6.474754363814618e-4,0.9857573780830113
-2848.2250847283963,5.446963707889856e-4,0.9880650485707895
-2818.5161424576804,6.087398831965314e-4,0.9926247080464783
-2853.2020229315162,5.961964530250053e-4,0.9850473204804422
-2849.5663920074967,5.69783668799151e-4,0.9927646983046539
-2815.7671979089764,5.287079469962194e-4,0.9927475391169034
-2849.8356481395126,5.831960667700654e-4,0.9749829948020319
-2860.9680283310263,4.495951154175922e-4,0.98915091024228
-2874.459056139731,5.879557869627608e-4,0.9757229137837767
-2809.847972443071,6.26139402448989e-4,0.9919586869990549
-2873.599351578307,4.4869277665128e-4,0.992664347885833
-2847.67858909009,7.303276696445508e-4,0.9857118963142826
-2881.804921941211,6.177306279141625e-4,0.9529904907539066
-2792.200034681433,7.387027452544441e-4,0.9822264397863779
-2828.547299298551,6.841892129953863e-4,0.9941772799307887
