from,to,time,support,generations
NA,1,-3,0.21333333333333335,NA
1,2,0,0.3472222222222222,1
1,3,0,0.33944444444444444,1
1,4,0,0.36722222222222223,1
37,5,96,0.11722222222222223,1
14,6,50,0.15,1
27,7,73,0.05388888888888889,1
237,8,126,0.018333333333333333,1
39,9,70,0.06888888888888889,1
12,10,59,0.15388888888888888,1
16,11,67,0.12944444444444445,1
18,12,59,0.15222222222222223,1
42,13,73,0.06111111111111111,1
6,14,53,0.16166666666666665,1
39,15,70,0.06666666666666667,1
22,16,53,0.16277777777777777,1
12,17,59,0.155,1
10,18,59,0.16,1
39,19,70,0.065,1
39,20,70,0.06055555555555556,1
10,21,59,0.15611111111111112,1
6,22,54,0.17333333333333334,1
10,23,60,0.15333333333333332,1
10,24,59,0.16166666666666665,1
39,25,70,0.06777777777777778,1
14,26,63,0.13777777777777778,1
39,27,70,0.06944444444444445,1
14,28,64,0.1438888888888889,1
22,29,63,0.14722222222222223,1
20,30,73,0.059444444444444446,1
95,31,95,0.015555555555555555,1
39,32,73,0.05611111111111111,1
39,33,72,0.06111111111111111,1
15,34,73,0.05388888888888889,1
39,35,70,0.05722222222222222,1
6,36,67,0.12611111111111112,1
14,37,67,0.14166666666666666,1
39,38,70,0.06777777777777778,1
43,39,68,0.05277777777777778,1
39,40,70,0.07055555555555555,1
39,41,70,0.06055555555555556,1
39,42,70,0.06166666666666667,1
39,43,70,0.065,1
39,44,73,0.058888888888888886,1
39,45,73,0.065,1
39,46,70,0.06277777777777778,1
100,47,94,0.017222222222222222,1
126,48,95,0.01611111111111111,1
41,49,73,0.058888888888888886,1
39,50,73,0.06,1
39,51,73,0.056666666666666664,1
110,52,94,0.015555555555555555,1
276,53,127,0.016666666666666666,1
39,54,74,0.05444444444444444,1
7,55,95,0.014444444444444444,1
32,56,95,0.01611111111111111,1
54,57,95,0.01611111111111111,1
138,58,95,0.016666666666666666,1
104,59,111,0.012777777777777779,1
124,60,96,0.018333333333333333,1
64,61,94,0.014444444444444444,1
101,62,96,0.016666666666666666,1
64,63,94,0.016666666666666666,1
20,64,86,0.027777777777777776,1
168,65,94,0.013888888888888888,1
99,66,94,0.019444444444444445,1
139,67,94,0.016666666666666666,1
112,68,95,0.5622222222222222,1
113,69,106,0.012777777777777779,1
76,70,95,0.014444444444444444,1
123,71,95,0.015555555555555555,1
80,72,95,0.016666666666666666,1
51,73,95,0.013888888888888888,1
