post,mu,pi
-1157.746075590101,1e-4,0.9
-452.17360662299177,3.146514993300828e-4,0.9789371880993143
-461.7786462453727,9.5832905171827507e-05,0.9661889330440626
-458.83495551721603,2.791823694397986e-4,0.9986678270483115
-464.8343680035733,1.953658397611149e-4,0.9707612640679859
-468.8322180861811,2.061429530221885e-4,0.9988974199495151
-471.0601772939452,1.889606970308811e-4,0.9867245741190094
-468.93055083553276,4.1987305347326767e-4,0.9960208928260862
-492.55876935064236,7.401469050724474e-4,0.9759525848653788
-460.5754296149863,3.3513630422570256e-4,0.9900708175210694
-476.915252514516,4.15652412750366e-4,0.9758529108089337
-471.17465808848505,1.9139386204501755e-4,0.9987184610032849
-480.2386063541061,3.453708541889589e-4,0.999395608689218
-485.72899006490746,3.368210668133947e-4,0.9287378327120673
-470.5582205128091,3.077352849243573e-4,0.9817734845648639
-491.5348987561591,2.1398765683786335e-4,0.9706883384629312
-479.7746763312239,2.838339445363986e-4,0.989702348932808
-467.3356529272507,1.1241182089451348e-4,0.9898346064220335
-464.14786532740493,3.932132571577041e-4,0.9764915918428311
-468.1674138987946,6.198663187729993e-5,0.9314329876161587
-490.2501755728625,8.800448611674952e-5,0.9181549129866818
-474.9562125397684,1.2460590775534565e-4,0.9750309640460265
-464.18764478897145,4.546876441507705e-4,0.9726996822528595
-472.4616819298504,1.9737958260004185e-4,0.9625507396526591
-483.1726934612816,4.482101289971619e-4,0.9569930840225125
-470.05103574980194,2.3312810018831035e-4,0.99506316773928
-461.8265940823758,2.2923444987314574e-4,0.9980189581215986
-458.1965368559413,1.076336176940142e-4,0.9914093942461639
-465.44095466503245,2.4042332686812493e-4,0.9950727813847295
-464.93632888353136,4.980382400345949e-4,0.9936133443414925
-460.2263612287314,2.385537218308536e-4,0.9760563616399627
-468.32239535440954,2.2919170318175177e-4,0.9598938285229512
-475.34370106725606,1.8175273263692384e-4,0.972643610374245
-470.6971858060858,1.388602201782421e-4,0.9762313656464061
-466.6579143318567,1.2496582394956346e-4,0.9958124025186387
-486.72300019440695,2.6075380994392396e-4,0.9897902699428683
-483.7604127057198,1.0009143666694787e-4,0.9697815378423953
-470.3256096633644,2.2183248660790467e-4,0.9761573495014226
-467.60489713621433,3.536701037393337e-4,0.9900100993594771
-468.8739844976822,2.1398650354575286e-4,0.9530447787640605
-472.73847794020173,1.4387626992067848e-4,0.9931325292275555
-488.2480417886506,5.184773348493586e-4,0.9794268509764031
-471.4595223552255,3.5375477886575245e-4,0.9590125162336052
-480.4507096225637,3.0552117432186294e-4,0.8680969201913569
-463.3469825485452,4.3979514038873654e-4,0.9961193304923149
-474.29228644228493,1.1039996206811362e-4,0.9791033650203906
-469.2708846449639,2.7104088550888487e-4,0.9507774632592815
-477.3837410555882,3.588376833254844e-4,0.9891226290131115
