infected,id,ances,weight,date,ances.date,sp,sp_infector,infector
64420015_0,1,2,0,2009-03-31T22:00:00Z,2007-06-30T22:00:00Z,cattle,badger,45_d500_99_839_0
45_d500_99_839_0,2,NA,NA,2007-06-30T22:00:00Z,NA,badger,NA,NA
45_d500_160_0,3,43,0,2014-07-31T22:00:00Z,2011-08-31T22:00:00Z,badger,badger,45_d500_105_726_0
45_d500_156_0,4,262,0,2020-01-31T23:00:00Z,2017-09-30T22:00:00Z,badger,cattle,64393387_4
45_d500_99_839_1,5,69,0,2016-08-31T22:00:00Z,2014-06-30T22:00:00Z,badger,badger,45_d500_99_839_3
45_d500_99_839_2,6,2,0,2018-05-31T22:00:00Z,2007-06-30T22:00:00Z,badger,badger,45_d500_99_839_0
45_d500_157_858_0,7,2,0,2008-10-31T23:00:00Z,2007-06-30T22:00:00Z,badger,badger,45_d500_99_839_0
45_d500_156_1,8,2,0,2010-06-30T22:00:00Z,2007-06-30T22:00:00Z,badger,badger,45_d500_99_839_0
64420015_3,9,2,0,2009-05-31T22:00:00Z,2007-06-30T22:00:00Z,cattle,badger,45_d500_99_839_0
64420015_5,10,2,0,2009-05-31T22:00:00Z,2007-06-30T22:00:00Z,cattle,badger,45_d500_99_839_0
64420035_0,11,2,0,2011-06-30T22:00:00Z,2007-06-30T22:00:00Z,cattle,badger,45_d500_99_839_0
64420035_1,12,2,0,2010-03-31T22:00:00Z,2007-06-30T22:00:00Z,cattle,badger,45_d500_99_839_0
64420035_2,13,2,0,2010-05-31T22:00:00Z,2007-06-30T22:00:00Z,cattle,badger,45_d500_99_839_0
45_d500_99_866_0,14,2,0,2012-04-30T22:00:00Z,2007-06-30T22:00:00Z,badger,badger,45_d500_99_839_0
45_d500_99_866_1,15,2,0.0058827303298724,2016-05-31T22:00:00Z,2007-06-30T22:00:00Z,badger,badger,45_d500_99_839_0
45_d500_123_762_0,16,2,0,2010-11-30T23:00:00Z,2007-06-30T22:00:00Z,badger,badger,45_d500_99_839_0
45_d500_163_0,17,2,0.0058827303298724,2013-11-30T23:00:00Z,2007-06-30T22:00:00Z,badger,badger,45_d500_99_839_0
45_d500_99_766_0,18,2,0,2014-04-30T22:00:00Z,2007-06-30T22:00:00Z,badger,badger,45_d500_99_839_0
64556039_0,19,2,0,2011-04-30T22:00:00Z,2007-06-30T22:00:00Z,cattle,badger,45_d500_99_839_0
64420012_0,20,2,0,2012-03-31T22:00:00Z,2007-06-30T22:00:00Z,cattle,badger,45_d500_99_839_0
64420002_0,21,2,0,2012-02-29T23:00:00Z,2007-06-30T22:00:00Z,cattle,badger,45_d500_99_839_0
64420009_0,22,43,0,2012-01-31T23:00:00Z,2011-08-31T22:00:00Z,cattle,badger,45_d500_105_726_0
45_d500_184_0,23,2,0,2011-07-31T22:00:00Z,2007-06-30T22:00:00Z,badger,badger,45_d500_99_839_0
64556_0,24,2,0,2012-01-31T23:00:00Z,2007-06-30T22:00:00Z,boar,badger,45_d500_99_839_0
45_d500_123_762_1,25,2,0.0058827303298724,2013-05-31T22:00:00Z,2007-06-30T22:00:00Z,badger,badger,45_d500_99_839_0
64556_1,26,2,0,2013-01-31T23:00:00Z,2007-06-30T22:00:00Z,boar,badger,45_d500_99_839_0
64420035_3,27,2,0,2011-07-31T22:00:00Z,2007-06-30T22:00:00Z,cattle,badger,45_d500_99_839_0
64556039_1,28,2,0,2011-07-31T22:00:00Z,2007-06-30T22:00:00Z,cattle,badger,45_d500_99_839_0
64420012_1,29,2,0.005873850566039741,2012-03-31T22:00:00Z,2007-06-30T22:00:00Z,cattle,badger,45_d500_99_839_0
64420012_2,30,2,0,2012-03-31T22:00:00Z,2007-06-30T22:00:00Z,cattle,badger,45_d500_99_839_0
64556039_2,31,2,0,2011-07-31T22:00:00Z,2007-06-30T22:00:00Z,cattle,badger,45_d500_99_839_0
64556039_3,32,2,0,2011-06-30T22:00:00Z,2007-06-30T22:00:00Z,cattle,badger,45_d500_99_839_0
64556039_4,33,2,0,2011-07-31T22:00:00Z,2007-06-30T22:00:00Z,cattle,badger,45_d500_99_839_0
64556039_5,34,2,0,2011-07-31T22:00:00Z,2007-06-30T22:00:00Z,cattle,badger,45_d500_99_839_0
45_d500_99_716_0,35,43,0,2014-08-31T22:00:00Z,2011-08-31T22:00:00Z,badger,badger,45_d500_105_726_0
45_d500_159_855_0,36,2,0,2016-07-31T22:00:00Z,2007-06-30T22:00:00Z,badger,badger,45_d500_99_839_0
45_d500_159_855_1,37,2,0,2016-05-31T22:00:00Z,2007-06-30T22:00:00Z,badger,badger,45_d500_99_839_0
45_d500_99_866_2,38,273,0,2020-01-31T23:00:00Z,2018-11-30T23:00:00Z,badger,cattle,64420009_4
64556023_0,39,2,0,2012-03-31T22:00:00Z,2007-06-30T22:00:00Z,cattle,badger,45_d500_99_839_0
45_d500_110_0,40,2,0,2014-05-31T22:00:00Z,2007-06-30T22:00:00Z,badger,badger,45_d500_99_839_0
45_d500_159_855_2,41,2,0.0058827303298724,2020-01-31T23:00:00Z,2007-06-30T22:00:00Z,badger,badger,45_d500_99_839_0
64420002_1,42,2,0.0058827303298724,2013-01-31T23:00:00Z,2007-06-30T22:00:00Z,cattle,badger,45_d500_99_839_0
45_d500_105_726_0,43,2,0.0058827303298724,2011-08-31T22:00:00Z,2007-06-30T22:00:00Z,badger,badger,45_d500_99_839_0
45_d500_99_720_0,44,2,0,2012-01-31T23:00:00Z,2007-06-30T22:00:00Z,badger,badger,45_d500_99_839_0
45_d500_159_855_3,45,2,0,2011-09-30T22:00:00Z,2007-06-30T22:00:00Z,badger,badger,45_d500_99_839_0
45_d500_148_0,46,2,0,2013-05-31T22:00:00Z,2007-06-30T22:00:00Z,badger,badger,45_d500_99_839_0
64556_2,47,2,0,2014-06-30T22:00:00Z,2007-06-30T22:00:00Z,boar,badger,45_d500_99_839_0
64556_3,48,2,0.0058827303298724,2013-11-30T23:00:00Z,2007-06-30T22:00:00Z,boar,badger,45_d500_99_839_0
45_d500_155_880_0,49,43,0,2016-07-31T22:00:00Z,2011-08-31T22:00:00Z,badger,badger,45_d500_105_726_0
45_d500_61_0,50,43,0,2013-05-31T22:00:00Z,2011-08-31T22:00:00Z,badger,badger,45_d500_105_726_0
45_d500_99_869_0,51,43,0,2013-04-30T22:00:00Z,2011-08-31T22:00:00Z,badger,badger,45_d500_105_726_0
45_d500_109_844_0,52,136,0,2015-11-30T23:00:00Z,2014-11-30T23:00:00Z,badger,cattle,64556005_0
45_d500_151_0,53,2,0,2012-10-31T23:00:00Z,2007-06-30T22:00:00Z,badger,badger,45_d500_99_839_0
64420038_0,54,43,0,2012-12-31T23:00:00Z,2011-08-31T22:00:00Z,cattle,badger,45_d500_105_726_0
45_d500_57_687_0,55,43,0,2013-10-31T23:00:00Z,2011-08-31T22:00:00Z,badger,badger,45_d500_105_726_0
45_d500_57_715_0,56,43,0,2012-06-30T22:00:00Z,2011-08-31T22:00:00Z,badger,badger,45_d500_105_726_0
64420012_4,57,2,0,2012-03-31T22:00:00Z,2007-06-30T22:00:00Z,cattle,badger,45_d500_99_839_0
45_d500_123_762_2,58,2,0.0058827303298724,2014-05-31T22:00:00Z,2007-06-30T22:00:00Z,badger,badger,45_d500_99_839_0
64420012_5,59,2,0,2012-03-31T22:00:00Z,2007-06-30T22:00:00Z,cattle,badger,45_d500_99_839_0
45_d500_157_858_1,60,2,0,2016-02-29T23:00:00Z,2007-06-30T22:00:00Z,badger,badger,45_d500_99_839_0
45_d500_57_687_1,61,43,0.0058827303298724,2012-05-31T22:00:00Z,2011-08-31T22:00:00Z,badger,badger,45_d500_105_726_0
64420012_6,62,2,0,2012-03-31T22:00:00Z,2007-06-30T22:00:00Z,cattle,badger,45_d500_99_839_0
64420012_7,63,2,0,2012-03-31T22:00:00Z,2007-06-30T22:00:00Z,cattle,badger,45_d500_99_839_0
